Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
977,Kobe,Bryant,LAL@HOU,LAL,HOU,,,"Bryant, Kobe",6400.0,SG,3.85948857329,0.178134098911,6.70461943516,5.14999563126,0.715882415613,3.58812675642,1.38822094198,2.60450336781,4.30400917203,6.27156798122,1.59893100364,18.3070555195,4.09146890337,31.3571428571,18.2335358695,29.5960363691,8.00210193131e-05,29.7157864498,32.0608518805,29.9591346947,30.5152519516,27.6291066527,29.9403280505,27.8719951477,28.4060315687,27.557464075,25.0,36.0,23.8369285805,34.0093343319,25.7041977488,36.7246592964,24.0174001729,34.319910935,24.4704896594,34.9299659853,23.708590132,33.9236864598,-0.00937960925196,-0.242786370201,4.02982303386,8.12594286027,0.4,0.3,0.25,0.2,0.2,0.25,2.08667979715,2.12052382999,2.08713954705,2.10922038295,2.03857229417,-
1495,Tim,Duncan,SAS@ATL,SAS,ATL,,,"Duncan, Tim",6500.0,C,2.46609529395,1.39752159779,0.0733841674713,2.14993131685,1.86583376215,6.24714736391,0.523161482435,1.49148131062,8.11298112606,3.76169845411,0.0102504167733,6.95177593286,1.67239580086,24.3571428571,9.20604312585,25.5549671288,4.01462931006e-05,24.9906482679,26.3869098932,25.6360440295,24.9957734763,25.1940043028,26.588271767,25.7767079763,25.1962149056,25.635973173,20.0,32.0,20.3788111924,33.0802641216,21.4176331845,35.3102603654,20.7806200165,34.3596856747,20.3835082526,33.086140344,20.6835528263,34.3740767271,0.560372589699,-0.0633003891535,4.82597588992,9.16585159698,0.6,0.5,0.35,0.2,0.3,0.25,-0.203356034955,-0.201361873762,-0.140663946799,-0.200441429302,-0.0810060442138,-
1717,Dirk,Nowitzki,WAS@DAL,DAL,WAS,,,"Nowitzki, Dirk",7200.0,PF,1.82590665052,0.469275196199,3.19280977884,3.49234757279,0.760896240336,5.85590797202,0.735274033632,1.0120433699,6.61680421236,6.35079057363,1.50593607136,12.6185821454,2.94296850989,31.2142857143,17.1504857285,30.1143746686,2.72442623877e-06,29.2265658489,31.0033775004,29.7443877798,29.9795338846,31.4904059454,33.3874655035,32.1186122795,32.252244101,32.3253918433,25.0,35.0,23.7436476671,32.5667343964,25.1076598598,34.6326299264,24.0752633793,33.2356006457,24.3471673247,33.4107456969,24.3342850999,33.6857112757,-0.17748156592,0.334829235034,4.21089084774,7.04446145773,0.0,0.1,0.2,0.4,0.2,0.2,-2.26384009653,-2.3840880031,-2.37422449975,-2.27271021649,-2.21101717471,-
1891,Jason,Terry,LAL@HOU,HOU,LAL,,,"Terry, Jason",3500.0,PG,1.48849437882,0.196893522048,3.42326527551,0.47325370255,0.0511247187418,0.952999008094,0.675344599999,0.760266354508,1.00412372684,1.84207440687,1.35859872651,4.59318490153,0.290818866394,16.4285714286,5.33356640665,10.8110196809,9.13629764629e-14,9.75546633666,10.8651062537,9.80567371314,10.4347656999,9.5204453815,10.6202361663,9.57052801055,10.148738475,10.5927230576,5.0,29.0,3.23738732968,17.2908531813,3.64313307161,19.1822738874,3.26173159232,17.3770071795,3.4736687185,18.4574723165,3.56072002437,19.2078010999,0.587398391657,0.206487153813,8.31541934183,6.34454225096,0.8,0.6,0.7,0.0,0.1,0.15,0.235020955161,0.244870087309,0.235145702596,0.286027224887,0.218296623282,-
1897,Metta,World Peace,LAL@HOU,LAL,HOU,,,"World Peace, Metta",3500.0,SF,0.906369725832,0.404637787138,2.33737058082,1.23568531855,0.8427192297,1.88070948516,0.962365050606,0.704297776408,2.72342871486,2.08587361324,0.827936831431,5.76788694587,0.956334410857,16.6428571429,5.95601846876,12.9395548106,1.50738791696e-11,12.6133954144,13.5158666298,12.7497493259,13.0273638301,11.2724065667,12.1025256714,11.3991083812,11.6833427872,11.6216218134,12.0,27.0,9.29488853486,20.0162184534,9.96473350104,21.4467687821,9.39697110627,20.2381674501,9.58810746583,20.6995511044,9.51453838976,20.5921674598,0.273787521177,-1.39709084714,5.06864641404,5.38498730131,0.8,0.7,0.588235294118,0.0,0.0,0.176470588235,1.34098884769,1.41334095836,1.35064094463,1.34402104289,1.31793299726,-
1938,Manu,Ginobili,SAS@ATL,SAS,ATL,,,"Ginobili, Manu",4800.0,SG,3.37686092475,0.193644723477,3.77217139721,1.79858039908,0.583255449205,2.12251255702,0.941777058819,1.85880463593,2.70576800622,3.77376142758,1.43512975062,8.18368468151,1.32546163365,18.5714285714,10.3081142394,20.3152317396,8.09333136675e-07,19.0323661627,20.8174771799,19.1705099866,19.749931038,18.2161012565,19.7331403766,18.3584317512,18.7627813665,19.1050723555,12.0,26.0,12.8921648031,25.9734633518,14.1025187897,28.4358004636,12.9860677753,26.189119329,13.3989810357,26.9292658232,13.7486342131,27.774851715,-0.299239976299,-1.28051754015,5.29426479939,7.08441168262,0.4,0.5,0.35,0.4,0.2,0.35,0.81626490621,1.08433680331,0.81207823538,0.987149671511,1.21015938404,-
2200,Pau,Gasol,NOP@CHI,CHI,NOP,,,"Gasol, Pau",8600.0,PF,2.4491126252,2.59087931315,0.42577067983,2.9650920722,2.29518908866,8.61130470226,0.524171997385,1.48794686598,10.9064937909,6.78908431599,0.129620360492,14.9037902281,2.55435077398,30.0,16.2621397665,38.2642783072,0.000363989808879,37.7657570084,40.0286347597,39.2198511464,37.8305671887,36.3390606941,38.6492982887,37.7465174173,36.4327726084,36.9041243532,25.0,36.0,31.3585826389,45.4543662519,33.0456618255,48.2896471399,32.3452857195,47.350774518,31.4128857207,45.5317849502,31.4924527201,46.2299412522,0.372227623201,0.0940606828894,4.13457819398,9.56817641978,0.0,0.1,0.3,0.4,0.3,0.2,1.4266963143,1.37933647099,1.47333372913,1.39779458027,1.36015395402,-
2225,Tony,Parker,SAS@ATL,SAS,ATL,O,Rest,"Parker, Tony",5400.0,PG,4.96563905252,0.107294694417,0.950444318456,1.92935173365,0.282068356413,1.69825679296,0.729903406682,1.84149824064,1.98032514937,4.32436865514,0.469470245902,8.4201199418,1.6008827732,24.0714285714,10.7190903294,20.8005519257,8.67667064554e-07,20.376837049,21.6617395873,20.506255344,20.6115721719,20.3941753836,21.4188517247,20.5105761697,20.5025947729,20.4070601823,21.0,32.0,17.8788292642,26.8251827259,19.0065657553,28.6014798722,17.9739053153,27.1289388345,18.1031145102,27.0868931126,18.2705020835,27.445730119,0.403464776345,-0.303181062627,4.69504827035,7.43269404129,0.6,0.3,0.25,0.2,0.4,0.25,-0.0173383346508,0.242887862624,-0.00432082567572,0.108977399043,0.393491743335,O - Rest
2399,Mike,Dunleavy,NOP@CHI,CHI,NOP,O,Back,"Dunleavy, Mike",4200.0,SF,1.8599978446,0.339555706116,3.90101630037,1.45111717328,0.456725590319,3.6602965234,0.700605586147,0.917259935065,4.11702211372,3.63973253242,1.61162260869,8.00938178378,1.16663996742,30.9285714286,10.0577276409,20.0754319619,1.48148962276e-07,18.9512135938,20.4302409189,19.1657996471,19.7570248981,19.0718740103,20.6956713252,19.2901603653,19.9607373537,20.3569410806,20.9285714286,35.9285714286,12.9539465659,21.9498471077,13.971073534,23.6725843932,13.0951187929,22.2138998559,13.4965208367,22.8872769288,13.7531244513,23.2535964021,,,40.0,,0.6,0.4,0.5,0.4,0.4,0.4,-0.120660416549,-0.265430406272,-0.124360718225,-0.203712455562,-0.281509118746,O - Back
2400,Drew,Gooden,WAS@DAL,WAS,DAL,O,Calf,"Gooden, Drew",3500.0,PF,0.799027839284,0.356425798357,1.05778458409,1.00162188121,1.56497387533,2.87085134306,0.369450540831,0.637117639045,4.4358252184,1.77213816865,0.337802903168,4.86709195506,0.670149516726,14.2142857143,4.55222875719,11.9133483522,2.4159656324e-11,11.8883958175,12.6002019162,12.1127416451,12.0572972691,11.3440816629,11.9887339628,11.5477956491,11.5159902891,11.3804857271,5.0,24.0,4.92201355648,19.2868017847,5.24208143935,20.514054984,5.01612798858,19.7488704153,5.01795608485,19.5331867439,4.90115413881,19.4929605879,1.2456436245,1.96102472619,7.54762655851,10.4145571197,0.8,0.5,0.4,0.2,0.3,0.45,0.544314154646,0.611467953358,0.564945995996,0.541306980008,0.532862625146,O - Calf
