Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,YH_Salary,YH_Position,Time,DP_Salary,DP_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
1495,Tim,Duncan,SAS@PHX,SAS,PHX,,,"Duncan, Tim",6000.0,C,5400.0,C,20.0,C,10:30PM EST,25.18,PF,2.69169159145,1.20313819125,0.0440060493825,2.70430855663,1.95054368339,5.84891290543,0.871229107506,1.7673626218,7.79945658882,4.03045278303,0.00319293691791,7.72553212055,1.95416143676,25.8571428571,10.0182599398,26.2800226054,7.7750121947e-05,25.7965172092,27.3103581432,26.4250803638,25.7981136777,25.8821354781,27.3220508009,26.4768786441,25.8837319466,26.3145118312,20.0,32.0,20.6665704326,31.1767052921,21.7880235013,33.2211763314,21.0483726591,32.1831678619,20.66780527,31.1786810321,20.9490405957,32.028609286,0.268034202991,-0.316744947751,5.12966783169,9.62683212824,0.6,0.4,0.45,0.2,0.3,0.2,-0.0856182688897,-0.01169265771,-0.0517982802758,-0.0856182688897,-0.0344892258194,-
1713,Vince,Carter,MEM@DEN,MEM,DEN,,,"Carter, Vince",3500.0,SF,3000.0,SG,10.0,SG,9:00PM EST,6.3,SG,1.08054780989,0.300751221005,2.38831120048,0.716032895525,0.363578177413,1.59815726275,0.533127063127,0.766088719442,1.96173544017,1.58643452405,0.872036759791,4.42886148523,0.501100378875,12.0714285714,4.54600618677,10.011416337,1.12354445379e-12,9.42257827863,10.3397353175,9.52067257787,9.85859665852,7.60774865755,8.1953156236,7.68765579917,7.8856661966,7.78423928664,5.0,22.0,5.05162113038,15.5595787191,5.69833617227,16.8574401565,5.10557703157,15.7206380204,5.36039436806,16.1742544199,5.63864170748,16.1522924561,0.770509190536,-0.286418407239,5.7735026919,6.40247348036,0.6,0.8,0.75,0.0,0.0,0.05,1.81482962108,2.14441969389,1.8330167787,1.97293046192,2.22717705037,-
1718,Paul,Pierce,LAC@CLE,LAC,CLE,,,"Pierce, Paul",4100.0,SF,4000.0,SF,12.0,SF,8:00PM EST,18.13,SF,1.27725394342,0.299432876309,3.89955206062,1.48763101036,0.193570978964,2.8123874956,0.451447972948,1.05745005295,3.00595847456,2.42305459613,1.34323341949,6.70307368203,1.17670276029,20.8571428571,7.36604537204,14.2087114939,4.02806149807e-10,13.3333881022,14.6846306548,13.4842889186,14.005004812,13.9288307294,15.1727422475,14.0995048783,14.5839387751,14.7193974923,8.0,26.0,4.71976301457,16.8494806831,5.3996381055,18.4756632734,4.78284122723,17.041903594,5.01186872926,17.6729017908,5.15908406918,17.9067478796,0.483784047171,-0.660761487741,6.81309090512,8.45088058405,0.6,0.4,0.7,0.4,0.5,0.25,-0.595442627214,-0.488111592683,-0.615215959778,-0.578933963106,-0.510685998385,-
1938,Manu,Ginobili,SAS@PHX,SAS,PHX,,,"Ginobili, Manu",4600.0,SG,4500.0,SG,12.0,SG,10:30PM EST,21.33,SG,3.54636106043,0.25140208568,3.63465711289,2.52523716305,0.555862056969,2.70969714512,1.13054140789,1.87797244247,3.26555920209,4.34342474743,1.46315157758,8.82229968769,2.02131534769,22.1428571429,12.1713164201,23.6236487106,5.52926069731e-06,22.295443598,24.135658269,22.4650962589,23.0270193867,21.5970280171,23.3843361937,21.7681701686,22.2557550715,22.7307284799,16.0,26.0,16.3305675989,26.0408308532,17.6661868084,28.2083506956,16.4494190925,26.2528480823,16.847249598,26.9073399518,17.3095913947,27.602159395,-0.258274493306,-0.85690131928,4.69269949724,6.44412553945,0.2,0.2,0.3,0.4,0.4,0.35,0.698415580807,0.75132207529,0.696926090321,0.771264315214,0.892920230716,-
2034,Mike,Miller,MEM@DEN,DEN,MEM,,,"Miller, Mike",3500.0,SF,3000.0,SG,10.0,SG,9:00PM EST,5.0,SF,0.788398582416,0.0292378862276,1.34878996679,0.703334956225,0.0573850380696,1.13258908266,0.442758804134,0.663516682133,1.18997412073,0.424842729268,0.373439432456,2.49752001549,0.50772514527,7.42857142857,1.73085003626,4.81951826772,5.58841331886e-17,4.62189355335,5.19987032351,4.68139226622,4.80861326958,3.91212535554,4.30730021109,3.96546634394,4.10202809985,4.30128188436,1.0,16.0,1.76858931937,8.6987318953,2.04265665417,9.6867989969,1.79098082963,8.81258462926,1.78739140905,9.10934178025,1.61880937496,9.36444477607,0.731098619924,0.00717109909141,5.54822121231,4.6823476281,1.0,1.0,0.95,0.0,0.0,0.0,0.709768197812,0.892570112422,0.715925922279,0.706585169731,0.518236383361,-
2037,Jamal,Crawford,LAC@CLE,LAC,CLE,,,"Crawford, Jamal",4400.0,SG,4700.0,SG,14.0,SG,8:00PM EST,19.35,SG,2.60792230659,0.0755267463032,4.59623766252,3.26671010454,0.356267804177,2.0479824271,0.772561947895,1.46716129037,2.40425023128,5.05416044467,1.50137010254,12.4682650853,3.03930302759,29.5,14.6489940195,22.1208052664,6.84565298758e-08,21.6749938549,23.2802417268,21.7959760303,22.4256789062,20.7297468225,22.373456862,20.8301952256,21.4867122351,21.1349964254,19.0,36.0,14.7050352991,25.9897301038,15.8194574285,27.9008563418,14.7932105152,26.1330552082,15.2501446121,26.8676763263,15.0987680834,26.470490649,1.28068659745,3.83284711725,6.04747478039,10.0832770273,0.0,0.0,0.35,0.6,0.4,0.25,0.945247032375,0.906784864768,0.965780804771,0.938966671059,0.985808840945,-
2199,Tyson,Chandler,SAS@PHX,PHX,SAS,,,"Chandler, Tyson",4000.0,C,4200.0,C,11.0,C,10:30PM EST,20.13,C,0.595327457653,0.524495214964,0.019961094923,2.21998351872,2.31017575331,5.54485713075,0.568976322587,0.922418297329,7.85503288406,2.40253917851,0.00772622,4.7640654677,1.54300525385,22.8571428571,6.35580983088,18.1709100301,1.13470026003e-10,17.939365256,18.8943020839,18.4292298252,17.943228366,17.5521617443,18.593869251,18.0137582755,17.5521617443,17.9412165914,14.0,31.0,11.135024784,24.1949685932,11.6288602855,25.8033775843,11.3682701818,25.1503136671,11.138887894,24.1988317032,11.1575693759,24.924733898,0.566991943022,-0.0173839115923,7.21011371273,8.26384270522,0.0,0.3,0.5,0.4,0.4,0.25,0.387203511647,0.30043283287,0.415471549701,0.391066621647,0.229693438732,-
2210,Richard,Jefferson,LAC@CLE,CLE,LAC,,,"Jefferson, Richard",3500.0,SF,3000.0,SF,10.0,SF,8:00PM EST,5.63,SF,0.547525741699,0.160505441705,1.80785698234,1.08822980593,0.214835254405,0.791312490103,0.251339636865,0.539147411847,1.00614774451,0.899424008125,0.607491989735,2.88333452326,0.670098577276,13.1428571429,3.07643858326,5.71650989174,2.08381462402e-18,5.38964723451,6.01327433025,5.43995462946,5.69339322938,6.7943177656,7.40225282664,6.85083906293,7.11209163119,7.18146494422,10.0,32.0,3.58791934501,16.2000145715,4.05339041215,17.7732260213,3.62285222883,16.3432172156,3.80066682959,17.0497516281,3.80514597875,17.1855576039,0.32729513559,-0.527296613513,8.46003544497,5.73490390565,1.0,1.0,0.8,0.0,0.0,0.05,-1.40467053109,-1.38897849639,-1.41088443347,-1.4186984018,-1.46495505248,-
2216,Zach,Randolph,MEM@DEN,MEM,DEN,,,"Randolph, Zach",6300.0,PF,6400.0,PF,26.0,PF,9:00PM EST,31.28,PF,1.73014778626,0.20852444634,0.20859170817,3.5722753863,2.84251826457,5.10972263716,0.692454029628,1.25235042867,7.95224090173,6.20550697349,0.0838387305774,12.560456721,2.77710338137,28.2857142857,15.2719560589,27.7835393811,3.5016374322e-06,27.9594733437,29.403163085,28.7350685054,28.0013927089,26.0709171756,27.5987466096,26.8622846005,26.0874200722,26.0271320444,21.0,37.0,20.7368629781,36.5982818201,21.6583638542,38.796828752,21.1251627097,37.9673910441,20.775395915,36.6442516194,20.3918960721,36.7981044248,0.788229646637,1.04750751909,5.47800464135,9.68567154543,0.4,0.3,0.35,0.2,0.3,0.2,1.88855616801,1.80441647546,1.87278390485,1.91397263674,1.75640733671,-
2225,Tony,Parker,SAS@PHX,SAS,PHX,O,Hip,"Parker, Tony",6000.0,PG,5600.0,PG,22.0,PG,10:30PM EST,26.48,PG,5.06005293856,0.158677748307,1.08662481047,2.77654562898,0.176889603953,2.31990815712,1.04094610389,1.90300074971,2.49679776108,5.73748477694,0.405209078738,11.188705028,2.11402397111,27.7142857143,13.9942026037,25.0886430056,8.01665059239e-06,25.0766862795,26.399775253,25.2456703388,25.2792908189,24.505533866,25.729816378,24.6846952065,24.6989928004,24.5527177599,21.0,32.0,19.5236731231,28.6211627624,20.5309664717,30.1745156895,19.6227772746,28.8634432962,19.6760340024,28.8558377231,19.5284023266,28.6758998759,0.12116220585,-0.518226337878,4.34603143152,7.83193659124,0.2,0.3,0.3,0.6,0.4,0.3,0.571152413502,0.669958875021,0.560975132227,0.580298018526,0.535925245703,O - Hip
