Player_ID,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
708,PF,Kevin,Garnett,19.0,47,4000,MIN@LAL,MIN,LAL,,,"Garnett, Kevin",4000.0,PF,1.49462324881,0.287821984514,0.19129548383,0.917402695156,0.720443967766,5.33510024873,0.764346342979,0.842274772846,6.05554421649,2.69642493319,0.0168256574651,5.81630107667,0.797980623658,18.4285714286,6.2076561475,16.9498303683,8.08363570055e-08,16.9783059626,17.7410900384,17.3115398232,16.9867187914,17.2638869263,18.0676563837,17.5942919744,17.272299755,17.2420953953,8.42857142857,23.4285714286,7.33536730322,21.7997752924,7.71936235944,22.8567809606,7.47830585716,22.332983889,7.33921503109,21.8104706715,7.34741795198,21.8908005511,,,40.0,,0.2,0.3,0.35,0.4,0.3,0.25,-0.285580963625,-0.326566345261,-0.282752151181,-0.285580963625,-0.292265026969,-
977,SG,Kobe,Bryant,37.0,35,8200,MIN@LAL,LAL,MIN,,,"Bryant, Kobe",8200.0,SG,4.68866692736,0.236763545354,4.86449719544,6.02032492236,0.696647309446,4.16346191332,1.29111670108,3.68743396018,4.86010922277,7.82747128859,1.59152201424,17.9936092997,5.09834766134,31.5714285714,22.3448122528,35.5825667556,0.000586059054647,34.5782702438,37.5351934365,34.8957154493,35.3740312509,33.3456524801,36.1776456138,33.7207643317,34.0064444172,33.840068251,21.5714285714,36.5714285714,23.7336370698,40.0005868309,25.732168036,43.5005857046,23.904859364,40.4550230598,24.2779721902,40.9220607813,24.3610029839,41.2743752443,,,40.0,,0.4,0.3,0.2,0.2,0.2,0.3,1.23261776369,1.35754782268,1.17495111762,1.36758683376,1.74249850457,-
1495,C,Tim,Duncan,33.2,77,7500,SAS@OKC,SAS,OKC,,,"Duncan, Tim",7500.0,C,3.00263162862,1.7736345288,0.0763159664146,3.72492477241,1.98922421107,5.41078094701,0.727050549267,1.52511644954,7.40000515808,4.93770409572,0.0314399263188,9.84485286418,2.55327921766,26.4285714286,12.4601273354,29.3030439891,0.000189395332262,29.3203346746,30.7227043282,29.9444261403,29.3360546378,30.4305720826,32.0603899419,31.2578181479,30.4417076566,30.7609894168,16.4285714286,31.4285714286,18.496782046,34.7321109889,19.2560108683,36.585261387,18.758888041,35.6664055188,18.5074184888,34.7503727123,18.3845890711,34.9323726525,,,40.0,,0.0,0.2,0.2,0.4,0.2,0.25,-1.11023740797,-1.33768561369,-1.31339200764,-1.10565301883,-1.4579454277,-
1713,SF,Vince,Carter,11.1,66,3500,CLE@MEM,MEM,CLE,,,"Carter, Vince",3500.0,SF,1.48377103315,0.23265558944,3.80672012207,0.70106709322,0.460008765924,1.89212509961,0.737707174917,0.648394438761,2.35213386554,2.30542303302,1.23032563973,6.74209170879,0.558399966884,18.4285714286,6.39957167265,13.2675118741,1.76098408991e-10,12.740119951,13.7971589247,12.8577988855,13.3552827708,12.8415833244,13.932507604,12.9566243783,13.4367302202,13.333023677,8.42857142857,23.4285714286,4.87636142355,16.6719992147,5.33555057047,18.028520167,4.93598515562,16.8192628155,5.13801664116,17.4639158357,5.1261575099,17.3389317788,,,40.0,,0.4,0.5,0.6,0.2,0.1,0.15,-0.10146337347,-0.135348679302,-0.0988254928356,-0.0814474493774,-0.065511802874,-
1717,PF,Dirk,Nowitzki,28.0,77,6200,DAL@PHX,DAL,PHX,,,"Nowitzki, Dirk",6200.0,PF,1.72521562246,0.412808284224,3.74304022845,3.6613765071,0.703689361617,5.74921835076,0.544234777781,1.21402383067,6.45290771238,6.79893533048,1.68099592766,14.0029595343,3.27293052755,30.6428571429,18.5517971162,30.5234285666,1.54403999629e-06,29.583172098,31.5241202682,30.0766103891,30.4236700619,29.1554143392,30.8520280001,29.5925124634,29.8564951745,29.5595313217,20.6428571429,35.6428571429,20.1155420517,34.3169871212,21.3052341587,36.7102089665,20.3555709709,35.0137757417,20.6664646703,35.3022727577,20.5837838051,35.5954305728,,,40.0,,0.0,0.1,0.25,0.2,0.2,0.15,0.427757758812,0.672092268123,0.48409792567,0.567174887419,0.963897244874,-
1718,SF,Paul,Pierce,20.3,73,4400,LAC@SAC,LAC,SAC,,,"Pierce, Paul",4400.0,SF,1.63216187025,0.309562318909,4.28403602316,2.24172203654,0.547258864111,2.52778200099,0.652498621364,1.00573779584,3.0750408651,3.62418039624,1.69073903411,8.18511803194,1.69386353997,22.2142857143,10.6329633665,18.7614969432,7.13921062886e-09,17.6896392947,19.1929022934,17.8446638784,18.5350088118,17.3799282193,18.7886397213,17.5544499663,18.0579648959,18.2792014943,12.2142857143,27.2142857143,9.42611642066,21.8214007318,10.1545857656,23.7162780118,9.5148024796,22.0138120323,9.83249220207,22.8862671167,9.87965990369,23.2080384128,,,40.0,,0.6,0.6,0.35,0.2,0.1,0.35,0.30971107545,0.40426257211,0.290213912144,0.477043915948,0.482295448941,-
1889,PG,Andre,Miller,11.6,81,3500,MIN@LAL,MIN,LAL,,,"Miller, Andre",3500.0,PG,4.90697357045,0.0974280758312,0.355888298243,1.47734653523,0.570849223412,1.69082537739,0.596544112205,1.55730184917,2.26167460081,2.44605146944,0.115706846438,4.48671205792,1.02930822194,20.0714285714,6.03711800726,16.340048767,7.86239527032e-07,15.9422304108,16.9012333535,16.0647290056,16.000083834,15.0881004135,16.089613685,15.2164736237,15.1504726359,15.4863755738,10.0714285714,25.0714285714,7.10821211374,20.3592395593,7.62503602783,21.5858066514,7.1614189462,20.5628586705,7.13143112219,20.4344101899,7.36573902485,20.8891102222,,,40.0,,0.2,0.5,0.35,0.4,0.3,0.4,0.854129997266,0.81161966841,0.848255381976,0.849611198109,0.853673193215,-
1891,PG,Jason,Terry,13.0,77,3500,DEN@HOU,HOU,DEN,,,"Terry, Jason",3500.0,PG,2.41046573939,0.333405223116,5.44351709943,0.590090724601,0.277804409965,1.82480711178,0.832160854117,1.2887944495,2.10261152175,3.17678174769,2.09665709183,7.286177127,0.409991884102,25.0,8.86021247131,17.8154682646,7.18780339408e-09,16.0413826115,17.8394447055,16.1467189349,17.0897111574,15.0702418767,16.6747857079,15.1616356967,16.0162122546,16.5922994349,15.0,30.0,9.58216815522,19.2709898396,10.7444649384,21.3876446849,9.64818483195,19.3966960821,10.2370347088,20.5160493817,10.7659495856,21.3411741445,,,40.0,,0.2,0.3,0.6,0.2,0.3,0.2,0.971140734778,1.16465899767,0.985083238142,1.0734989028,1.22316882966,-
1938,SG,Manu,Ginobili,20.7,70,4100,SAS@OKC,SAS,OKC,,,"Ginobili, Manu",4100.0,SG,3.99478691287,0.198105080006,3.24611889575,2.58559130094,0.357995171238,2.29468007338,0.780877721982,1.90065224647,2.65267524461,2.82159594025,1.05433340265,6.91809738701,1.93839501734,19.2857142857,8.63592030048,18.8280745973,1.67764460907e-06,17.8686243208,19.4848144898,18.0073216652,18.3957910222,17.7494598672,19.3487798047,17.8803734764,18.2908858536,18.7008849274,9.28571428571,24.2857142857,7.96735796654,22.819257498,8.7275565234,24.8931773322,8.03130971454,23.0250614998,8.18743779903,23.4999676337,8.41225139059,24.0755211493,,,40.0,,0.2,0.2,0.2,0.2,0.3,0.3,0.119164453591,0.136034685121,0.126948188861,0.104905168592,0.127189669876,-
2037,SG,Jamal,Crawford,22.7,64,5200,LAC@SAC,LAC,SAC,,,"Crawford, Jamal",5200.0,SG,2.45545244997,0.150992700219,5.75174182734,3.91197510327,0.213752415929,1.23163970015,0.915027914981,1.31726539127,1.44539211608,5.30403637989,1.82121689566,12.8873545989,3.45091791568,23.2857142857,15.8802075711,22.6541010875,6.60855772311e-10,22.1126326245,23.7544757129,22.1852345695,23.0232410723,19.8093971839,21.3514592421,19.8943155441,20.6279400745,20.3605375777,13.2857142857,28.2857142857,11.4190150885,27.4594413925,12.2842125463,29.4907453373,11.450524005,27.5537278928,11.8689960934,28.6003635618,11.6163218883,28.1745080237,,,40.0,,0.8,0.4,0.3,0.0,0.2,0.4,2.30323544064,2.40301647081,2.29091902534,2.39530099786,2.29356350976,-
2199,C,Tyson,Chandler,27.9,75,6200,DAL@PHX,PHX,DAL,,,"Chandler, Tyson",6200.0,C,0.981907475947,0.931161199119,0.014017476713,3.22462108873,4.08834400452,7.86731198407,0.501957481317,1.49367531252,11.9556559886,3.65162278572,0.01952216,5.52960184616,2.49399238215,28.2142857143,9.8167601136,28.621014094,6.86911688772e-08,27.0089705622,29.0383918443,28.2817931081,27.0187316422,25.6357553671,27.3195730932,26.6748700224,25.6357553671,26.8066511128,18.2142857143,33.2142857143,17.4612617731,31.7828249567,18.4580043823,34.3428828178,17.9346588384,33.4696574854,17.4710228531,31.7925860367,18.0462891602,33.9274388032,,,40.0,,0.2,0.2,0.35,0.6,0.3,0.2,1.37321519503,1.71881875114,1.60692308566,1.38297627503,1.81436298127,-
2200,PF,Pau,Gasol,18.4,1,7900,CHI@BKN,CHI,BKN,,,"Gasol, Pau",7900.0,PF,2.31236025666,2.62280647619,0.494227494446,3.77633735622,2.58309477686,7.85460430451,0.537026390338,1.5624639308,10.4376990814,6.83750481752,0.0992640683373,13.7503701552,2.85199320445,33.7142857143,16.6262669078,37.9415547897,0.000309041864693,37.3772479927,39.5713816453,38.7405176457,37.4268800269,35.1456430839,37.2717118212,36.3714803928,35.2067323396,35.5844081858,23.7142857143,38.7142857143,26.156853252,42.9874453631,27.3550199332,45.6438386286,26.7201516504,44.7149767706,26.1924000376,43.0441200215,26.026803709,43.8498794944,,,40.0,,0.2,0.2,0.1,0.4,0.2,0.3,2.23160490884,2.29966982407,2.36903725297,2.22014768728,2.35714660388,-
2207,SG,Joe,Johnson,25.8,80,6800,CHI@BKN,BKN,CHI,,,"Johnson, Joe",6800.0,SG,2.8928729714,0.226029602473,3.68080783371,2.12885431475,0.582897885349,3.89943740294,0.745847925838,1.54858775199,4.48233528829,5.63778344788,1.27044268805,12.9699891641,1.72131885071,34.0,14.2673284345,24.7444758348,1.19998518494e-05,24.3806075422,26.0367202208,24.6272050008,25.0158288862,25.1364439996,26.9867056504,25.3977102824,25.8920850869,25.8749101281,24.0,39.0,17.2520553142,27.9448836562,18.353479368,29.9016018585,17.4085714539,28.2597829855,17.6926420673,28.6774222957,17.4449013218,28.425157067,,,40.0,,0.4,0.4,0.5,0.4,0.2,0.3,-0.755836457369,-0.949985429565,-0.770505281578,-0.876256200693,-1.13043429328,-
2210,SF,Richard,Jefferson,12.5,1,3500,CLE@MEM,CLE,MEM,,,"Jefferson, Richard",3500.0,SF,1.00052129256,0.272284754843,3.48273348466,1.93398739607,0.354217497205,2.90332657631,0.725695033965,1.05346315899,3.25754407352,3.1766430168,1.61295375041,6.81820189552,1.31380605314,25.2857142857,9.28004583714,16.8716225699,1.24677543182e-10,15.6323770828,17.1300512481,15.7968427934,16.438853958,15.9733466989,17.4310436683,16.1378460001,16.7186752051,17.0747487977,15.2857142857,30.2857142857,9.15990921504,18.8686110167,10.0989049594,20.6509313021,9.25260278738,19.0742697061,9.65177265231,19.8323946109,9.9275322411,20.3507436055,,,40.0,,0.4,0.6,0.6,0.4,0.3,0.3,-0.340969616032,-0.300992420194,-0.34100320673,-0.279821247122,-0.203126227723,-
2216,PF,Zach,Randolph,32.1,71,7200,CLE@MEM,MEM,CLE,,,"Randolph, Zach",7200.0,PF,2.07100048891,0.211376375092,0.289083933276,3.17944575732,2.70663442469,6.42514449107,1.09651243187,1.3443567933,9.13177891576,7.0721116467,0.0369045386027,13.6336890164,2.60127517503,32.0714285714,16.782403007,32.3098470576,2.51716107646e-05,32.1184592599,33.8737063076,33.1830756416,32.1369115292,31.668075726,34.1292532616,32.9974151851,31.7144444971,32.5237567524,22.0714285714,37.0714285714,21.6303249076,37.3625264361,22.5713147466,39.5614902073,22.0590763448,38.7816634093,21.630971606,37.3898814908,21.3482612218,37.8392683939,,,40.0,,0.2,0.3,0.25,0.4,0.2,0.2,0.450383533942,-0.255546953984,0.185660456569,0.422467032177,-0.213909694756,-
2225,PG,Tony,Parker,23.2,68,5500,SAS@OKC,SAS,OKC,,,"Parker, Tony",5500.0,PG,4.43149486701,0.032945624317,1.44338080441,2.22795360751,0.1408279265,1.82370865146,0.512083486132,1.61576913273,1.96453657796,5.30624402564,0.55597039996,10.8726812611,1.76678530404,25.7857142857,12.9352437553,21.394471585,5.01789567935e-07,21.4142190375,22.6171204882,21.5312507219,21.6922042375,21.0497252355,22.3619605517,21.1556882123,21.2931141844,21.0765449267,15.7857142857,30.7857142857,13.0366258562,25.6030156282,13.8099928365,27.0530114219,13.1085771618,25.7749146097,13.2141158529,25.9312484298,13.0194891791,25.6250580676,,,40.0,,0.6,0.6,0.4,0.4,0.3,0.35,0.364493802046,0.255159936498,0.375562509579,0.399090053053,0.317926658335,-
2365,C,Chris,Andersen,14.6,60,3500,CHA@MIA,MIA,CHA,,,"Andersen, Chris",3500.0,C,0.477192022409,0.850466977301,0.191818159897,1.1990703491,0.843952214173,2.61871300944,0.206108036766,0.40157346445,3.46266522361,1.38667717169,0.0382499215565,2.29878799952,0.794660999818,13.2857142857,3.60626526476,10.2721367825,3.40723363137e-12,10.1888281304,10.5820746706,10.3621629776,10.2079530912,10.4183438557,10.8544483226,10.5949821604,10.4406518964,10.5102640906,3.28571428571,18.2857142857,2.46140525801,14.4863301042,2.55745258703,15.0523950603,2.50755180435,14.7474779122,2.46466104884,14.51338965,2.47910670859,14.6287092294,,,40.0,,0.4,0.3,0.45,0.2,0.2,0.2,-0.229515725268,-0.272373652008,-0.232819182767,-0.232698805277,-0.238127308162,-
