LCF,Corr,Mean,Std
"Mickey, Jordan",1.0,0.899403433012,0.842173909868
"Caboclo, Bruno",1.0,1.20546636808,0.230891754911
"Felicio, Cristiano",1.0,0.953914440454,0.598208133254
"Whittington, Shayne",1.0,0.136627779097,0.376053832892
"Adams, Jordan",1.0,-0.264437026166,0.375470745502
"Mejri, Salah",0.855636426696,6.29791150939,10.0930876086
"Cotton, Bryce",0.842888001697,0.169673462763,0.127876633663
"Wright, Brandan",0.81037069663,0.145555287411,1.17229761078
"Kaman, Chris",0.806770701111,-0.230081833091,0.594414445495
"Jefferson, Cory",0.781582330301,-1.21017853552,1.72911837203
"Pekovic, Nikola",0.778664897987,0.847195263574,0.642430348083
"Kaun, Sasha",0.76523876233,0.327485284308,0.54468328479
"Evans, Jeremy",0.721678272764,0.103341131951,0.460400250367
"Andersen, Chris",0.709388612596,0.302064256391,0.356566472665
"Motiejunas, Donatas",0.675695578314,0.393150081253,0.44932084575
"Johnson, Stanley",0.590138768692,0.334141052887,0.703924701228
"Acy, Quincy",0.586825946281,0.688004461049,1.54004906172
"Landry, Carl",0.567559846741,0.282392610443,0.553767164131
"Seraphin, Kevin",0.562744003644,0.993214447553,1.26192384116
"Wood, Christian",0.544871640732,-0.0772865689427,0.842849621059
"Blair, DeJuan",0.534565811248,0.469222224407,0.980970314673
"Gordon, Eric",0.529388096653,0.614269037585,1.07496915805
"Afflalo, Arron",0.522258791228,0.421680246455,0.975750495433
"Nurkic, Jusuf",0.519925731014,0.442952073044,1.31029124655
"Dinwiddie, Spencer",0.515150033074,0.256679372228,0.917635302107
"Mack, Shelvin",0.495297579117,0.517721600596,0.618992496713
"Udrih, Beno",0.477223880842,0.363064263997,1.1946930712
"Black, Tarik",0.469446379571,0.585564247373,0.752778086608
"Calderon, Jose",0.457746445248,0.0737685268813,0.909364900137
"Len, Alex",0.450233139093,0.405732974024,1.0904240069
"Nicholson, Andrew",0.450022245652,0.192671664128,0.771946655341
"Hibbert, Roy",0.448321765522,0.217343395051,1.18734323101
"Allen, Tony",0.446126222758,0.10417836054,1.10903016398
"Collison, Nick",0.434033919614,0.410680991822,1.11649283911
"Monroe, Greg",0.423828863357,0.480989186835,1.57333972798
"Hunter, RJ",0.41287665815,0.265725015731,0.801618883897
"Joseph, Cory",0.410739525443,0.160793453868,1.05742444006
"Evans, Tyreke",0.408974334539,0.528112316802,1.3215910988
"Shumpert, Iman",0.408821206078,0.483998519184,0.671861468105
"Green, Jeff",0.395678740129,0.322830789429,0.833208176816
"Smart, Marcus",0.395099031625,0.302992927386,0.724560654425
"Douglas, Toney",0.390137129545,0.162660210005,0.741196505339
"Scola, Luis",0.384564770783,0.235480701402,0.76528868231
"Capela, Clint",0.376838148069,0.218412329724,1.10381074945
"Budinger, Chase",0.373907222369,0.387064665459,0.667032835465
"Bass, Brandon",0.371538050408,0.382661373062,1.21234393043
"Marjanovic, Boban",0.370921810912,1.09459457953,1.37414945872
"Ariza, Trevor",0.3679523061,0.147682870681,0.977671785114
"Barnes, Harrison",0.367898365206,0.408882563878,0.882078803156
"Jefferson, Al",0.367891464665,0.187230751651,1.18918894088
"McLemore, Ben",0.365679538401,0.486824853365,0.682179042831
"Rozier, Terry",0.357367911459,0.233415346119,1.70557076357
"Plumlee, Miles",0.352101711584,0.314015848002,0.813714015035
"Johnson, Wesley",0.350488707027,0.165863194263,0.808832689547
"Thomas, Lance",0.345689301329,0.263978407852,0.745442190414
"Withey, Jeff",0.343527868317,0.474264254774,1.49104657385
"Faried, Kenneth",0.342433036862,-0.210668209331,1.0027352442
"Iguodala, Andre",0.340128901955,0.339873161723,0.924675313901
"Hayward, Gordon",0.33486727511,0.739615202256,1.23602350896
"McCollum, CJ",0.333175339278,0.611116125658,1.61231501964
"Hawes, Spencer",0.332536029685,0.289379487169,0.851344732366
"Deng, Luol",0.331755266729,0.275168000256,0.704345113542
"Gasol, Pau",0.329160266256,0.295104738753,1.75835559506
"McAdoo, James Michael",0.328266495313,0.452195063623,1.31928175677
"Zeller, Tyler",0.325716996274,0.628007704737,1.00989056354
