Player_ID,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_FA,PROJ_FF,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_UNADJ_FA,PROJ_UNADJ_FF,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_FLOOR_FA,PROJ_CEIL_FA,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20
2588,0.347341653192,0.0548919664327,1.01099596202,0.196962190805,0.207951333238,0.870384691902,0.131198760125,0.0816505020068,1.07833602514,0.914764279127,0.482270806184,1.97283834423,0.158651860243,6.92857142857,2.47045122468,4.87891465604,2.7660971791e-20,4.57599788574,4.91187534917,4.62991469507,4.81713328884,4.629914687,4.629914687,4.63181303416,4.98894346579,4.68451188562,4.8875506918,4.99117493172,4.68451187852,4.68451187852,0.0,12.0,0.0,7.92543963716,0.0,8.50716986212,0.0,8.01882563647,0.0,8.34307621159,0.0,8.45008473712,0.0,8.01882131357,1.05355266196,0.0803497684844,6.09378364682,4.91328484472,1.0,1.0,0.9,0.0,0.0,0.0
2590,1.5583912024,0.0611343319114,1.30373824665,0.69404950001,0.0832815771152,0.786572335781,0.153351840816,0.659684625072,0.869853912896,1.81565026065,0.43168014758,3.9694896938,0.60930792684,9.35714285714,4.67228859572,8.06835909837,2.1311815633e-14,7.82298781518,8.41216393141,7.86648154508,8.03882788897,7.86648051082,7.86648051082,7.12172240433,7.74965277595,7.16565476724,7.33302567436,7.40262019437,7.16565445537,7.16565445537,5.0,36.0,4.18022249666,30.097601976,4.4950488769,32.4874767901,4.20346286894,30.3880575328,4.29555688723,30.9280095881,4.31133618666,31.2054022612,4.20346286838,30.2649326523,0.857785561865,0.0330374020706,10.9948803976,11.4512507115,1.0,1.0,0.75,0.0,0.0,0.0
2592,0.319450297945,0.163829322106,1.79040928404,0.472685245443,0.135860795384,0.652149259182,0.154130448996,0.155285589848,0.788010054566,0.902499898116,0.679286825432,2.2708404927,0.379007352189,7.71428571429,2.86329397385,5.19954094079,1.20790852789e-21,4.76871543861,5.22540214977,4.80811594213,5.10835885132,4.80811594134,4.80811594134,4.50097734069,4.95887994337,4.54064710632,4.82598203186,4.90678648727,4.54064710558,4.54064710558,2.0,17.0,1.23633363223,10.508835874,1.35473389048,11.5152439691,1.24654857738,10.5956688078,1.32438933182,11.2573093205,1.34802913252,11.4582554932,1.24654857738,10.5956629078,0.492485533118,-1.00130667271,5.52454757324,5.18861937142,1.0,1.0,0.9,0.0,0.0,0.0
2594,2.16184204523,0.536711689206,4.86289053033,0.775988320205,0.179947279624,2.8235026396,0.753974903438,1.34071912176,3.00344991922,3.37134817585,2.29748484017,7.23252953491,0.646454756618,28.7857142857,9.68663594849,19.8958735435,5.45149712289e-08,17.7741929829,19.7444743373,17.9253723563,18.922935403,17.9243654789,17.9243654789,17.189348601,18.9673053432,17.3533412009,18.1461421751,18.8574471341,17.3518045364,17.3518045364,24.0,35.0,14.8191782686,21.6113016418,16.4612477995,24.0108120428,14.9445771653,21.7990007012,15.7769386983,23.0080356017,16.5872610253,24.1961873482,14.9443841214,21.7938935103,0.674453530818,1.77368581808,4.5750108726,7.51146418018,0.4,0.3,0.3,0.4,0.4,0.45
2743,0.763865368283,0.399198260376,2.00241006174,1.34489394466,1.25016517278,3.54587397697,0.22135034814,0.672020245823,4.79603914975,2.53315452518,0.661180289332,6.09090477082,1.09819638886,18.0714285714,6.82568572855,14.5968387127,7.08012578392e-11,14.2958077319,15.2135728782,14.5469726106,14.6263978766,14.5356096894,14.5356096894,14.8403135407,15.7888222217,15.1049495546,15.148046537,15.0986464169,15.0898607286,15.0898607286,10.0,26.0,7.9107236461,20.5678814799,8.41233306905,22.0111449077,8.04346335576,21.0520836532,8.09365890402,21.0435131505,8.06897564362,21.1647751956,8.04342038147,20.9128929918,1.08561814927,2.28915489361,6.1261253468,8.48012704043,0.6,0.5,0.5,0.2,0.2,0.25
2747,1.8369092516,0.374971826669,6.68683560055,1.04964332664,0.670535160985,2.36324321513,1.05565502791,0.687954400531,3.03377837612,4.92427818561,2.73955933505,11.4551378096,0.680821850002,31.1428571429,13.2689375563,23.3503520646,2.17259243386e-08,21.8381347936,23.7050146819,21.9912578141,23.2079144612,21.9898237124,21.9898237124,20.6753635719,22.5515936406,20.8278275985,21.9861053709,22.0814019744,20.8265049912,20.8265049912,21.0,39.0,14.7257147462,27.3477559572,15.9836494474,29.6918712128,14.8280427522,27.5457444931,15.6493735128,29.0631222381,15.7441880197,29.2498058837,14.8280003933,27.537715016,-0.234015188777,-0.0470405055544,7.37767970316,8.08119954524,0.2,0.2,0.3,0.2,0.2,0.4
2749,5.00452740698,0.123739876268,4.16672477166,0.991555515301,0.623235593976,2.50461896536,0.773086208061,1.96779846236,3.12785455933,3.33436347374,1.32237190431,9.02416693938,0.82713988567,27.7857142857,8.81823873747,20.9363290026,2.3431580071e-05,19.9043090254,21.7305052497,20.0854200664,20.5654949776,20.0607017534,20.0607017534,19.5990242337,21.3146060002,19.7776287672,20.2203761999,20.5823028947,19.751420736,19.751420736,18.0,38.0,12.8943081604,27.2213172276,14.06195813,29.8728258983,12.9962474199,27.6229921771,13.3226342785,28.1255612547,13.5423801747,28.8352796423,12.9956217014,27.4352013697,0.532481612861,-0.27871488767,7.31592506808,8.84682719122,0.4,0.3,0.25,0.0,0.3,0.35
101112,0.63049841134,0.266800176571,1.96084779539,0.328541011817,0.258715994479,1.90818448144,0.259232041658,0.351843652499,2.16690047592,1.23359327603,0.774516645736,2.76709047407,0.281669027756,11.0,3.52337222556,8.43332486893,9.63426903849e-15,7.76962119763,8.44115572382,7.8779755747,8.15687952049,7.87796622142,7.87796622142,7.66403867842,8.36529546679,7.76832875505,8.04825419879,8.33302298076,7.7683221715,7.7683221715,9.0,24.0,6.35696279806,16.9519007948,6.90639353354,18.4305650951,6.44560977517,17.2018084062,6.67381051677,17.7968280447,6.89998426907,18.4179789126,6.44560872662,17.1882899376,0.658687473302,-0.216250830985,6.07934464992,6.93291439157,1.0,0.9,0.7,0.0,0.1,0.1
101138,1.21800444011,0.781188601746,0.0674539188485,2.25028078013,1.68783401055,2.84196683774,0.637591938908,0.549090958361,4.52980084828,3.26366466584,0.0146160110692,5.94041463859,1.84496013302,23.5714285714,8.38690547578,17.6994818809,5.43756992407e-09,17.9381432768,18.4586403569,18.1767868722,17.9454512824,18.1646333192,18.1646333192,18.7340937691,19.4027158906,19.0053853759,18.7405394953,18.6163046377,18.9836103995,18.9836103995,11.0,29.0,8.37113352919,22.0693520315,8.60836668381,22.7501129115,8.47683505761,22.4033477151,8.37454393177,22.0783430929,8.25220423918,21.8295815601,8.47682888232,22.348003417,0.724632730685,0.980325656326,6.90932137077,7.08778601019,0.2,0.2,0.3,0.4,0.4,0.25
101150,2.18875947322,0.277644070606,4.11575459784,4.76779572469,0.330388136201,2.02690345599,0.898912012188,1.32211791476,2.35729159219,3.82060062673,1.37683776335,9.25951713642,4.01751642956,25.6428571429,13.0355554464,20.7873402585,1.36891078128e-08,20.1784388177,21.6461105756,20.2966327365,20.8668576993,20.2963033973,20.2963033973,20.4290341411,21.9632433083,20.5437489121,21.1446060128,21.044608194,20.543447979,20.543447979,22.0,36.0,17.3118639438,28.3285046354,18.5708355326,30.3936334546,17.4130662445,28.4991018922,17.9024851571,29.2949757116,17.8339963024,29.1895553771,17.4129845302,28.4939746859,0.47884109934,0.589346513849,5.62696493878,9.5344473689,0.4,0.3,0.15,0.4,0.3,0.35
