Date,Slate,Games,Site
2016-02-27,main,MIN@NOP/POR@CHI/POR@CHI/SAS@HOU/GSW@OKC/DET@MIL/MEM@PHX/BKN@UTA,DK
2016-02-27,main,MIN@NOP/POR@CHI/POR@CHI/SAS@HOU/GSW@OKC/DET@MIL/MEM@PHX/BKN@UTA,DD
2016-02-27,main,MIN@NOP/POR@CHI/POR@CHI/SAS@HOU/GSW@OKC/DET@MIL/MEM@PHX/BKN@UTA,YH
2016-02-27,main,MIA@BOS/MIN@NOP/POR@CHI/POR@CHI/SAS@HOU/GSW@OKC/DET@MIL/MEM@PHX/BKN@UTA,DP
2016-02-27,allday,MIA@BOS/MIN@NOP/POR@CHI/POR@CHI/SAS@HOU/GSW@OKC/DET@MIL/MEM@PHX/BKN@UTA,DK
2016-02-27,allday,MIA@BOS/MIN@NOP/POR@CHI/POR@CHI/SAS@HOU/GSW@OKC/DET@MIL/MEM@PHX/BKN@UTA,FD
2016-02-29,main,IND@CLE/PHI@WAS/UTA@BOS/HOU@MIL/MEM@DEN/OKC@SAC/BKN@LAC,FD
2016-02-29,main,IND@CLE/PHI@WAS/UTA@BOS/HOU@MIL/MEM@DEN/OKC@SAC/BKN@LAC,DK
2016-02-29,main,IND@CLE/PHI@WAS/UTA@BOS/HOU@MIL/MEM@DEN/OKC@SAC/BKN@LAC,DD
2016-02-29,main,IND@CLE/PHI@WAS/UTA@BOS/HOU@MIL/MEM@DEN/OKC@SAC/BKN@LAC,DP
2016-02-29,main,IND@CLE/PHI@WAS/UTA@BOS/HOU@MIL/MEM@DEN/OKC@SAC/BKN@LAC,FA
2016-02-29,main,IND@CLE/PHI@WAS/UTA@BOS/HOU@MIL/MEM@DEN/OKC@SAC/BKN@LAC,YH
2016-03-09,main,HOU@PHI/NOP@CHA/MEM@BOS/MIA@MIL/DET@DAL/NYK@PHX/LAC@OKC/CLE@SAC/UTA@GSW,FD
2016-03-09,main,HOU@PHI/NOP@CHA/MEM@BOS/MIA@MIL/DET@DAL/NYK@PHX/LAC@OKC/CLE@SAC/UTA@GSW,DK
2016-03-09,main,HOU@PHI/NOP@CHA/MEM@BOS/MIA@MIL/DET@DAL/NYK@PHX/LAC@OKC/CLE@SAC/UTA@GSW,FA
2016-03-09,main,HOU@PHI/NOP@CHA/MEM@BOS/MIA@MIL/DET@DAL/NYK@PHX/LAC@OKC/CLE@SAC/UTA@GSW,DD
2016-03-09,main,HOU@PHI/NOP@CHA/MEM@BOS/MIA@MIL/DET@DAL/NYK@PHX/LAC@OKC/CLE@SAC/UTA@GSW,DP
2016-03-09,main,HOU@PHI/NOP@CHA/MEM@BOS/MIA@MIL/DET@DAL/NYK@PHX/LAC@OKC/CLE@SAC/UTA@GSW,YH
2016-03-10,main,ATL@TOR/CHI@SA/CLE@LAL/PHX@DEN,FD
2016-03-10,main,ATL@TOR/CHI@SA/CLE@LAL/PHX@DEN,DK
2016-03-10,main,ATL@TOR/CHI@SA/CLE@LAL/PHX@DEN,YH
2016-03-10,main,ATL@TOR/CHI@SA/CLE@LAL/PHX@DEN,DP
2016-03-10,main,ATL@TOR/CHI@SA/CLE@LAL/PHX@DEN,DD
2016-03-10,main,ATL@TOR/CHI@SA/CLE@LAL/PHX@DEN,FA
2016-03-10,main,ATL@TOR/CHI@SA/CLE@LAL/PHX@DEN,FF
