Player ID,First Name,Last Name,Position,Dppg,Team,Jersey Number
5f3bd1f4-072b-4f32-9787-37670954cf3b,Matt,Janning,pg,5,DEN,12
60aa236a-d9ea-46c2-ae65-fabc54f1bed6,Timofey,Mozgov,c,14.93,CLE,20
62ae945c-5c43-4063-84b3-4a83b2fa4843,Lucas,Nogueira,c,5,TOR,92
62bc2f36-5cb9-449d-a5c4-b9f0f7863a37,Ronald,Roberts,pf,5,TOR,13
66156be8-6202-40bd-bdc2-014a46bee28f,Doug,McDermott,sf,19.3,CHI,3
664afb4f-3fc1-4e25-bcb8-bab2c0c3c33b,DeMarre,Carroll,sf,21.58,TOR,5
664f0884-717b-4f4a-a1a6-79f08acb41bd,Bruno,Caboclo,sf,5,TOR,20
68b7aac9-02fd-4bd8-b10c-6702d2c5eb98,Bobby,Portis,pf,21.88,CHI,5
6b5d0264-fa2d-4956-919b-61abfc6bb8d7,Gary,Harris,sg,24.75,DEN,14
6ee485e1-534f-4d07-9492-c30b1ae9d607,Kenneth,Faried,pf,31.6,DEN,35
729ccfed-806e-4194-9957-009dddc8028c,Nick,Minnerath,sf,5,CLE,41
7535bdf4-58e6-44dd-a060-c57ce395fa2e,Jabari,Brown,sg,20.73,LAL,15
75df82d5-1156-42e1-877c-5964562d7e69,Edgar,Sosa,pg,5,ATL,6
767837db-62fa-4fc6-b118-1d56a8b23415,Kevin,Martin,sg,10.48,SAS,23
776dc759-cd97-49ac-aa4d-acc99eb9620d,Metta,World Peace,sf,8.75,LAL,37
7a3749f6-b03a-49eb-9e1d-07b897bd0b2d,JaKarr,Sampson,sf,7.23,DEN,9
7a76d222-962a-4776-90e4-8683af6477bb,DeJuan,Blair,c,5.3,PHX,45
7c636961-816a-4b44-8991-671df9d91d9c,Mike,Muscala,c,9.1,ATL,31
7d615ccd-db96-42a3-9a6c-7f18ea25634e,Kevin,Love,pf,29.83,CLE,0
7f9a1243-6571-40cb-b80b-882cde378c70,Cory,Jefferson,pf,5.05,PHX,55
85e1279a-77c4-49a7-bfa0-7699e64b581f,Will,Barton,sg,24.78,DEN,5
8c090758-6baa-468d-82fd-d47e17d5091b,Kyle,Lowry,pg,43.83,TOR,7
8c81dcdb-fec1-4186-98ce-310f9f55bb0a,Tiago,Splitter,c,11.58,ATL,11
8cee3c73-f765-4000-882d-0c6d0b8acbe3,Eric,Bledsoe,pg,31.3,PHX,2
8da88be3-bc4a-406a-9e16-147bdac064eb,Matt,Bonner,c,5,SAS,15
