First Name,Last Name,Team,VS,Pos,FPPG,Sal
Paul,Millsap,ATL,MIL @ ATL,PF,36.19,5850
Jeff,Teague,ATL,MIL @ ATL,PG,26.34,4950
Dennis,Schroder,ATL,MIL @ ATL,PG,20.31,4100
Kyle,Korver,ATL,MIL @ ATL,SG,18.08,4200
Al,Horford,ATL,MIL @ ATL,C,30.37,5300
Mike,Scott,ATL,MIL @ ATL,PF,12.90,3500
Tim,Hardaway Jr.,ATL,MIL @ ATL,SG,8.21,3500
Michael,Carter-Williams,MIL,MIL @ ATL,PG,28.37,4700
Kirk,Hinrich,ATL,MIL @ ATL,PG,7.21,3300
Chris,Copeland,MIL,MIL @ ATL,SF,1.80,3000
Greg,Monroe,MIL,MIL @ ATL,C,33.08,5250
O.J.,Mayo,MIL,MIL @ ATL,SG,17.19,3600
Khris,Middleton,MIL,MIL @ ATL,SG,31.15,5200
Giannis,Antetokounmpo,MIL,MIL @ ATL,SF,31.40,5200
John,Henson,MIL,MIL @ ATL,C,17.23,3650
Thabo,Sefolosha,ATL,MIL @ ATL,SF,16.92,3700
Jerryd,Bayless,MIL,MIL @ ATL,PG,18.45,3900
Tiago,Splitter,ATL,MIL @ ATL,C,11.90,3500
Kent,Bazemore,ATL,MIL @ ATL,SF,23.30,4700
Miles,Plumlee,MIL,MIL @ ATL,C,9.78,3300
Greivis,Vasquez,MIL,MIL @ ATL,PG,11.38,3300
Mike,Muscala,ATL,MIL @ ATL,C,8.76,3000
Jabari,Parker,MIL,MIL @ ATL,PF,22.15,3900
Tyler,Ennis,MIL,MIL @ ATL,PG,4.09,3000
Walter,Tavares,ATL,MIL @ ATL,C,6.25,3000
Johnny,O'Bryant,MIL,MIL @ ATL,PF,7.19,3000
Lamar,Patterson,ATL,MIL @ ATL,SG,5.56,3000
Damien,Inglis,MIL,MIL @ ATL,SF,0.08,3000
Rashad,Vaughn,MIL,MIL @ ATL,SG,5.51,3000
John,Wall,WAS,WAS @ MIA,PG,42.99,6650
Otto,Porter,WAS,WAS @ MIA,SF,24.10,4400
Garrett,Temple,WAS,WAS @ MIA,SG,16.52,3800
Nene,Hilario,WAS,WAS @ MIA,PF,18.74,3950
Bradley,Beal,WAS,WAS @ MIA,SG,27.00,4700
Josh,McRoberts,MIA,WAS @ MIA,PF,12.17,3500
Ramon,Sessions,WAS,WAS @ MIA,PG,17.75,3750
Dwyane,Wade,MIA,WAS @ MIA,SG,31.71,5550
Udonis,Haslem,MIA,WAS @ MIA,PF,5.70,3000
Chris,Bosh,MIA,WAS @ MIA,PF,32.14,5500
Amar'e,Stoudemire,MIA,WAS @ MIA,C,13.84,3800
Beno,Udrih,MIA,WAS @ MIA,PG,10.21,3550
Alan,Anderson,WAS,WAS @ MIA,SG,29.75,3000
Luol,Deng,MIA,WAS @ MIA,SF,20.94,4150
Gary,Neal,WAS,WAS @ MIA,SG,15.19,3700
Brian,Roberts,MIA,WAS @ MIA,PG,9.42,3500
Jared,Dudley,WAS,WAS @ MIA,PF,19.35,3900
Gerald,Green,MIA,WAS @ MIA,SG,16.55,3850
Markieff,Morris,WAS,WAS @ MIA,PF,21.44,4750
Marcin,Gortat,WAS,WAS @ MIA,C,32.03,5200
Goran,Dragic,MIA,WAS @ MIA,PG,25.19,4800
Drew,Gooden,WAS,WAS @ MIA,PF,7.93,3300
Tyler,Johnson,MIA,WAS @ MIA,SG,16.59,3900
Jarell,Eddie,WAS,WAS @ MIA,SF,3.18,3000
Hassan,Whiteside,MIA,WAS @ MIA,C,31.28,5500
Kelly,Oubre,WAS,WAS @ MIA,SF,6.71,3000
Justise,Winslow,MIA,WAS @ MIA,SF,14.98,4000
Josh,Richardson,MIA,WAS @ MIA,SG,5.36,3000
Kevin,Seraphin,NYK,NYK @ MIN,C,9.04,3000
Arron,Afflalo,NYK,NYK @ MIN,SG,21.52,4400
Kyle,O'Quinn,NYK,NYK @ MIN,PF,10.74,3500
Carmelo,Anthony,NYK,NYK @ MIN,SF,37.74,6550
Kevin,Garnett,MIN,NYK @ MIN,PF,12.28,3700
Kevin,Martin,MIN,NYK @ MIN,SG,13.58,3800
Derrick,Williams,NYK,NYK @ MIN,PF,15.76,3800
Ricky,Rubio,MIN,NYK @ MIN,PG,29.71,5000
Shabazz,Muhammad,MIN,NYK @ MIN,SF,15.51,3950
Nikola,Pekovic,MIN,NYK @ MIN,C,8.15,3800
Gorgui,Dieng,MIN,NYK @ MIN,C,25.31,5300
Robin,Lopez,NYK,NYK @ MIN,C,21.02,4400
Andre,Miller,MIN,NYK @ MIN,PG,5.63,3300
Tayshaun,Prince,MIN,NYK @ MIN,SF,8.52,3000
Lance,Thomas,NYK,NYK @ MIN,SF,13.53,3200
Jose,Calderon,NYK,NYK @ MIN,PG,19.13,4000
Lou,Amundson,NYK,NYK @ MIN,PF,4.74,3000
Sasha,Vujacic,NYK,NYK @ MIN,SG,7.68,3500
Adreian,Payne,MIN,NYK @ MIN,PF,6.33,3300
Andrew,Wiggins,MIN,NYK @ MIN,SF,29.07,4900
Zach,LaVine,MIN,NYK @ MIN,PG,20.34,4200
Cleanthony,Early,NYK,NYK @ MIN,SF,0.20,3300
Damjan,Rudez,MIN,NYK @ MIN,SF,4.30,3000
Langston,Galloway,NYK,NYK @ MIN,PG,16.92,4000
Kristaps,Porzingis,NYK,NYK @ MIN,PF,30.18,5150
Jerian,Grant,NYK,NYK @ MIN,PG,9.12,3500
Karl-Anthony,Towns,MIN,NYK @ MIN,C,35.53,5900
Tyus,Jones,MIN,NYK @ MIN,PG,9.36,3000
Nemanja,Bjelica,MIN,NYK @ MIN,PF,8.58,3300
Pablo,Prigioni,LAC,GSW @ LAC,PG,8.98,3000
Paul,Pierce,LAC,GSW @ LAC,SF,11.34,3700
Shaun,Livingston,GSW,GSW @ LAC,PG,15.31,3500
Jeff,Green,LAC,GSW @ LAC,SF,23.14,4500
Lance,Stephenson,LAC,GSW @ LAC,SF,9.69,3300
Brandon,Rush,GSW,GSW @ LAC,SG,11.14,3300
Austin,Rivers,LAC,GSW @ LAC,SG,12.79,3650
Festus,Ezeli,GSW,GSW @ LAC,C,16.91,3700
Andrew,Bogut,GSW,GSW @ LAC,C,19.70,4100
Klay,Thompson,GSW,GSW @ LAC,SG,30.52,5500
Draymond,Green,GSW,GSW @ LAC,PF,39.58,6600
Stephen,Curry,GSW,GSW @ LAC,PG,45.34,7500
Andre,Iguodala,GSW,GSW @ LAC,SF,18.99,4200
Harrison,Barnes,GSW,GSW @ LAC,SF,18.35,4300
Marreese,Speights,GSW,GSW @ LAC,C,12.24,3300
Wesley,Johnson,LAC,GSW @ LAC,SF,16.08,3800
DeAndre,Jordan,LAC,GSW @ LAC,C,36.27,6000
Jamal,Crawford,LAC,GSW @ LAC,SG,18.89,4450
