First Name,Last Name,Team,VS,Pos,FPPG,Sal
John,Wall,WAS,UTA @ WAS,PG,42.82,6650
Otto,Porter,WAS,UTA @ WAS,SF,24.21,4400
Trevor,Booker,UTA,UTA @ WAS,PF,17.43,3800
Garrett,Temple,WAS,UTA @ WAS,SG,16.70,3800
Nene,Hilario,WAS,UTA @ WAS,PF,18.51,3950
Bradley,Beal,WAS,UTA @ WAS,SG,27.21,4700
Ramon,Sessions,WAS,UTA @ WAS,PG,17.78,3750
Alan,Anderson,WAS,UTA @ WAS,SG,29.75,3000
Kris,Humphries,WAS,UTA @ WAS,PF,10.32,3500
Gary,Neal,WAS,UTA @ WAS,SG,15.19,3700
Rudy,Gobert,UTA,UTA @ WAS,C,30.76,5600
Trey,Burke,UTA,UTA @ WAS,PG,18.14,3800
Alec,Burks,UTA,UTA @ WAS,SG,20.00,3800
Gordon,Hayward,UTA,UTA @ WAS,SF,33.77,5450
Derrick,Favors,UTA,UTA @ WAS,PF,31.85,5150
Jeff,Withey,UTA,UTA @ WAS,C,13.87,3300
DeJuan,Blair,WAS,UTA @ WAS,C,5.33,3000
Jared,Dudley,WAS,UTA @ WAS,SG,19.18,3900
Marcin,Gortat,WAS,UTA @ WAS,C,31.58,5200
Chris,Johnson,UTA,UTA @ WAS,SF,8.64,3300
Drew,Gooden,WAS,UTA @ WAS,PF,8.63,3300
Dante,Exum,UTA,UTA @ WAS,PG,6.50,3000
Rodney,Hood,UTA,UTA @ WAS,SG,23.69,4800
Jarell,Eddie,WAS,UTA @ WAS,SF,3.67,3000
Joe,Ingles,UTA,UTA @ WAS,SF,7.95,3000
Kelly,Oubre,WAS,UTA @ WAS,SF,6.96,3000
Trey,Lyles,UTA,UTA @ WAS,PF,12.00,3300
Raulzinho,Neto,UTA,UTA @ WAS,PG,12.88,3700
Tibor,Pleiss,UTA,UTA @ WAS,C,4.69,3000
Jared,Cunningham,CLE,CHI @ CLE,SG,4.47,3000
James,Jones,CLE,CHI @ CLE,SF,6.07,3000
LeBron,James,CLE,CHI @ CLE,SF,44.44,7400
E'Twaun,Moore,CHI,CHI @ CLE,SG,12.21,4200
Iman,Shumpert,CLE,CHI @ CLE,SG,14.29,3500
J.R.,Smith,CLE,CHI @ CLE,SG,22.02,4600
Jimmy,Butler,CHI,CHI @ CLE,SG,38.63,6250
Tony,Snell,CHI,CHI @ CLE,SF,10.90,3500
Kirk,Hinrich,CHI,CHI @ CLE,PG,7.76,3300
Derrick,Rose,CHI,CHI @ CLE,PG,26.80,5300
Mike,Dunleavy,CHI,CHI @ CLE,SF,7.33,3700
Taj,Gibson,CHI,CHI @ CLE,PF,22.09,4600
Anderson,Varejao,CLE,CHI @ CLE,C,8.74,3500
Tristan,Thompson,CLE,CHI @ CLE,PF,21.64,4300
Kyrie,Irving,CLE,CHI @ CLE,PG,30.01,5550
Matthew,Dellavedova,CLE,CHI @ CLE,PG,18.54,3900
Kevin,Love,CLE,CHI @ CLE,PF,32.94,5800
Richard,Jefferson,CLE,CHI @ CLE,SF,8.89,3300
Mo,Williams,CLE,CHI @ CLE,PG,9.23,3600
Timofey,Mozgov,CLE,CHI @ CLE,C,12.01,3600
Aaron,Brooks,CHI,CHI @ CLE,PG,12.66,3500
Pau,Gasol,CHI,CHI @ CLE,C,40.65,6300
Doug,McDermott,CHI,CHI @ CLE,SF,11.66,3600
Cameron,Bairstow,CHI,CHI @ CLE,PF,5.33,3000
Nikola,Mirotic,CHI,CHI @ CLE,PF,21.02,4000
Bobby,Portis,CHI,CHI @ CLE,PF,14.86,3850
Cristiano,Felicio,CHI,CHI @ CLE,PF,1.29,3000
Sasha,Kaun,CLE,CHI @ CLE,C,2.36,3000
Pablo,Prigioni,LAC,SAS @ LAC,PG,8.98,3000
Paul,Pierce,LAC,SAS @ LAC,SF,11.21,3700
Lance,Stephenson,LAC,SAS @ LAC,SF,9.54,3300
David,West,SAS,SAS @ LAC,PF,16.50,3900
LaMarcus,Aldridge,SAS,SAS @ LAC,PF,31.22,5550
Austin,Rivers,LAC,SAS @ LAC,SG,13.07,3650
Tim,Duncan,SAS,SAS @ LAC,C,23.91,4750
Danny,Green,SAS,SAS @ LAC,SG,17.10,4150
Boris,Diaw,SAS,SAS @ LAC,PF,14.15,3500
Matt,Bonner,SAS,SAS @ LAC,C,4.63,3000
Manu,Ginobili,SAS,SAS @ LAC,SG,18.64,3700
Patty,Mills,SAS,SAS @ LAC,PG,15.35,3850
Tony,Parker,SAS,SAS @ LAC,PG,23.89,4500
Kawhi,Leonard,SAS,SAS @ LAC,SF,35.68,5500
Jeff,Ayres,LAC,SAS @ LAC,PF,3.25,3200
Wesley,Johnson,LAC,SAS @ LAC,SF,15.80,3800
DeAndre,Jordan,LAC,SAS @ LAC,C,35.82,5800
Jamal,Crawford,LAC,SAS @ LAC,SG,18.93,4450
Chris,Paul,LAC,SAS @ LAC,PG,41.56,6400
J.J.,Redick,LAC,SAS @ LAC,SG,21.02,4300
Luc,Mbah a Moute,LAC,SAS @ LAC,PF,7.97,3400
Ray,McCallum,SAS,SAS @ LAC,PG,7.25,3300
Cole,Aldrich,LAC,SAS @ LAC,C,15.09,3700
Rasual,Butler,SAS,SAS @ LAC,SF,5.38,3000
Kyle,Anderson,SAS,SAS @ LAC,SF,10.39,3300
C.J.,Wilcox,LAC,SAS @ LAC,SG,1.64,3000
Branden,Dawson,LAC,SAS @ LAC,SF,3.88,3000
Boban,Marjanovic,SAS,SAS @ LAC,C,12.95,3600
Jonathon,Simmons,SAS,SAS @ LAC,SG,9.64,3000
