Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Russell Westbrook,11300,Bkn@OKC 08:00PM ET,58.150,OKC
PF,Anthony Davis,10800,NO@Pho 09:00PM ET,46.386,NO
PF,DeMarcus Cousins,10600,Sac@Mil 08:00PM ET,50.600,Sac
SG,James Harden,10300,Mem@Hou 08:00PM ET,50.625,Hou
SF,LeBron James,10100,Cle@Tor 07:30PM ET,48.679,Cle
SF,Kevin Durant,9600,Bkn@OKC 08:00PM ET,46.333,OKC
C,Andre Drummond,9400,Mia@Det 07:30PM ET,47.768,Det
PG,Rajon Rondo,9300,Sac@Mil 08:00PM ET,42.667,Sac
PF,Blake Griffin,9300,Uta@LAC 10:30PM ET,44.125,LAC
PG,Chris Paul,8500,Uta@LAC 10:30PM ET,37.091,LAC
PG,Kyle Lowry,8500,Cle@Tor 07:30PM ET,41.917,Tor
SF,Carmelo Anthony,8400,NY@Orl 07:00PM ET,39.750,NY
SG,Eric Bledsoe,8400,NO@Pho 09:00PM ET,41.442,Pho
SF,Kawhi Leonard,8400,Dal@SA 08:30PM ET,41.038,SA
PF,Kevin Love,8300,Cle@Tor 07:30PM ET,41.357,Cle
PG,John Wall,8300,Was@Cha 07:00PM ET,38.205,Was
C,Hassan Whiteside,8300,Mia@Det 07:30PM ET,39.923,Mia
PF,Paul Millsap,8200,Atl@Min 08:00PM ET,41.672,Atl
PG,Brandon Knight,8200,NO@Pho 09:00PM ET,38.839,Pho
PF,Chris Bosh,7700,Mia@Det 07:30PM ET,37.077,Mia
PG,Isaiah Thomas,7700,Phi@Bos 07:30PM ET,34.946,Bos
C,Brook Lopez,7500,Bkn@OKC 08:00PM ET,36.768,Bkn
C,Dwight Howard,7400,Mem@Hou 08:00PM ET,37.944,Hou
PG,Reggie Jackson,7400,Mia@Det 07:30PM ET,34.732,Det
PG,Kemba Walker,7400,Was@Cha 07:00PM ET,35.696,Cha
PF,Derrick Favors,7400,Uta@LAC 10:30PM ET,35.615,Uta
C,Karl-Anthony Towns,7400,Atl@Min 08:00PM ET,34.982,Min
C,Marc Gasol,7300,Mem@Hou 08:00PM ET,32.850,Mem
C,DeAndre Jordan,7300,Uta@LAC 10:30PM ET,35.750,LAC
SF,Nicolas Batum,7300,Was@Cha 07:00PM ET,33.714,Cha
