Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3715,Nick,Collison,PF,OKC,MIN,OKC@MIN,8:00PM EST,10,7.4, 
nba.p.4160,Steve,Novak,SF,OKC,MIN,OKC@MIN,8:00PM EST,10,3.2, 
nba.p.4244,Kevin,Durant,SF,OKC,MIN,OKC@MIN,8:00PM EST,52,45.8, 
nba.p.4390,Russell,Westbrook,PG,OKC,MIN,OKC@MIN,8:00PM EST,59,49.1, 
nba.p.4471,D.J.,Augustin,PG,OKC,MIN,OKC@MIN,8:00PM EST,10,8.9, 
nba.p.4486,Serge,Ibaka,PF,OKC,MIN,OKC@MIN,8:00PM EST,27,26.7, 
nba.p.4527,Anthony,Morrow,SG,OKC,MIN,OKC@MIN,8:00PM EST,10,8.9, 
nba.p.4899,Enes,Kanter,C,OKC,MIN,OKC@MIN,8:00PM EST,16,21.2, 
nba.p.4915,Kyle,Singler,SF,OKC,MIN,OKC@MIN,8:00PM EST,10,6.2, 
nba.p.5010,Dion,Waiters,SG,OKC,MIN,OKC@MIN,8:00PM EST,10,17.3, 
nba.p.5163,Steven,Adams,C,OKC,MIN,OKC@MIN,8:00PM EST,10,18.1, 
nba.p.5196,Andre,Roberson,SG,OKC,MIN,OKC@MIN,8:00PM EST,10,12.8,INJ
nba.p.5332,Mitch,McGary,PF,OKC,MIN,OKC@MIN,8:00PM EST,10,2.5, 
nba.p.5340,Josh,Huestis,SF,OKC,MIN,OKC@MIN,8:00PM EST,10,0.0, 
nba.p.5474,Cameron,Payne,PG,OKC,MIN,OKC@MIN,8:00PM EST,10,11.7, 
nba.p.3007,Kevin,Garnett,PF,MIN,OKC,OKC@MIN,8:00PM EST,10,12.0,O
nba.p.3331,Andre,Miller,SG,MIN,OKC,OKC@MIN,8:00PM EST,10,8.2, 
nba.p.3621,Tayshaun,Prince,SF,MIN,OKC,OKC@MIN,8:00PM EST,10,8.0, 
nba.p.3843,Kevin,Martin,SG,MIN,OKC,OKC@MIN,8:00PM EST,10,16.1,O
nba.p.4493,Nikola,Pekovic,C,MIN,OKC,OKC@MIN,8:00PM EST,10,8.3, 
nba.p.4610,Ricky,Rubio,PG,MIN,OKC,OKC@MIN,8:00PM EST,29,30.3, 
nba.p.4766,Nemanja,Bjelica,PF,MIN,OKC,OKC@MIN,8:00PM EST,10,12.0, 
nba.p.5165,Shabazz,Muhammad,SF,MIN,OKC,OKC@MIN,8:00PM EST,12,14.3, 
nba.p.5191,Gorgui,Dieng,C,MIN,OKC,OKC@MIN,8:00PM EST,14,20.2, 
nba.p.5292,Andrew,Wiggins,SG,MIN,OKC,OKC@MIN,8:00PM EST,31,29.0, 
nba.p.5324,Zach,LaVine,PG,MIN,OKC,OKC@MIN,8:00PM EST,13,20.6, 
nba.p.5326,Adreian,Payne,PF,MIN,OKC,OKC@MIN,8:00PM EST,10,6.5, 
nba.p.5372,Damjan,Rudez,SG,MIN,OKC,OKC@MIN,8:00PM EST,10,3.4, 
nba.p.5432,Karl-Anthony,Towns,C,MIN,OKC,OKC@MIN,8:00PM EST,30,32.7, 
nba.p.5484,Tyus,Jones,PG,MIN,OKC,OKC@MIN,8:00PM EST,10,7.7, 
nba.p.3252,Dirk,Nowitzki,PF,DAL,GS,DAL@GS,10:30PM EST,27,30.7, 
nba.p.3745,Zaza,Pachulia,C,DAL,GS,DAL@GS,10:30PM EST,22,27.0,O
nba.p.3822,Devin,Harris,SG,DAL,GS,DAL@GS,10:30PM EST,10,14.7,O
nba.p.3929,Deron,Williams,PG,DAL,GS,DAL@GS,10:30PM EST,26,27.0, 
nba.p.3931,Raymond,Felton,PG,DAL,GS,DAL@GS,10:30PM EST,11,19.1, 
nba.p.3933,Charlie,Villanueva,PF,DAL,GS,DAL@GS,10:30PM EST,10,10.6, 
nba.p.4203,J.J.,Barea,SG,DAL,GS,DAL@GS,10:30PM EST,12,17.3, 
nba.p.4480,JaVale,McGee,C,DAL,GS,DAL@GS,10:30PM EST,10,12.5, 
nba.p.4694,Wesley,Matthews,SG,DAL,GS,DAL@GS,10:30PM EST,19,22.2, 
nba.p.4786,Jeremy,Evans,SF,DAL,GS,DAL@GS,10:30PM EST,10,5.6,GTD
nba.p.4920,Chandler,Parsons,SF,DAL,GS,DAL@GS,10:30PM EST,23,20.8, 
nba.p.5057,John,Jenkins,SG,DAL,GS,DAL@GS,10:30PM EST,10,5.0, 
nba.p.5356,Dwight,Powell,PF,DAL,GS,DAL@GS,10:30PM EST,10,15.3, 
nba.p.5481,Justin,Anderson,SF,DAL,GS,DAL@GS,10:30PM EST,10,4.7, 
nba.p.5536,Salah,Mejri,C,DAL,GS,DAL@GS,10:30PM EST,10,11.0, 
nba.p.3731,Leandro,Barbosa,SG,GS,DAL,DAL@GS,10:30PM EST,10,11.7, 
nba.p.3821,Shaun,Livingston,PG,GS,DAL,DAL@GS,10:30PM EST,10,13.7, 
