Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PF,Cameron Bairstow,3000,Atl@Chi 08:00PM ET,4.654,Chi
SF,Duje Dukan,3000,Sac@Phi 07:00PM ET,0,Sac
PG,Kendall Marshall,3000,Sac@Phi 07:00PM ET,9.661,Phi
SF,Reggie Bullock,3000,Den@Det 07:30PM ET,1.222,Det
SG,Jordan McRae,3000,GS@Pho 09:00PM ET,8.250,Pho
PG,Shabazz Napier,3000,SA@Orl 07:00PM ET,9.506,Orl
PF,Eric Moreland,3000,Sac@Phi 07:00PM ET,3.900,Sac
SF,Devyn Marble,3000,SA@Orl 07:00PM ET,0.906,Orl
PF,Adreian Payne,3000,Tor@Min 08:00PM ET,6.836,Min
PG,Marcelo Huertas,3000,LAL@Cle 08:00PM ET,8.560,LAL
PG,Ray McCallum,3000,SA@Orl 07:00PM ET,6.609,SA
PF,Donatas Motiejunas,3000,Hou@Por 10:30PM ET,10.250,Hou
SG,Austin Rivers,3000,LAC@Bos 07:30PM ET,13.946,LAC
SF,Pat Connaughton,3000,Hou@Por 10:30PM ET,1.800,Por
SG,James Ennis,3000,Mem@Bkn 07:30PM ET,3.375,Mem
PG,Spencer Dinwiddie,3000,Den@Det 07:30PM ET,8.083,Det
SF,K.J. McDaniels,3000,Hou@Por 10:30PM ET,3.422,Hou
C,Dewayne Dedmon,3000,SA@Orl 07:00PM ET,8.961,Orl
SF,Branden Dawson,3000,LAC@Bos 07:30PM ET,3.875,LAC
PF,James Michael McAdoo,3000,GS@Pho 09:00PM ET,5.200,GS
PF,Rakeem Christmas,3000,Cha@Ind 07:00PM ET,0,Ind
SF,Jakarr Sampson,3000,Sac@Phi 07:00PM ET,10.165,Phi
SG,Norman Powell,3000,Tor@Min 08:00PM ET,3.630,Tor
C,Lucas Nogueira,3000,Tor@Min 08:00PM ET,6.206,Tor
SF,Sergey Karasev,3000,Mem@Bkn 07:30PM ET,2.543,Bkn
SF,Sam Dekker,3000,Hou@Por 10:30PM ET,1.083,Hou
SG,R.J. Hunter,3000,LAC@Bos 07:30PM ET,6.406,Bos
SG,Jordan Adams,3000,Mem@Bkn 07:30PM ET,9.500,Mem
PF,Montrezl Harrell,3000,Hou@Por 10:30PM ET,7.048,Hou
SF,Glenn Robinson III,3000,Cha@Ind 07:00PM ET,7.655,Ind
SF,Anthony Bennett,3000,Tor@Min 08:00PM ET,3.750,Tor
