Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3523,Richard,Jefferson,SF,CLE,TOR,CLE@TOR,7:30PM EST,10,10.1, 
nba.p.3704,LeBron,James,SF,CLE,TOR,CLE@TOR,7:30PM EST,55,44.9, 
nba.p.3750,Mo,Williams,SG,CLE,TOR,CLE@TOR,7:30PM EST,10,14.9,O
nba.p.3752,James,Jones,SG,CLE,TOR,CLE@TOR,7:30PM EST,10,5.8, 
nba.p.3835,J.R.,Smith,SG,CLE,TOR,CLE@TOR,7:30PM EST,21,21.8, 
nba.p.3934,Channing,Frye,PF,CLE,TOR,CLE@TOR,7:30PM EST,10,12.5, 
nba.p.4391,Kevin,Love,PF,CLE,TOR,CLE@TOR,7:30PM EST,33,33.9, 
nba.p.4518,Sasha,Kaun,C,CLE,TOR,CLE@TOR,7:30PM EST,10,1.9, 
nba.p.4794,Timofey,Mozgov,C,CLE,TOR,CLE@TOR,7:30PM EST,10,13.6, 
nba.p.4840,Kyrie,Irving,PG,CLE,TOR,CLE@TOR,7:30PM EST,36,30.1, 
nba.p.4884,Tristan,Thompson,C,CLE,TOR,CLE@TOR,7:30PM EST,18,21.2, 
nba.p.4898,Iman,Shumpert,SG,CLE,TOR,CLE@TOR,7:30PM EST,10,14.6,INJ
nba.p.5249,Matthew,Dellavedova,PG,CLE,TOR,CLE@TOR,7:30PM EST,10,18.8, 
nba.p.3653,Luis,Scola,PF,TOR,CLE,CLE@TOR,7:30PM EST,14,18.2, 
nba.p.4152,Kyle,Lowry,PG,TOR,CLE,CLE@TOR,7:30PM EST,42,40.3, 
nba.p.4614,DeMar,DeRozan,SG,TOR,CLE,CLE@TOR,7:30PM EST,39,35.5, 
nba.p.4621,James,Johnson,SF,TOR,CLE,CLE@TOR,7:30PM EST,10,10.6, 
nba.p.4632,DeMarre,Carroll,SF,TOR,CLE,CLE@TOR,7:30PM EST,18,22.3,INJ
nba.p.4729,Patrick,Patterson,PF,TOR,CLE,CLE@TOR,7:30PM EST,10,15.3, 
nba.p.4886,Jonas,Valanciunas,C,TOR,CLE,CLE@TOR,7:30PM EST,22,27.0, 
nba.p.4888,Bismack,Biyombo,C,TOR,CLE,CLE@TOR,7:30PM EST,10,18.2, 
nba.p.4911,Cory,Joseph,PG,TOR,CLE,CLE@TOR,7:30PM EST,10,18.0, 
nba.p.5014,Terrence,Ross,SG,TOR,CLE,CLE@TOR,7:30PM EST,10,15.6, 
nba.p.5152,Anthony,Bennett,SF,TOR,CLE,CLE@TOR,7:30PM EST,10,3.5, 
nba.p.5186,Lucas,Nogueira,C,TOR,CLE,CLE@TOR,7:30PM EST,10,5.6, 
nba.p.5331,Bruno,Caboclo,SF,TOR,CLE,CLE@TOR,7:30PM EST,10,0.7, 
nba.p.5480,Delon,Wright,PG,TOR,CLE,CLE@TOR,7:30PM EST,10,2.1, 
nba.p.5506,Norman,Powell,SF,TOR,CLE,CLE@TOR,7:30PM EST,10,3.7, 
nba.p.3248,Vince,Carter,SG,MEM,LAL,MEM@LAL,10:30PM EST,10,9.6, 
nba.p.3531,Zach,Randolph,C,MEM,LAL,MEM@LAL,10:30PM EST,30,26.4, 
nba.p.3598,Chris,Andersen,C,MEM,LAL,MEM@LAL,10:30PM EST,10,5.2, 
nba.p.3643,Matt,Barnes,SF,MEM,LAL,MEM@LAL,10:30PM EST,16,21.1, 
