First Name,Last Name,Team,VS,Pos,FPPG,Sal
Al,Jefferson,CHA,CHA @ IND,C,17.00,4800
Kemba,Walker,CHA,CHA @ IND,PG,37.76,5900
Cody,Zeller,CHA,CHA @ IND,C,21.72,4000
Lavoy,Allen,IND,CHA @ IND,PF,15.17,3500
Spencer,Hawes,CHA,CHA @ IND,PF,16.71,3850
Courtney,Lee,CHA,CHA @ IND,SG,16.83,3800
Tyler,Hansbrough,CHA,CHA @ IND,PF,6.67,3200
C.J.,Miles,IND,CHA @ IND,SF,17.87,3800
George,Hill,IND,CHA @ IND,PG,23.95,4600
Ian,Mahinmi,IND,CHA @ IND,C,22.86,4150
Paul,George,IND,CHA @ IND,SF,37.80,6000
Solomon,Hill,IND,CHA @ IND,SF,8.49,3000
Rodney,Stuckey,IND,CHA @ IND,PG,18.91,3700
Chase,Budinger,IND,CHA @ IND,SF,8.79,3300
Marvin,Williams,CHA,CHA @ IND,PF,23.51,4600
Jeremy,Lamb,CHA,CHA @ IND,SG,16.01,3650
Nicolas,Batum,CHA,CHA @ IND,SF,30.62,5200
Jeremy,Lin,CHA,CHA @ IND,PG,22.03,4150
Monta,Ellis,IND,CHA @ IND,SG,27.38,5000
Jordan,Hill,IND,CHA @ IND,C,19.35,4200
Jorge,Gutierrez,CHA,CHA @ IND,PG,9.00,3000
Troy,Daniels,CHA,CHA @ IND,SG,8.60,3300
Glenn,Robinson,IND,CHA @ IND,SF,6.43,3000
Shayne,Whittington,IND,CHA @ IND,PF,4.92,3000
Frank,Kaminsky,CHA,CHA @ IND,C,17.97,3700
Myles,Turner,IND,CHA @ IND,C,23.34,4700
Rakeem,Christmas,IND,CHA @ IND,PF,0.00,3000
Joseph,Young,IND,CHA @ IND,PG,8.45,3500
Aaron,Harrison,CHA,CHA @ IND,SF,1.77,3000
John,Wall,WAS,WAS @ PHI,PG,43.65,6650
Otto,Porter,WAS,WAS @ PHI,SF,23.77,4400
Garrett,Temple,WAS,WAS @ PHI,SG,16.66,3800
Nene,Hilario,WAS,WAS @ PHI,PF,18.09,3950
Bradley,Beal,WAS,WAS @ PHI,SG,26.79,4700
Ramon,Sessions,WAS,WAS @ PHI,PG,17.68,3750
Elton,Brand,PHI,WAS @ PHI,PF,1.00,3500
Nerlens,Noel,PHI,WAS @ PHI,PF,29.04,5200
Alan,Anderson,WAS,WAS @ PHI,SG,13.25,3000
Earl,Clark,PHI,WAS @ PHI,PF,6.25,3000
Gary,Neal,WAS,WAS @ PHI,SG,14.69,3700
Robert,Covington,PHI,WAS @ PHI,SF,21.83,4300
Isaiah,Canaan,PHI,WAS @ PHI,PG,15.45,3800
Jared,Dudley,WAS,WAS @ PHI,PF,20.13,3900
Ish,Smith,PHI,WAS @ PHI,PG,24.49,5200
Markieff,Morris,WAS,WAS @ PHI,PF,19.84,4750
Kendall,Marshall,PHI,WAS @ PHI,PG,8.43,3300
Marcin,Gortat,WAS,WAS @ PHI,C,32.17,5300
