Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
SF,LeBron James,9800,Cle@LAL 10:30PM ET,47.688,Cle
PG,Kyle Lowry,8700,Atl@Tor 07:30PM ET,42.975,Tor
SF,Kawhi Leonard,8400,Chi@SA 08:00PM ET,38.877,SA
C,Pau Gasol,8300,Chi@SA 08:00PM ET,42.119,Chi
SG,Eric Bledsoe,8100,Pho@Den 09:00PM ET,39.056,Pho
SG,Jimmy Butler,8000,Chi@SA 08:00PM ET,39.857,Chi
PF,Paul Millsap,7800,Atl@Tor 07:30PM ET,39.504,Atl
PG,Kyrie Irving,7700,Cle@LAL 10:30PM ET,31.819,Cle
SG,DeMar DeRozan,7500,Atl@Tor 07:30PM ET,36.754,Tor
PF,Kevin Love,7200,Cle@LAL 10:30PM ET,35.433,Cle
PG,D'Angelo Russell,7200,Cle@LAL 10:30PM ET,25.349,LAL
PF,LaMarcus Aldridge,7100,Chi@SA 08:00PM ET,33.076,SA
C,Alex Len,6900,Pho@Den 09:00PM ET,21.186,Pho
C,Al Horford,6800,Atl@Tor 07:30PM ET,33.777,Atl
PF,Kenneth Faried,6700,Pho@Den 09:00PM ET,28.588,Den
PG,Brandon Knight,6600,Pho@Den 09:00PM ET,34.756,Pho
PG,Emmanuel Mudiay,6500,Pho@Den 09:00PM ET,26.955,Den
SF,Danilo Gallinari,6400,Pho@Den 09:00PM ET,32.476,Den
PF,Julius Randle,6400,Cle@LAL 10:30PM ET,28.422,LAL
PG,Derrick Rose,6300,Chi@SA 08:00PM ET,29.087,Chi
PG,Jordan Clarkson,6200,Cle@LAL 10:30PM ET,27.020,LAL
C,Nikola Jokic,6100,Pho@Den 09:00PM ET,23.810,Den
PG,Jeff Teague,6000,Atl@Tor 07:30PM ET,29.549,Atl
SG,Will Barton,5700,Pho@Den 09:00PM ET,28.949,Den
SG,Devin Booker,5600,Pho@Den 09:00PM ET,18.482,Pho
SF,Wilson Chandler,5400,Pho@Den 09:00PM ET,0,Den
C,Joakim Noah,5300,Chi@SA 08:00PM ET,23.353,Chi
C,Jonas Valanciunas,5300,Atl@Tor 07:30PM ET,28.144,Tor
SF,Kent Bazemore,5000,Atl@Tor 07:30PM ET,24.898,Atl
SG,Gary Harris,5000,Pho@Den 09:00PM ET,21.211,Den
SG,Kobe Bryant,4900,Cle@LAL 10:30PM ET,28.789,LAL
PF,Tristan Thompson,4900,Cle@LAL 10:30PM ET,22.411,Cle
SG,J.R. Smith,4800,Cle@LAL 10:30PM ET,22.095,Cle
SF,DeMarre Carroll,4700,Atl@Tor 07:30PM ET,23.261,Tor
PF,Taj Gibson,4600,Chi@SA 08:00PM ET,22.086,Chi
SF,Mirza Teletovic,4600,Pho@Den 09:00PM ET,18.639,Pho
PG,Tony Parker,4500,Chi@SA 08:00PM ET,24.134,SA
SG,Lou Williams,4500,Cle@LAL 10:30PM ET,24.905,LAL
SG,Danny Green,4500,Chi@SA 08:00PM ET,18.758,SA
