Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
9535,PG,Kyle,Lowry,38.3,34,8700,CHI@TOR,TOR,CHI,GTD,Ankle,,
9729,PF,Paul,Millsap,37.8,34,8700,ATL@NY,ATL,NY,,,,
9570,PF,Pau,Gasol,37.3,30,8700,CHI@TOR,CHI,TOR,,,,
9508,SF,Carmelo,Anthony,36.3,32,8600,ATL@NY,NY,ATL,,,,
9714,SG,DeMar,DeRozan,34.7,34,8400,CHI@TOR,TOR,CHI,,,,
14528,SG,Jimmy,Butler,36.1,31,8300,CHI@TOR,CHI,TOR,,,,
9453,C,Al,Horford,31.4,34,7200,ATL@NY,ATL,NY,,,,
9475,PG,Derrick,Rose,25.3,27,6400,CHI@TOR,CHI,TOR,GTD,Hamstring,,
9446,PG,Jeff,Teague,28.4,31,6400,ATL@NY,ATL,NY,,,,
63122,PF,Kristaps,Porzingis,28,34,6200,ATL@NY,NY,ATL,,,,
19781,SG,Kent,Bazemore,24.1,29,5700,ATL@NY,ATL,NY,,,,
14503,C,Jonas,Valanciunas,24.5,17,5600,CHI@TOR,TOR,CHI,,,,
9483,C,Joakim,Noah,22.6,25,5400,CHI@TOR,CHI,TOR,O,Shoulder,,
9787,SF,DeMarre,Carroll,21.9,22,5400,CHI@TOR,TOR,CHI,,,,
9481,PF,Taj,Gibson,19.5,31,5000,CHI@TOR,CHI,TOR,,,,
14505,C,Bismack,Biyombo,19.4,34,4900,CHI@TOR,TOR,CHI,,,,
14522,SF,Nikola,Mirotic,21.2,31,4700,CHI@TOR,CHI,TOR,,,,
9507,SG,Arron,Afflalo,19.7,26,4600,ATL@NY,NY,ATL,,,,
9542,PF,Luis,Scola,19.7,34,4600,CHI@TOR,TOR,CHI,,,,
40201,PG,Dennis,Schroder,20.5,33,4500,ATL@NY,ATL,NY,,,,
9547,SF,Mike,Dunleavy,0,23,4200,CHI@TOR,CHI,TOR,O,Back,,
9873,C,Robin,Lopez,17.9,34,4100,ATL@NY,NY,ATL,,,,
9647,SF,Thabo,Sefolosha,17.3,30,4100,ATL@NY,ATL,NY,,,,
9712,PG,Jose,Calderon,17.7,34,4100,ATL@NY,NY,ATL,,,,
16405,SG,Terrence,Ross,13.9,28,4000,CHI@TOR,TOR,CHI,,,,
9534,PG,Aaron,Brooks,15,23,4000,CHI@TOR,CHI,TOR,,,,
9870,SG,Kyle,Korver,18.1,32,4000,ATL@NY,ATL,NY,,,,
16859,SF,Lance,Thomas,12.8,34,4000,ATL@NY,NY,ATL,,,,
42156,PF,Bobby,Portis,16.1,11,3900,CHI@TOR,CHI,TOR,,,,
17230,SG,Langston,Galloway,16.9,34,3900,ATL@NY,NY,ATL,,,,
14529,PG,Cory,Joseph,17,34,3800,CHI@TOR,TOR,CHI,,,,
17384,C,Kyle,O'Quinn,14.3,27,3800,ATL@NY,NY,ATL,,,,
14500,PF,Derrick,Williams,12.6,33,3800,ATL@NY,NY,ATL,,,,
17517,SG,Tony,Snell,12.1,29,3700,CHI@TOR,CHI,TOR,,,,
9966,SF,James,Johnson,10,27,3700,CHI@TOR,TOR,CHI,,,,
23920,PF,Anthony,Bennett,4.1,10,3500,CHI@TOR,TOR,CHI,,,,
9478,SG,Kirk,Hinrich,7.9,22,3500,CHI@TOR,CHI,TOR,,,,
16293,SG,Norman,Powell,4,12,3500,CHI@TOR,TOR,CHI,,,,
14554,PG,E'Twaun,Moore,8.7,23,3500,CHI@TOR,CHI,TOR,,,,
18256,SF,Doug,McDermott,12.5,30,3500,CHI@TOR,CHI,TOR,,,,
17894,PF,Mike,Muscala,8.5,25,3500,ATL@NY,ATL,NY,,,,
14533,PG,Shelvin,Mack,8.3,12,3500,ATL@NY,ATL,NY,,,,
17520,PF,Cameron,Bairstow,2.6,6,3500,CHI@TOR,CHI,TOR,,,,
40830,PG,Delon,Wright,1.3,5,3500,CHI@TOR,TOR,CHI,,,,
55058,SF,Bruno,Caboclo,0,1,3500,CHI@TOR,TOR,CHI,,,,
15846,SG,Tim,Hardaway Jr.,5,4,3500,ATL@NY,ATL,NY,,,,
9567,SG,Sasha,Vujacic,7.8,23,3500,ATL@NY,NY,ATL,,,,
55063,C,Walter,Tavares,4,5,3500,ATL@NY,ATL,NY,,,,
16089,SG,Lamar,Patterson,6.8,28,3500,ATL@NY,ATL,NY,,,,
12335,PF,Kevin,Seraphin,9.7,24,3500,ATL@NY,NY,ATL,,,,
12340,PF,Patrick,Patterson,14,34,3500,CHI@TOR,TOR,CHI,,,,
16604,SG,Justin,Holiday,5.9,18,3500,ATL@NY,ATL,NY,,,,
9679,PF,Louis,Amundson,7.1,13,3500,ATL@NY,NY,ATL,GTD,Back,,
15996,PG,Jerian,Grant,10.1,31,3500,ATL@NY,NY,ATL,,,,
24244,SF,Cleanthony,Early,1.4,10,3500,ATL@NY,NY,ATL,O,Knee,,
63478,C,Cristiano,Felicio,1.8,2,3500,CHI@TOR,CHI,TOR,,,,
40200,C,Lucas,Nogueira,7.3,11,3500,CHI@TOR,TOR,CHI,,,,
12421,C,Tiago,Splitter,12,23,3500,ATL@NY,ATL,NY,GTD,Leg,,
16368,SF,Mike,Scott,10.4,28,3500,ATL@NY,ATL,NY,,,,
12332,PG,John,Wall,41,31,10200,MIA@WAS,WAS,MIA,,,,
20848,PG,Damian,Lillard,38.9,29,9000,POR@DEN,POR,DEN,O,Foot,,
19067,SG,C.J.,McCollum,32.9,34,8400,POR@DEN,POR,DEN,,,,
12363,C,Hassan,Whiteside,33.5,32,7500,MIA@WAS,MIA,WAS,,,,
9718,PF,Chris,Bosh,33.3,32,7500,MIA@WAS,MIA,WAS,,,,
9585,SG,Dwyane,Wade,30.8,31,7400,MIA@WAS,MIA,WAS,,,,
17333,SG,Will,Barton,29.2,33,7200,POR@DEN,DEN,POR,,,,
15595,SG,Brad,Beal,30.2,17,7200,MIA@WAS,WAS,MIA,O,Leg,,
9661,C,Marcin,Gortat,29.6,28,7100,MIA@WAS,WAS,MIA,,,,
9566,SG,Kobe,Bryant,27.4,29,6900,PHO@LAL,LAL,PHO,GTD,Shoulder,,
9637,SF,Danilo,Gallinari,29.5,27,6700,POR@DEN,DEN,POR,,,,
14506,PG,Brandon,Knight,31.8,35,6500,PHO@LAL,PHO,LAL,,,,
14521,PF,Kenneth,Faried,26.4,29,6400,POR@DEN,DEN,POR,,,,
15628,SF,Otto,Porter,25.1,28,6000,MIA@WAS,WAS,MIA,,,,
20640,PG,Jordan,Clarkson,23.7,32,5900,PHO@LAL,LAL,PHO,,,,
9673,PG,Goran,Dragic,23.9,31,5900,MIA@WAS,MIA,WAS,,,,
42669,PF,Julius,Randle,25.9,33,5700,PHO@LAL,LAL,PHO,,,,
15590,C,Mason,Plumlee,24.8,35,5400,POR@DEN,POR,DEN,GTD,Illness,,
9662,SG,Louis,Williams,21.6,32,5300,PHO@LAL,LAL,PHO,,,,
58312,PG,D'Angelo,Russell,22.2,34,5100,PHO@LAL,LAL,PHO,,,,
9652,PG,Jameer,Nelson,18.6,30,5000,POR@DEN,DEN,POR,,,,
63124,PG,Emmanuel,Mudiay,22.8,23,4900,POR@DEN,DEN,POR,O,Ankle,,
12342,SF,Al-Farouq,Aminu,22.3,35,4900,POR@DEN,POR,DEN,,,,
55062,C,Nikola,Jokic,18.8,31,4700,POR@DEN,DEN,POR,,,,
9479,SF,Luol,Deng,19.3,26,4600,MIA@WAS,MIA,WAS,,,,
14539,PF,Jon,Leuer,19.3,34,4600,PHO@LAL,PHO,LAL,,,,
15501,SG,Allen,Crabbe,16.4,35,4600,POR@DEN,POR,DEN,,,,
23120,SF,T.J.,Warren,18.6,34,4600,PHO@LAL,PHO,LAL,,,,
24544,SG,Gary,Harris,18,27,4400,POR@DEN,DEN,POR,,,,
14511,PF,Markieff,Morris,18.7,23,4400,PHO@LAL,PHO,LAL,,,,
15669,C,Meyers,Leonard,17.2,28,4300,POR@DEN,POR,DEN,,,,
9553,C,Roy,Hibbert,19.4,34,4300,PHO@LAL,LAL,PHO,,,,
23407,SF,P.J.,Tucker,16.4,35,4300,PHO@LAL,PHO,LAL,,,,
9605,PG,Ramon,Sessions,17.4,31,4200,MIA@WAS,WAS,MIA,,,,
9473,C,Tyson,Chandler,16.7,26,4200,PHO@LAL,PHO,LAL,,,,
15814,C,Alex,Len,16.2,35,4200,PHO@LAL,PHO,LAL,,,,
40209,C,Joffrey,Lauvergne,19,18,4200,POR@DEN,DEN,POR,,,,
11074,SG,Garrett,Temple,13.6,29,4100,MIA@WAS,WAS,MIA,,,,
9512,PF,Nene,Hilario,16.7,12,4100,MIA@WAS,WAS,MIA,O,Calf,,
20992,PF,Larry,Nance Jr.,12.9,29,4000,PHO@LAL,LAL,PHO,,,,
9491,PF,J.J.,Hickson,16.8,17,4000,POR@DEN,DEN,POR,,,,
55057,C,Jusuf,Nurkic,0,25,4000,POR@DEN,DEN,POR,GTD,Knee,,
9677,SF,Jared,Dudley,16.3,30,4000,MIA@WAS,WAS,MIA,,,,
