Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3934,Channing,Frye,PF,ORL,MIL,ORL@MIL,8:00PM EST,10,13.0, 
nba.p.4298,Jason,Smith,C,ORL,MIL,ORL@MIL,8:00PM EST,10,11.3, 
nba.p.4354,C.J.,Watson,PG,ORL,MIL,ORL@MIL,8:00PM EST,10,13.6,INJ
nba.p.4897,Nikola,Vucevic,C,ORL,MIL,ORL@MIL,8:00PM EST,34,33.4, 
nba.p.4901,Tobias,Harris,SF,ORL,MIL,ORL@MIL,8:00PM EST,28,27.7, 
nba.p.5025,Andrew,Nicholson,PF,ORL,MIL,ORL@MIL,8:00PM EST,10,12.4, 
nba.p.5054,Evan,Fournier,SG,ORL,MIL,ORL@MIL,8:00PM EST,22,23.5, 
nba.p.5153,Victor,Oladipo,PG,ORL,MIL,ORL@MIL,8:00PM EST,28,27.7, 
nba.p.5256,Dewayne,Dedmon,C,ORL,MIL,ORL@MIL,8:00PM EST,10,9.4, 
nba.p.5295,Aaron,Gordon,SF,ORL,MIL,ORL@MIL,8:00PM EST,13,17.0, 
nba.p.5321,Elfrid,Payton,PG,ORL,MIL,ORL@MIL,8:00PM EST,21,25.4, 
nba.p.5335,Shabazz,Napier,PG,ORL,MIL,ORL@MIL,8:00PM EST,10,8.7, 
nba.p.5367,Devyn,Marble,SG,ORL,MIL,ORL@MIL,8:00PM EST,10,0.8, 
nba.p.5396,Keith,Appling,PG,ORL,MIL,ORL@MIL,8:00PM EST,10,3.6, 
nba.p.5465,Mario,Hezonja,SG,ORL,MIL,ORL@MIL,8:00PM EST,10,7.8, 
nba.p.4389,O.J.,Mayo,SG,MIL,ORL,ORL@MIL,8:00PM EST,11,18.5,INJ
nba.p.4473,Jerryd,Bayless,PG,MIL,ORL,ORL@MIL,8:00PM EST,14,20.8, 
nba.p.4722,Greg,Monroe,C,MIL,ORL,ORL@MIL,8:00PM EST,30,33.4, 
nba.p.4759,Greivis,Vasquez,SG,MIL,ORL,ORL@MIL,8:00PM EST,10,15.8,INJ
nba.p.5020,John,Henson,C,MIL,ORL,ORL@MIL,8:00PM EST,10,16.2, 
nba.p.5060,Miles,Plumlee,PF,MIL,ORL,ORL@MIL,8:00PM EST,10,5.7, 
nba.p.5073,Khris,Middleton,SG,MIL,ORL,ORL@MIL,8:00PM EST,33,29.7, 
nba.p.5096,Chris,Copeland,SF,MIL,ORL,ORL@MIL,8:00PM EST,10,3.6, 
nba.p.5162,Michael,Carter-Williams,PG,MIL,ORL,ORL@MIL,8:00PM EST,31,28.2, 
nba.p.5185,Giannis,Antetokounmpo,SF,MIL,ORL,ORL@MIL,8:00PM EST,36,30.2, 
nba.p.5293,Jabari,Parker,PF,MIL,ORL,ORL@MIL,8:00PM EST,18,20.3, 
nba.p.5329,Tyler,Ennis,PG,MIL,ORL,ORL@MIL,8:00PM EST,10,5.5, 
nba.p.5342,Damien,Inglis,SF,MIL,ORL,ORL@MIL,8:00PM EST,10,2.8, 
nba.p.5347,Johnny,O'Bryant,PF,MIL,ORL,ORL@MIL,8:00PM EST,10,8.5, 
nba.p.5477,Rashad,Vaughn,SF,MIL,ORL,ORL@MIL,8:00PM EST,10,5.2, 
nba.p.3602,Drew,Gooden,PF,WAS,TOR,WAS@TOR,7:30PM EST,10,10.7, 
nba.p.3605,Nene,Hilario,C,WAS,TOR,WAS@TOR,7:30PM EST,10,17.9, 
nba.p.3831,Kris,Humphries,PF,WAS,TOR,WAS@TOR,7:30PM EST,10,13.5,INJ
nba.p.3983,Marcin,Gortat,C,WAS,TOR,WAS@TOR,7:30PM EST,29,29.8, 
nba.p.3995,Alan,Anderson,SG,WAS,TOR,WAS@TOR,7:30PM EST,10,0.0,INJ
nba.p.4300,Jared,Dudley,PF,WAS,TOR,WAS@TOR,7:30PM EST,14,18.1, 
nba.p.4333,Ramon,Sessions,PG,WAS,TOR,WAS@TOR,7:30PM EST,10,18.1, 
nba.p.4642,DeJuan,Blair,PF,WAS,TOR,WAS@TOR,7:30PM EST,10,5.7, 
nba.p.4682,Garrett,Temple,SG,WAS,TOR,WAS@TOR,7:30PM EST,12,16.3, 
nba.p.4716,John,Wall,PG,WAS,TOR,WAS@TOR,7:30PM EST,50,41.3, 
nba.p.4796,Gary,Neal,SG,WAS,TOR,WAS@TOR,7:30PM EST,10,15.4, 
nba.p.5009,Bradley,Beal,SG,WAS,TOR,WAS@TOR,7:30PM EST,30,29.2,O
nba.p.5154,Otto,Porter,SF,WAS,TOR,WAS@TOR,7:30PM EST,24,25.7, 
nba.p.5419,Jarell,Eddie,SG,WAS,TOR,WAS@TOR,7:30PM EST,10,6.9, 
nba.p.5475,Kelly,Oubre Jr.,SF,WAS,TOR,WAS@TOR,7:30PM EST,10,8.9, 
nba.p.3653,Luis,Scola,PF,TOR,WAS,WAS@TOR,7:30PM EST,18,19.5, 
nba.p.4152,Kyle,Lowry,PG,TOR,WAS,WAS@TOR,7:30PM EST,46,40.3, 
nba.p.4614,DeMar,DeRozan,SG,TOR,WAS,WAS@TOR,7:30PM EST,41,35.5, 
nba.p.4621,James,Johnson,SF,TOR,WAS,WAS@TOR,7:30PM EST,10,10.4,O
nba.p.4632,DeMarre,Carroll,SF,TOR,WAS,WAS@TOR,7:30PM EST,18,22.3,INJ
nba.p.4729,Patrick,Patterson,PF,TOR,WAS,WAS@TOR,7:30PM EST,10,15.3,GTD
nba.p.4886,Jonas,Valanciunas,C,TOR,WAS,WAS@TOR,7:30PM EST,25,26.6, 
nba.p.4888,Bismack,Biyombo,C,TOR,WAS,WAS@TOR,7:30PM EST,12,18.2, 
nba.p.4911,Cory,Joseph,PG,TOR,WAS,WAS@TOR,7:30PM EST,10,16.9, 
nba.p.5014,Terrence,Ross,SG,TOR,WAS,WAS@TOR,7:30PM EST,10,15.0, 
nba.p.5152,Anthony,Bennett,SF,TOR,WAS,WAS@TOR,7:30PM EST,10,3.6, 
nba.p.5186,Lucas,Nogueira,C,TOR,WAS,WAS@TOR,7:30PM EST,10,6.2, 
nba.p.5331,Bruno,Caboclo,SF,TOR,WAS,WAS@TOR,7:30PM EST,10,1.1, 
nba.p.5480,Delon,Wright,PG,TOR,WAS,WAS@TOR,7:30PM EST,10,1.5, 
nba.p.5506,Norman,Powell,SG,TOR,WAS,WAS@TOR,7:30PM EST,10,3.2, 
nba.p.3252,Dirk,Nowitzki,PF,DAL,LAL,DAL@LAL,10:30PM EST,27,30.7, 
nba.p.3745,Zaza,Pachulia,C,DAL,LAL,DAL@LAL,10:30PM EST,22,27.0,O
nba.p.3822,Devin,Harris,SG,DAL,LAL,DAL@LAL,10:30PM EST,10,14.7,O
nba.p.3929,Deron,Williams,PG,DAL,LAL,DAL@LAL,10:30PM EST,26,27.0, 
nba.p.3931,Raymond,Felton,PG,DAL,LAL,DAL@LAL,10:30PM EST,11,19.1, 
nba.p.3933,Charlie,Villanueva,PF,DAL,LAL,DAL@LAL,10:30PM EST,10,10.6, 
nba.p.4203,J.J.,Barea,SG,DAL,LAL,DAL@LAL,10:30PM EST,12,17.3, 
nba.p.4480,JaVale,McGee,C,DAL,LAL,DAL@LAL,10:30PM EST,10,12.5, 
nba.p.4694,Wesley,Matthews,SG,DAL,LAL,DAL@LAL,10:30PM EST,19,22.2, 
nba.p.4786,Jeremy,Evans,SF,DAL,LAL,DAL@LAL,10:30PM EST,10,5.6,O
