First Name,Last Name,Team,VS,Pos,FPPG,Sal
Bismack,Biyombo,TOR,ATL @ TOR,C,18.76,3700
Paul,Millsap,ATL,ATL @ TOR,PF,36.02,5850
DeMarre,Carroll,TOR,ATL @ TOR,SF,18.50,3800
Jeff,Teague,ATL,ATL @ TOR,PG,26.74,4950
Dennis,Schroder,ATL,ATL @ TOR,PG,22.54,4150
Kyle,Korver,ATL,ATL @ TOR,SG,17.68,4150
Al,Horford,ATL,ATL @ TOR,C,31.43,5250
Mike,Scott,ATL,ATL @ TOR,PF,12.46,3500
Tim,Hardaway Jr.,ATL,ATL @ TOR,SG,9.31,3500
Kris,Humphries,ATL,ATL @ TOR,PF,14.68,3700
DeMar,DeRozan,TOR,ATL @ TOR,SG,36.69,5650
Kyle,Lowry,TOR,ATL @ TOR,PG,39.43,6250
Terrence,Ross,TOR,ATL @ TOR,SF,17.53,3800
Jonas,Valanciunas,TOR,ATL @ TOR,C,27.82,4850
Kirk,Hinrich,ATL,ATL @ TOR,PG,6.93,3300
Luis,Scola,TOR,ATL @ TOR,PF,15.13,3800
Thabo,Sefolosha,ATL,ATL @ TOR,SF,15.03,3500
Cory,Joseph,TOR,ATL @ TOR,PG,16.52,3800
Tiago,Splitter,ATL,ATL @ TOR,C,12.25,3500
Kent,Bazemore,ATL,ATL @ TOR,SF,23.14,4500
Jason,Thompson,TOR,ATL @ TOR,C,7.18,3000
Patrick,Patterson,TOR,ATL @ TOR,PF,14.88,3600
James,Johnson,TOR,ATL @ TOR,PF,11.27,3300
Mike,Muscala,ATL,ATL @ TOR,C,6.51,3000
Walter,Tavares,ATL,ATL @ TOR,C,6.68,3000
Bruno,Caboclo,TOR,ATL @ TOR,SF,1.13,3000
Lamar,Patterson,ATL,ATL @ TOR,SG,4.90,3000
Lucas,Nogueira,TOR,ATL @ TOR,C,3.73,3000
Delon,Wright,TOR,ATL @ TOR,PG,4.33,3000
Norman,Powell,TOR,ATL @ TOR,SG,5.78,3400
E'Twaun,Moore,CHI,CHI @ SAS,SG,16.46,3800
Jimmy,Butler,CHI,CHI @ SAS,SG,39.28,6200
Tony,Snell,CHI,CHI @ SAS,SF,10.97,3500
Derrick,Rose,CHI,CHI @ SAS,PG,27.66,5000
Mike,Dunleavy,CHI,CHI @ SAS,SF,15.69,3900
Taj,Gibson,CHI,CHI @ SAS,PF,23.32,4200
David,West,SAS,CHI @ SAS,PF,17.75,3700
LaMarcus,Aldridge,SAS,CHI @ SAS,PF,33.13,5450
Andre,Miller,SAS,CHI @ SAS,PG,5.32,3300
Aaron,Brooks,CHI,CHI @ SAS,PG,12.76,3650
Tim,Duncan,SAS,CHI @ SAS,C,22.54,4750
Danny,Green,SAS,CHI @ SAS,SG,18.17,4000
Boris,Diaw,SAS,CHI @ SAS,PF,14.20,3000
Matt,Bonner,SAS,CHI @ SAS,C,5.04,3000
Manu,Ginobili,SAS,CHI @ SAS,SG,18.11,3950
Patty,Mills,SAS,CHI @ SAS,PG,16.92,4000
Tony,Parker,SAS,CHI @ SAS,PG,22.94,4400
Kawhi,Leonard,SAS,CHI @ SAS,SF,36.03,6100
Pau,Gasol,CHI,CHI @ SAS,C,41.67,6100
Justin,Holiday,CHI,CHI @ SAS,SG,4.71,3600
Doug,McDermott,CHI,CHI @ SAS,SF,13.40,3800
Kyle,Anderson,SAS,CHI @ SAS,SF,12.64,3600
Cameron,Bairstow,CHI,CHI @ SAS,PF,5.04,3000
Nikola,Mirotic,CHI,CHI @ SAS,PF,20.00,4300
Bobby,Portis,CHI,CHI @ SAS,PF,16.32,3900
Cristiano,Felicio,CHI,CHI @ SAS,PF,4.63,3000
Boban,Marjanovic,SAS,CHI @ SAS,C,12.16,3400
Jonathon,Simmons,SAS,CHI @ SAS,SG,9.33,3000
John,Jenkins,PHX,PHX @ DEN,SG,4.33,3300
Ronnie,Price,PHX,PHX @ DEN,PG,15.67,3950
Jameer,Nelson,DEN,PHX @ DEN,PG,23.00,3700
Tyson,Chandler,PHX,PHX @ DEN,C,19.36,4100
