First Name,Last Name,Team,VS,Pos,FPPG,Sal
John,Wall,WAS,DET @ WAS,PG,42.92,6650
Otto,Porter,WAS,DET @ WAS,SF,24.21,4400
Garrett,Temple,WAS,DET @ WAS,SG,16.55,3800
Nene,Hilario,WAS,DET @ WAS,PF,19.02,3950
Bradley,Beal,WAS,DET @ WAS,SG,27.13,4700
Anthony,Tolliver,DET,DET @ WAS,PF,12.70,3300
Ramon,Sessions,WAS,DET @ WAS,PG,17.79,3750
Tobias,Harris,DET,DET @ WAS,SF,25.93,4650
Alan,Anderson,WAS,DET @ WAS,SG,29.75,3000
Andre,Drummond,DET,DET @ WAS,C,39.55,6250
Kentavious,Caldwell-Pope,DET,DET @ WAS,SG,24.88,4200
Gary,Neal,WAS,DET @ WAS,SG,15.19,3700
Reggie,Jackson,DET,DET @ WAS,PG,31.75,4900
Donatas,Motiejunas,DET,DET @ WAS,PF,9.11,3500
Aron,Baynes,DET,DET @ WAS,C,14.60,3500
Steve,Blake,DET,DET @ WAS,PG,10.83,3300
Jodie,Meeks,DET,DET @ WAS,SG,0.00,3500
Jared,Dudley,WAS,DET @ WAS,PF,19.13,3900
Reggie,Bullock,DET,DET @ WAS,SG,0.83,3300
Markieff,Morris,WAS,DET @ WAS,PF,21.83,4750
Marcus,Morris,DET,DET @ WAS,SF,23.65,4300
Marcin,Gortat,WAS,DET @ WAS,C,32.02,5200
Marcus,Thornton,DET,DET @ WAS,SG,14.89,3700
Drew,Gooden,WAS,DET @ WAS,PF,8.31,3300
Spencer,Dinwiddie,DET,DET @ WAS,PG,6.21,3500
Jarell,Eddie,WAS,DET @ WAS,SF,3.41,3000
Kelly,Oubre,WAS,DET @ WAS,SF,6.77,3000
Stanley,Johnson,DET,DET @ WAS,SF,17.64,4500
Darrun,Hilliard,DET,DET @ WAS,SG,5.55,3000
Jared,Cunningham,ORL,DAL @ ORL,SG,4.11,3000
John,Jenkins,DAL,DAL @ ORL,SG,3.85,3300
Nikola,Vucevic,ORL,DAL @ ORL,C,35.20,5850
Andrew,Nicholson,ORL,DAL @ ORL,PF,12.37,3300
Victor,Oladipo,ORL,DAL @ ORL,SG,26.70,5200
Raymond,Felton,DAL,DAL @ ORL,PG,20.54,3800
Deron,Williams,DAL,DAL @ ORL,PG,26.94,4700
C.J.,Watson,ORL,DAL @ ORL,PG,8.00,3500
Charlie,Villanueva,DAL,DAL @ ORL,PF,9.10,3500
Brandon,Jennings,ORL,DAL @ ORL,PG,13.27,3800
Zaza,Pachulia,DAL,DAL @ ORL,C,27.27,4750
Ersan,Ilyasova,ORL,DAL @ ORL,PF,22.24,4100
J.J.,Barea,DAL,DAL @ ORL,PG,17.71,4000
Jeremy,Evans,DAL,DAL @ ORL,SF,5.68,3300
Wesley,Matthews,DAL,DAL @ ORL,SG,21.12,4150
JaVale,McGee,DAL,DAL @ ORL,C,11.90,3300
Evan,Fournier,ORL,DAL @ ORL,SG,19.94,4500
Chandler,Parsons,DAL,DAL @ ORL,SF,23.40,4900
Jason,Smith,ORL,DAL @ ORL,C,11.68,3500
Devin,Harris,DAL,DAL @ ORL,PG,13.44,3700
Dirk,Nowitzki,DAL,DAL @ ORL,PF,29.82,4900
Dewayne,Dedmon,ORL,DAL @ ORL,C,5.51,3000
Shabazz,Napier,ORL,DAL @ ORL,PG,8.73,3500
Aaron,Gordon,ORL,DAL @ ORL,PF,19.89,4800
Elfrid,Payton,ORL,DAL @ ORL,PG,25.09,4700
Dwight,Powell,DAL,DAL @ ORL,PF,12.18,3500
Devyn,Marble,ORL,DAL @ ORL,SG,0.58,3000
