Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Russell Westbrook,10800,LAC@OKC 09:30PM ET,53.798,OKC
SG,James Harden,10700,Hou@Phi 07:00PM ET,51.679,Hou
SF,Kevin Durant,10600,LAC@OKC 09:30PM ET,50.353,OKC
PG,Stephen Curry,10500,Uta@GS 10:30PM ET,53.064,GS
PF,DeMarcus Cousins,10400,Cle@Sac 10:00PM ET,51.939,Sac
SF,LeBron James,9900,Cle@Sac 10:00PM ET,47.688,Cle
PG,Chris Paul,9800,LAC@OKC 09:30PM ET,44.338,LAC
PF,Anthony Davis,9700,NO@Cha 07:00PM ET,46.695,NO
SF,Giannis Antetokounmpo,8700,Mia@Mil 08:00PM ET,35.593,Mil
SF,Carmelo Anthony,8500,NY@Pho 09:00PM ET,40.297,NY
C,Hassan Whiteside,8400,Mia@Mil 08:00PM ET,37.319,Mia
PF,Blake Griffin,8300,LAC@OKC 09:30PM ET,43.567,LAC
PG,Kemba Walker,8300,NO@Cha 07:00PM ET,38.926,Cha
PF,Draymond Green,8200,Uta@GS 10:30PM ET,42.365,GS
PG,Jrue Holiday,8100,NO@Cha 07:00PM ET,31.196,NO
SG,Eric Bledsoe,8100,NY@Pho 09:00PM ET,39.056,Pho
C,Dwight Howard,8000,Hou@Phi 07:00PM ET,36.635,Hou
PG,Rajon Rondo,7900,Cle@Sac 10:00PM ET,41.390,Sac
PG,Kyrie Irving,7800,Cle@Sac 10:00PM ET,31.819,Cle
C,DeAndre Jordan,7700,LAC@OKC 09:30PM ET,37.979,LAC
C,Andre Drummond,7600,Det@Dal 08:30PM ET,43.246,Det
PF,Derrick Favors,7500,Uta@GS 10:30PM ET,34.984,Uta
SG,Khris Middleton,7400,Mia@Mil 08:00PM ET,32.801,Mil
PG,Isaiah Thomas,7300,Mem@Bos 07:00PM ET,37.758,Bos
SG,Dwyane Wade,7200,Mia@Mil 08:00PM ET,33.461,Mia
PF,Kevin Love,7200,Cle@Sac 10:00PM ET,35.433,Cle
SG,Klay Thompson,7100,Uta@GS 10:30PM ET,33.204,GS
SG,Nicolas Batum,7000,NO@Cha 07:00PM ET,33.524,Cha
C,Marc Gasol,6900,Mem@Bos 07:00PM ET,34.731,Mem
SF,Gordon Hayward,6900,Uta@GS 10:30PM ET,34.556,Uta
PG,Brandon Knight,6900,NY@Pho 09:00PM ET,34.756,Pho
PG,Ish Smith,6800,Hou@Phi 07:00PM ET,28.871,Phi
PG,Goran Dragic,6800,Mia@Mil 08:00PM ET,28.171,Mia
PF,Chris Bosh,6700,Mia@Mil 08:00PM ET,34.972,Mia
PG,Reggie Jackson,6700,Det@Dal 08:30PM ET,33.960,Det
SG,Tyreke Evans,6700,NO@Cha 07:00PM ET,34.210,NO
PF,Zach Randolph,6600,Mem@Bos 07:00PM ET,28.285,Mem
C,Alex Len,6600,NY@Pho 09:00PM ET,21.186,Pho
C,Rudy Gobert,6600,Uta@GS 10:30PM ET,32.122,Uta
PF,Kristaps Porzingis,6500,NY@Pho 09:00PM ET,30.429,NY
PG,Mike Conley,6400,Mem@Bos 07:00PM ET,31.143,Mem
SF,Chandler Parsons,6400,Det@Dal 08:30PM ET,25.290,Dal
PF,Jabari Parker,6300,Mia@Mil 08:00PM ET,24.034,Mil
SF,Trevor Ariza,6200,Hou@Phi 07:00PM ET,26.843,Hou
C,Greg Monroe,6200,Mia@Mil 08:00PM ET,34.976,Mil
SF,Robert Covington,6100,Hou@Phi 07:00PM ET,25.648,Phi
PF,Nerlens Noel,6100,Hou@Phi 07:00PM ET,28.750,Phi
SF,Luol Deng,6000,Mia@Mil 08:00PM ET,23.987,Mia
SF,Tobias Harris,6000,Det@Dal 08:30PM ET,28.685,Det
SF,Rudy Gay,5900,Cle@Sac 10:00PM ET,31.824,Sac
PF,Serge Ibaka,5900,LAC@OKC 09:30PM ET,27.631,OKC
C,Jared Sullinger,5900,Mem@Bos 07:00PM ET,27.929,Bos
C,Jahlil Okafor,5900,Hou@Phi 07:00PM ET,30.429,Phi
PF,Dirk Nowitzki,5800,Det@Dal 08:30PM ET,31.720,Dal
PF,Ryan Anderson,5700,NO@Cha 07:00PM ET,28.125,NO
SF,Jae Crowder,5700,Mem@Bos 07:00PM ET,28.734,Bos
C,Robin Lopez,5600,NY@Pho 09:00PM ET,22.992,NY
PF,Marvin Williams,5500,NO@Cha 07:00PM ET,25.593,Cha
PG,Norris Cole,5400,NO@Cha 07:00PM ET,21.828,NO
PG,Michael Carter-Williams,5400,Mia@Mil 08:00PM ET,29.102,Mil
SF,Joe Johnson,5300,Mia@Mil 08:00PM ET,24.008,Mia
