Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3253,Paul,Pierce,SF,LAC,TOR,LAC@TOR,6:00PM EST,12,11.8, 
nba.p.3407,Jamal,Crawford,SG,LAC,TOR,LAC@TOR,6:00PM EST,14,18.2, 
nba.p.3930,Chris,Paul,PG,LAC,TOR,LAC@TOR,6:00PM EST,47,40.0, 
nba.p.4139,J.J.,Redick,SG,LAC,TOR,LAC@TOR,6:00PM EST,21,22.1, 
nba.p.4497,DeAndre,Jordan,C,LAC,TOR,LAC@TOR,6:00PM EST,35,33.8, 
nba.p.4498,Luc Richard,Mbah a Moute,PF,LAC,TOR,LAC@TOR,6:00PM EST,10,7.6, 
nba.p.4561,Blake,Griffin,PF,LAC,TOR,LAC@TOR,6:00PM EST,47,41.4,INJ
nba.p.4719,Wesley,Johnson,PF,LAC,TOR,LAC@TOR,6:00PM EST,10,13.0, 
nba.p.4726,Cole,Aldrich,C,LAC,TOR,LAC@TOR,6:00PM EST,10,14.5, 
nba.p.4771,Lance,Stephenson,SG,LAC,TOR,LAC@TOR,6:00PM EST,10,9.3, 
nba.p.5016,Austin,Rivers,PG,LAC,TOR,LAC@TOR,6:00PM EST,10,13.1, 
nba.p.5098,Pablo,Prigioni,SG,LAC,TOR,LAC@TOR,6:00PM EST,10,9.6, 
nba.p.5339,C.J.,Wilcox,SG,LAC,TOR,LAC@TOR,6:00PM EST,10,1.4, 
nba.p.5516,Branden,Dawson,SF,LAC,TOR,LAC@TOR,6:00PM EST,10,3.8, 
nba.p.3653,Luis,Scola,PF,TOR,LAC,LAC@TOR,6:00PM EST,18,19.7, 
nba.p.4152,Kyle,Lowry,PG,TOR,LAC,LAC@TOR,6:00PM EST,46,40.4, 
nba.p.4614,DeMar,DeRozan,SG,TOR,LAC,LAC@TOR,6:00PM EST,39,35.7, 
nba.p.4621,James,Johnson,SF,TOR,LAC,LAC@TOR,6:00PM EST,10,10.6,O
nba.p.4632,DeMarre,Carroll,SF,TOR,LAC,LAC@TOR,6:00PM EST,17,22.3,INJ
nba.p.4729,Patrick,Patterson,PF,TOR,LAC,LAC@TOR,6:00PM EST,10,15.0,GTD
nba.p.4886,Jonas,Valanciunas,C,TOR,LAC,LAC@TOR,6:00PM EST,24,26.5, 
nba.p.4888,Bismack,Biyombo,C,TOR,LAC,LAC@TOR,6:00PM EST,14,18.2, 
nba.p.4911,Cory,Joseph,PG,TOR,LAC,LAC@TOR,6:00PM EST,10,16.8, 
nba.p.5014,Terrence,Ross,SG,TOR,LAC,LAC@TOR,6:00PM EST,10,14.4, 
nba.p.5152,Anthony,Bennett,SF,TOR,LAC,LAC@TOR,6:00PM EST,10,4.0, 
nba.p.5186,Lucas,Nogueira,C,TOR,LAC,LAC@TOR,6:00PM EST,10,6.2, 
nba.p.5331,Bruno,Caboclo,SF,TOR,LAC,LAC@TOR,6:00PM EST,10,1.1, 
nba.p.5480,Delon,Wright,PG,TOR,LAC,LAC@TOR,6:00PM EST,10,1.8, 
nba.p.5506,Norman,Powell,SG,TOR,LAC,LAC@TOR,6:00PM EST,10,3.2, 
nba.p.3715,Nick,Collison,PF,OKC,BKN,OKC@BKN,3:30PM EST,10,7.3, 
nba.p.4160,Steve,Novak,SF,OKC,BKN,OKC@BKN,3:30PM EST,10,3.2, 
nba.p.4244,Kevin,Durant,SF,OKC,BKN,OKC@BKN,3:30PM EST,52,44.9, 
nba.p.4390,Russell,Westbrook,PG,OKC,BKN,OKC@BKN,3:30PM EST,59,48.9, 
nba.p.4471,D.J.,Augustin,PG,OKC,BKN,OKC@BKN,3:30PM EST,10,8.9, 
nba.p.4486,Serge,Ibaka,PF,OKC,BKN,OKC@BKN,3:30PM EST,27,26.5, 
nba.p.4527,Anthony,Morrow,SF,OKC,BKN,OKC@BKN,3:30PM EST,10,9.2, 
nba.p.4899,Enes,Kanter,C,OKC,BKN,OKC@BKN,3:30PM EST,16,21.5, 
nba.p.4915,Kyle,Singler,SG,OKC,BKN,OKC@BKN,3:30PM EST,10,6.1, 
