First Name,Last Name,Team,VS,Pos,FPPG,Sal
Nikola,Vucevic,ORL,SAS @ ORL,C,34.52,5850
Tobias,Harris,ORL,SAS @ ORL,SF,26.29,4650
Andrew,Nicholson,ORL,SAS @ ORL,PF,12.22,3300
Victor,Oladipo,ORL,SAS @ ORL,SG,25.94,5200
David,West,SAS,SAS @ ORL,PF,16.64,3900
C.J.,Watson,ORL,SAS @ ORL,PG,8.00,3500
LaMarcus,Aldridge,SAS,SAS @ ORL,PF,30.99,5550
Evan,Fournier,ORL,SAS @ ORL,SG,20.93,4500
Jason,Smith,ORL,SAS @ ORL,C,11.87,3500
Tim,Duncan,SAS,SAS @ ORL,PF,25.19,4750
Danny,Green,SAS,SAS @ ORL,SG,16.82,4150
Boris,Diaw,SAS,SAS @ ORL,PF,14.29,3500
Matt,Bonner,SAS,SAS @ ORL,PF,4.28,3000
Manu,Ginobili,SAS,SAS @ ORL,SG,19.08,3700
Patty,Mills,SAS,SAS @ ORL,PG,14.88,3850
Tony,Parker,SAS,SAS @ ORL,PG,24.15,4500
Kawhi,Leonard,SAS,SAS @ ORL,SF,35.51,5500
Channing,Frye,ORL,SAS @ ORL,PF,11.81,3500
Ray,McCallum,SAS,SAS @ ORL,PG,7.25,3300
Rasual,Butler,SAS,SAS @ ORL,SF,6.13,3000
Dewayne,Dedmon,ORL,SAS @ ORL,C,5.98,3000
Shabazz,Napier,ORL,SAS @ ORL,PG,9.31,3500
Aaron,Gordon,ORL,SAS @ ORL,PF,19.74,4800
Elfrid,Payton,ORL,SAS @ ORL,PG,25.80,4700
Kyle,Anderson,SAS,SAS @ ORL,SF,10.27,3300
Devyn,Marble,ORL,SAS @ ORL,SG,0.84,3000
Joe,Harris,ORL,SAS @ ORL,SG,-1.00,3300
Keith,Appling,ORL,SAS @ ORL,PG,1.55,3000
Mario,Hezonja,ORL,SAS @ ORL,SG,9.52,3600
Boban,Marjanovic,SAS,SAS @ ORL,C,12.99,3600
Jonathon,Simmons,SAS,SAS @ ORL,SG,9.92,3000
Elton,Brand,PHI,SAC @ PHI,PF,1.00,3500
Nerlens,Noel,PHI,SAC @ PHI,PF,27.09,5100
James,Anderson,SAC,SAC @ PHI,SG,4.67,3000
Rajon,Rondo,SAC,SAC @ PHI,PG,38.56,5950
Rudy,Gay,SAC,SAC @ PHI,SF,31.47,5450
Quincy,Acy,SAC,SAC @ PHI,PF,9.14,3200
Earl,Clark,PHI,SAC @ PHI,PF,6.25,3000
Caron,Butler,SAC,SAC @ PHI,SF,6.50,3000
Kosta,Koufos,SAC,SAC @ PHI,C,15.61,3600
Robert,Covington,PHI,SAC @ PHI,SF,22.28,4300
Isaiah,Canaan,PHI,SAC @ PHI,PG,15.76,3800
Omri,Casspi,SAC,SAC @ PHI,SF,23.48,4450
Marco,Belinelli,SAC,SAC @ PHI,SG,15.63,4200
Seth,Curry,SAC,SAC @ PHI,PG,5.79,3000
Darren,Collison,SAC,SAC @ PHI,PG,21.37,4100
Ish,Smith,PHI,SAC @ PHI,PG,26.76,5300
