Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
C,Salah Mejri,3000,Dal@Bos 07:30PM ET,2.350,Dal
PG,Ray McCallum,3000,Den@SA 08:30PM ET,3.167,SA
SF,Pat Connaughton,3000,Por@Hou 08:00PM ET,1.563,Por
SF,Michael Kidd-Gilchrist,3000,Bkn@Cha 07:00PM ET,0,Cha
SF,K.J. McDaniels,3000,Por@Hou 08:00PM ET,3.000,Hou
C,Frank Kaminsky,3000,Bkn@Cha 07:00PM ET,7.611,Cha
SF,P.J. Hairston,3000,Bkn@Cha 07:00PM ET,9.375,Cha
PF,Rakeem Christmas,3000,Ind@Phi 07:00PM ET,0,Ind
SF,Jakarr Sampson,3000,Ind@Phi 07:00PM ET,10.932,Phi
SG,Norman Powell,3000,Tor@Uta 09:00PM ET,3.607,Tor
C,Alex Len,3000,Chi@Pho 10:30PM ET,14.275,Pho
C,Lucas Nogueira,3000,Tor@Uta 09:00PM ET,3.500,Tor
SF,Mirza Teletovic,3000,Chi@Pho 10:30PM ET,10.025,Pho
SF,Kostas Papanikolaou,3000,Den@SA 08:30PM ET,5.875,Den
SF,Sergey Karasev,3000,Bkn@Cha 07:00PM ET,1.583,Bkn
SF,Sam Dekker,3000,Por@Hou 08:00PM ET,1.083,Hou
SG,R.J. Hunter,3000,Dal@Bos 07:30PM ET,6.583,Bos
PF,Richaun Holmes,3000,Ind@Phi 07:00PM ET,10.714,Phi
SF,Justin Anderson,3000,Dal@Bos 07:30PM ET,6.000,Dal
PF,Montrezl Harrell,3000,Por@Hou 08:00PM ET,8.650,Hou
SF,Glenn Robinson III,3000,Ind@Phi 07:00PM ET,9.393,Ind
PF,Mitch McGary,3000,NO@OKC 08:00PM ET,3.650,OKC
SG,Archie Goodwin,3000,Chi@Pho 10:30PM ET,11.071,Pho
SF,Anthony Bennett,3000,Tor@Uta 09:00PM ET,4.000,Tor
PG,Raul Neto,3000,Tor@Uta 09:00PM ET,10.425,Uta
PG,Delon Wright,3000,Tor@Uta 09:00PM ET,1.125,Tor
PF,Jordan Mickey,3000,Dal@Bos 07:30PM ET,6.125,Bos
PF,Bobby Portis,3000,Chi@Pho 10:30PM ET,9.500,Chi
PF,Christian Wood,3000,Ind@Phi 07:00PM ET,9.583,Phi
PG,Terry Rozier,3000,Dal@Bos 07:30PM ET,4.583,Bos
PF,Noah Vonleh,3000,Por@Hou 08:00PM ET,6.938,Por
SG,James Young,3000,Dal@Bos 07:30PM ET,0.000,Bos
PG,Aaron Harrison,3000,Bkn@Cha 07:00PM ET,0,Cha
PG,Cameron Payne,3000,NO@OKC 08:00PM ET,2.542,OKC
C,Joel Embiid,3000,Ind@Phi 07:00PM ET,0,Phi
PG,Dante Exum,3000,Tor@Uta 09:00PM ET,0,Uta
SF,Bruno Caboclo,3000,Tor@Uta 09:00PM ET,0.000,Tor
C,Nikola Jokic,3000,Den@SA 08:30PM ET,14.111,Den
C,Walter Tavares,3000,Sac@Atl 08:00PM ET,1.125,Atl
SF,Damjan Rudez,3000,Min@Orl 07:00PM ET,2.050,Min
C,Cristiano Felício,3000,Chi@Pho 10:30PM ET,1.500,Chi
SG,Mario Hezonja,3000,Min@Orl 07:00PM ET,8.182,Orl
PG,Tyus Jones,3000,Min@Orl 07:00PM ET,2.875,Min
PF,Cliff Alexander,3000,Por@Hou 08:00PM ET,6.500,Por
SG,Devin Booker,3000,Chi@Pho 10:30PM ET,6.250,Pho
PF,Trey Lyles,3000,Tor@Uta 09:00PM ET,5.389,Uta
PF,Chris McCullough,3000,Bkn@Cha 07:00PM ET,0,Bkn
SF,Luis Montero,3000,Por@Hou 08:00PM ET,2.125,Por
