Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
14786-23169,C,Steven,Adams,18.343636363636364,55,4400,OKC@NO,OKC,NO,,,,
14786-16178,SF,Maurice,Harkless,11.963636363636363,55,4400,HOU@POR,POR,HOU,,,,
14786-23178,PF,Mirza,Teletovic,16.043636363636363,55,4200,BKN@PHO,PHO,BKN,,,,
14786-14539,PF,Jon,Leuer,18.415217391304346,46,4100,BKN@PHO,PHO,BKN,,,,
14786-9810,PG,Jerryd,Bayless,19.547222222222224,36,4100,MIL@BOS,MIL,BOS,GTD,Knee,,
14786-9629,PF,David,West,15.819642857142856,56,4100,SA@UTA,SA,UTA,,,,
14786-9664,SF,Andre,Iguodala,19.380000000000003,55,4100,GS@ORL,GS,ORL,,,,
14786-9951,SG,Gerald,Henderson,13.120833333333332,48,4100,HOU@POR,POR,HOU,,,,
14786-12365,PF,Ed,Davis,18.728571428571428,56,4000,HOU@POR,POR,HOU,,,,
14786-15501,SG,Allen,Crabbe,17.157142857142855,56,4000,HOU@POR,POR,HOU,,,,
14786-42148,SF,Rondae,Hollis-Jefferson,17.24736842105263,19,4000,BKN@PHO,BKN,PHO,O,Ankle,,
14786-55059,PF,Clint,Capela,19.445454545454545,55,4000,HOU@POR,HOU,POR,,,,
14786-9574,SG,O.J.,Mayo,17.66764705882353,34,3900,MIL@BOS,MIL,BOS,,,,
14786-9501,PF,Kris,Humphries,13.851612903225806,31,3800,BKN@PHO,PHO,BKN,,,,
14786-14519,PF,Donatas,Motiejunas,9,14,3800,HOU@POR,HOU,POR,O,Back,,
14786-9593,PG,Brandon,Jennings,14.761538461538462,26,3800,GS@ORL,ORL,GS,,,,
14786-15952,PF,John,Henson,16.245238095238093,42,3800,MIL@BOS,MIL,BOS,GTD,Back,,
14786-14533,PG,Shelvin,Mack,8.661538461538461,26,3700,SA@UTA,UTA,SA,,,,
14786-9559,SF,Rasual,Butler,6.94,40,3700,SA@UTA,SA,UTA,,,,
14786-15591,C,Miles,Plumlee,8.81111111111111,36,3700,MIL@BOS,MIL,BOS,,,,
14786-12350,PF,Trevor,Booker,16.48333333333333,54,3700,SA@UTA,UTA,SA,,,,
14786-9606,SF,Corey,Brewer,14.18421052631579,57,3700,HOU@POR,HOU,POR,,,,
14786-9862,PF,Amir,Johnson,19.418181818181818,55,3700,MIL@BOS,BOS,MIL,,,,
14786-16220,SG,Dion,Waiters,16.82982456140351,57,3700,OKC@NO,OKC,NO,,,,
14786-9723,PG,Ronnie,Price,10.405405405405405,37,3700,BKN@PHO,PHO,BKN,,,,
14786-15757,PF,Terrence,Jones,17.467391304347824,46,3600,HOU@POR,HOU,POR,,,,
