Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PF,Anthony Davis,10700,NO@NY 12:00PM ET,46.107,NO
SF,Carmelo Anthony,8100,NO@NY 12:00PM ET,39.750,NY
PG,Ricky Rubio,7500,Mem@Min 03:30PM ET,36.000,Min
C,Karl-Anthony Towns,7400,Mem@Min 03:30PM ET,35.917,Min
C,Marc Gasol,6900,Mem@Min 03:30PM ET,29.975,Mem
SG,Tyreke Evans,6800,NO@NY 12:00PM ET,0,NO
SG,Andrew Wiggins,6400,Mem@Min 03:30PM ET,28.719,Min
SG,Eric Gordon,6300,NO@NY 12:00PM ET,31.250,NO
PF,Zach Randolph,6200,Mem@Min 03:30PM ET,29.250,Mem
PF,Ryan Anderson,6200,NO@NY 12:00PM ET,29.389,NO
PG,Mike Conley,5900,Mem@Min 03:30PM ET,27.850,Mem
PF,Kristaps Porzingis,5800,NO@NY 12:00PM ET,27.550,NY
PG,Ish Smith,5500,NO@NY 12:00PM ET,29.389,NO
PG,Jrue Holiday,5000,NO@NY 12:00PM ET,23.542,NO
PF,Nemanja Bjelica,4900,Mem@Min 03:30PM ET,24.194,Min
PG,Zach LaVine,4700,Mem@Min 03:30PM ET,23.361,Min
C,Robin Lopez,4500,NO@NY 12:00PM ET,21.700,NY
SG,Arron Afflalo,4400,NO@NY 12:00PM ET,22.625,NY
SG,Kevin Martin,4300,Mem@Min 03:30PM ET,20.906,Min
SG,Langston Galloway,4300,NO@NY 12:00PM ET,22.025,NY
C,Omer Asik,4000,NO@NY 12:00PM ET,10.313,NO
PG,Toney Douglas,3800,NO@NY 12:00PM ET,19.000,NO
SF,Tony Allen,3700,Mem@Min 03:30PM ET,16.975,Mem
SG,Courtney Lee,3600,Mem@Min 03:30PM ET,18.450,Mem
PG,Jerian Grant,3600,NO@NY 12:00PM ET,16.575,NY
PF,Kyle O'Quinn,3500,NO@NY 12:00PM ET,17.200,NY
SF,Matt Barnes,3400,Mem@Min 03:30PM ET,16.225,Mem
SF,Jeff Green,3400,Mem@Min 03:30PM ET,14.425,Mem
PG,José Calderón,3400,NO@NY 12:00PM ET,15.675,NY
C,Gorgui Dieng,3400,Mem@Min 03:30PM ET,14.972,Min
SG,Sasha Vujacic,3300,NO@NY 12:00PM ET,15.750,NY
C,Alexis Ajinca,3300,NO@NY 12:00PM ET,11.694,NO
SF,Luke Babbitt,3300,NO@NY 12:00PM ET,14.000,NO
PF,Brandan Wright,3200,Mem@Min 03:30PM ET,14.571,Mem
C,Nikola Pekovic,3200,Mem@Min 03:30PM ET,0,Min
PF,Kevin Garnett,3100,Mem@Min 03:30PM ET,10.875,Min
PG,Mario Chalmers,3100,Mem@Min 03:30PM ET,16.607,Mem
SF,Derrick Williams,3100,NO@NY 12:00PM ET,14.525,NY
SF,Shabazz Muhammad,3100,Mem@Min 03:30PM ET,12.000,Min
SG,Vince Carter,3000,Mem@Min 03:30PM ET,6.250,Mem
PG,Andre Miller,3000,Mem@Min 03:30PM ET,9.850,Min
PF,Louis Amundson,3000,NO@NY 12:00PM ET,11.167,NY
SF,Tayshaun Prince,3000,Mem@Min 03:30PM ET,9.028,Min
C,Kendrick Perkins,3000,NO@NY 12:00PM ET,9.667,NO
SF,Dante Cunningham,3000,NO@NY 12:00PM ET,11.694,NO
SF,Alonzo Gee,3000,NO@NY 12:00PM ET,9.722,NO
SF,Quincy Pondexter,3000,NO@NY 12:00PM ET,0,NO
SF,Lance Thomas,3000,NO@NY 12:00PM ET,9.675,NY
PG,Jimmer Fredette,3000,NO@NY 12:00PM ET,2.750,NO
PG,Norris Cole,3000,NO@NY 12:00PM ET,0,NO
PF,JaMychal Green,3000,Mem@Min 03:30PM ET,14.175,Mem
PF,Kevin Seraphin,3000,NO@NY 12:00PM ET,4.458,NY
PG,Russ Smith,3000,Mem@Min 03:30PM ET,5.100,Mem
PF,Adreian Payne,3000,Mem@Min 03:30PM ET,8.550,Min
SG,James Ennis,3000,Mem@Min 03:30PM ET,0.500,Mem
SG,Jordan Adams,3000,Mem@Min 03:30PM ET,9.500,Mem
SF,Cleanthony Early,3000,NO@NY 12:00PM ET,2.700,NY
PF,Jarell Martin,3000,Mem@Min 03:30PM ET,0,Mem
SF,Damjan Rudez,3000,Mem@Min 03:30PM ET,2.050,Min
PG,Tyus Jones,3000,Mem@Min 03:30PM ET,2.875,Min
PG,Russell Westbrook,12200,Bos@OKC 07:00PM ET,57.083,OKC
PF,DeMarcus Cousins,10200,Tor@Sac 09:00PM ET,46.875,Sac
SF,Kevin Durant,9900,Bos@OKC 07:00PM ET,46.438,OKC
C,Andre Drummond,9700,Det@LAL 09:30PM ET,50.861,Det
PG,Damian Lillard,8700,Por@Cha 05:00PM ET,43.875,Por
PG,Rajon Rondo,8500,Tor@Sac 09:00PM ET,39.675,Sac
PG,Kyle Lowry,8200,Tor@Sac 09:00PM ET,41.500,Tor
PF,Paul Millsap,7900,Uta@Atl 06:00PM ET,40.250,Atl
PG,Reggie Jackson,7600,Det@LAL 09:30PM ET,36.556,Det
PF,Derrick Favors,7300,Uta@Atl 06:00PM ET,36.389,Uta
C,Al Horford,7100,Uta@Atl 06:00PM ET,37.091,Atl
SG,DeMar DeRozan,7100,Tor@Sac 09:00PM ET,34.375,Tor
PG,Jeff Teague,7000,Uta@Atl 06:00PM ET,33.409,Atl
PG,Isaiah Thomas,7000,Bos@OKC 07:00PM ET,35.438,Bos
SF,Rudy Gay,6800,Tor@Sac 09:00PM ET,28.175,Sac
C,Rudy Gobert,6800,Uta@Atl 06:00PM ET,33.464,Uta
PF,Serge Ibaka,6700,Bos@OKC 07:00PM ET,31.778,OKC
SF,Nicolas Batum,6600,Por@Cha 05:00PM ET,33.000,Cha
SF,Marcus Morris,6500,Det@LAL 09:30PM ET,29.917,Det
SG,C.J. McCollum,6500,Por@Cha 05:00PM ET,32.300,Por
PG,Kemba Walker,6400,Por@Cha 05:00PM ET,31.056,Cha
SF,Gordon Hayward,6400,Uta@Atl 06:00PM ET,28.333,Uta
SG,Kobe Bryant,6100,Det@LAL 09:30PM ET,26.857,LAL
PF,Julius Randle,6100,Det@LAL 09:30PM ET,27.889,LAL
C,Jonas Valanciunas,6000,Tor@Sac 09:00PM ET,30.675,Tor
C,Al Jefferson,5900,Por@Cha 05:00PM ET,26.250,Cha
SF,Al-Farouq Aminu,5900,Por@Cha 05:00PM ET,28.750,Por
PF,Jared Sullinger,5700,Bos@OKC 07:00PM ET,29.688,Bos
SF,DeMarre Carroll,5600,Tor@Sac 09:00PM ET,23.500,Tor
C,Mason Plumlee,5600,Por@Cha 05:00PM ET,26.600,Por
PF,Marvin Williams,5400,Por@Cha 05:00PM ET,27.500,Cha
SG,Kent Bazemore,5400,Uta@Atl 06:00PM ET,25.273,Atl
C,Enes Kanter,5400,Bos@OKC 07:00PM ET,25.417,OKC
SG,Alec Burks,5300,Uta@Atl 06:00PM ET,25.333,Uta
SF,Jae Crowder,5300,Bos@OKC 07:00PM ET,27.906,Bos
PG,Jordan Clarkson,5200,Det@LAL 09:30PM ET,24.528,LAL
SG,Kentavious Caldwell-Pope,5200,Det@LAL 09:30PM ET,24.083,Det
SG,Evan Turner,4900,Bos@OKC 07:00PM ET,22.594,Bos
C,Roy Hibbert,4800,Det@LAL 09:30PM ET,24.583,LAL
PG,Darren Collison,4800,Tor@Sac 09:00PM ET,26.375,Sac
SF,Rodney Hood,4800,Uta@Atl 06:00PM ET,22.625,Uta
PG,Lou Williams,4600,Det@LAL 09:30PM ET,23.250,LAL
SG,Avery Bradley,4600,Bos@OKC 07:00PM ET,20.250,Bos
PG,Trey Burke,4500,Uta@Atl 06:00PM ET,21.111,Uta
