Player ID,Position,Player Name,Team,Opponent,Salary,PPG
469089,PF,Marcus Morris,Pistons,Knicks,9000,24.1
469089,SF,Marcus Morris,Pistons,Knicks,9000,24.1
58258,PG,Steve Blake,Pistons,Knicks,5000,11.5
58258,SG,Steve Blake,Pistons,Knicks,5000,11.5
265013,C,Joel Anthony,Pistons,Knicks,5000,3.1
265013,PF,Joel Anthony,Pistons,Knicks,5000,3.1
292396,PF,Ersan Ilyasova,Pistons,Knicks,9550,22.1
292396,SF,Ersan Ilyasova,Pistons,Knicks,9550,22.1
478196,PG,Brandon Jennings,Pistons,Knicks,6650,15.0
229905,PF,Anthony Tolliver,Pistons,Knicks,5000,12.4
229905,SF,Anthony Tolliver,Pistons,Knicks,5000,12.4
462444,PG,Reggie Jackson,Pistons,Knicks,13600,32.7
462444,SG,Reggie Jackson,Pistons,Knicks,13600,32.7
329862,SG,Jodie Meeks,Pistons,Knicks,5000,1.5
614746,C,Andre Drummond,Pistons,Knicks,16050,41.3
614746,PF,Andre Drummond,Pistons,Knicks,16050,41.3
296379,C,Aron Baynes,Pistons,Knicks,6450,13.0
602730,SG,Kentavious Caldwell-Pope,Pistons,Knicks,10150,24.9
552335,SG,Reggie Bullock,Pistons,Knicks,5000,1.1
552335,SF,Reggie Bullock,Pistons,Knicks,5000,1.1
602411,PG,Spencer Dinwiddie,Pistons,Knicks,5000,7.3
844331,SF,Stanley Johnson,Pistons,Knicks,8000,16.4
601538,SG,Darrun Hilliard,Pistons,Knicks,5000,3.9
253996,PF,Josh Smith,Rockets,Suns,8100,15.9
253996,SF,Josh Smith,Rockets,Suns,8100,15.9
3315,PG,Jason Terry,Rockets,Suns,5000,11.2
3315,SG,Jason Terry,Rockets,Suns,5000,11.2
263217,SG,Corey Brewer,Rockets,Suns,7100,14.3
263217,SF,Corey Brewer,Rockets,Suns,7100,14.3
329672,PG,Ty Lawson,Rockets,Suns,7000,15.4
599805,PF,Donatas Motiejunas,Rockets,Suns,5250,9.9
599805,SF,Donatas Motiejunas,Rockets,Suns,5250,9.9
229738,SG,Trevor Ariza,Rockets,Suns,11850,25.1
229738,SF,Trevor Ariza,Rockets,Suns,11850,25.1
395388,SG,James Harden,Rockets,Suns,21600,48.8
395388,SF,James Harden,Rockets,Suns,21600,48.8
253975,C,Dwight Howard,Rockets,Suns,13650,34.5
253975,PF,Dwight Howard,Rockets,Suns,13650,34.5
398590,SG,Marcus Thornton,Rockets,Suns,5750,17.1
398590,SF,Marcus Thornton,Rockets,Suns,5750,17.1
553573,PF,Terrence Jones,Rockets,Suns,7450,17.7
553573,SF,Terrence Jones,Rockets,Suns,7450,17.7
332691,PG,Patrick Beverley,Rockets,Suns,9450,19.9
332691,SG,Patrick Beverley,Rockets,Suns,9450,19.9
830647,C,Clint Capela,Rockets,Suns,6950,20.2
830647,PF,Clint Capela,Rockets,Suns,6950,20.2
604734,SF,K.J. McDaniels,Rockets,Suns,5000,3.2
691518,SF,Sam Dekker,Rockets,Suns,5000,1.1
698651,PF,Montrezl Harrell,Rockets,Suns,5900,6.5
266369,C,Roy Hibbert,Lakers,Pelicans,7750,18.1
3100,SG,Kobe Bryant,Lakers,Pelicans,12400,27.0
3100,SF,Kobe Bryant,Lakers,Pelicans,12400,27.0
3321,PF,Metta World Peace,Lakers,Pelicans,5000,11.3
