First Name,Last Name,Team,VS,Pos,FPPG,Sal
John,Wall,WAS,WAS @ MIL,PG,42.61,6650
Otto,Porter,WAS,WAS @ MIL,SF,24.81,4400
Garrett,Temple,WAS,WAS @ MIL,SG,17.14,3800
Nene,Hilario,WAS,WAS @ MIL,PF,18.39,3950
Bradley,Beal,WAS,WAS @ MIL,SG,27.08,4700
Ramon,Sessions,WAS,WAS @ MIL,PG,17.64,3750
Michael,Carter-Williams,MIL,WAS @ MIL,PG,28.10,4800
Alan,Anderson,WAS,WAS @ MIL,SG,29.75,3000
Kris,Humphries,WAS,WAS @ MIL,PF,11.73,3500
Chris,Copeland,MIL,WAS @ MIL,SF,2.03,3000
Greg,Monroe,MIL,WAS @ MIL,C,33.35,5300
O.J.,Mayo,MIL,WAS @ MIL,SG,17.53,3600
Khris,Middleton,MIL,WAS @ MIL,SG,29.83,5200
Giannis,Antetokounmpo,MIL,WAS @ MIL,SF,31.44,5200
Gary,Neal,WAS,WAS @ MIL,SG,15.15,3700
John,Henson,MIL,WAS @ MIL,C,17.01,3650
Jerryd,Bayless,MIL,WAS @ MIL,PG,18.70,4100
DeJuan,Blair,WAS,WAS @ MIL,C,5.56,3000
Jared,Dudley,WAS,WAS @ MIL,SG,19.14,3900
Miles,Plumlee,MIL,WAS @ MIL,C,8.43,3300
Marcin,Gortat,WAS,WAS @ MIL,C,31.42,5200
Greivis,Vasquez,MIL,WAS @ MIL,PG,13.43,3300
Drew,Gooden,WAS,WAS @ MIL,PF,8.56,3300
Jabari,Parker,MIL,WAS @ MIL,PF,21.32,3900
Tyler,Ennis,MIL,WAS @ MIL,PG,4.29,3000
Johnny,O'Bryant,MIL,WAS @ MIL,PF,6.84,3000
Damien,Inglis,MIL,WAS @ MIL,SF,0.08,3000
Jarell,Eddie,WAS,WAS @ MIL,SF,3.67,3000
Kelly,Oubre,WAS,WAS @ MIL,SF,7.09,3000
Rashad,Vaughn,MIL,WAS @ MIL,SG,5.37,3000
Norris,Cole,NOP,NOP @ OKC,PG,19.19,4300
D.J.,Augustin,OKC,NOP @ OKC,PG,6.79,3500
Steve,Novak,OKC,NOP @ OKC,SF,2.10,3500
Dion,Waiters,OKC,NOP @ OKC,SG,16.95,4100
Alonzo,Gee,NOP,NOP @ OKC,SF,11.45,3400
Kyle,Singler,OKC,NOP @ OKC,SF,6.85,3500
Dante,Cunningham,NOP,NOP @ OKC,PF,9.92,3300
Enes,Kanter,OKC,NOP @ OKC,C,21.48,4550
Serge,Ibaka,OKC,NOP @ OKC,PF,25.41,4700
Kevin,Durant,OKC,NOP @ OKC,SF,46.74,7600
Andre,Roberson,OKC,NOP @ OKC,SG,13.03,3800
Russell,Westbrook,OKC,NOP @ OKC,PG,49.76,7950
Kendrick,Perkins,NOP,NOP @ OKC,C,3.61,3000
Steven,Adams,OKC,NOP @ OKC,C,18.32,3800
Nick,Collison,OKC,NOP @ OKC,PF,7.64,3350
Quincy,Pondexter,NOP,NOP @ OKC,SG,4.50,3000
Omer,Asik,NOP,NOP @ OKC,C,12.74,3600
Anthony,Morrow,OKC,NOP @ OKC,SG,8.49,3700
Ryan,Anderson,NOP,NOP @ OKC,PF,26.15,4550
Jrue,Holiday,NOP,NOP @ OKC,PG,28.13,5300
Anthony,Davis,NOP,NOP @ OKC,PF,43.31,7450
Tyreke,Evans,NOP,NOP @ OKC,SG,31.21,5200
Eric,Gordon,NOP,NOP @ OKC,SG,21.41,4300
Toney,Douglas,NOP,NOP @ OKC,PG,10.12,3600
Alexis,Ajinca,NOP,NOP @ OKC,C,11.91,3300
Luke,Babbitt,NOP,NOP @ OKC,SF,5.10,3000
Mitch,McGary,OKC,NOP @ OKC,PF,1.82,3300
Josh,Huestis,OKC,NOP @ OKC,SF,0.00,3000
Cameron,Payne,OKC,NOP @ OKC,PG,12.18,3500
Bryce,Dejean-Jones,NOP,NOP @ OKC,SG,13.52,4000
