Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3513,Pau,Gasol,C,CHI,SA,CHI@SA,8:00PM EST,41,39.5, 
nba.p.3601,Mike,Dunleavy,SF,CHI,SA,CHI@SA,8:00PM EST,12,16.4, 
nba.p.4287,Joakim,Noah,PF,CHI,SA,CHI@SA,8:00PM EST,19,21.9,INJ
nba.p.4304,Aaron,Brooks,PG,CHI,SA,CHI@SA,8:00PM EST,10,13.3, 
nba.p.4387,Derrick,Rose,PG,CHI,SA,CHI@SA,8:00PM EST,27,27.5, 
nba.p.4631,Taj,Gibson,PF,CHI,SA,CHI@SA,8:00PM EST,18,21.1, 
nba.p.4905,Nikola,Mirotic,PF,CHI,SA,CHI@SA,8:00PM EST,19,22.1, 
nba.p.4912,Jimmy,Butler,SG,CHI,SA,CHI@SA,8:00PM EST,43,38.4,O
nba.p.4937,E'Twaun,Moore,PG,CHI,SA,CHI@SA,8:00PM EST,14,13.5, 
nba.p.5142,Justin,Holiday,SG,CHI,SA,CHI@SA,8:00PM EST,10,6.1, 
nba.p.5190,Tony,Snell,SG,CHI,SA,CHI@SA,8:00PM EST,10,11.3, 
nba.p.5322,Doug,McDermott,SF,CHI,SA,CHI@SA,8:00PM EST,10,13.4, 
nba.p.5360,Cameron,Bairstow,PF,CHI,SA,CHI@SA,8:00PM EST,10,4.6,GTD
nba.p.5482,Bobby,Portis,C,CHI,SA,CHI@SA,8:00PM EST,13,15.3,GTD
nba.p.5522,Cristiano,Felicio,C,CHI,SA,CHI@SA,8:00PM EST,10,4.2, 
nba.p.3173,Tim,Duncan,C,SA,CHI,CHI@SA,8:00PM EST,16,24.6, 
nba.p.3331,Andre,Miller,SG,SA,CHI,CHI@SA,8:00PM EST,10,7.7, 
nba.p.3380,Manu,Ginobili,SG,SA,CHI,CHI@SA,8:00PM EST,10,19.7, 
nba.p.3527,Tony,Parker,PG,SA,CHI,CHI@SA,8:00PM EST,18,23.1,GTD
nba.p.3650,Rasual,Butler,SG,SA,CHI,CHI@SA,8:00PM EST,10,6.5, 
nba.p.3721,David,West,PF,SA,CHI,CHI@SA,8:00PM EST,10,15.9, 
nba.p.3724,Boris,Diaw,C,SA,CHI,CHI@SA,8:00PM EST,10,14.1, 
nba.p.3748,Matt,Bonner,PF,SA,CHI,CHI@SA,8:00PM EST,10,4.9, 
nba.p.4130,LaMarcus,Aldridge,PF,SA,CHI,CHI@SA,8:00PM EST,32,31.5, 
nba.p.4651,Danny,Green,SG,SA,CHI,CHI@SA,8:00PM EST,15,18.0, 
nba.p.4660,Patty,Mills,PG,SA,CHI,CHI@SA,8:00PM EST,11,17.0, 
nba.p.4896,Kawhi,Leonard,SF,SA,CHI,CHI@SA,8:00PM EST,41,37.6, 
nba.p.5341,Kyle,Anderson,SF,SA,CHI,CHI@SA,8:00PM EST,10,11.0, 
nba.p.5524,Boban,Marjanovic,C,SA,CHI,CHI@SA,8:00PM EST,10,10.3, 
nba.p.5526,Jonathon,Simmons,SG,SA,CHI,CHI@SA,8:00PM EST,10,9.4, 
nba.p.3710,Kirk,Hinrich,SG,ATL,TOR,ATL@TOR,7:30PM EST,10,8.4, 
nba.p.3754,Kyle,Korver,SG,ATL,TOR,ATL@TOR,7:30PM EST,14,18.9, 
nba.p.3831,Kris,Humphries,PF,ATL,TOR,ATL@TOR,7:30PM EST,10,14.3, 
nba.p.4141,Thabo,Sefolosha,SF,ATL,TOR,ATL@TOR,7:30PM EST,10,16.4, 
nba.p.4175,Paul,Millsap,PF,ATL,TOR,ATL@TOR,7:30PM EST,38,37.4, 
nba.p.4245,Al,Horford,C,ATL,TOR,ATL@TOR,7:30PM EST,33,32.4, 
nba.p.4306,Tiago,Splitter,C,ATL,TOR,ATL@TOR,7:30PM EST,10,12.0,INJ
nba.p.4624,Jeff,Teague,PG,ATL,TOR,ATL@TOR,7:30PM EST,26,28.0, 
nba.p.5077,Mike,Scott,PF,ATL,TOR,ATL@TOR,7:30PM EST,10,11.9, 
nba.p.5102,Kent,Bazemore,SF,ATL,TOR,ATL@TOR,7:30PM EST,19,23.7, 
nba.p.5187,Dennis,Schroder,PG,ATL,TOR,ATL@TOR,7:30PM EST,15,22.0, 
nba.p.5194,Tim,Hardaway Jr.,SG,ATL,TOR,ATL@TOR,7:30PM EST,10,9.3, 
nba.p.5214,Mike,Muscala,C,ATL,TOR,ATL@TOR,7:30PM EST,10,8.2, 
nba.p.5354,Walter,Tavares,C,ATL,TOR,ATL@TOR,7:30PM EST,10,5.8, 
nba.p.5359,Lamar,Patterson,SG,ATL,TOR,ATL@TOR,7:30PM EST,10,5.9, 
nba.p.3653,Luis,Scola,PF,TOR,ATL,ATL@TOR,7:30PM EST,10,17.6, 
nba.p.4152,Kyle,Lowry,PG,TOR,ATL,ATL@TOR,7:30PM EST,44,41.0, 
nba.p.4474,Jason,Thompson,PF,TOR,ATL,ATL@TOR,7:30PM EST,10,6.4, 
nba.p.4614,DeMar,DeRozan,SG,TOR,ATL,ATL@TOR,7:30PM EST,39,35.4, 
nba.p.4621,James,Johnson,SF,TOR,ATL,ATL@TOR,7:30PM EST,10,10.5, 
nba.p.4632,DeMarre,Carroll,SF,TOR,ATL,ATL@TOR,7:30PM EST,17,22.3,INJ
nba.p.4729,Patrick,Patterson,PF,TOR,ATL,ATL@TOR,7:30PM EST,10,15.1, 
nba.p.4886,Jonas,Valanciunas,C,TOR,ATL,ATL@TOR,7:30PM EST,22,26.5, 
nba.p.4888,Bismack,Biyombo,C,TOR,ATL,ATL@TOR,7:30PM EST,10,17.9, 
nba.p.4911,Cory,Joseph,PG,TOR,ATL,ATL@TOR,7:30PM EST,10,17.6, 
nba.p.5014,Terrence,Ross,SG,TOR,ATL,ATL@TOR,7:30PM EST,10,15.9, 
nba.p.5186,Lucas,Nogueira,C,TOR,ATL,ATL@TOR,7:30PM EST,10,5.4, 
nba.p.5331,Bruno,Caboclo,SF,TOR,ATL,ATL@TOR,7:30PM EST,10,0.7, 
nba.p.5480,Delon,Wright,PG,TOR,ATL,ATL@TOR,7:30PM EST,10,3.6, 
nba.p.5506,Norman,Powell,SF,TOR,ATL,ATL@TOR,7:30PM EST,10,4.8, 
nba.p.3523,Richard,Jefferson,SF,CLE,LAL,CLE@LAL,10:30PM EST,10,9.9, 
nba.p.3704,LeBron,James,SF,CLE,LAL,CLE@LAL,10:30PM EST,54,45.1, 
nba.p.3750,Mo,Williams,SG,CLE,LAL,CLE@LAL,10:30PM EST,10,14.9,INJ
nba.p.3752,James,Jones,SG,CLE,LAL,CLE@LAL,10:30PM EST,10,5.9, 
nba.p.3835,J.R.,Smith,SG,CLE,LAL,CLE@LAL,10:30PM EST,19,21.6, 
nba.p.3934,Channing,Frye,PF,CLE,LAL,CLE@LAL,10:30PM EST,10,12.1, 
nba.p.4391,Kevin,Love,PF,CLE,LAL,CLE@LAL,10:30PM EST,33,33.5, 
nba.p.4518,Sasha,Kaun,C,CLE,LAL,CLE@LAL,10:30PM EST,10,2.3, 
nba.p.4794,Timofey,Mozgov,C,CLE,LAL,CLE@LAL,10:30PM EST,10,13.6,O
nba.p.4840,Kyrie,Irving,PG,CLE,LAL,CLE@LAL,10:30PM EST,36,30.8, 
nba.p.4884,Tristan,Thompson,C,CLE,LAL,CLE@LAL,10:30PM EST,18,21.4, 
nba.p.4898,Iman,Shumpert,SG,CLE,LAL,CLE@LAL,10:30PM EST,10,15.2, 
nba.p.5249,Matthew,Dellavedova,PG,CLE,LAL,CLE@LAL,10:30PM EST,10,18.2, 
nba.p.5370,Jordan,McRae,SG,CLE,LAL,CLE@LAL,10:30PM EST,10,7.7, 
nba.p.3118,Kobe,Bryant,SF,LAL,CLE,CLE@LAL,10:30PM EST,23,27.5,GTD
nba.p.3339,Metta,World Peace,SF,LAL,CLE,CLE@LAL,10:30PM EST,10,10.6, 
nba.p.3959,Brandon,Bass,PF,LAL,CLE,CLE@LAL,10:30PM EST,10,15.8, 
nba.p.3971,Lou,Williams,PG,LAL,CLE,CLE@LAL,10:30PM EST,22,24.0,INJ
nba.p.4294,Nick,Young,SG,LAL,CLE,CLE@LAL,10:30PM EST,10,11.6, 
nba.p.4479,Roy,Hibbert,C,LAL,CLE,CLE@LAL,10:30PM EST,10,16.9, 
nba.p.5094,Robert,Sacre,C,LAL,CLE,CLE@LAL,10:30PM EST,10,7.1, 
nba.p.5218,Ryan,Kelly,SF,LAL,CLE,CLE@LAL,10:30PM EST,10,11.0, 
nba.p.5318,Julius,Randle,PF,LAL,CLE,CLE@LAL,10:30PM EST,25,26.4, 
nba.p.5357,Jordan,Clarkson,SG,LAL,CLE,CLE@LAL,10:30PM EST,21,25.9, 
nba.p.5383,Tarik,Black,C,LAL,CLE,CLE@LAL,10:30PM EST,10,9.6, 
nba.p.5433,D'Angelo,Russell,PG,LAL,CLE,CLE@LAL,10:30PM EST,23,23.9, 
nba.p.5487,Larry,Nance Jr.,PF,LAL,CLE,CLE@LAL,10:30PM EST,10,14.1, 
nba.p.5494,Anthony,Brown,SF,LAL,CLE,CLE@LAL,10:30PM EST,10,9.0,INJ
nba.p.5544,Marcelo,Huertas,PG,LAL,CLE,CLE@LAL,10:30PM EST,10,9.6, 
nba.p.3512,Tyson,Chandler,C,PHO,DEN,PHO@DEN,9:00PM EST,10,18.4, 
nba.p.3990,Ronnie,Price,PG,PHO,DEN,PHO@DEN,9:00PM EST,10,12.5, 
