First Name,Last Name,Team,VS,Pos,FPPG,Sal
John,Wall,WAS,NOP @ WAS,PG,42.99,6650
Otto,Porter,WAS,NOP @ WAS,SF,23.88,4400
Garrett,Temple,WAS,NOP @ WAS,SG,16.16,3800
Nene,Hilario,WAS,NOP @ WAS,PF,17.66,3950
Bradley,Beal,WAS,NOP @ WAS,SG,27.50,4700
Ramon,Sessions,WAS,NOP @ WAS,PG,17.31,3750
Norris,Cole,NOP,NOP @ WAS,PG,19.51,4300
Alan,Anderson,WAS,NOP @ WAS,SG,29.75,3000
Alonzo,Gee,NOP,NOP @ WAS,SF,11.08,3400
Gary,Neal,WAS,NOP @ WAS,SG,15.41,3700
Dante,Cunningham,NOP,NOP @ WAS,SF,9.28,3300
Kendrick,Perkins,NOP,NOP @ WAS,C,3.61,3000
Quincy,Pondexter,NOP,NOP @ WAS,SF,4.50,3000
Omer,Asik,NOP,NOP @ WAS,C,13.22,3600
Ryan,Anderson,NOP,NOP @ WAS,PF,24.93,4550
Jrue,Holiday,NOP,NOP @ WAS,PG,29.93,5600
Anthony,Davis,NOP,NOP @ WAS,PF,43.69,7350
Tyreke,Evans,NOP,NOP @ WAS,SG,31.21,5200
Eric,Gordon,NOP,NOP @ WAS,SG,19.77,4300
Toney,Douglas,NOP,NOP @ WAS,PG,11.28,3600
Jared,Dudley,WAS,NOP @ WAS,PF,19.65,3900
Markieff,Morris,WAS,NOP @ WAS,PF,20.03,4750
Marcin,Gortat,WAS,NOP @ WAS,C,32.37,5200
Alexis,Ajinca,NOP,NOP @ WAS,C,11.09,3300
Luke,Babbitt,NOP,NOP @ WAS,SF,3.10,3000
Drew,Gooden,WAS,NOP @ WAS,PF,8.01,3300
Jarell,Eddie,WAS,NOP @ WAS,SF,2.98,3000
Kelly,Oubre,WAS,NOP @ WAS,SF,6.68,3000
Bryce,Dejean-Jones,NOP,NOP @ WAS,SG,13.10,3700
Elton,Brand,PHI,ORL @ PHI,PF,1.00,3500
Joel,Anthony,PHI,ORL @ PHI,C,2.67,3300
Nikola,Vucevic,ORL,ORL @ PHI,C,35.72,6000
Andrew,Nicholson,ORL,ORL @ PHI,PF,11.85,3300
Victor,Oladipo,ORL,ORL @ PHI,SG,27.87,5200
Nerlens,Noel,PHI,ORL @ PHI,PF,28.70,5200
Earl,Clark,PHI,ORL @ PHI,PF,6.25,3000
C.J.,Watson,ORL,ORL @ PHI,PG,2.88,3500
Brandon,Jennings,ORL,ORL @ PHI,PG,14.34,3800
Ersan,Ilyasova,ORL,ORL @ PHI,PF,22.56,4100
Evan,Fournier,ORL,ORL @ PHI,SG,20.46,4650
Robert,Covington,PHI,ORL @ PHI,SF,22.78,4300
Isaiah,Canaan,PHI,ORL @ PHI,PG,15.79,3800
Jason,Smith,ORL,ORL @ PHI,C,11.89,3500
Ish,Smith,PHI,ORL @ PHI,PG,25.00,5200
Kendall,Marshall,PHI,ORL @ PHI,PG,8.47,3300
Carl,Landry,PHI,ORL @ PHI,PF,10.55,3500
Hollis,Thompson,PHI,ORL @ PHI,SF,14.13,3600
Dewayne,Dedmon,ORL,ORL @ PHI,C,5.64,3000
Shabazz,Napier,ORL,ORL @ PHI,PG,7.98,3500
Aaron,Gordon,ORL,ORL @ PHI,PF,20.42,4700
Elfrid,Payton,ORL,ORL @ PHI,PG,25.01,4700
Joel,Embiid,PHI,ORL @ PHI,C,0.00,3000
Nik,Stauskas,PHI,ORL @ PHI,SG,13.19,3800
Devyn,Marble,ORL,ORL @ PHI,SG,0.58,3000
Jerami,Grant,PHI,ORL @ PHI,SF,20.51,4100
Mario,Hezonja,ORL,ORL @ PHI,SG,9.54,3600
Jahlil,Okafor,PHI,ORL @ PHI,C,29.27,4950
Richaun,Holmes,PHI,ORL @ PHI,PF,11.71,3500
T.J.,McConnell,PHI,ORL @ PHI,PG,15.95,3900
Christian,Wood,PHI,ORL @ PHI,PF,5.00,3000
Jameer,Nelson,DEN,SAC @ DEN,PG,20.25,3900
James,Anderson,SAC,SAC @ DEN,SG,4.80,3000
Rajon,Rondo,SAC,SAC @ DEN,PG,37.81,6100
Rudy,Gay,SAC,SAC @ DEN,SF,31.00,5450
D.J.,Augustin,DEN,SAC @ DEN,PG,7.38,3500
Quincy,Acy,SAC,SAC @ DEN,PF,9.82,3200
Caron,Butler,SAC,SAC @ DEN,SF,5.00,3000
Will,Barton,DEN,SAC @ DEN,SG,28.20,4700
Danilo,Gallinari,DEN,SAC @ DEN,SF,31.45,5350
Kenneth,Faried,DEN,SAC @ DEN,PF,25.88,4800
Darrell,Arthur,DEN,SAC @ DEN,PF,16.36,3700
Wilson,Chandler,DEN,SAC @ DEN,SF,22.00,3700
Joffrey,Lauvergne,DEN,SAC @ DEN,C,15.23,3500
Mike,Miller,DEN,SAC @ DEN,SF,4.27,3000
Kosta,Koufos,SAC,SAC @ DEN,C,15.18,3600
Omri,Casspi,SAC,SAC @ DEN,SF,24.06,4450
Marco,Belinelli,SAC,SAC @ DEN,SG,15.21,4200
Seth,Curry,SAC,SAC @ DEN,PG,6.11,3000
Darren,Collison,SAC,SAC @ DEN,PG,22.26,4100
Ben,McLemore,SAC,SAC @ DEN,SG,13.33,3700
