Player ID,Position,Player Name,Team,Opponent,Salary,PPG
254009,C,Anderson Varejao,Cavaliers,Spurs,5000,6.9
254009,PF,Anderson Varejao,Cavaliers,Spurs,5000,6.9
551768,PG,Kyrie Irving,Cavaliers,Spurs,11450,25.7
551768,SG,Kyrie Irving,Cavaliers,Spurs,11450,25.7
552806,C,Tristan Thompson,Cavaliers,Spurs,9200,21.4
552806,PF,Tristan Thompson,Cavaliers,Spurs,9200,21.4
253997,SG,J.R. Smith,Cavaliers,Spurs,9950,21.5
253997,SF,J.R. Smith,Cavaliers,Spurs,9950,21.5
552679,C,Timofey Mozgov,Cavaliers,Spurs,6800,13.5
65834,PG,Mo Williams,Cavaliers,Spurs,6550,17.3
65834,SG,Mo Williams,Cavaliers,Spurs,6550,17.3
214152,PF,LeBron James,Cavaliers,Spurs,18600,44.7
214152,SF,LeBron James,Cavaliers,Spurs,18600,44.7
58360,SG,James Jones,Cavaliers,Spurs,5000,6.2
58360,SF,James Jones,Cavaliers,Spurs,5000,6.2
395374,C,Kevin Love,Cavaliers,Spurs,15000,35.8
395374,PF,Kevin Love,Cavaliers,Spurs,15000,35.8
457186,SG,Iman Shumpert,Cavaliers,Spurs,6450,14.8
457186,SF,Iman Shumpert,Cavaliers,Spurs,6450,14.8
3504,SG,Richard Jefferson,Cavaliers,Spurs,5000,10.2
3504,SF,Richard Jefferson,Cavaliers,Spurs,5000,10.2
513339,PG,Jared Cunningham,Cavaliers,Spurs,5000,4.9
513339,SG,Jared Cunningham,Cavaliers,Spurs,5000,4.9
531447,PG,Matthew Dellavedova,Cavaliers,Spurs,7800,19.9
531447,SG,Matthew Dellavedova,Cavaliers,Spurs,7800,19.9
263245,C,Sasha Kaun,Cavaliers,Spurs,5000,3.1
295941,SG,Wilson Chandler,Nuggets,Pacers,5000,0.0
295941,SF,Wilson Chandler,Nuggets,Pacers,5000,0.0
456448,SF,Danilo Gallinari,Nuggets,Pacers,12900,31.4
411111,C,Kenneth Faried,Nuggets,Pacers,12000,26.5
411111,PF,Kenneth Faried,Nuggets,Pacers,12000,26.5
172692,PG,Randy Foye,Nuggets,Pacers,5500,12.1
172692,SG,Randy Foye,Nuggets,Pacers,5500,12.1
330347,C,Darrell Arthur,Nuggets,Pacers,5800,16.1
330347,PF,Darrell Arthur,Nuggets,Pacers,5800,16.1
3385,SG,Mike Miller,Nuggets,Pacers,5000,5.0
3385,SF,Mike Miller,Nuggets,Pacers,5000,5.0
61934,PG,Jameer Nelson,Nuggets,Pacers,7600,20.0
400585,C,J.J. Hickson,Nuggets,Pacers,6000,15.2
400585,PF,J.J. Hickson,Nuggets,Pacers,6000,15.2
551760,SG,Will Barton,Nuggets,Pacers,10800,28.6
551760,SF,Will Barton,Nuggets,Pacers,10800,28.6
739968,C,Joffrey Lauvergne,Nuggets,Pacers,7300,17.2
739968,PF,Joffrey Lauvergne,Nuggets,Pacers,7300,17.2
830642,C,Jusuf Nurkic,Nuggets,Pacers,6700,14.2
712593,SG,Gary Harris,Nuggets,Pacers,7000,19.3
830650,C,Nikola Jokic,Nuggets,Pacers,8650,20.6
511055,SG,Sean Kilpatrick,Nuggets,Pacers,5000,5.7
877870,PG,Emmanuel Mudiay,Nuggets,Pacers,10400,23.7
253996,PF,Josh Smith,Rockets,Wizards,7450,15.5
253996,SF,Josh Smith,Rockets,Wizards,7450,15.5
3315,PG,Jason Terry,Rockets,Wizards,5000,11.4
3315,SG,Jason Terry,Rockets,Wizards,5000,11.4
263217,SG,Corey Brewer,Rockets,Wizards,7150,14.1
