Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Russell Westbrook,10600,OKC@Bkn 03:30PM ET,52.661,OKC
SG,James Harden,10100,Dal@Hou 03:30PM ET,49.194,Hou
PG,Chris Paul,9700,LAC@Tor 06:00PM ET,42.329,LAC
SF,Kevin Durant,9500,OKC@Bkn 03:30PM ET,47.388,OKC
PF,Blake Griffin,8800,LAC@Tor 06:00PM ET,43.567,LAC
PG,Kyle Lowry,8500,LAC@Tor 06:00PM ET,42.413,Tor
SG,DeMar DeRozan,8300,LAC@Tor 06:00PM ET,37.122,Tor
C,Dwight Howard,7800,Dal@Hou 03:30PM ET,36.628,Hou
PG,Isaiah Thomas,7800,Bos@Phi 07:00PM ET,37.864,Bos
PG,Ish Smith,7500,Bos@Phi 07:00PM ET,27.681,Phi
C,DeAndre Jordan,7200,LAC@Tor 06:00PM ET,35.909,LAC
C,Brook Lopez,7000,OKC@Bkn 03:30PM ET,36.835,Bkn
SF,Jae Crowder,6500,Bos@Phi 07:00PM ET,28.869,Bos
PF,Thaddeus Young,6400,OKC@Bkn 03:30PM ET,32.278,Bkn
C,Jonas Valanciunas,6400,LAC@Tor 06:00PM ET,28.183,Tor
PF,Nerlens Noel,6400,Bos@Phi 07:00PM ET,28.132,Phi
PF,Dirk Nowitzki,6300,Dal@Hou 03:30PM ET,31.994,Dal
PG,Jarrett Jack,6300,OKC@Bkn 03:30PM ET,31.078,Bkn
C,Jahlil Okafor,6300,Bos@Phi 07:00PM ET,30.919,Phi
PG,Deron Williams,6200,Dal@Hou 03:30PM ET,28.865,Dal
PF,Clint Capela,6000,Dal@Hou 03:30PM ET,21.795,Hou
SF,Chandler Parsons,5900,Dal@Hou 03:30PM ET,20.946,Dal
SF,Robert Covington,5900,Bos@Phi 07:00PM ET,24.564,Phi
C,Zaza Pachulia,5800,Dal@Hou 03:30PM ET,29.157,Dal
PF,Serge Ibaka,5700,OKC@Bkn 03:30PM ET,27.800,OKC
SG,Avery Bradley,5600,Bos@Phi 07:00PM ET,25.026,Bos
C,Jared Sullinger,5500,Bos@Phi 07:00PM ET,27.174,Bos
SG,J.J. Redick,5400,LAC@Tor 06:00PM ET,22.686,LAC
SF,Trevor Ariza,5200,Dal@Hou 03:30PM ET,24.455,Hou
C,Kelly Olynyk,5200,Bos@Phi 07:00PM ET,21.331,Bos
PF,Terrence Jones,5200,Dal@Hou 03:30PM ET,20.147,Hou
SG,Wesley Matthews,5100,Dal@Hou 03:30PM ET,22.927,Dal
PF,Amir Johnson,5000,Bos@Phi 07:00PM ET,21.616,Bos
PG,Donald Sloan,5000,OKC@Bkn 03:30PM ET,14.510,Bkn
PG,Marcus Smart,4900,Bos@Phi 07:00PM ET,22.728,Bos
SF,DeMarre Carroll,4800,LAC@Tor 06:00PM ET,23.261,Tor
SF,Joe Johnson,4700,OKC@Bkn 03:30PM ET,23.085,Bkn
SG,Rondae Hollis-Jefferson,4600,OKC@Bkn 03:30PM ET,18.289,Bkn
PG,Ty Lawson,4500,Dal@Hou 03:30PM ET,16.743,Hou
SG,Evan Turner,4500,Bos@Phi 07:00PM ET,22.142,Bos
C,Enes Kanter,4500,OKC@Bkn 03:30PM ET,22.800,OKC
SG,Jamal Crawford,4400,LAC@Tor 06:00PM ET,18.977,LAC
C,Steven Adams,4400,OKC@Bkn 03:30PM ET,18.756,OKC
SF,Jerami Grant,4400,Bos@Phi 07:00PM ET,20.827,Phi
PF,Luis Scola,4300,LAC@Tor 06:00PM ET,20.500,Tor
PG,Patrick Beverley,4200,Dal@Hou 03:30PM ET,19.074,Hou
PG,Isaiah Canaan,4100,Bos@Phi 07:00PM ET,18.273,Phi
SF,Corey Brewer,3900,Dal@Hou 03:30PM ET,14.567,Hou
SF,Wesley Johnson,3900,LAC@Tor 06:00PM ET,13.378,LAC
SG,Dion Waiters,3900,OKC@Bkn 03:30PM ET,18.244,OKC
SF,Paul Pierce,3800,LAC@Tor 06:00PM ET,12.231,LAC
C,Bismack Biyombo,3800,LAC@Tor 06:00PM ET,19.343,Tor
C,Cole Aldrich,3700,LAC@Tor 06:00PM ET,15.202,LAC
SG,Nik Stauskas,3700,Bos@Phi 07:00PM ET,14.961,Phi
PG,J.J. Barea,3600,Dal@Hou 03:30PM ET,18.609,Dal
PF,Josh Smith,3600,Dal@Hou 03:30PM ET,15.727,Hou
SF,James Johnson,3600,LAC@Tor 06:00PM ET,11.129,Tor
SF,Marcus Thornton,3600,Dal@Hou 03:30PM ET,17.908,Hou
PF,Patrick Patterson,3600,LAC@Tor 06:00PM ET,15.663,Tor
SG,Hollis Thompson,3600,Bos@Phi 07:00PM ET,16.393,Phi
PF,David Lee,3500,Bos@Phi 07:00PM ET,16.283,Bos
SG,Raymond Felton,3500,Dal@Hou 03:30PM ET,19.943,Dal
SG,Terrence Ross,3500,LAC@Tor 06:00PM ET,14.885,Tor
PG,Cory Joseph,3500,LAC@Tor 06:00PM ET,17.581,Tor
SF,Bojan Bogdanovic,3400,OKC@Bkn 03:30PM ET,16.210,Bkn
PG,Cameron Payne,3400,OKC@Bkn 03:30PM ET,11.776,OKC
PF,Dwight Powell,3300,Dal@Hou 03:30PM ET,16.145,Dal
PG,Pablo Prigioni,3300,LAC@Tor 06:00PM ET,10.054,LAC
PG,Shane Larkin,3300,OKC@Bkn 03:30PM ET,17.156,Bkn
PG,Jason Terry,3200,Dal@Hou 03:30PM ET,11.388,Hou
PG,Devin Harris,3200,Dal@Hou 03:30PM ET,15.558,Dal
SG,Wayne Ellington,3200,OKC@Bkn 03:30PM ET,11.488,Bkn
PG,T.J. McConnell,3200,Bos@Phi 07:00PM ET,20.125,Phi
PF,Donatas Motiejunas,3200,Dal@Hou 03:30PM ET,10.250,Hou
SG,Austin Rivers,3200,LAC@Tor 06:00PM ET,13.644,LAC
C,Nick Collison,3100,OKC@Bkn 03:30PM ET,7.796,OKC
PF,Luc Richard Mbah a Moute,3100,LAC@Tor 06:00PM ET,7.750,LAC
C,JaVale McGee,3100,Dal@Hou 03:30PM ET,13.100,Dal
SF,Kyle Singler,3100,OKC@Bkn 03:30PM ET,6.456,OKC
PF,Willie Reed,3100,OKC@Bkn 03:30PM ET,9.021,Bkn
PF,Jonas Jerebko,3100,Bos@Phi 07:00PM ET,9.366,Bos
SG,Andre Roberson,3100,OKC@Bkn 03:30PM ET,13.517,OKC
C,Elton Brand,3000,Bos@Phi 07:00PM ET,0,Phi
SF,Steve Novak,3000,OKC@Bkn 03:30PM ET,3.250,OKC
PF,Charlie Villanueva,3000,Dal@Hou 03:30PM ET,11.196,Dal
PF,Carl Landry,3000,Bos@Phi 07:00PM ET,13.091,Phi
SG,Anthony Morrow,3000,OKC@Bkn 03:30PM ET,9.397,OKC
C,Andrea Bargnani,3000,OKC@Bkn 03:30PM ET,10.118,Bkn
PG,D.J. Augustin,3000,OKC@Bkn 03:30PM ET,9.391,OKC
