Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
15755,PF,Anthony,Davis,29.2,1,11200,NO@POR,NO,POR,,,,
9488,SF,LeBron,James,45.5,1,11000,CLE@MEM,CLE,MEM,,,,
12362,C,DeMarcus,Cousins,46.9,59,10900,LAC@SAC,SAC,LAC,,,,
9642,PG,Russell,Westbrook,50,67,10800,SA@OKC,OKC,SA,,,,
9644,SG,James,Harden,46,81,10800,DEN@HOU,HOU,DEN,,,,
9646,SF,Kevin,Durant,40.3,27,10300,SA@OKC,OKC,SA,,,,
9560,PF,Blake,Griffin,39.6,67,9900,LAC@SAC,LAC,SAC,,,,
9623,PG,Chris,Paul,41.8,82,9800,LAC@SAC,LAC,SAC,,,,
9508,SF,Carmelo,Anthony,37.3,40,9400,NY@MIL,NY,MIL,,,,
12332,PG,John,Wall,38.9,79,9400,WAS@ORL,WAS,ORL,,,,
20848,PG,Damian,Lillard,36,82,9000,NO@POR,POR,NO,,,,
15557,C,Andre,Drummond,49.3,1,9000,UTA@DET,DET,UTA,,,,
9688,PF,LaMarcus,Aldridge,39.8,71,8700,SA@OKC,SA,OKC,,,,
12341,SF,Paul,George,14.7,6,8500,IND@TOR,IND,TOR,,,,
9581,C,Marc,Gasol,35.3,81,8400,CLE@MEM,MEM,CLE,,,,
40203,C,Rudy,Gobert,26.5,82,8300,UTA@DET,UTA,DET,,,,
14523,PG,Reggie,Jackson,34.1,1,8300,UTA@DET,DET,UTA,,,,
9566,SG,Kobe,Bryant,37,35,8200,MIN@LAL,LAL,MIN,,,,
9475,PG,Derrick,Rose,26.7,1,8100,CHI@BKN,CHI,BKN,,,,
9577,SF,Rudy,Gay,34.2,68,8100,LAC@SAC,SAC,LAC,GTD,Personal,,
12337,C,Greg,Monroe,32.3,69,8000,NY@MIL,MIL,NY,,,,
9718,PF,Chris,Bosh,33.6,44,8000,CHA@MIA,MIA,CHA,,,,
9714,SG,DeMar,DeRozan,31.4,60,8000,IND@TOR,TOR,IND,,,,
14514,C,Nikola,Vucevic,36.3,74,7900,WAS@ORL,ORL,WAS,,,,
14498,PG,Kyrie,Irving,34.4,75,7900,CLE@MEM,CLE,MEM,O,Knee,,
9570,PF,Pau,Gasol,18.4,1,7900,CHI@BKN,CHI,BKN,,,,
9621,C,Brook,Lopez,30.4,72,7900,CHI@BKN,BKN,CHI,,,,
14513,SF,Kawhi,Leonard,33.5,64,7800,SA@OKC,SA,OKC,,,,
9609,C,Al,Jefferson,32.4,65,7800,CHA@MIA,CHA,MIA,,,,
12363,C,Hassan,Whiteside,29,48,7700,CHA@MIA,MIA,CHA,,,,
9561,C,DeAndre,Jordan,35.7,82,7700,LAC@SAC,LAC,SAC,,,,
49116,SF,Andrew,Wiggins,26.7,82,7600,MIN@LAL,MIN,LAL,,,,
15684,SG,Victor,Oladipo,30.2,72,7600,WAS@ORL,ORL,WAS,,,,
23825,PF,Nerlens,Noel,27.6,75,7500,PHI@BOS,PHI,BOS,,,,
9964,PG,Ty,Lawson,33.6,75,7500,DEN@HOU,HOU,DEN,GTD,Back,,
9535,PG,Kyle,Lowry,34.5,70,7500,IND@TOR,TOR,IND,,,,
14528,SG,Jimmy,Butler,32,1,7500,CHI@BKN,CHI,BKN,,,,
9710,C,Tim,Duncan,33.2,77,7500,SA@OKC,SA,OKC,,,,
19138,PG,Elfrid,Payton,25.2,82,7400,WAS@ORL,ORL,WAS,GTD,Hamstring,,
