Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
14908-12362,C,DeMarcus,Cousins,47.68490566037736,53,11100,CLE@SAC,SAC,CLE,,,,
14908-9644,SG,James,Harden,47.19365079365079,63,11000,HOU@PHI,HOU,PHI,,,,
14908-9524,PG,Stephen,Curry,48.174576271186446,59,10900,UTA@GS,GS,UTA,,,,
14908-9646,SF,Kevin,Durant,46.308928571428574,56,10900,LAC@OKC,OKC,LAC,,,,
14908-9642,PG,Russell,Westbrook,49.214285714285715,63,10600,LAC@OKC,OKC,LAC,,,,
14908-9488,SF,LeBron,James,44.595,60,10100,CLE@SAC,CLE,SAC,,,,
14908-15755,PF,Anthony,Davis,44.04727272727273,55,10000,NO@CHA,NO,CHA,,,,
14908-9623,PG,Chris,Paul,41.214035087719296,57,10000,LAC@OKC,LAC,OKC,,,,
14908-40199,SF,Giannis,Antetokounmpo,33.3,62,9600,MIA@MIL,MIL,MIA,,,,
14908-9508,SF,Carmelo,Anthony,38.175862068965515,58,9100,NY@PHO,NY,PHO,,,,
14908-14507,PG,Kemba,Walker,36.51639344262295,61,8800,NO@CHA,CHA,NO,,,,
14908-12363,C,Hassan,Whiteside,34.864814814814814,54,8700,MIA@MIL,MIA,MIL,,,,
14908-9561,C,DeAndre,Jordan,35.67333333333333,60,8600,LAC@OKC,LAC,OKC,,,,
14908-9455,PG,Rajon,Rondo,37.68135593220339,59,8500,CLE@SAC,SAC,CLE,,,,
14908-15557,C,Andre,Drummond,40.20634920634921,63,8500,DET@DAL,DET,DAL,,,,
14908-15860,PF,Draymond,Green,38.544262295081964,61,8200,UTA@GS,GS,UTA,,,,
14908-14559,PG,Isaiah,Thomas,35.175,64,8100,MEM@BOS,BOS,MEM,,,,
14908-9663,PG,Jrue,Holiday,29.139285714285712,56,8000,NO@CHA,NO,CHA,,,,
14908-9660,C,Dwight,Howard,33.96923076923077,52,7900,HOU@PHI,HOU,PHI,,,,
14908-16261,SG,Khris,Middleton,30.521875,64,7800,MIA@MIL,MIL,MIA,,,,
14908-9585,SG,Dwyane,Wade,31.798275862068966,58,7700,MIA@MIL,MIA,MIL,,,,
14908-12351,PF,Derrick,Favors,33.165217391304346,46,7600,UTA@GS,UTA,GS,,,,
14908-12366,SF,Gordon,Hayward,32.03650793650794,63,7300,UTA@GS,UTA,GS,,,,
14908-14498,PG,Kyrie,Irving,29.841666666666665,36,7200,CLE@SAC,CLE,SAC,,,,
14908-14509,SG,Klay,Thompson,30.525,60,7100,UTA@GS,GS,UTA,,,,
14908-9718,PF,Chris,Bosh,32.679245283018865,53,7000,MIA@MIL,MIA,MIL,O,Calf,,
14908-14523,PG,Reggie,Jackson,31.570967741935487,62,6900,DET@DAL,DET,DAL,,,,
14908-12337,C,Greg,Monroe,32.935483870967744,62,6900,MIA@MIL,MIL,MIA,,,,
14908-40203,C,Rudy,Gobert,30.030232558139534,43,6900,UTA@GS,UTA,GS,,,,
14908-9874,PF,Kevin,Love,32.45166666666667,60,6800,CLE@SAC,CLE,SAC,,,,
14908-42550,PF,Jabari,Parker,22.910344827586208,58,6800,MIA@MIL,MIL,MIA,,,,
14908-9575,PG,Mike,Conley,29.442857142857143,56,6800,MEM@BOS,MEM,BOS,O,Foot,,
14908-12511,PG,Ishmael,Smith,27.07758620689655,58,6800,HOU@PHI,PHI,HOU,,,,
14908-9673,PG,Goran,Dragic,26.19814814814815,54,6800,MIA@MIL,MIA,MIL,,,,
14908-9809,SG,Nicolas,Batum,30.32075471698113,53,6700,NO@CHA,CHA,NO,,,,
14908-9500,PF,Dirk,Nowitzki,29.798275862068966,58,6700,DET@DAL,DAL,DET,,,,
14908-14537,SF,Chandler,Parsons,23.37142857142857,56,6700,DET@DAL,DAL,DET,,,,
14908-15814,C,Alex,Len,19.723728813559323,59,6600,NY@PHO,PHO,NY,,,,
14908-9577,SF,Rudy,Gay,30.441509433962267,53,6600,CLE@SAC,SAC,CLE,,,,
14908-14506,PG,Brandon,Knight,31.592857142857145,42,6500,NY@PHO,PHO,NY,GTD,Groin,,
14908-9579,PF,Zach,Randolph,26.768421052631577,57,6500,MEM@BOS,MEM,BOS,GTD,Knee,,
14908-63122,PF,Kristaps,Porzingis,28.261904761904763,63,6300,NY@PHO,NY,PHO,,,,
14908-58083,C,Jahlil,Okafor,28.58679245283019,53,6300,HOU@PHI,PHI,HOU,O,Shin,,
