Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,,
9652,PG,Jameer,Nelson,17.6,6,4500,DEN@PHO,DEN,PHO,GTD,Back,,
23831,PF,Jerami,Grant,21.7,8,4400,PHI@SA,PHI,SA,,,,
9448,SG,Jamal,Crawford,15.4,9,4400,DET@LAC,LAC,DET,,,,
9491,PF,J.J.,Hickson,20,6,4400,DEN@PHO,DEN,PHO,,,,
20064,PG,Matthew,Dellavedova,20.6,8,4300,CLE@MIL,CLE,MIL,,,,
9810,PG,Jerryd,Bayless,21.4,9,4300,CLE@MIL,MIL,CLE,,,,
9598,PF,Ersan,Ilyasova,14.3,8,4300,DET@LAC,DET,LAC,,,,
23801,SG,Nik,Stauskas,20.8,7,4300,PHI@SA,PHI,SA,,,,
9758,SG,Danny,Green,17.4,8,4200,PHI@SA,SA,PHI,,,,
14530,SF,Bojan,Bogdanovic,17.2,8,4200,BKN@GS,BKN,GS,,,,
12344,PG,Greivis,Vasquez,17.3,9,4200,CLE@MIL,MIL,CLE,,,,
12424,C,Timofey,Mozgov,15.6,8,4200,CLE@MIL,CLE,MIL,,,,
16301,C,Dewayne,Dedmon,18.6,8,4100,ORL@WAS,ORL,WAS,,,,
16331,C,Festus,Ezeli,20.7,10,4100,BKN@GS,GS,BKN,,,,
23407,SF,P.J.,Tucker,13.2,8,4100,DEN@PHO,PHO,DEN,,,,
15834,PG,Shane,Larkin,13.8,8,4100,BKN@GS,BKN,GS,,,,
9495,PG,Jose Juan,Barea,17.5,8,4100,DAL@HOU,DAL,HOU,,,,
9512,PF,Nene,Hilario,15.6,6,4100,ORL@WAS,WAS,ORL,GTD,Back,,
9629,PF,David,West,11,8,4100,PHI@SA,SA,PHI,,,,
9605,PG,Ramon,Sessions,16.7,7,4100,ORL@WAS,WAS,ORL,,,,
58350,SF,Stanley,Johnson,14.5,8,4000,DET@LAC,DET,LAC,,,,
15730,PF,Thomas,Robinson,12.4,8,4000,BKN@GS,BKN,GS,,,,
9501,PF,Kris,Humphries,14.9,7,4000,ORL@WAS,WAS,ORL,,,,
9613,SG,Devin,Harris,16.1,8,4000,DAL@HOU,DAL,HOU,,,,
55057,C,Jusuf,Nurkic,18,62,4000,DEN@PHO,DEN,PHO,O,Knee,,
15952,PF,John,Henson,14,5,4000,CLE@MIL,MIL,CLE,,,,
40209,PF,Joffrey,Lauvergne,21.9,3,4000,DEN@PHO,DEN,PHO,O,Back,,
9698,PF,Jason,Thompson,6.2,5,4000,BKN@GS,GS,BKN,,,,
15814,C,Alex,Len,12.7,8,3900,DEN@PHO,PHO,DEN,,,,
9449,PF,Josh,Smith,13.2,9,3900,DET@LAC,LAC,DET,,,,
9471,PF,Boris,Diaw,15.2,8,3900,PHI@SA,SA,PHI,,,,
15954,PG,Kendall,Marshall,10.3,28,3900,PHI@SA,PHI,SA,O,Knee,,
24544,SG,Gary,Harris,16.4,8,3800,DEN@PHO,DEN,PHO,,,,
15631,SF,Hollis,Thompson,16.7,8,3800,PHI@SA,PHI,SA,,,,
41594,PF,Aaron,Gordon,16.9,9,3800,ORL@WAS,ORL,WAS,,,,
23120,SF,T.J.,Warren,16,8,3800,DEN@PHO,PHO,DEN,,,,
15592,PG,Austin,Rivers,13.7,9,3800,DET@LAC,LAC,DET,,,,
9574,SG,O.J.,Mayo,19,71,3800,CLE@MIL,MIL,CLE,O,Hamstring,,
9678,PF,Channing,Frye,14.5,4,3800,ORL@WAS,ORL,WAS,,,,
15792,C,Johnny,O'Bryant,13.5,9,3700,CLE@MIL,MIL,CLE,,,,
9739,C,JaVale,McGee,9.1,23,3700,DAL@HOU,DAL,HOU,O,Leg,,
23447,PF,Richaun,Holmes,10.3,7,3700,PHI@SA,PHI,SA,O,Hamstring,,
9939,PG,Patrick,Mills,15.7,8,3700,PHI@SA,SA,PHI,,,,
9459,SF,Paul,Pierce,14.1,9,3700,DET@LAC,LAC,DET,,,,
9520,PF,Charlie,Villanueva,13.4,7,3700,DAL@HOU,DAL,HOU,,,,
14539,PF,Jon,Leuer,15.7,8,3700,DEN@PHO,PHO,DEN,,,,
15560,PG,Shabazz,Napier,7.9,8,3700,ORL@WAS,ORL,WAS,,,,
9606,SF,Corey,Brewer,14.3,8,3700,DAL@HOU,HOU,DAL,,,,
16335,SG,John,Jenkins,10.9,3,3600,DAL@HOU,DAL,HOU,,,,
16183,SF,Jakarr,Sampson,9.2,8,3600,PHI@SA,PHI,SA,,,,
9968,SG,Jodie,Meeks,1.7,2,3600,DET@LAC,DET,LAC,O,Foot,,
9920,PF,Anthony,Tolliver,10.2,7,3600,DET@LAC,DET,LAC,,,,
9525,PG,C.J.,Watson,13.1,8,3600,ORL@WAS,ORL,WAS,O,Calf,,
12369,SG,Lance,Stephenson,13.1,9,3600,DET@LAC,LAC,DET,,,,
12348,SF,Wesley,Johnson,8.9,9,3600,DET@LAC,LAC,DET,,,,
15925,PG,Phil (Flip),Pressey,10.6,5,3600,PHI@SA,PHI,SA,,,,
55062,C,Nikola,Jokic,13.6,7,3600,DEN@PHO,DEN,PHO,,,,
23234,PG,Pablo,Prigioni,6.5,4,3600,DET@LAC,LAC,DET,,,,
9674,SG,Leandro,Barbosa,11.7,9,3600,BKN@GS,GS,BKN,O,Personal,,
9785,SF,James,Jones,4,8,3500,CLE@MIL,CLE,MIL,,,,
63123,SF,Mario,Hezonja,6.7,9,3500,ORL@WAS,ORL,WAS,,,,
9783,C,Joel,Anthony,6.5,49,3500,DET@LAC,DET,LAC,,,,
9734,SF,Mike,Miller,3.5,6,3500,DEN@PHO,DEN,PHO,,,,
9733,SG,Randy,Foye,8.8,8,3500,DEN@PHO,DEN,PHO,,,,
37931,C,Aron,Baynes,7.9,8,3500,DET@LAC,DET,LAC,,,,
64017,C,Salah,Mejri,2.2,5,3500,DAL@HOU,DAL,HOU,,,,
15858,PF,Branden,Dawson,0,0,3500,DET@LAC,LAC,DET,,,,
16348,SG,Darrun,Hilliard,0,0,3500,DET@LAC,DET,LAC,,,,
16363,SG,Joe,Harris,2.4,4,3500,CLE@MIL,CLE,MIL,,,,
9796,SF,Luc Richard,Mbah a Moute,2.6,7,3500,DET@LAC,LAC,DET,,,,
16378,SG,Erick,Green,0.9,3,3500,DEN@PHO,DEN,PHO,,,,
23824,PG,Archie,Goodwin,6.1,5,3500,DEN@PHO,PHO,DEN,,,,
16411,SG,C.J.,Wilcox,2.8,21,3500,DET@LAC,LAC,DET,,,,
58661,SG,Rashad,Vaughn,3.1,6,3500,CLE@MIL,MIL,CLE,,,,
9952,C,DeJuan,Blair,5.5,3,3500,ORL@WAS,WAS,ORL,,,,
9956,SG,Wayne,Ellington,7.2,8,3500,BKN@GS,BKN,GS,,,,
58153,SF,Kelly,Oubre,6.3,4,3500,ORL@WAS,WAS,ORL,,,,
9928,SF,Sonny,Weems,3.9,7,3500,DEN@PHO,PHO,DEN,,,,
9465,PG,Raymond,Felton,13.5,8,3500,DAL@HOU,DAL,HOU,,,,
15699,SG,Roy Devyn,Marble,3.2,1,3500,ORL@WAS,ORL,WAS,,,,
9496,PG,Jason,Terry,4.3,6,3500,DAL@HOU,HOU,DAL,,,,
12391,PF,Jeremy,Evans,5.9,7,3500,DAL@HOU,DAL,HOU,,,,
9503,PF,Drew,Gooden,13,5,3500,ORL@WAS,WAS,ORL,,,,
15542,PG,Spencer,Dinwiddie,1.2,1,3500,DET@LAC,DET,LAC,,,,
9490,C,Anderson,Varejao,5.7,7,3500,CLE@MIL,CLE,MIL,,,,
16026,SG,Markel,Brown,8.1,5,3500,BKN@GS,BKN,GS,,,,
15532,SF,K.J.,McDaniels,1.7,3,3500,DAL@HOU,HOU,DAL,,,,
12354,C,Cole,Aldrich,2.6,3,3500,DET@LAC,LAC,DET,,,,
23098,SF,Kostas,Papanikolaou,4.7,4,3500,DEN@PHO,DEN,PHO,,,,
16059,SG,Jared,Cunningham,5.5,7,3500,CLE@MIL,CLE,MIL,,,,
63826,C,Boban,Marjanovic,4.4,4,3500,PHI@SA,SA,PHI,,,,
18352,PG,Ray,McCallum,1.3,5,3500,PHI@SA,SA,PHI,,,,
21665,SG,Alan,Anderson,13.2,74,3500,ORL@WAS,WAS,ORL,O,Ankle,,
9559,SF,Rasual,Butler,8.6,7,3500,PHI@SA,SA,PHI,,,,
9549,SG,Brandon,Rush,5.6,5,3500,BKN@GS,GS,BKN,,,,
15591,C,Miles,Plumlee,5.6,8,3500,CLE@MIL,MIL,CLE,,,,
9540,C,Chuck,Hayes,6.8,2,3500,DAL@HOU,HOU,DAL,,,,
12832,PG,Donald,Sloan,3.7,2,3500,BKN@GS,BKN,GS,,,,
9580,PF,Darrell,Arthur,12.7,8,3500,DEN@PHO,DEN,PHO,,,,
17747,SG,Ian,Clark,6.3,6,3500,BKN@GS,GS,BKN,,,,
18821,SG,Jonathon,Simmons,0,0,3500,PHI@SA,SA,PHI,,,,
23178,PF,Mirza,Teletovic,5.8,8,3500,DEN@PHO,PHO,DEN,,,,
23776,PF,Montrezl,Harrell,8,7,3500,DAL@HOU,HOU,DAL,,,,
11074,PG,Garrett,Temple,4.5,5,3500,ORL@WAS,WAS,ORL,,,,
42148,SF,Rondae,Hollis-Jefferson,13.1,8,3500,BKN@GS,BKN,GS,,,,
