First Name,Last Name,Team,VS,Pos,FPPG,Sal
James,Jones,CLE,IND @ CLE,SF,5.39,3000
LeBron,James,CLE,IND @ CLE,SF,44.20,7550
Iman,Shumpert,CLE,IND @ CLE,SG,14.23,3500
J.R.,Smith,CLE,IND @ CLE,SG,21.02,4400
Lavoy,Allen,IND,IND @ CLE,PF,15.01,3500
Tristan,Thompson,CLE,IND @ CLE,PF,20.66,4700
C.J.,Miles,IND,IND @ CLE,SF,17.78,3800
Kyrie,Irving,CLE,IND @ CLE,PG,30.06,5650
Matthew,Dellavedova,CLE,IND @ CLE,PG,17.45,3900
George,Hill,IND,IND @ CLE,PG,24.15,4600
Ian,Mahinmi,IND,IND @ CLE,C,22.36,4150
Paul,George,IND,IND @ CLE,SF,37.38,6300
Solomon,Hill,IND,IND @ CLE,SF,8.36,3000
Rodney,Stuckey,IND,IND @ CLE,PG,18.40,3700
Chase,Budinger,IND,IND @ CLE,SF,9.53,3300
Kevin,Love,CLE,IND @ CLE,PF,31.57,5800
Richard,Jefferson,CLE,IND @ CLE,SF,8.45,3300
Mo,Williams,CLE,IND @ CLE,PG,7.60,3600
Timofey,Mozgov,CLE,IND @ CLE,C,12.72,3600
Monta,Ellis,IND,IND @ CLE,SG,27.35,5000
Jordan,Hill,IND,IND @ CLE,C,19.30,4200
Channing,Frye,CLE,IND @ CLE,PF,11.81,3500
Jordan,McRae,CLE,IND @ CLE,SG,6.92,3000
Glenn,Robinson,IND,IND @ CLE,SF,6.66,3000
Shayne,Whittington,IND,IND @ CLE,PF,4.92,3000
Myles,Turner,IND,IND @ CLE,C,23.08,4700
Rakeem,Christmas,IND,IND @ CLE,PF,0.00,3000
Joseph,Young,IND,IND @ CLE,PG,8.59,3500
Sasha,Kaun,CLE,IND @ CLE,C,1.91,3000
John,Wall,WAS,PHI @ WAS,PG,44.60,6650
Otto,Porter,WAS,PHI @ WAS,SF,24.26,4400
Garrett,Temple,WAS,PHI @ WAS,SG,16.64,3800
Nene,Hilario,WAS,PHI @ WAS,PF,19.15,3950
Bradley,Beal,WAS,PHI @ WAS,SG,26.08,4700
Ramon,Sessions,WAS,PHI @ WAS,PG,17.73,3750
Elton,Brand,PHI,PHI @ WAS,PF,1.00,3500
Nerlens,Noel,PHI,PHI @ WAS,PF,28.49,5200
Alan,Anderson,WAS,PHI @ WAS,SG,11.38,3000
Earl,Clark,PHI,PHI @ WAS,PF,6.25,3000
Gary,Neal,WAS,PHI @ WAS,SG,14.99,3700
J.J.,Hickson,WAS,PHI @ WAS,C,9.80,3700
Robert,Covington,PHI,PHI @ WAS,SF,20.93,4300
Isaiah,Canaan,PHI,PHI @ WAS,PG,14.99,3800
Jared,Dudley,WAS,PHI @ WAS,PF,20.24,3900
Ish,Smith,PHI,PHI @ WAS,PG,24.26,5000
Markieff,Morris,WAS,PHI @ WAS,PF,20.32,4750
Kendall,Marshall,PHI,PHI @ WAS,PG,8.43,3300
Marcin,Gortat,WAS,PHI @ WAS,C,32.49,5300
Carl,Landry,PHI,PHI @ WAS,PF,11.00,3500
Hollis,Thompson,PHI,PHI @ WAS,SF,13.67,3600
Drew,Gooden,WAS,PHI @ WAS,PF,7.74,3300
Joel,Embiid,PHI,PHI @ WAS,C,0.00,3000
Nik,Stauskas,PHI,PHI @ WAS,SG,13.00,3800
Jerami,Grant,PHI,PHI @ WAS,SF,20.38,4100
Jarell,Eddie,WAS,PHI @ WAS,SF,2.81,3000
Kelly,Oubre,WAS,PHI @ WAS,SF,6.96,3000
Jahlil,Okafor,PHI,PHI @ WAS,C,28.85,4950
Richaun,Holmes,PHI,PHI @ WAS,PF,12.13,3500
T.J.,McConnell,PHI,PHI @ WAS,PG,15.67,3900
Christian,Wood,PHI,PHI @ WAS,PF,5.00,3000
Trevor,Booker,UTA,UTA @ BOS,PF,17.22,3800
Shelvin,Mack,UTA,UTA @ BOS,PG,9.01,3950
Evan,Turner,BOS,UTA @ BOS,SG,23.60,4500
Kelly,Olynyk,BOS,UTA @ BOS,C,21.02,3900
Avery,Bradley,BOS,UTA @ BOS,SG,24.21,4400
Jared,Sullinger,BOS,UTA @ BOS,PF,25.34,4750
Amir,Johnson,BOS,UTA @ BOS,PF,20.27,3900
Tyler,Zeller,BOS,UTA @ BOS,C,10.42,3700
Jonas,Jerebko,BOS,UTA @ BOS,PF,10.14,3300
Rudy,Gobert,UTA,UTA @ BOS,C,30.69,5700
Trey,Burke,UTA,UTA @ BOS,PG,17.73,3800
Alec,Burks,UTA,UTA @ BOS,SG,19.81,3800
Gordon,Hayward,UTA,UTA @ BOS,SF,33.74,5450
Derrick,Favors,UTA,UTA @ BOS,PF,32.99,5300
Jeff,Withey,UTA,UTA @ BOS,C,14.20,3300
Jae,Crowder,BOS,UTA @ BOS,SF,28.19,4750
Isaiah,Thomas,BOS,UTA @ BOS,PG,36.13,5900
Chris,Johnson,UTA,UTA @ BOS,SF,9.51,3300
James,Young,BOS,UTA @ BOS,SG,3.72,3000
Marcus,Smart,BOS,UTA @ BOS,PG,22.42,4200
Dante,Exum,UTA,UTA @ BOS,PG,6.50,3000
Rodney,Hood,UTA,UTA @ BOS,SG,24.30,4800
Joe,Ingles,UTA,UTA @ BOS,SF,7.93,3000
Terry,Rozier,BOS,UTA @ BOS,PG,2.14,3000
Trey,Lyles,UTA,UTA @ BOS,PF,11.77,3300
Jordan,Mickey,BOS,UTA @ BOS,PF,2.81,3000
R.J.,Hunter,BOS,UTA @ BOS,SG,4.93,3000
Raulzinho,Neto,UTA,UTA @ BOS,PG,12.10,3700
Tibor,Pleiss,UTA,UTA @ BOS,C,4.69,3000
Trevor,Ariza,HOU,HOU @ MIL,SF,24.22,4600
Michael,Carter-Williams,MIL,HOU @ MIL,PG,29.31,4700
Jason,Terry,HOU,HOU @ MIL,PG,11.31,3300
Steve,Novak,MIL,HOU @ MIL,PF,2.96,3500
Greg,Monroe,MIL,HOU @ MIL,C,33.60,5250
Josh,Smith,HOU,HOU @ MIL,PF,13.76,3900
