gId","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
g14656-9512","PF","Nene","Hilario","17.99230769230769","26","4300","WAS@NY","WAS","NY","GTD","Calf","",""
g14656-9629","PF","David","West","15.67","50","4300","SA@MIA","SA","MIA","","","",""
g14656-55059","PF","Clint","Capela","19.8156862745098","51","4300","HOU@GS","HOU","GS","","","",""
g14656-9680","PF","Amar'e","Stoudemire","12.979166666666666","24","4300","SA@MIA","MIA","SA","","","",""
g14656-17230","SG","Langston","Galloway","17.22037037037037","54","4300","WAS@NY","NY","WAS","","","",""
g14656-9758","SG","Danny","Green","16.54901960784314","51","4200","SA@MIA","SA","MIA","","","",""
g14656-9799","SG","Wesley","Matthews","19.898","50","4200","UTA@DAL","DAL","UTA","","","",""
g14656-9601","C","Andrew","Bogut","20.013953488372092","43","4200","HOU@GS","GS","HOU","","","",""
g14656-11074","SG","Garrett","Temple","15.942553191489361","47","4200","WAS@NY","WAS","NY","","","",""
g14656-9810","PG","Jerryd","Bayless","19.61470588235294","34","4100","BOS@MIL","MIL","BOS","","","",""
g14656-9638","PF","David","Lee","15.433333333333334","30","4100","BOS@MIL","BOS","MIL","","","",""
g14656-15961","C","Tyler","Zeller","9.491428571428571","35","4100","BOS@MIL","BOS","MIL","","","",""
g14656-9939","PG","Patrick","Mills","15.082352941176472","51","4100","SA@MIA","SA","MIA","","","",""
g14656-15843","PG","Trey","Burke","18.302040816326528","49","4000","UTA@DAL","UTA","DAL","GTD","Illness","",""
g14656-9605","PG","Ramon","Sessions","17.538775510204083","49","4000","WAS@NY","WAS","NY","","","",""
g14656-9606","SF","Corey","Brewer","14.320754716981131","53","4000","HOU@GS","HOU","GS","","","",""
g14656-18600","PG","Tyler","Johnson","16.452777777777776","36","4000","SA@MIA","MIA","SA","O","Shoulder","",""
g14656-12350","PF","Trevor","Booker","16.552083333333332","48","3900","UTA@DAL","UTA","DAL","","","",""
g14656-9574","SG","O.J.","Mayo","17.903448275862072","29","3900","BOS@MIL","MIL","BOS","","","",""
g14656-9449","PF","Josh","Smith","18.51111111111111","9","3900","HOU@GS","HOU","GS","","","",""
g14656-15757","PF","Terrence","Jones","17.717777777777776","45","3800","HOU@GS","HOU","GS","O","Concussion","",""
g14656-14519","PF","Donatas","Motiejunas","9","14","3800","HOU@GS","HOU","GS","GTD","Back","",""
g14656-14500","PF","Derrick","Williams","15.101886792452829","53","3800","WAS@NY","NY","WAS","","","",""
g14656-9643","PG","Shaun","Livingston","13.897872340425533","47","3800","HOU@GS","GS","HOU","","","",""
g14656-15952","PF","John","Henson","16.245238095238093","42","3800","BOS@MIL","MIL","BOS","O","Back","",""
g14656-9671","PF","Marreese","Speights","11.37560975609756","41","3800","HOU@GS","GS","HOU","","","",""
g14656-40208","PG","Raul","Neto","12.014285714285716","49","3800","UTA@DAL","UTA","DAL","","","",""
g14656-9503","PF","Drew","Gooden","9.915000000000001","20","3600","WAS@NY","WAS","NY","","","",""
g14656-9495","PG","Jose Juan","Barea","16.910416666666666","48","3600","UTA@DAL","DAL","UTA","","","",""
g14656-16331","C","Festus","Ezeli","18.0825","40","3600","HOU@GS","GS","HOU","O","Knee","",""
g14656-12344","PG","Greivis","Vasquez","15.55625","16","3600","BOS@MIL","MIL","BOS","O","Ankle","",""
g14656-9674","SG","Leandro","Barbosa","11.543243243243245","37","3600","HOU@GS","GS","HOU","","","",""
g14656-9496","PG","Jason","Terry","10.093181818181819","44","3500","HOU@GS","HOU","GS","","","",""
g14656-12391","PF","Jeremy","Evans","5.475862068965518","29","3500","UTA@DAL","DAL","UTA","","","",""
g14656-9501","PF","Kris","Humphries","13.096296296296297","27","3500","WAS@NY","WAS","NY","GTD","Knee","",""
g14656-59318","SF","Joe","Ingles","8.310204081632653","49","3500","UTA@DAL","UTA","DAL","","","",""
g14656-15792","C","Johnny","O'Bryant","8.082978723404254","47","3500","BOS@MIL","MIL","BOS","","","",""
g14656-15532","SF","K.J.","McDaniels","3.19375","16","3500","HOU@GS","HOU","GS","","","",""
g14656-9778","PF","Josh","McRoberts","9.229166666666666","24","3500","SA@MIA","MIA","SA","","","",""
g14656-9739","C","JaVale","McGee","11.609375","32","3500","UTA@DAL","DAL","UTA","","","",""
g14656-12353","C","Tibor","Pleiss","3.5833333333333335","12","3500","UTA@DAL","UTA","DAL","","","",""
g14656-41063","PF","Jordan","Mickey","4.7","3","3500","BOS@MIL","BOS","MIL","","","",""
g14656-9520","PF","Charlie","Villanueva","9.990909090909092","44","3500","UTA@DAL","DAL","UTA","","","",""
g14656-9513","C","Chris","Andersen","4.8999999999999995","7","3500","SA@MIA","MIA","SA","O","Knee","",""
g14656-63826","C","Boban","Marjanovic","11.54375","32","3500","SA@MIA","SA","MIA","","","",""
g14656-18352","PG","Ray","McCallum","6.226086956521739","23","3500","SA@MIA","SA","MIA","","","",""
g14656-16859","SF","Lance","Thomas","12.522448979591838","49","3500","WAS@NY","NY","WAS","O","Concussion","",""
g14656-9567","SG","Sasha","Vujacic","8.42972972972973","37","3500","WAS@NY","NY","WAS","","","",""
g14656-22647","SF","J.J.","O'Brien","1.6","2","3500","UTA@DAL","UTA","DAL","","","",""
g14656-21665","SG","Alan","Anderson","0","0","3500","WAS@NY","WAS","NY","O","Ankle","",""
g14656-9559","SF","Rasual","Butler","6.355882352941176","34","3500","SA@MIA","SA","MIA","","","",""
g14656-64017","C","Salah","Mejri","8.299999999999999","14","3500","UTA@DAL","DAL","UTA","","","",""
g14656-12335","PF","Kevin","Seraphin","8.781818181818181","33","3500","WAS@NY","NY","WAS","","","",""
g14656-16335","SG","John","Jenkins","4.947619047619048","21","3500","UTA@DAL","DAL","UTA","","","",""
g14656-9849","SG","Gerald","Green","15.828260869565218","46","3500","SA@MIA","MIA","SA","","","",""
g14656-9549","SG","Brandon","Rush","10.43170731707317","41","3500","HOU@GS","GS","HOU","","","",""
g14656-15591","C","Miles","Plumlee","7.45483870967742","31","3500","BOS@MIL","MIL","BOS","","","",""
g14656-17384","C","Kyle","O'Quinn","11.544186046511628","43","3500","WAS@NY","NY","WAS","","","",""
g14656-9589","PF","Udonis","Haslem","5.26","25","3500","SA@MIA","MIA","SA","","","",""
g14656-16375","SG","Jarell","Eddie","4.685714285714285","14","3500","WAS@NY","WAS","NY","","","",""
g14656-16378","SG","Erick","Green","2.65","4","3500","UTA@DAL","UTA","DAL","","","",""
g14656-42671","SF","James","Young","3.595","20","3500","BOS@MIL","BOS","MIL","","","",""
g14656-17747","SG","Ian","Clark","7.423809523809524","42","3500","HOU@GS","GS","HOU","","","",""
g14656-18821","SG","Jonathon","Simmons","9.754054054054054","37","3500","SA@MIA","SA","MIA","","","",""
g14656-23776","PF","Montrezl","Harrell","6.707692307692308","26","3500","HOU@GS","HOU","GS","","","",""
g14656-42677","PG","Terry","Rozier","3.3499999999999996","18","3500","BOS@MIL","BOS","MIL","","","",""
g14656-9613","SG","Devin","Harris","14.382499999999999","40","3500","UTA@DAL","DAL","UTA","O","Toe","",""
g14656-23220","SF","Chris","Copeland","3.1875","24","3500","BOS@MIL","MIL","BOS","","","",""
g14656-23744","SF","Justin","Anderson","5.79375","32","3500","UTA@DAL","DAL","UTA","","","",""
g14656-58661","SG","Rashad","Vaughn","5.077272727272727","44","3500","BOS@MIL","MIL","BOS","","","",""
g14656-16925","PF","Jarnell","Stokes","2.475","4","3500","SA@MIA","MIA","SA","","","",""
g14656-9952","C","DeJuan","Blair","5.389285714285713","28","3500","WAS@NY","WAS","NY","","","",""
g14656-9955","SG","Marcus","Thornton","15.88","45","3500","HOU@GS","HOU","GS","","","",""
g14656-55061","SF","Damien","Inglis","2.7249999999999996","8","3500","BOS@MIL","MIL","BOS","","","",""
g14656-15955","PF","James Michael","McAdoo","4.956","25","3500","HOU@GS","GS","HOU","O","Toe","",""
g14656-9693","PG","Beno","Udrih","9.8","32","3500","SA@MIA","MIA","SA","","","",""
g14656-9962","PF","Jonas","Jerebko","8.961538461538462","52","3500","BOS@MIL","BOS","MIL","","","",""
g14656-23248","SG","RJ","Hunter","5.945833333333333","24","3500","BOS@MIL","BOS","MIL","","","",""
g14656-16196","PF","Dwight","Powell","14.599999999999998","51","3500","UTA@DAL","DAL","UTA","","","",""
g14656-9964","PG","Ty","Lawson","14.658695652173913","46","3500","HOU@GS","HOU","GS","","","",""
g14656-23716","SF","Kyle","Anderson","9.475","48","3500","SA@MIA","SA","MIA","","","",""
g14656-58153","SF","Kelly","Oubre","7.504878048780488","41","3500","WAS@NY","WAS","NY","","","",""
g14656-15736","C","Jeff","Withey","12.976315789473684","38","3500","UTA@DAL","UTA","DAL","","","",""
g14656-9679","PF","Louis","Amundson","5.4409090909090905","22","3500","WAS@NY","NY","WAS","","","",""
g14656-58461","PF","Trey","Lyles","10.55625","48","3500","UTA@DAL","UTA","DAL","","","",""
g14656-16233","SG","Josh","Richardson","5.1173913043478265","23","3500","SA@MIA","MIA","SA","","","",""
g14656-15996","PG","Jerian","Grant","10.572549019607845","51","3500","WAS@NY","NY","WAS","","","",""
g14656-24244","SF","Cleanthony","Early","1.3900000000000001","10","3500","WAS@NY","NY","WAS","O","Knee","",""
g14656-42689","PG","Tyler","Ennis","5.241666666666666","24","3500","BOS@MIL","MIL","BOS","","","",""
g14656-23282","SF","Sam","Dekker","1.0666666666666667","3","3500","HOU@GS","HOU","GS","O","Back","",""
g14656-9698","PF","Jason","Thompson","6.496","25","3500","HOU@GS","GS","HOU","","","",""
g14656-12445","SG","Gary","Neal","14.3275","40","3500","WAS@NY","WAS","NY","","","",""
g14656-17462","SG","Chris","Johnson","7.185365853658537","41","3500","UTA@DAL","UTA","DAL","","","",""
g14656-9709","C","Matt","Bonner","4.2299999999999995","20","3500","SA@MIA","SA","MIA","O","Calf","",""
g14656-9471","PF","Boris","Diaw","14.386274509803922","51","3500","SA@MIA","SA","MIA","","","",""
