Rank,Name,Team,Position,Salary
1,Kevin Durant,Oklahoma City Thunder,F,176400
2,Russell Westbrook,Oklahoma City Thunder,G,165700
3,Stephen Curry,Golden State Warriors,G,164200
4,LeBron James,Cleveland Cavaliers,F,162300
5,Chris Paul,Los Angeles Clippers,G,161800
6,DeMarcus Cousins,Sacramento Kings,C,160500
7,Blake Griffin,Los Angeles Clippers,F,137200
8,Draymond Green,Golden State Warriors,F,129000
9,DeAndre Jordan,Los Angeles Clippers,C,125400
10,Rajon Rondo,Sacramento Kings,G,123200
11,Derrick Favors,Utah Jazz,F,118800
12,Gordon Hayward,Utah Jazz,F,117900
13,Rudy Gobert,Utah Jazz,C,115800
14,Kyrie Irving,Cleveland Cavaliers,G,105700
15,Kevin Love,Cleveland Cavaliers,F,103000
16,Klay Thompson,Golden State Warriors,G,98700
17,Rudy Gay,Sacramento Kings,F,94500
18,Serge Ibaka,Oklahoma City Thunder,F,94100
19,Rodney Hood,Utah Jazz,G,76300
20,J.J. Redick,Los Angeles Clippers,G,74900
21,Darren Collison,Sacramento Kings,G,73300
22,Tristan Thompson,Cleveland Cavaliers,C,73100
23,Enes Kanter,Oklahoma City Thunder,C,72800
24,Jamal Crawford,Los Angeles Clippers,G,72400
25,Andrew Bogut,Golden State Warriors,C,72000
26,Jeff Green,Los Angeles Clippers,F,71800
27,J.R. Smith,Cleveland Cavaliers,G,69300
28,Omri Casspi,Sacramento Kings,F,66200
29,Alec Burks,Utah Jazz,G,64000
30,Harrison Barnes,Golden State Warriors,F,63100
31,Steven Adams,Oklahoma City Thunder,C,61700
32,Iman Shumpert,Cleveland Cavaliers,G,58700
33,Matthew Dellavedova,Cleveland Cavaliers,G,58300
34,Wesley Johnson,Los Angeles Clippers,F,56500
35,Andre Iguodala,Golden State Warriors,F,56300
36,Shaun Livingston,Golden State Warriors,G,53100
37,Trevor Booker,Utah Jazz,F,53000
38,Austin Rivers,Los Angeles Clippers,G,51600
39,Shelvin Mack,Utah Jazz,G,51300
40,Festus Ezeli,Golden State Warriors,C,50900
41,Josh Huestis,Oklahoma City Thunder,F,50000
42,Timofey Mozgov,Cleveland Cavaliers,C,49500
43,Dion Waiters,Oklahoma City Thunder,G,48500
44,Trey Burke,Utah Jazz,G,47800
45,Marco Belinelli,Sacramento Kings,G,47200
46,Cole Aldrich,Los Angeles Clippers,C,46700
47,Paul Pierce,Los Angeles Clippers,F,45900
48,Andre Roberson,Oklahoma City Thunder,G,42700
49,Quincy Acy,Sacramento Kings,F,41800
50,Marreese Speights,Golden State Warriors,C,41700
51,Channing Frye,Cleveland Cavaliers,F,41300
52,Alex Stepheson,Los Angeles Clippers,F,41000
53,Raul Neto,Utah Jazz,G,40500
54,Trey Lyles,Utah Jazz,F,40300
55,Willie Cauley-Stein,Sacramento Kings,C,38800
56,Ben McLemore,Sacramento Kings,G,38300
57,Randy Foye,Oklahoma City Thunder,G,37400
58,Dante Exum,Utah Jazz,G,36300
59,Kosta Koufos,Sacramento Kings,C,35900
60,Caron Butler,Sacramento Kings,F,35000
61,James Anderson,Sacramento Kings,G,35000
62,Seth Curry,Sacramento Kings,G,35000
63,Eric Moreland,Sacramento Kings,F,35000
64,Chris Johnson,Utah Jazz,F,35000
65,Jeff Withey,Utah Jazz,C,35000
66,Joe Ingles,Utah Jazz,F,35000
67,Leandro Barbosa,Golden State Warriors,G,35000
68,Anderson Varejao,Golden State Warriors,F,35000
69,Brandon Rush,Golden State Warriors,F,35000
70,Ian Clark,Golden State Warriors,G,35000
71,James Michael McAdoo,Golden State Warriors,F,35000
72,Kevon Looney,Golden State Warriors,F,35000
73,Jeff Ayres,Los Angeles Clippers,F,35000
74,Luc Mbah a Moute,Los Angeles Clippers,F,35000
75,Pablo Prigioni,Los Angeles Clippers,G,35000
76,Richard Jefferson,Cleveland Cavaliers,F,35000
77,Mo Williams,Cleveland Cavaliers,G,35000
78,James Jones,Cleveland Cavaliers,G,35000
79,Sasha Kaun,Cleveland Cavaliers,C,35000
80,Jordan McRae,Cleveland Cavaliers,G,35000
81,Nazr Mohammed,Oklahoma City Thunder,C,35000
82,Nick Collison,Oklahoma City Thunder,F,35000
83,Anthony Morrow,Oklahoma City Thunder,G,35000
84,Kyle Singler,Oklahoma City Thunder,F,35000
85,Mitch McGary,Oklahoma City Thunder,F,35000
86,Cameron Payne,Oklahoma City Thunder,G,35000
