Name,Own,Salary,Score,Position,OwnTop100
Chandler Parsons,74.7,6700,0.0,SF,
Kemba Walker,64.2,8600,0.0,PG,
Julius Randle,57.8,6000,0.0,PF,
Damian Lillard,57,8800,0.0,PG,
Aaron Gordon,52.3,4500,0.0,PF,
Stephen Curry,48.3,11100,0.0,PG,
P.J. Tucker,46.4,5000,0.0,SF,
Zach LaVine,45.7,4600,0.0,SG,
Langston Galloway,37.9,4500,0.0,SG,
Dwyane Wade,37.1,7800,0.0,SG,
Karl-Anthony Towns,26.6,8400,0.0,C,
Gorgui Dieng,26.5,5400,0.0,C,
Chris Bosh,24.9,7700,0.0,PF,
Carmelo Anthony,24.9,9000,0.0,SF,
Spencer Hawes,21.6,4000,0.0,C,
Draymond Green,20.7,8800,0.0,PF,
Klay Thompson,19.3,7000,0.0,SG,
Nikola Vucevic,18,7700,0.0,C,
Devin Booker,16.6,5000,0.0,SG,
Marvin Williams,16.5,5400,0.0,PF,
Michael Kidd-Gilchrist,14.3,5500,0.0,SF,
Harrison Barnes,12.8,4500,0.0,SF,
Archie Goodwin,11.5,4800,0.0,PG,
Paul Millsap,8.8,8400,0.0,PF,
Tobias Harris,8.1,5700,0.0,SF,
Jae Crowder,7.1,6400,0.0,SF,
Andrew Wiggins,6.9,6300,0.0,SG,
Victor Oladipo,6.6,5900,0.0,SG,
Wesley Matthews,6.2,4700,0.0,SG,
Louis Williams,5.3,5800,0.0,SG,
C.J. McCollum,4.9,7500,0.0,SG,
Evan Turner,4.7,5300,0.0,SF,
Jordan McRae,4.5,3500,0.0,SG,
Amar'e Stoudemire,4.3,3900,0.0,PF,
Avery Bradley,4,5600,0.0,SG,
Ricky Rubio,3.7,6500,0.0,PG,
Deron Williams,2.8,5500,0.0,PG,
Jordan Clarkson,2.8,5700,0.0,PG,
Marcus Smart,2.7,5500,0.0,PG,
Kristaps Porzingis,2.6,6800,0.0,PF,
Shabazz Muhammad,2.1,4100,0.0,SF,
Isaiah Thomas,2.1,7800,0.0,PG,
Jared Sullinger,2.1,5700,0.0,PF,
Zaza Pachulia,2.1,6300,0.0,C,
Al-Farouq Aminu,1.8,5100,0.0,SF,
Kent Bazemore,1.7,5100,0.0,SG,
Luol Deng,1.7,4600,0.0,SF,
Charlie Villanueva,1.6,3500,0.0,PF,
Dwight Powell,1.5,3500,0.0,PF,
Mason Plumlee,1.4,5900,0.0,C,
Dirk Nowitzki,1.4,6800,0.0,PF,
Andrew Bogut,1.3,4300,0.0,C,
Jose Juan Barea,1.3,4000,0.0,PG,
Amir Johnson,1.1,5200,0.0,PF,
Al Horford,0.8,7500,0.0,C,
Justise Winslow,0.7,4100,0.0,SF,
Jeff Teague,0.6,5600,0.0,PG,
Markieff Morris,0.4,4600,0.0,PF,
Andre Iguodala,0.3,4400,0.0,SF,
Goran Dragic,0.3,5500,0.0,PG,
Kelly Olynyk,0.2,5100,0.0,C,
Allen Crabbe,0.2,4400,0.0,SG,
Raymond Felton,0.1,4100,0.0,PG,
T.J. Warren,0.1,3900,0.0,SF,
Marreese Speights,0,3700,0.0,PF
