Name,Own,Salary,Score,Position,OwnTop100
Brad Beal,77.3,6300,0.0,SG,
Russell Westbrook,73.2,11000,0.0,PG,
Kevin Durant,71.9,10700,0.0,SF,
Otto Porter,66.2,5300,0.0,SF,
Dion Waiters,64.2,4200,0.0,SG,
Giannis Antetokounmpo,54.8,7300,0.0,SF,
Jared Dudley,43.7,4600,0.0,PF,
Jabari Parker,41.9,4700,0.0,PF,
Serge Ibaka,41.8,5500,0.0,PF,
Anthony Davis,33.9,10200,0.0,PF,
Khris Middleton,32.6,7300,0.0,SG,
Jrue Holiday,30,7400,0.0,PG,
Marcin Gortat,28.3,6900,0.0,C,
Toney Douglas,25.8,3500,0.0,PG,
Norris Cole,25.6,5100,0.0,PG,
Enes Kanter,24.7,5100,0.0,C,
John Wall,22.9,10400,0.0,PG,
Steven Adams,20.8,4300,0.0,C,
Ryan Anderson,18.6,5900,0.0,PF,
Dante Cunningham,15.7,3500,0.0,PF,
Greg Monroe,14.5,8200,0.0,C,
O.J. Mayo,13.6,3800,0.0,SG,
Michael Carter-Williams,13,6300,0.0,PG,
Garrett Temple,11,4000,0.0,SG,
Jerryd Bayless,8.1,4100,0.0,PG,
Miles Plumlee,6.3,3500,0.0,C,
Alonzo Gee,5.8,3500,0.0,SF,
Nene Hilario,4,4100,0.0,PF,
Omer Asik,3.9,3800,0.0,C,
Ramon Sessions,1.1,3900,0.0,PG,
Anthony Morrow,0.6,3500,0.0,SG,
Bryce Jones,0.3,3500,0.0,SG,
Kris Humphries,0.1,3500,0.0,PF
