Name,Own,Salary,Score,Position,OwnTop100
Kevin Durant,76.3,10600,0.0,SF,
Russell Westbrook,74.3,10800,0.0,PG,
Archie Goodwin,68.8,5000,0.0,PG,
James Harden,68.1,10200,0.0,SG,
Spencer Hawes,63.8,4000,0.0,C,
Aaron Gordon,56.8,4400,0.0,PF,
Langston Galloway,48.5,4100,0.0,SG,
Serge Ibaka,31.4,5800,0.0,PF,
Chandler Parsons,24.3,6600,0.0,SF,
Josh Smith,23.7,4100,0.0,PF,
P.J. Tucker,19.3,4800,0.0,SF,
Nicolas Batum,18.4,6300,0.0,SF,
Damian Lillard,17.7,8800,0.0,PG,
Devin Booker,15.6,4900,0.0,SG,
Dion Waiters,14.8,3900,0.0,SG,
Kevin Love,13.2,7300,0.0,PF,
Chris Bosh,11.8,7600,0.0,PF,
Zach LaVine,11.1,4600,0.0,SG,
LeBron James,10.8,9800,0.0,SF,
Tristan Thompson,10.8,4500,0.0,PF,
DeAndre Jordan,10,7900,0.0,C,
Thaddeus Young,9.7,6400,0.0,PF,
Tobias Harris,9.6,5900,0.0,SF,
Julius Randle,9.5,5800,0.0,PF,
Nikola Vucevic,8.4,7800,0.0,C,
Trevor Ariza,7.9,5700,0.0,SF,
Victor Oladipo,7.6,6000,0.0,SG,
Justise Winslow,6.6,4200,0.0,SF,
Reggie Jackson,6.3,7100,0.0,PG,
Chris Paul,5.6,9900,0.0,PG,
Jabari Parker,5.3,5300,0.0,PF,
Kemba Walker,5.1,8800,0.0,PG,
Amar'e Stoudemire,5.1,3700,0.0,PF,
Marcus Morris,5.1,5100,0.0,SF,
Corey Brewer,4.7,3600,0.0,SF,
Amir Johnson,4.5,5300,0.0,PF,
Rodney Hood,4.3,5800,0.0,SG,
Arron Afflalo,4.2,5000,0.0,SG,
Avery Bradley,4.1,5800,0.0,SG,
Jamal Crawford,3.8,4100,0.0,SG,
Derrick Williams,3.6,4900,0.0,PF,
Jerian Grant,3.2,3800,0.0,PG,
Marvin Williams,3.2,5200,0.0,PF,
Deron Williams,3.2,5600,0.0,PG,
Patrick Beverley,3.2,4400,0.0,PG,
Dwyane Wade,3,7500,0.0,SG,
Gordon Hayward,3,8300,0.0,SF,
Wesley Johnson,2.9,4100,0.0,SF,
Alex Len,2.8,4800,0.0,C,
J.R. Smith,2.4,5200,0.0,SG,
J.J. Redick,2.2,5000,0.0,SG,
Khris Middleton,2,7600,0.0,SG,
Jae Crowder,2,6400,0.0,SF,
Andre Drummond,2,8500,0.0,C,
Mason Plumlee,1.9,5600,0.0,C,
Andrew Wiggins,1.8,6700,0.0,SG,
Noah Vonleh,1.8,3800,0.0,PF,
Evan Turner,1.7,5100,0.0,SF,
Dwight Howard,1.7,8100,0.0,C,
Kyrie Irving,1.5,6600,0.0,PG,
Kentavious Caldwell-Pope,1.5,5700,0.0,SG,
Jared Sullinger,1.4,5600,0.0,PF,
C.J. McCollum,1.4,7600,0.0,SG,
Carmelo Anthony,1.4,8800,0.0,SF,
Dirk Nowitzki,1.4,6700,0.0,PF,
Kristaps Porzingis,1.2,6900,0.0,PF,
Jordan Clarkson,1.2,5700,0.0,PG,
Tyson Chandler,1.1,4500,0.0,C,
Giannis Antetokounmpo,1.1,7500,0.0,SF,
Karl-Anthony Towns,1.1,8200,0.0,C,
Elfrid Payton,1,5900,0.0,PG,
Ricky Rubio,1,6700,0.0,PG,
Markieff Morris,1,4600,0.0,PF,
Ed Davis,1,4300,0.0,PF,
Beno Udrih,0.9,3700,0.0,PG,
Marcus Smart,0.9,5400,0.0,PG,
Wesley Matthews,0.8,4900,0.0,SG,
Joe Johnson,0.7,5200,0.0,SG,
Enes Kanter,0.7,4800,0.0,C,
Trey Burke,0.7,4600,0.0,PG,
Isaiah Thomas,0.6,8000,0.0,PG,
Gerald Green,0.6,3500,0.0,SG,
Al-Farouq Aminu,0.5,4800,0.0,SF,
Robin Lopez,0.5,4900,0.0,C,
D'Angelo Russell,0.5,5100,0.0,PG,
Nick Young,0.5,3600,0.0,SG,
Lance Thomas,0.3,3800,0.0,SF,
Donald Sloan,0.2,4400,0.0,PG,
Bojan Bogdanovic,0.2,3700,0.0,SF,
Kobe Bryant,0.2,5600,0.0,SG,
Wayne Ellington,0.1,3700,0.0,SG,
Iman Shumpert,0.1,3500,0.0,SG,
Meyers Leonard,0.1,4000,0.0,C,
Ty Lawson,0.1,3600,0.0,PG,
P.J. Hairston,0.1,3500,0.0,SF
