Name,Own,Salary,Score,Position,OwnTop100
James Harden,90,11000,0.0,SG,
Markieff Morris,89.9,5200,0.0,PF,
Anthony Davis,84.9,10100,0.0,PF,
Stanley Johnson,78.2,4000,0.0,SF,
Devin Booker,76.5,5400,0.0,SG,
Norris Cole,67.1,5000,0.0,PG,
Andre Drummond,51.5,8700,0.0,C,
Archie Goodwin,46.2,5100,0.0,PG,
Jrue Holiday,30.9,6800,0.0,PG,
P.J. Tucker,30.5,4800,0.0,SF,
Corey Brewer,28.6,3700,0.0,SF,
Marcus Morris,21.6,5100,0.0,SF,
Dwight Howard,20.6,7800,0.0,C,
Trevor Ariza,19,5900,0.0,SF,
Kyle Lowry,18.3,8600,0.0,PG,
Carmelo Anthony,17.6,8900,0.0,SF,
Damian Lillard,15.9,8700,0.0,PG,
Robin Lopez,11.3,5200,0.0,C,
Josh Smith,9.2,4200,0.0,PF,
DeMar DeRozan,8.3,8100,0.0,SG,
Patrick Beverley,8,4800,0.0,PG,
Julius Randle,7.3,6200,0.0,PF,
Reggie Jackson,7.2,7000,0.0,PG,
Meyers Leonard,6.2,4000,0.0,C,
Arron Afflalo,5.8,4900,0.0,SG,
Kobe Bryant,5.4,6300,0.0,SG,
Bryce Jones,5,3500,0.0,SG,
C.J. McCollum,3.9,7600,0.0,SG,
Al-Farouq Aminu,3.9,5200,0.0,SF,
Mason Plumlee,3.5,5700,0.0,C,
Jonas Valanciunas,3.1,6300,0.0,C,
Ryan Anderson,2.9,6200,0.0,PF,
Jordan Clarkson,2.7,5500,0.0,PG,
Louis Williams,2.5,5800,0.0,SG,
Kristaps Porzingis,2.5,6500,0.0,PF,
Cory Joseph,1.4,3900,0.0,PG,
Ersan Ilyasova,1,5500,0.0,PF,
Tyson Chandler,0.8,4600,0.0,C,
Langston Galloway,0.6,4500,0.0,SG,
Luis Scola,0.4,3800,0.0,PF,
Mirza Teletovic,0.3,3500,0.0,PF,
Roy Hibbert,0.2,3700,0.0,C,
Alonzo Gee,0.2,3900,0.0,SF
