Name,Own,Salary,Score,Position,OwnTop100
Isaiah Thomas,78.5,7800,45.3,PG,39
DeMarcus Cousins,61.8,11100,43.4,C,40
Paul Millsap,60,7800,35.8,PF,18
Victor Oladipo,59.1,6500,30.5,SG,4
Aaron Gordon,56.9,4900,44.6,PF,40
Danilo Gallinari,55.3,7100,27.3,SF,19
Emmanuel Mudiay,54.8,5400,33.3,PG,20
Evan Turner,35.3,5900,27.3,SF,11
Omri Casspi,35,5100,23.3,SF,9
Marco Belinelli,32.2,4000,24.8,SG,18
Avery Bradley,31.7,5500,32.1,SG,18
Carmelo Anthony,27.2,9000,35.7,SF,17
Evan Fournier,26.8,4600,29.5,SG,12
Chris Paul,24.7,9600,35.9,PG,
Willie Cauley-Stein,21.4,4300,22.8,PF,
Chris Bosh,21.4,7400,24.0,PF,
Kristaps Porzingis,19.6,6400,41.6,PF,16
Rajon Rondo,18.9,8400,50.5,PG,13
Kent Bazemore,17.1,5100,34.1,SF,22
Nikola Jokic,15.1,6400,21.2,C,
Jamal Crawford,15.1,4800,23.2,SG,2
Dwyane Wade,12,7800,23.1,SG,
Jae Crowder,12,5900,16.3,SF,
Arron Afflalo,10.6,5100,28.7,SG,14
Jeff Teague,9.6,6100,29.7,PG,
Jared Sullinger,8.3,5400,32.7,PF,7
Justise Winslow,8,4400,14.0,SF,
Nikola Vucevic,7.9,7800,0.0,C,
Kenneth Faried,7.8,6100,22.2,PF,
Robin Lopez,4.9,5600,0.0,C,
DeAndre Jordan,4.8,8500,32.7,C,1
Will Barton,3.9,5900,43.7,SG,14
Elfrid Payton,3.7,5200,35.8,PG,10
Luol Deng,3.6,4800,26.1,SF,4
Darren Collison,3.6,4800,0.0,PG,
J.J. Redick,3.4,4800,18.7,SG,
Hassan Whiteside,3,8000,22.0,C,
Tobias Harris,2.9,5500,0.0,SF,
Goran Dragic,2.8,5700,0.0,PG,
Kyle Korver,2.4,3700,0.0,SG,
Al Horford,2.2,7100,0.0,C,
Amar'e Stoudemire,1.9,4400,12.1,PF,
Marcus Smart,1.8,5300,18.0,PG,
Langston Galloway,1.8,4500,0.0,SG,
Amir Johnson,1.6,4600,26.8,PF,1
Jose Calderon,1.1,4400,19.3,PG,0
Gary Harris,0.8,4600,0.0,SG,
Derrick Williams,0.7,4000,0.0,PF,
Dennis Schroder,0.6,4800,10.3,PG,0
Thabo Sefolosha,0.4,3900,0.0,SF,
Paul Pierce,0.3,3600,0.0,SF,
Mike Scott,0.1,3700,0.0,SF,
