Name,Own,Salary,Score,Position,OwnTop100
James Harden,79.9,10000,0.0,SG,
Kawhi Leonard,65.2,7600,0.0,SF,
Josh Smith,50.5,3900,0.0,PF,
Kemba Walker,47.8,9000,0.0,PG,
Anthony Davis,44,10300,0.0,PF,
Jeremy Lin,43.3,5000,0.0,PG,
Emmanuel Mudiay,39.7,5200,0.0,PG,
Spencer Hawes,38,3800,0.0,C,
Avery Bradley,33.7,5600,0.0,SG,
Victor Oladipo,26.7,6200,0.0,SG,
DeMarcus Cousins,24.2,11200,0.0,C,
Willie Cauley-Stein,22.3,4300,0.0,C,
Corey Brewer,22.2,3700,0.0,SF,
Trevor Ariza,21,5100,0.0,SF,
Danilo Gallinari,18.4,7100,0.0,SF,
Shabazz Muhammad,17.4,4200,0.0,SF,
LeBron James,14.2,9900,0.0,SF,
Norris Cole,13.6,4300,0.0,PG,
Paul Millsap,13.1,8900,0.0,PF,
Kent Bazemore,12.9,5200,0.0,SG,
Rajon Rondo,12,8300,0.0,PG,
LaMarcus Aldridge,10.8,6900,0.0,PF,
Jared Sullinger,10.6,5600,0.0,PF,
Kevin Love,10.5,7100,0.0,PF,
Stephen Curry,9.6,11200,0.0,PG,
J.R. Smith,8,5000,0.0,SG,
David West,7.4,4500,0.0,PF,
Marvin Williams,7.4,5100,0.0,PF,
Jae Crowder,7.3,6600,0.0,SF,
P.J. Hairston,7.1,3500,0.0,SF,
Chris Bosh,7.1,7600,0.0,PF,
Manu Ginobili,6.4,4700,0.0,SG,
Kyle Korver,6,4000,0.0,SG,
Andrew Wiggins,5.8,6900,0.0,SF,
Tyreke Evans,5,7100,0.0,PG,
Marcin Gortat,5,7200,0.0,C,
Nene Hilario,4.9,4400,0.0,PF,
Clint Capela,4.6,4900,0.0,PF,
Darrell Arthur,4.4,4300,0.0,PF,
Tobias Harris,4.4,6000,0.0,SF,
Beno Udrih,4.3,3800,0.0,PG,
John Wall,3.5,10000,0.0,PG,
Klay Thompson,3.5,6900,0.0,SG,
Rodney Hood,3.4,5500,0.0,SG,
Gary Harris,3.2,4600,0.0,SG,
Pau Gasol,3,8600,0.0,PF,
Ryan Anderson,3,5500,0.0,PF,
Gordon Hayward,2.8,8200,0.0,SF,
Jimmy Butler,2.7,9000,0.0,SG,
Derrick Rose,2.6,6200,0.0,PG,
Elfrid Payton,2.4,6300,0.0,PG,
Tony Parker,2.4,5800,0.0,PG,
Dwyane Wade,2.3,6800,0.0,SG,
Will Barton,2.2,6000,0.0,SG,
Patrick Beverley,2.2,4100,0.0,PG,
Harrison Barnes,2.1,4800,0.0,SF,
Taj Gibson,2,5000,0.0,PF,
Danny Green,1.9,3800,0.0,SG,
Kyrie Irving,1.8,6800,0.0,PG,
Tristan Thompson,1.7,4300,0.0,PF,
Karl-Anthony Towns,1.7,7700,0.0,C,
Andre Drummond,1.6,8600,0.0,C,
Jrue Holiday,1.6,6500,0.0,PG,
Isaiah Thomas,1.5,8400,0.0,PG,
Frank Kaminsky,1.4,4400,0.0,PF,
Kentavious Caldwell-Pope,1.4,5900,0.0,SG,
Zach Randolph,1.3,5900,0.0,PF,
Brad Beal,1.3,6700,0.0,SG,
Justise Winslow,1.2,3800,0.0,SF,
Omri Casspi,1,5300,0.0,SF,
Mike Conley,1,6600,0.0,PG,
Marc Gasol,1,7900,0.0,C,
Rudy Gobert,1,7000,0.0,C,
Reggie Jackson,1,6800,0.0,PG,
Nikola Mirotic,1,4600,0.0,SF,
Trey Lyles,1,4200,0.0,PF,
Jeff Teague,0.9,5300,0.0,PG,
Evan Fournier,0.9,4800,0.0,SG,
Matt Barnes,0.8,5200,0.0,SF,
Ricky Rubio,0.8,6800,0.0,PG,
Boban Marjanovic,0.7,3600,0.0,C,
Andre Iguodala,0.7,4400,0.0,SF,
Evan Turner,0.4,4800,0.0,SF,
Tyler Johnson,0.4,4200,0.0,PG,
Dennis Schroder,0.4,5200,0.0,PG,
Festus Ezeli,0.1,3700,0.0,C,
Nemanja Bjelica,0,3500,0.0,SF
