Name,Own,Salary,Score,Position,OwnTop100
Tyler Johnson,71.9,4500,10.3,PG,15
Monta Ellis,63.9,6300,29.1,SG,87
Hassan Whiteside,59.8,7800,49.1,C,80
Russell Westbrook,54.2,10500,53.0,PG,84
Markieff Morris,54,4900,7.1,PF,1
Paul George,51.3,8700,40.6,SF,11
Kevin Durant,47,9900,57.4,SF,40
Gary Harris,37.2,4400,18.2,SG,67
Serge Ibaka,35.8,6200,23.5,PF,17
Emmanuel Mudiay,34.2,4900,27.1,PG,82
Anthony Davis,30.8,10300,47.4,PF,71
Chris Bosh,30.1,7800,31.0,PF,14
Andrew Wiggins,28,6700,34.8,SF,10
Dwyane Wade,26.3,7100,5.4,SG,
Danilo Gallinari,26.1,7000,34.1,SF,58
Devin Booker,20.8,4000,31.0,SG,32
Jabari Parker,20.8,5200,15.9,PF,9
Brandon Knight,20.7,6500,30.6,PG,4
Giannis Antetokounmpo,18,7800,24.2,SG,2
Karl-Anthony Towns,17.9,7200,37.6,C,4
Khris Middleton,15.2,7100,44.9,SF,13
Shabazz Muhammad,12.5,3800,20.0,SF,5
C.J. Miles,11.5,4400,24.0,SF,4
Eric Gordon,9.4,5200,16.7,SG,3
Nikola Jokic,8.8,4900,12.1,C,
Ryan Anderson,8.2,5800,13.6,PF,
Gerald Green,7.1,3700,6.5,SG,
Will Barton,6.7,6700,12.6,SG,
Ricky Rubio,6.1,6900,22.2,PG,
Darrell Arthur,6,4300,20.4,PF,53
Jrue Holiday,5.9,6300,35.9,PG,10
P.J. Tucker,5.1,4500,30.5,SF,55
Kenneth Faried,4.8,6100,37.5,PF,10
Zach LaVine,4.7,4100,14.2,SG,2
Michael Carter-Williams,4.6,6800,13.6,PG,
Dion Waiters,3.8,4200,7.0,SG,3
John Henson,3.7,3900,12.2,PF,1
Gorgui Dieng,3.6,4700,22.4,C,1
Greg Monroe,3.4,7800,28.5,C,1
Enes Kanter,2.4,4300,32.6,C,13
Luol Deng,1.9,4300,17.8,SF,1
Myles Turner,1.9,4000,26.8,PF,16
Mirza Teletovic,1.7,4200,8.8,PF,2
Steven Adams,1.6,4300,17.7,C,
Lavoy Allen,1.4,3500,14.4,PF,
Ian Mahinmi,1.1,5100,3.4,C,
T.J. Warren,1.1,4500,0.0,SF,
Andre Roberson,0.9,3600,0.0,SG,
Jordan Hill,0.8,4200,0.0,C,
Jon Leuer,0.6,4200,0.0,PF,
Jerryd Bayless,0.6,4200,18.1,PG,3
Joseph Young,0.2,3700,24.1,SG,2
Dante Cunningham,0.1,3500,20.2,PF,4
Nemanja Bjelica,0.1,3500,14.3,SF,1
Omer Asik,0.1,3600,11.6,C,0
