Name,Own,Salary,Score,Position,OwnTop100
Avery Bradley,63.6,4900,20.4,SG,49
DeMarcus Cousins,58,10800,42.6,C,9
Robert Covington,51.6,4600,25.3,SF,58
Chris Paul,51.3,9700,28.3,PG,1
Mario Chalmers,50.4,5600,24.4,PG,44
Trey Lyles,46.3,3900,30.8,PF,22
Damian Lillard,45.3,9200,17.4,PG,1
Derrick Williams,39.4,4500,23.3,PF,53
Nicolas Batum,37,7100,23.1,SF,1
Ishmael Smith,36.9,6900,27.9,PG,20
Gordon Hayward,35.8,7600,30.5,SF,16
Kristaps Porzingis,35.1,6800,27.8,PF,7
Rodney Hood,33.7,5100,22.0,SG,6
Jae Crowder,30.2,6400,40.6,SF,24
Paul Millsap,25.4,8400,33.7,PF,45
Giannis Antetokounmpo,24.8,7400,34.7,SG,69
Khris Middleton,23.1,6900,30.8,SF,57
Louis Williams,16.1,6000,21.4,SG,5
Andre Drummond,15.7,8700,43.2,C,5
Jamal Crawford,14.3,4100,24.4,SG,1
Draymond Green,13.2,9600,28.5,PF,7
Tony Allen,8.5,4500,0.0,SG,
Cody Zeller,6.7,5200,9.9,PF,
Jabari Parker,6.5,5100,22.4,PF,7
Klay Thompson,6.4,7100,30.7,SG,15
J.J. Redick,6.2,5000,30.6,SG,13
Harrison Barnes,6,5100,11.6,SF,8
Marc Gasol,5.8,7500,56.1,C,68
Thaddeus Young,5.6,6900,31.4,PF,19
C.J. McCollum,5.3,8200,19.4,SG,1
Jahlil Okafor,5.2,6300,35.5,C,5
Frank Kaminsky,4.9,4100,20.0,PF,2
Arron Afflalo,4.8,5100,21.1,SG,6
Nerlens Noel,4.7,6200,30.1,PF,6
Stephen Curry,4.3,10700,55.9,PG,16
Amir Johnson,4.2,5500,18.1,C,1
Al-Farouq Aminu,2.9,5300,10.2,SF,2
Garrett Temple,2.8,4800,22.1,SG,4
Langston Galloway,2.7,3500,30.7,SG,1
Kyle Korver,2.6,3800,10.6,SG,1
Michael Carter-Williams,2.5,6700,25.2,PG,4
Allen Crabbe,2.5,4600,0.0,SG,
Nene Hilario,2.4,4200,17.6,PF,3
Kelly Oubre,2.3,3500,19.2,SF,0
Marcin Gortat,2.2,6900,37.7,C,1
Rudy Gay,2.1,7300,29.9,SF,2
Ed Davis,2,4100,14.6,PF,2
Greg Monroe,2,7800,34.5,C,2
Brook Lopez,1.9,8600,0.0,C,
Rajon Rondo,1.8,8100,36.4,PG,13
John Wall,1.7,9800,73.9,PG,82
Gary Neal,1.6,3800,15.6,SG,
Jared Dudley,1.6,4300,28.4,SF,3
Rudy Gobert,1.5,6500,48.6,C,6
John Henson,1.5,3600,22.4,PF,2
Matt Barnes,1.4,5100,20.3,SF,2
Jared Sullinger,1.4,5200,27.8,PF,9
Larry Nance Jr.,1.4,4500,1.2,PF,1
Kentavious Caldwell-Pope,1.4,5700,34.0,SG,12
Zach Randolph,1.3,6500,21.2,PF,2
Marcus Morris,1.2,4800,37.6,SF,20
Al Horford,1.2,7800,21.7,C,0
Julius Randle,1.1,5500,20.7,PF,2
Omri Casspi,1,5500,22.8,SF,2
Joe Johnson,1,5200,17.8,SG,1
Robin Lopez,0.9,4700,11.4,C,
Isaiah Thomas,0.9,8600,39.3,PG,4
Jeff Teague,0.8,5800,27.1,PG,1
Donald Sloan,0.8,3700,23.8,PG,
Kemba Walker,0.8,8300,26.2,PG,
Reggie Jackson,0.8,7100,37.6,PG,7
Kent Bazemore,0.7,5700,25.1,SG,10
Jeff Green,0.6,4400,24.9,SF,2
Ersan Ilyasova,0.6,5400,27.1,PF,3
Cole Aldrich,0.5,3800,42.0,C,1
Brad Beal,0.4,7000,0.0,SG,
Dennis Schroder,0.3,4900,42.2,PG,2
Andre Iguodala,0.3,4400,0.0,SF,
Marvin Williams,0.3,4800,28.4,PF,4
Jordan Clarkson,0.3,6200,13.3,PG,1
Kelly Olynyk,0.2,4300,18.1,C,1
Evan Turner,0.1,5200,16.5,SF,1
Courtney Lee,0.1,4000,12.0,SG,3
Trey Burke,0.1,4500,0.0,PG,
D'Angelo Russell,0.1,5200,17.4,PG,1
Kobe Bryant,0.1,6600,9.2,SG,1
David Lee,0.1,4100,0.0,PF,2
Jeremy Lin,0.1,5400,22.5,PG,1
Wesley Johnson,0.1,3800,12.4,SF,0
Paul Pierce,0.1,4100,0.0,SF,
Darren Collison,0,5000,30.3,PG,0
