Name,Own,Salary,Score,Position,OwnTop100
Russell Westbrook,78.7,10400,48.5,PG,99
James Harden,78,9500,40.1,SG,97
Monta Ellis,67.9,6200,33.9,SG,93
Tyler Johnson,63.2,4400,25.2,PG,37
Darrell Arthur,54.4,4300,20.0,PF,1
Paul George,52.2,8800,32.1,SF,93
Julius Randle,52.1,5500,29.2,PF,92
Kawhi Leonard,45.7,7800,24.3,SF,3
Danilo Gallinari,41.5,7000,30.8,SF,59
Jordan Hill,41.5,4300,14.1,C,35
Lavoy Allen,31.4,3600,10.8,PF,
Emmanuel Mudiay,27.5,4800,24.8,PG,60
C.J. Miles,25.7,4400,20.5,SF,2
Kevin Durant,24.9,9900,43.5,SF,5
Hassan Whiteside,24,7800,34.2,C,1
Louis Williams,19.7,6000,22.7,SG,2
LaMarcus Aldridge,16.1,7100,34.9,PF,3
Dwyane Wade,16,7200,24.9,SG,
Tony Parker,11.6,6100,21.5,PG,
Chris Bosh,10.9,7900,26.8,PF,
Terrence Jones,9,4600,5.9,PF,
Nikola Jokic,7.5,4700,31.9,C,10
Jordan Clarkson,7.4,6200,28.1,PG,2
Zaza Pachulia,7.1,6800,16.9,C,
Serge Ibaka,6.8,6200,28.4,PF,2
Gerald Green,6.4,4000,3.2,SG,
Clint Capela,5.5,4600,28.2,PF,2
Steven Adams,5.1,4300,17.3,C,20
Deron Williams,4.8,6200,16.5,PG,
Trevor Ariza,4.8,5100,22.4,SF,3
Tim Duncan,4.7,6300,11.5,C,
Kenneth Faried,4.7,6100,0.0,PF,
Myles Turner,4.2,3500,41.4,PF,97
Roy Hibbert,3.9,3900,20.2,C,2
Gary Harris,3.3,4300,0.0,SG,
Dirk Nowitzki,3.3,7100,13.5,PF,
Will Barton,3.2,6600,33.7,SG,6
Luol Deng,3,4500,0.0,SF,
Dwight Howard,2.6,8200,38.0,C,31
Manu Ginobili,2.2,4700,12.6,SG,
Beno Udrih,1.9,3800,0.0,PG,
D'Angelo Russell,1.6,5200,0.0,PG,
Enes Kanter,1.6,4400,14.8,C,
Wesley Matthews,1.6,5000,13.7,SG,
Cameron Payne,1.6,3900,0.0,PG,
Tarik Black,1.1,3500,0.0,C,
Chandler Parsons,0.9,5500,0.0,SF,
Ryan Kelly,0.7,3500,15.3,SF,33
Ian Mahinmi,0.6,5100,0.0,C,
Ty Lawson,0.6,3500,0.0,PG,
Boris Diaw,0.4,3900,25.1,PF,1
Justise Winslow,0.3,3500,8.5,SF,
Andre Roberson,0.3,3600,16.7,SG,0
Patrick Beverley,0.2,4500,0.0,PG,
George Hill,0.1,5800,0.0,PG,0
Dwight Powell,0.1,3500,18.4,PF,
JaVale McGee,0.1,3700,21.0,C,0
Corey Brewer,0.1,3500,0.0,SF,
Jason Terry,0.1,3500,5.5,PG,0
Charlie Villanueva,0,3500,0.0,PF,
Amar'e Stoudemire,0,3500,0.0,PF,
Boban Marjanovic,0,3500,0.0,C,
