Name,Own,Salary,Score,Position,OwnTop100
Carmelo Anthony,67.3,9000,6.3,SF,
Ricky Rubio,54.5,6700,0.0,PG,
Josh Smith,52,4000,0.0,PF,
James Harden,50,10900,0.0,SG,
Gorgui Dieng,48.2,5500,0.0,C,
Dwyane Wade,47.7,7900,0.0,SG,
Karl-Anthony Towns,45.1,8600,0.0,C,
Chris Bosh,39.2,7600,0.0,PF,
Trevor Ariza,38,6000,0.0,SF,
Julius Randle,36.8,6100,0.0,PF,
Isaiah Thomas,30.6,7800,7.7,PG,
Damian Lillard,30.5,8800,0.0,PG,
Kyle Lowry,28.6,9000,0.0,PG,
Langston Galloway,26.8,4600,5.1,SG,
Zach LaVine,24.1,4700,0.0,SG,
P.J. Tucker,23.5,4800,0.0,SF,
Amar'e Stoudemire,20.9,4200,0.0,PF,
Justise Winslow,20.5,4200,0.0,SF,
Michael Carter-Williams,19.5,6200,0.0,PG,
Luol Deng,18.8,4800,0.0,SF,
Jabari Parker,18.6,5200,0.0,PF,
Devin Booker,18.2,5200,0.0,SG,
Andrew Wiggins,11.8,6300,0.0,SG,
Corey Brewer,10.7,3600,0.0,SF,
Marcus Smart,10.6,5700,0.0,PG,
Markieff Morris,10.5,4800,0.0,PF,
Kristaps Porzingis,9.4,6700,0.2,PF,
Patrick Beverley,8.4,4800,0.0,PG,
Giannis Antetokounmpo,7.8,7500,0.0,SF,
Terrence Jones,5,3700,0.0,PF,
Archie Goodwin,4.6,4800,0.0,PG,
Evan Turner,4.1,5200,0.0,SF,
Goran Dragic,2.3,5400,0.0,PG,
Derrick Williams,1.9,4800,0.0,PF,
C.J. McCollum,1.7,7300,0.0,SG,
Tyson Chandler,1.7,4800,0.0,C,
Jared Sullinger,1.6,5400,4.0,PF,
Terrence Ross,1.3,4200,0.0,SG,
Louis Williams,1.2,5700,0.0,SG,
Amir Johnson,0.9,5200,1.2,PF,
Jae Crowder,0.9,6100,6.4,SF,
Clint Capela,0.9,4400,0.0,PF,
Mason Plumlee,0.8,5700,0.0,C,
Arron Afflalo,0.5,4900,7.0,SG,
Robin Lopez,0.3,4900,6.8,C
