Name,Own,Salary,Score,Position,OwnTop100
Archie Goodwin,83.7,4100,0.0,PG,
Russell Westbrook,62.2,10500,0.0,PG,
Kawhi Leonard,57.3,7500,0.0,SF,
Kevin Durant,53.5,10200,0.0,SF,
Devin Booker,52.5,4500,0.0,SG,
Nerlens Noel,51.5,6400,0.0,PF,
Paul Millsap,45.1,8900,0.0,PF,
Tristan Thompson,33,4600,0.0,PF,
Robert Covington,27.6,5100,0.0,SF,
Avery Bradley,26.8,5500,0.0,SG,
Andre Drummond,25.1,8200,0.0,C,
Alex Len,23.5,4700,0.0,C,
Andrew Wiggins,22,6800,0.0,SG,
Zach LaVine,21.5,4200,0.0,SG,
LaMarcus Aldridge,18.9,6600,0.0,PF,
DeAndre Jordan,17.1,7800,0.0,C,
LeBron James,13.7,9900,0.0,SF,
Kentavious Caldwell-Pope,13.7,5800,0.0,SG,
Rudy Gobert,11.8,7200,0.0,C,
Stephen Curry,11.4,11300,0.0,PG,
Chris Paul,11.3,10100,0.0,PG,
Kevin Love,11.3,7000,0.0,PF,
Spencer Hawes,10.7,4000,0.0,C,
J.R. Smith,10.5,5000,0.0,SG,
Shabazz Muhammad,9.7,4200,0.0,SF,
Dion Waiters,9.3,3900,0.0,SG,
Chandler Parsons,8.9,6400,0.0,SF,
Jeremy Lin,7.5,5400,0.0,SG,
Nik Stauskas,7.5,3600,0.0,SG,
Ersan Ilyasova,6.6,5700,0.0,PF,
Danilo Gallinari,6,6900,0.0,SF,
Gordon Hayward,5.8,8200,0.0,SF,
Marcus Morris,5.8,5100,0.0,SF,
Kemba Walker,5.6,9200,0.0,PG,
Isaiah Thomas,5.3,8300,0.0,PG,
Kent Bazemore,5.3,5200,0.0,SG,
Draymond Green,5.1,9300,0.0,PF,
Rodney Hood,5.1,5600,0.0,SG,
Serge Ibaka,5,5800,0.0,PF,
Ishmael Smith,4.9,6900,0.0,PG,
James Harden,4.8,10600,0.0,SG,
Jared Sullinger,4.3,5600,0.0,PF,
P.J. Tucker,3.9,4500,0.0,SF,
Marcus Smart,3.8,5500,0.0,PG,
Karl-Anthony Towns,3.8,8000,0.0,C,
Jerami Grant,3.8,4200,0.0,PF,
Klay Thompson,3.7,6600,0.0,SG,
Reggie Jackson,3.7,7000,0.0,PG,
David West,3.3,4500,0.0,PF,
Nikola Jokic,2.7,5300,0.0,C,
Kyle Korver,2.7,4000,0.0,SG,
Josh Smith,2.5,4000,0.0,PF,
Jae Crowder,2.5,6400,0.0,SF,
Marvin Williams,2.4,5300,0.0,PF,
J.J. Redick,2.4,5200,0.0,SG,
Trevor Ariza,2.2,5900,0.0,SF,
Dwight Powell,2,3500,0.0,PF,
Kyrie Irving,1.8,6800,0.0,PG,
Jeff Teague,1,5500,0.0,PG,
Harrison Barnes,0.9,4500,0.0,SF,
Ricky Rubio,0.9,6800,0.0,PG,
Tyson Chandler,0.7,4800,0.0,C,
Amir Johnson,0.7,4900,0.0,PF,
Al Horford,0.7,7500,0.0,C,
Derrick Favors,0.6,7400,0.0,PF,
Charlie Villanueva,0.5,3500,0.0,PF,
Manu Ginobili,0.5,4700,0.0,SG,
Boban Marjanovic,0.4,3700,0.0,C,
Clint Capela,0.4,4700,0.0,PF,
Evan Turner,0.4,5000,0.0,SF,
Deron Williams,0.4,5900,0.0,PG,
Matthew Dellavedova,0.3,4200,0.0,PG,
Danny Green,0.3,3800,0.0,SG,
Jamal Crawford,0.3,4000,0.0,SG,
Markieff Morris,0.2,4600,0.0,PF,
Trevor Booker,0.2,4000,0.0,PF,
Marreese Speights,0.2,3700,0.0,PF
