Name,Own,Salary,Score,Position,OwnTop100
Myles Turner,82.7,5500,0.0,PF,
Jordan Hill,64.9,4700,0.0,C,
Jeremy Lin,61.3,5000,0.0,SG,
Russell Westbrook,60.9,10900,0.0,PG,
Robert Covington,60.1,5100,0.0,SF,
Jimmy Butler,52.6,8800,0.0,SG,
Jose Juan Barea,48.3,3900,0.0,PG,
Kevin Durant,39.1,10500,0.0,SF,
Klay Thompson,35.7,7100,0.0,SG,
Stephen Curry,32.6,10700,0.0,PG,
Aaron Gordon,27.8,5200,0.0,PF,
Taj Gibson,27.5,5300,0.0,PF,
Harrison Barnes,19.1,4300,0.0,SF,
Gorgui Dieng,14.5,5500,0.0,C,
LeBron James,14.3,10200,0.0,SF,
Victor Oladipo,14.2,6100,0.0,SG,
Kyrie Irving,13.7,6900,0.0,PG,
Tristan Thompson,11.2,4800,0.0,PF,
Draymond Green,10.2,9000,0.0,PF,
Michael Kidd-Gilchrist,9.5,5800,0.0,SF,
Kent Bazemore,9.2,4900,0.0,SF,
Paul Millsap,8.1,8000,0.0,PF,
Kevin Love,8,7700,0.0,PF,
Luol Deng,6.5,4800,0.0,SF,
Derrick Favors,5.9,7200,0.0,PF,
Kawhi Leonard,5.8,7100,0.0,SF,
Paul George,5.6,8200,0.0,SF,
Rodney Hood,5.5,5900,0.0,SG,
Derrick Rose,5.3,6000,0.0,PG,
Rudy Gay,5.1,8000,0.0,SF,
Chris Paul,4.6,9700,0.0,PG,
LaMarcus Aldridge,4.5,6900,0.0,PF,
Gordon Hayward,4.5,8300,0.0,SF,
Ishmael Smith,4.2,6900,0.0,PG,
Andre Drummond,3.9,8700,0.0,C,
Jeff Teague,3.8,6200,0.0,PG,
Tobias Harris,3.7,5500,0.0,SF,
Andrew Wiggins,3.6,6300,0.0,SG,
Chandler Parsons,3.5,6800,0.0,SF,
Pau Gasol,3.3,8700,0.0,C,
Monta Ellis,3.2,6900,0.0,SG,
Evan Turner,2.6,5200,0.0,SF,
Dion Waiters,2.5,4100,0.0,SG,
DeAndre Jordan,1.9,8200,0.0,C,
Danilo Gallinari,1.3,7000,0.0,SF,
Wayne Ellington,1.1,3900,0.0,SG,
J.R. Smith,1.1,5000,0.0,SG,
Marco Belinelli,1.1,3800,0.0,SG,
Anthony Davis,1,10100,0.0,PF,
Willie Cauley-Stein,0.9,4300,0.0,PF,
Goran Dragic,0.7,5400,0.0,PG,
Trey Burke,0.1,4500,0.0,PG
