Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,g,Unnamed: 13,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,DP_Salary,DP_Position,DD_Salary,DD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
202693,Markieff,Morris,UTA@PHX,PHX,UTA,g,,,,"Morris, Markieff",5200.0,PF,6100.0,PF,22.93,PF,12000.0,"C,PF",1.85300647492,0.404534152406,2.1356198081,2.42557078573,1.06561641488,3.80655593835,0.986442428626,2.25188699364,4.87217235323,4.92529123353,0.691917496316,11.7156569266,1.8163091931,26.3571428571,12.3588091565,21.7688325771,5.24062948964e-07,21.5149918611,23.2622119548,21.7903097099,21.8609506093,22.4324097926,24.3424842627,22.7706152791,22.7504579979,22.7394849407,11.0,34.0,8.9791564949,27.7537564388,9.69512695954,30.111066228,9.08083713372,28.2123522209,9.12354036269,28.2000338483,9.06746699455,28.2190920493,0.81044645063,1.56957696382,9.18947898763,10.8828046348,0.2,0.3,0.6,0.4,0.5,0.25,-0.0348071843904,-0.0409859412194,-0.0371931652293,-0.0337482478039,-0.0368269189409,g - 
202694,Marcus,Morris,DET@IND,DET,IND,g,,,,"Morris, Marcus",5300.0,SF,5400.0,SF,24.23,PF,9650.0,"PF,SF",1.46095573883,0.265844361909,3.17741451794,3.58416036599,1.23559820207,3.94608721389,0.861985985737,1.48876281774,5.18168541596,4.60580298654,0.906159698171,11.6332737177,2.75662648478,35.0,12.874392156,22.0588990434,1.02391581692e-07,22.050746141,23.5540008316,22.3565395736,22.5038259901,23.4274943957,25.0821776598,23.7324976021,23.9685214493,23.7437158047,30.0,42.0,18.9006395494,26.4608953692,20.1652961113,28.343956748,19.1389007473,26.9070032385,19.2889937058,27.0045911881,18.8758312972,26.5762172712,0.546957564831,-0.0413148348054,4.76385198283,8.29319859024,0.0,0.2,0.4,0.2,0.2,0.2,-0.03933566442,-0.043662195093,-0.0393130865285,-0.0418484416929,-0.0481376217532,g - 
202695,Kawhi,Leonard,LAL@SAS,SAS,LAL,g,,,,"Leonard, Kawhi",7200.0,SF,7800.0,SF,29.25,SF,13900.0,"SG,SF",1.93966530589,0.818900226191,3.21800651527,3.62146372239,0.866947866973,4.18410852116,1.36045035039,0.973818069149,5.05105638814,6.22952888677,1.51996068656,11.4720387709,3.04185738078,25.0,17.0208758409,30.2435915413,1.19559049003e-06,29.3765245495,30.9233486709,29.6764592931,30.1365048928,27.2035771124,28.7337912182,27.5024875712,27.8837758444,27.9746599149,25.0,39.0,29.3765245495,45.8273782972,30.9233486709,48.571169258,29.6764592931,46.6260218285,30.1365048928,47.0129476327,30.2435915413,47.6203300791,0.167089932452,-0.0991238835154,4.90603189311,9.03666659145,0.6,0.4,0.25,0.2,0.2,0.25,0.0869178974862,0.0875822981098,0.0869588688762,0.0901091619345,0.0907572650552,g - 
202697,Iman,Shumpert,NOP@CLE,CLE,NOP,g,,,,"Shumpert, Iman",3500.0,SG,3400.0,SG,10.93,SG,5700.0,"SG,SF",1.54164776734,0.336090606993,2.7038793162,0.698297016282,0.575320426229,2.54409782899,0.959062429938,0.969435833533,3.11941825522,2.44361308598,0.931607082372,6.11618523119,0.482888602448,23.7857142857,6.30172185677,14.5794358998,2.01913948886e-09,13.9783656544,15.0854351331,14.1349136751,14.4441691956,14.2301226114,15.4440417295,14.3823641755,14.722410919,14.9511105598,16.0,30.0,9.40286458433,17.6303710956,10.1471821539,19.0304818557,9.50779234433,17.8316259628,9.71619789732,18.2178710575,9.80668436146,18.3935533752,1.20872248249,1.49202873966,5.4083927604,7.6709315525,0.8,0.6,0.5,0.2,0.2,0.3,-0.0105843765729,-0.0150765536031,-0.0104033243414,-0.011697850233,-0.0156259616827,g - 
202700,Donatas,Motiejunas,POR@HOU,HOU,POR,O,Back,g,,"Motiejunas, Donatas",3800.0,PF,3000.0,PF,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,4.14002986887,15.8701144973,4.53906376932,17.4037740956,4.18866968919,16.0605967885,4.23755671101,16.2439673922,4.33133689981,16.6088309607,0.406237524173,-1.22801224725,7.46015054499,7.8565993818,0.8,0.6,0.5,0.2,0.2,0.4,,,,,,O - Back
202703,Nikola,Mirotic,CHI@MIN,CHI,MIN,O,Illness,g,,"Mirotic, Nikola",4800.0,SF,5000.0,PF,20.05,PF,9950.0,"PF,SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,13.2857103199,27.457134661,14.3271213948,29.8898848905,13.4709922152,28.1205512525,13.7196133474,28.3538675846,13.9177861919,29.1374192032,0.339139481172,-0.657094261732,7.24776702508,10.4855510673,0.6,0.5,0.4,0.4,0.5,0.45,,,,,,O - Illness
202704,Reggie,Jackson,DET@IND,DET,IND,g,,,,"Jackson, Reggie",6900.0,PG,6800.0,PG,29.88,PG,13100.0,"PG,SG",5.99170351572,0.0616928096698,3.93432634042,4.1744077348,0.660062442338,2.98606954406,0.806119529108,2.73830841207,3.6461319864,7.34188997655,1.49713407937,16.5346459183,3.35209247401,31.0714285714,19.5330065065,32.6093358604,0.000355566480044,31.8932364292,34.3222518843,32.2045306386,32.6418034689,31.6619620581,34.0705511958,31.9969192303,32.3918285462,32.4374868999,26.0,37.0,26.6876737017,37.9786125755,28.6588913479,41.0184271383,26.8868211561,38.4966349423,27.3140608337,38.870009648,27.2056294076,39.0236455955,0.418883262968,1.06324593274,4.56946386352,11.2506993247,0.4,0.4,0.3,0.0,0.2,0.2,0.00744331309496,0.00810071181404,0.00668174647268,0.00804516992723,0.00553077114243,g - 
202708,Norris,Cole,NOP@CLE,NOP,CLE,g,,,,"Cole, Norris",4900.0,PG,5900.0,PG,23.48,PG,8750.0,"PG,SG",4.20620876169,0.153058789848,2.78819058994,1.13057316311,0.234075383185,3.30178421804,0.896398851248,1.77369552822,3.53585960123,4.78406177647,0.754268088851,12.4308189364,0.839138815633,32.3571428571,11.1615304574,21.8928130643,2.73887255017e-05,22.0390948754,23.4951786716,22.2311968631,22.4162289198,22.6397878842,24.2596302323,22.8534647183,23.0752393579,22.7022584106,16.0,35.0,10.8979188788,23.8391975473,11.6103768962,25.4251427862,10.985361609,24.0579218454,11.0844045873,24.2471350347,10.8155482232,23.6954378908,0.822736383635,-0.283250008102,7.46578215767,9.79903714822,0.2,0.2,0.35,0.6,0.4,0.35,-0.0185644638492,-0.0236254345463,-0.0192312361436,-0.0203667685073,-0.0250159709691,g - 
202710,Jimmy,Butler,CHI@MIN,CHI,MIN,GTD,Knee,g,,"Butler, Jimmy",8800.0,SG,8600.0,SG,42.33,SG,14750.0,"SG,SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,43.0,32.8167718209,44.0975371343,34.3916790467,46.3219256065,33.0518359412,44.5215114335,33.3400400864,44.8006788662,32.731275293,44.1236273573,1.00602414754,2.08109269539,5.65932200285,10.9499325996,0.4,0.4,0.25,0.2,0.2,0.3,,,,,,GTD - Knee
202711,Bojan,Bogdanovic,BKN@PHI,BKN,PHI,g,,,,"Bogdanovic, Bojan",3500.0,SF,3500.0,SG,11.65,SG,5800.0,"SG,SF",0.941809024751,0.0429565991655,3.35085571289,1.21305629047,0.511230774048,2.55176898157,0.417448912339,1.14953815786,3.06299975561,3.26993655269,1.25149734215,7.42318724595,0.998051389652,23.1428571429,8.78942183719,14.5376130842,4.04000614828e-11,13.6490079462,15.0036151548,13.8030974048,14.2747566173,12.5890636949,13.8492866129,12.7324755821,13.1908003187,13.3824648279,18.0,37.0,10.6158950693,21.8215620868,11.6688357299,24.0211042863,10.7350997021,22.101758007,11.1025884801,22.8219874313,11.3061754338,23.2873570918,0.689742398435,-0.00991219354384,6.95520682372,8.4193348906,0.8,0.5,0.5,0.2,0.2,0.35,0.045800060241,0.0498783937879,0.0462614367832,0.046837617838,0.0499138135448,g - 
