Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,DD_Salary,DD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
2617,Udonis,Haslem,LAC@MIA,MIA,LAC,,,"Haslem, Udonis",3500.0,PF,3000.0,PF,5000.0,PF,0.347458255503,0.0500867025266,0.184668843059,0.378732670925,0.391058073308,1.51483387708,0.124333387142,0.206847650397,1.90589195039,0.701364728881,0.0263761559788,1.70107181674,0.300012218003,7.07142857143,1.72911783174,4.63485595613,4.59421585333e-19,4.67936808441,4.89127471878,4.77466281559,4.6925561624,4.69366939138,4.91022533051,4.78824119425,4.70544624352,4.66667830148,2.0,16.0,1.32345764003,10.5876611203,1.38339079175,11.0683090693,1.35040964741,10.8044599146,1.32718760149,10.6175008119,1.31086830082,10.4885233869,0.982164620806,0.6378597858,5.7735026919,4.40123088844,0.8,0.9,0.95,0.0,0.0,0.0,-0.00202240704658,-0.00267988448704,-0.0019201747601,-0.00182283975532,-0.00450012964589,-
2736,Luol,Deng,LAC@MIA,MIA,LAC,,,"Deng, Luol",4800.0,SF,4600.0,SF,9550.0,"PF,SF",1.96788057333,0.173628998611,3.36253883221,2.58462776903,1.01589885779,3.92134666341,0.667909732443,1.01133118371,4.93724552119,3.80805611013,1.26083593979,9.16601444289,1.98592673162,30.9285714286,10.8628748917,20.9746022086,7.97966985983e-07,20.4111366555,21.8235336312,20.6874500695,21.0415546254,19.8693957589,21.228620141,20.1217705022,20.4518265457,20.4324791754,27.0,36.0,17.8184980503,23.7579974004,19.0366213941,25.4466171081,18.0448440584,24.1242473273,18.3688398346,24.4917864462,18.290566492,24.4733479504,0.428117451576,-0.360085661598,3.87946019653,6.72422806937,0.2,0.3,0.4,0.6,0.4,0.3,0.0175158719448,0.0192350782067,0.018289870535,0.0190674205897,0.0175282274014,-
2749,Jameer,Nelson,DEN@NYK,DEN,NYK,O,Wrist,"Nelson, Jameer",4700.0,PG,4000.0,PG,7350.0,PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,38.0,12.8766676582,27.1840761672,13.8807174919,29.5016338118,12.9763992345,27.5925174907,13.2465764451,27.9649947175,13.4153262692,28.5824619839,0.532481612861,-0.27871488767,7.31592506808,8.84682719122,0.4,0.3,0.25,0.0,0.3,0.35,,,,,,O - Wrist
2756,Sasha,Vujacic,DEN@NYK,NYK,DEN,,,"Vujacic, Sasha",3500.0,SG,3100.0,SG,5450.0,SG,1.55152782198,0.0777131728633,2.7404370298,1.04354468268,0.473148036384,2.1025406516,0.667221060545,0.903818256782,2.57568868799,2.18905205289,0.853386984702,5.90100289244,0.804666834408,16.8571428571,6.03615792489,12.4868668205,4.51474499649e-10,12.0403262935,13.0478387129,12.1692360922,12.4670197858,11.3323398016,12.3413114664,11.4553050965,11.7501029834,11.8033230603,2.0,26.0,1.42851328906,18.5706727577,1.54803378713,20.1308239401,1.44379279822,18.7756910843,1.47913794069,19.228793229,1.48147284209,19.2676582546,0.986814899265,0.264175176702,8.88819441732,8.35048282988,0.2,0.4,0.7,0.2,0.2,0.1,0.0419991986733,0.0419126332684,0.0423518387234,0.0425289628543,0.0405492061145,-
2757,Beno,Udrih,LAC@MIA,MIA,LAC,,,"Udrih, Beno",3500.0,PG,3100.0,PG,5200.0,PG,3.32119850583,0.025836612361,1.25414950403,0.687084225045,0.193323835357,2.02840595958,0.466499216008,1.46495939152,2.22172979494,2.37254432668,0.417926264829,5.49562058612,0.620548919429,21.0,5.78356383763,13.4162338708,5.18064647634e-08,12.9511496155,14.0044250333,13.0629822051,13.1601127479,13.6345367607,14.6996127595,13.7425853811,13.8578565984,14.0848440947,6.0,28.0,3.70032846158,17.2681994874,4.00105112427,18.6812126526,3.73206745907,17.4259555484,3.76003221369,17.5468169972,3.83292547903,17.8998278033,1.2355642137,1.47193252215,7.69597753216,7.469867494,0.6,0.5,0.6,0.0,0.2,0.15,-0.0325422450066,-0.033104177438,-0.0323620559985,-0.0332258976415,-0.0318385820912,-
101108,Chris,Paul,LAC@MIA,LAC,MIA,,,"Paul, Chris",9600.0,PG,9400.0,PG,17100.0,PG,9.51463181273,0.105767953558,4.00682868658,4.14392592403,0.534480432807,2.99525726312,2.2550516735,2.5557351501,3.52973769592,6.36591870792,1.62107095829,13.5838141143,3.65053708554,33.3571428571,18.0034454597,40.7506292096,0.00166592509978,38.6769825179,41.6389030956,39.5505000415,39.487517997,40.1733312214,43.3181311033,41.1106523494,40.9798119173,42.2190654765,27.0,38.0,31.3059944149,44.0602884358,33.4634103593,47.6129606994,31.7730113133,45.2338805606,31.9620595351,44.9836393457,32.6667702019,46.6533255148,-0.155651471597,-0.166175241187,4.04182676971,9.93446454816,0.0,0.0,0.05,0.0,0.2,0.25,-0.0448584193784,-0.0503408824559,-0.0467711612657,-0.0447368627051,-0.0440216439738,-
101112,Channing,Frye,ATL@ORL,ORL,ATL,,,"Frye, Channing",3500.0,PF,3000.0,PF,5000.0,"C,PF",0.838499460563,0.323374248375,2.2533263613,0.319457281128,0.357864000854,1.95341322043,0.431092016403,0.510759983072,2.31127722128,1.36883146606,0.927917990598,3.16913699392,0.306313690351,12.4285714286,3.97189461307,9.84687789634,3.25226885018e-13,9.00134901594,9.83627385148,9.11693486465,9.46530801124,8.52718586706,9.32175753917,8.63933743711,8.95589292808,9.30811099539,10.0,23.0,7.24246472547,16.6576688686,7.91422779668,18.2095541821,7.33544930152,16.8783636433,7.61576506652,17.516259653,7.92275460942,18.2314425512,0.529492156977,-0.39582410912,5.53103376366,6.88416562505,0.8,0.5,0.5,0.0,0.1,0.15,0.0381510579564,0.0413978642094,0.0384273792274,0.0409874204847,0.043349060996,-
101123,Gerald,Green,LAC@MIA,MIA,LAC,,,"Green, Gerald",3500.0,SG,3600.0,SG,6850.0,"SG,SF",1.12696959306,0.265013835455,3.93682705494,1.70539361351,0.323598225963,2.02710507849,0.48551208761,0.843655914503,2.35070330445,3.26040434997,1.37745195933,8.32059119829,1.3241617949,23.2142857143,9.22242245418,14.947757364,2.95455650137e-11,14.3911167407,15.619340999,14.5087870621,15.0798427204,15.0808083246,16.345184921,15.2028596192,15.7762447581,15.5980984965,16.0,34.0,9.91880046132,21.0774509803,10.7652404151,22.8797370197,9.99981247092,21.2532026382,10.3934915981,22.0861696459,10.3023343109,21.8972618827,0.0367502885313,-0.75751899142,6.83706476095,7.27554711747,0.2,0.5,0.35,0.4,0.2,0.4,-0.0297097913028,-0.0312671227941,-0.0298985101504,-0.0299988570099,-0.0280146949394,-
101135,David,Lee,SAC@BOS,BOS,SAC,,,"Lee, David",4100.0,PF,3000.0,PF,7450.0,"C,PF",1.59385842507,0.577025043751,0.0346346998031,1.8469225271,1.31481040707,2.8548647539,0.53631565395,1.07936254897,4.16967516096,3.020366673,6.23816263861e-08,6.25991501059,1.44321145408,15.6428571429,7.48394486247,15.8706830225,2.64932544754e-08,16.0256615397,16.7795800736,16.2398987679,16.0256615709,15.3541149571,16.1556106076,15.5779184305,15.3541149812,15.2321047744,8.0,22.0,8.19577211161,22.5383733069,8.57840152355,23.6644045412,8.30240012521,22.9054006958,8.19577212756,22.5383733508,8.11259874435,22.4080354954,-0.263212223915,-1.1398522863,4.95450567027,7.54838796827,0.2,0.2,0.3,0.4,0.3,0.3,0.042929918521,0.0398884590132,0.0423183777359,0.0429299189732,0.0408223537628,-
101161,Amir,Johnson,SAC@BOS,BOS,SAC,,,"Johnson, Amir",4600.0,PF,4600.0,PF,7850.0,"C,PF",1.45224695729,1.3014475139,0.656123484761,1.50295867528,1.94235259865,3.55279402231,0.727428698205,0.971513098594,5.49514662096,3.19225044238,0.221551988245,5.29703699802,0.874048269585,21.2857142857,7.48010114258,19.6762857114,8.30258203094e-08,19.3388868493,20.2392447737,19.6427122303,19.4496628434,18.2576116935,19.1810901046,18.5754661867,18.3432662145,18.581554133,16.0,31.0,14.5366129337,28.164687559,15.1943101094,29.7208276693,14.7459098083,28.8520520859,14.619880795,28.3260190404,14.764785729,28.9825352106,0.686170169528,0.772885531511,5.44288526427,9.51587467069,0.6,0.6,0.35,0.0,0.2,0.45,0.0507981616808,0.0497119643215,0.0501390758728,0.0519783651165,0.051430342608,-
