Player_ID,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_FD_std,PROJ_DK_std,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_FLOOR_MIN,PROJ_FLOOR_FD,PROJ_FLOOR_DK,PROJ_CEIL_MIN,PROJ_CEIL_FD,PROJ_CEIL_DK,PROJ_HIST_FD_std,PROJ_HIST_DK_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,FD_VALUE,ADJ%,ADJ,Status
2754.0,SG,Tony,Allen,16.0,35,4500,DET@MEM,MEM,DET,,,"Allen, Tony",1.55829532273,0.295913767038,1.05300276101,2.18110079851,1.89753739566,3.73020735894,1.81308770734,1.64764976923,5.6277447546,3.59261907078,0.478559705462,8.44123158274,1.32713329121,32.4285714286,8.99093113823,0.0310432563878,8.15995450021e-07,20.6520210074,22.043080315,2.15550148086,2.10145734536,22.4384831882,23.6679591274,14.0,9.5820076803,10.1104247617,32.0,20.394578837,21.7626936981,8.0404157675,8.35282873637,0.2,0.4,0.55,0.6,0.4,0.2,4.58933800164,-0.0796159956917,-0.0550891421405,-
2760.0,C,Anderson,Varejao,6.2,24,3500,CLE@SAS,CLE,SAS,,,"Varejao, Anderson",0.498079811486,0.0572677438858,0.108184269459,0.377806294666,0.412732097493,1.86032394886,0.191140498931,0.639411321818,2.27305604635,0.819618773077,1.37205465021e-07,1.92244658643,0.246817460938,7.85714285714,1.8860551443,4.54095089162e-07,7.48415502544e-17,5.21824728096,5.65160649394,1.88996803933,1.71691420466,6.16680718582,6.48632560994,4.0,2.23158506571,2.53199909242,14.0,10.2362081462,10.8820909481,4.30650838763,4.38309292888,1.0,1.0,0.9,0.0,0.0,0.0,1.49092779456,-0.1538170201,-0.120725806073,-
101106.0,C,Andrew,Bogut,20.3,32,4300,LAL@GSW,GSW,LAL,,,"Bogut, Andrew",2.4543295318,1.81413520403,0.0592370117976,1.39277185878,1.80008247111,6.86984945513,0.44105842958,1.15327055771,8.66993192624,2.90861641676,0.0116800251571,4.50815829056,0.206537634854,23.4285714286,6.03545049353,0.0748626996569,1.95016789615e-05,23.4779798122,24.6063042545,1.60032086363,1.44838943811,22.3359776495,23.5607659671,15.0,15.1963400548,15.8363233237,30.0,29.9348514875,31.6259534459,8.44459886555,8.63577152889,0.2,0.2,0.25,0.2,0.2,0.35,5.45999530517,0.051128371486,0.0487439947522,-
101112.0,PF,Channing,Frye,12.3,33,3500,TOR@ORL,ORL,TOR,,,"Frye, Channing",1.28664898612,0.330489300857,3.24040678392,0.697525194871,0.215059341719,2.79539695391,0.478990326078,0.742681586993,3.01045629563,2.12829663676,1.4894339619,5.05613439164,0.609656569381,17.8571428571,6.3556838048,0.000315400888898,3.37261134156e-10,12.7744825056,14.0415361972,2.00134689961,2.2528702695,12.0021777731,13.1578721976,10.0,7.77542730222,8.52295235084,24.0,16.6828347555,18.3604763793,7.4489207577,8.0483785187,0.8,0.4,0.5,0.0,0.2,0.25,3.64985214446,0.0643470499335,0.0432490650188,-
101138.0,PF,Brandon,Bass,14.5,34,4000,LAL@GSW,LAL,GSW,GTD,Ankle,"Bass, Brandon",0.02394544,0.0,0.13517386,0.42683473,0.13856923,0.08056727,0.0,0.44472587,0.2191365,0.0,0.09918939,0.27577355,0.33052302,0.0,0.42971241,0.0,0.0,0.2838685,0.566782955,2.3789586318,2.23027740902,0.0,0.0,10.0,7.85081394631,8.4000683589,25.0,20.8819455758,21.9080630113,7.10118679042,7.21831387919,0.4,0.3,0.4,0.4,0.5,0.3,0.070967125,inf,inf,GTD - Ankle
101141.0,PF,Ersan,Ilyasova,20.2,38,5200,DET@MEM,DET,MEM,,,"Ilyasova, Ersan",1.06555788558,0.727649000102,4.2198878959,2.12500074445,1.56594109545,3.58453308179,0.662915351693,1.36223820335,5.15047417724,3.92917051429,1.66178455274,9.76231992803,1.47543053066,28.9285714286,10.995556112,0.0249924991317,5.16337631384e-09,20.1933524533,22.0003763044,2.52301344745,2.68414750497,21.7661249754,23.5083524438,19.0,13.8207193458,15.0643285046,35.0,24.0902863679,26.2882825727,8.76816788939,9.18904118783,0.4,0.4,0.3,0.2,0.2,0.4,3.88333701024,-0.072257809966,-0.0543674452109,-
101150.0,SG,Louis,Williams,23.7,38,6000,LAL@GSW,LAL,GSW,,,"Williams, Lou",2.84809471256,0.227803049453,5.5590734227,5.56594527405,0.497403951419,2.74740323337,1.47579513095,1.83011982767,3.24480718479,5.02942059755,1.7204289312,12.9535877067,4.52635765191,33.3571428571,16.3056277782,0.00249379421795,1.35713430171e-06,26.0486150019,27.9898745033,2.03562152356,2.18681542456,27.4423437,29.4488856074,21.0,16.5725883204,17.8627437025,35.0,27.3084335781,29.3373505933,10.5076132394,11.0526108345,0.2,0.2,0.25,0.6,0.5,0.35,4.34143583365,-0.0507875243214,-0.0417820166454,-
200746.0,PF,LaMarcus,Aldridge,30.2,37,7400,CLE@SAS,SAS,CLE,,,"Aldridge, LaMarcus",1.35065315923,0.757371959331,0.509234110663,2.89518371805,2.25617164482,5.94814396632,0.374340834034,1.05509347135,8.20431561115,7.64115133694,0.0674108617321,14.5324418048,2.36597285296,30.4285714286,17.7156863886,0.295614553393,4.87876233398e-07,30.7951769762,32.210068217,2.46474303965,2.39742022521,30.7876730578,32.539480929,23.0,22.9534291221,23.8688167294,35.0,35.6208679633,37.3985793894,8.59107365505,8.66316847279,0.0,0.2,0.25,0.6,0.4,0.35,4.16151040219,0.000243731260828,0.00024660764604,-
200752.0,SF,Rudy,Gay,30.6,35,7400,SAC@UTA,SAC,UTA,,,"Gay, Rudy",1.75574993239,0.490203136296,2.87918145385,4.26509912174,1.50052474545,4.39687626488,1.29340083594,1.75972372225,5.89740101033,7.38648995857,0.970120905836,15.0898633582,3.33597711315,35.2857142857,19.0790779361,0.0747473600693,1.25908273207e-06,30.5970682693,32.3689854512,2.07391671236,2.06695590571,31.7581083624,33.8219855288,27.0,23.5798816446,24.8880954575,40.0,34.5896054869,36.6603917621,7.95564888657,8.31735372675,0.4,0.4,0.25,0.4,0.2,0.2,4.13473895531,-0.0365588554542,-0.0329039702504,-
200765.0,PG,Rajon,Rondo,37.0,35,8000,SAC@UTA,SAC,UTA,,,"Rondo, Rajon",8.49595926182,0.131660746981,1.7009145845,1.75040221354,0.707224641944,4.1845015085,1.67692081063,3.03604157722,4.89172615044,4.24043075113,0.712150127772,9.25338946066,0.879711099587,31.0714285714,10.0727227296,0.2297562619,0.00586788295846,29.2678545409,31.7487747426,2.44740272419,2.4167711094,32.3008536829,35.2803145579,24.0,22.9194149852,24.6725692225,44.0,40.874597567,45.2560604151,12.1724157976,12.5796569054,0.2,0.3,0.25,0.6,0.3,0.35,3.65848181761,-0.0938984205124,-0.0976137654906,-
