Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,YH_Salary,YH_Position,Time,DP_Salary,DP_Position,DD_Salary,DD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,PROJ_UNADJ_DK,ADJ,Status
201566.0,Russell,Westbrook,OKC@BKN,OKC,BKN,,,"Westbrook, Russell",10500.0,PG,10600.0,PG,59.0,PG,3:30PM EST,48.65,PG,20750.0,PG,9.61881590375,0.166134401237,4.07705917822,6.62449558128,1.45239394216,5.06476372885,2.38827681481,3.57828013058,6.517157671,7.67681008705,1.26777449333,17.0062128217,4.80333407635,31.4285714286,21.4247287438,47.1419014173,0.060597354097,45.2040841061,49.0508797794,46.6278524675,45.8379713528,44.9994785071,27.0,39.0,39.0946570816,55.6492335352,42.1082098221,61.1605958362,39.9967161192,58.2049465475,39.6519477934,56.4140761478,40.4545189394,58.7397301757,-0.627659387382,0.77330325193,5.59175077839,11.3047134176,0.0,0.1,0.15,0.4,0.4,0.4,,0.00651017814965,-
101108.0,Chris,Paul,LAC@TOR,LAC,TOR,,,"Paul, Chris",10000.0,PG,9700.0,PG,47.0,PG,6:00PM EST,44.23,PG,18600.0,PG,10.021281448,0.186504785253,3.85676952966,4.35776740068,0.551358659815,3.36093745024,1.68353306207,2.45352680317,3.91229611005,6.71324059947,1.49873386013,14.5456626324,3.85613158989,32.1428571429,18.7813466489,41.7048411513,0.0037036463197,39.7945730445,42.7763765265,40.8002461948,40.5439399746,38.9289320214,27.0,38.0,33.3396433145,47.1460207925,35.6313730318,50.8842136408,33.9586650156,48.5625190055,33.9629458213,48.0389610935,34.6700912114,49.6623602127,-0.15317052561,-0.489493875926,4.27778342252,10.6868157031,0.2,0.2,0.1,0.4,0.4,0.25,,0.026931054053,-
201142.0,Kevin,Durant,OKC@BKN,OKC,BKN,,,"Durant, Kevin",10000.0,SF,9500.0,SF,52.0,SF,3:30PM EST,45.88,SF,18850.0,"PF,SF",4.62924251524,0.971046097815,5.79942908304,6.2155057034,0.21998404839,6.49375959095,0.899145898207,2.36030253419,6.71374363934,7.83872456655,2.47600802112,16.3185617217,5.55603084842,33.2142857143,23.7094880026,42.1242846812,0.00285326238223,40.0899256006,43.0935534135,40.6753981358,41.3279296111,40.8251850368,29.0,41.0,35.1028728727,49.3032941994,37.6282721703,53.3560381959,35.5131925814,50.3779634254,36.1826745008,50.8335704081,36.7602789894,52.2264290743,0.16895665415,-0.520161752581,6.01089574937,8.99992887596,0.0,0.0,0.1,0.2,0.2,0.25,,-0.0221368432427,-
201935.0,James,Harden,DAL@HOU,HOU,DAL,,,"Harden, James",10000.0,SG,10100.0,SG,52.0,SG,3:30PM EST,40.55,SG,19750.0,"SG,SF",6.42346341417,0.455323418735,7.50141489688,7.6726305441,0.889657601658,4.72438624769,1.4366700391,3.98567091917,5.61404384935,7.04721536382,2.55071653971,17.6914040789,6.6785693334,34.8571428571,23.3237166008,41.7709961308,0.0068833771716,39.4940803377,43.3249693875,40.056775658,40.7694386076,41.9638099952,33.0,42.0,37.5044566491,47.1464791399,41.0941747173,52.0404809932,37.9823078355,48.1710301574,38.7200240502,48.6518022899,39.6178395201,50.1980607248,0.340134815895,0.871172076902,4.07480556641,12.1800063857,0.4,0.3,0.2,0.4,0.2,0.15,,-0.0708529000112,-
201933.0,Blake,Griffin,LAC@TOR,LAC,TOR,O,Quadriceps,"Griffin, Blake",9000.0,PF,8800.0,PF,47.0,PF,6:00PM EST,40.95,PF,16250.0,"C,PF",0.31363279,0.12820109,0.04254859,0.10141282,0.0,0.6744626,0.0,0.14995285,0.6744626,0.34540778,0.0,1.27091279,0.13380161,0.0,0.82461717,2.096291305,0.0,2.210870805,2.31957036,2.244593935,2.210870805,0.0,29.0,40.0,32.535581892,44.1458957633,34.0778823061,46.7379263413,33.1282222747,45.4467528141,32.5982553325,44.2420788435,32.1849064787,44.339624683,0.10437117368,0.19740659729,5.45156309969,9.78121880848,0.2,0.1,0.15,0.0,0.2,0.25,0.0,inf,O - Quadriceps
200768.0,Kyle,Lowry,LAC@TOR,TOR,LAC,,,"Lowry, Kyle",8900.0,PG,8500.0,PG,46.0,PG,6:00PM EST,41.5,PG,16600.0,PG,6.82385822168,0.317174850034,6.76355339748,6.55865881567,0.745044790985,5.17766208166,2.16387089282,3.06859246071,5.92270687265,6.11887008107,2.60802931761,15.2004804118,5.91232816913,39.3571428571,20.7580976489,42.4776079886,0.011751884544,39.9946322536,43.504081379,40.6657704898,41.2986469124,41.7975630522,32.0,40.0,32.7173782625,40.6305088159,35.4218883496,44.2200089792,33.0766480322,41.3386142537,33.7892567435,41.9548072184,34.5202112877,43.1838171453,0.195202599934,0.32712079414,3.72445154532,8.9212929802,0.2,0.1,0.3,0.4,0.3,0.2,,-0.0458094939768,-
201942.0,DeMar,DeRozan,LAC@TOR,TOR,LAC,,,"DeRozan, DeMar",8600.0,SG,8300.0,SG,39.0,SG,6:00PM EST,38.23,SG,15000.0,"SG,SF",4.83016657843,0.284584958793,2.0103190169,9.37341270943,0.70028064298,3.74955989962,1.03561300828,2.18364436165,4.4498405426,6.62385012518,0.553405079434,15.694781688,7.94171450465,37.1428571429,21.7428198344,34.109640563,0.000406508628409,34.7846299257,36.4384680302,35.0699433097,35.0613324654,35.606324444,34.0,40.0,32.0838034718,37.239926702,33.5770304671,39.0488524,32.3256910322,37.5737956016,32.3370598537,37.5379439306,31.4260108407,36.5608453367,-0.102848965104,-0.788450327042,3.05414410838,8.84386592857,0.0,0.3,0.15,0.6,0.4,0.3,,-0.0221225447231,-
202738.0,Isaiah,Thomas,BOS@PHI,BOS,PHI,,,"Thomas, Isaiah",8400.0,PG,7800.0,PG,40.0,PG,7:00PM EST,,,14350.0,PG,7.24477996541,0.0879861461322,5.72692794038,7.53008596383,0.618726572685,2.93011255033,1.42920212751,3.13577719537,3.54883912302,7.26198432573,1.83867777583,16.6918735906,6.48791111567,34.0,22.850557543,39.2359354081,0.000705205989561,37.8749337906,40.8369180284,38.3496905428,38.7942726785,36.2226954643,27.0,38.0,30.4309972281,42.1286118263,32.6641037201,45.5493928759,30.6765765577,42.7766223485,31.1746550669,43.1483398852,31.3290369895,43.8081923441,-0.134358390521,-0.215571076173,4.18620507099,8.32495420884,0.2,0.2,0.2,0.0,0.3,0.2,,0.0485952448916,-
2730.0,Dwight,Howard,DAL@HOU,HOU,DAL,O,Ankle,"Howard, Dwight",8300.0,C,7800.0,C,31.0,C,3:30PM EST,40.92,C,14850.0,"C,PF",0.12025538,0.07427643,0.03856971,0.13832962,0.0,0.0,0.12564216,0.580661,0.0,0.17480857,0.00757332,0.73769309,0.0,0.0,0.35719046,0.479349995,0.0,0.35674971,0.65086687,0.35674971,0.36053637,0.0,26.0,40.0,27.8122564847,42.9831938127,30.0553996307,46.6188192368,29.0361766105,45.2091545996,27.8176080446,42.9893880109,29.1119304374,45.4054082916,0.411941513366,1.57481206963,7.50015014865,12.9963571935,0.2,0.1,0.3,0.2,0.3,0.2,0.0,inf,O - Ankle
201572.0,Brook,Lopez,OKC@BKN,BKN,OKC,,,"Lopez, Brook",8000.0,C,7000.0,C,35.0,C,3:30PM EST,34.05,C,13450.0,C,1.31348826255,1.59222221253,0.0869791634425,4.17977869086,2.93504039984,4.34140518631,0.613657570793,1.99984165515,7.27644558615,6.83664425745,0.00217890358399,14.5489947923,3.36256456642,31.1428571429,17.0380319849,29.7627928087,1.53490740507e-06,30.1519169936,31.7997605817,30.7987503024,30.1530064454,32.2822478727,28.0,39.0,27.4764225693,36.8406530544,28.9104026555,39.0742728367,28.0014367669,37.8431515805,27.4774433273,36.8419142406,27.0630782698,36.5802102102,-0.1699171972,-0.0675051546177,4.88228233115,10.4022447874,0.4,0.3,0.25,0.2,0.3,0.4,,-0.0684051199712,-
