Player_ID,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,YH_Salary,YH_Position,Time,DP_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,PROJ_UNADJ_DK,FD_VALUE,ADJ%,ADJ,Status
201619,C,Sasha,Kaun,2.8,9,3500,LAC@CLE,CLE,LAC,,,"Kaun, Sasha",3500,C,3000,C,10,C,8:00PM EST,C,0.378178891987,0.160040738245,0.211952116685,0.517977603874,0.548681489499,0.211309726196,0.123504016086,0.742394599766,0.759991215694,0.794012721312,0.0794285825445,1.62101558765,0.552764630731,5.21428571429,2.2202186559,7.22582022551e-11,8.44381250701e-22,3.52417136161,3.97308251355,3.56217092239,3.56388565288,3.62272887198,1.0,8.0,1.21609171339,5.51024161141,1.52103774027,6.07106292407,1.22737708847,5.5826464747,1.24058911158,5.56001452692,0.392911482245,-1.85581584306,2.68224615657,2.61857679751,1.0,1.0,1.0,0.0,0.0,0.0,,1.00690610332,-0.0272053233494,-0.0189014403448,-
201933,PF,Blake,Griffin,41.3,30,9000,LAC@CLE,LAC,CLE,O,Quadriceps,"Griffin, Blake",9000,PF,8800,PF,47,PF,8:00PM EST,PF,0.15460941,0.11910892,0.11220248,0.0,0.24489188,0.0,0.0,0.51844754,0.24489188,0.0,0.0,0.5628008,0.0,0.0,0.0,0.0,0.0,0.245554671,0.517023035,0.257799265,0.245554671,0.0,29.0,40.0,34.2851258751,47.8155191578,35.3258566341,49.1602176555,34.6125175629,48.2716994645,34.368505203,47.9334536156,0.10437117368,0.19740659729,5.45156309969,9.78121880848,0.2,0.1,0.15,0.0,0.2,0.25,0.0,0.0272838523333,inf,inf,O - Quadriceps
201936,PG,Tyreke,Evans,32.4,22,7100,DET@NOP,NOP,DET,,,"Evans, Tyreke",7100,PG,7700,SG,31,PG,8:00PM EST,SG,6.5280351921,0.327416942248,2.99241852877,3.79319111636,0.599503125877,5.48153874863,1.07434283357,2.87113378929,6.08104187451,5.78788437274,1.16236956599,12.8244749991,3.10256487217,31.5,15.8407031836,0.196850013359,0.0102247269155,32.8623919835,35.1831957549,33.1664440773,33.4435767665,31.6925990994,21.0,38.0,21.620052174,39.8219356751,23.1681522291,42.6210798423,21.8134865673,40.1944653929,22.0251581977,40.5121215949,-0.731660136805,0.0437272661365,7.93275308002,12.6134711194,0.4,0.2,0.3,0.2,0.5,0.5,,4.62850591318,0.0369106011312,0.0371362820371,-
201943,PG,Brandon,Jennings,12.8,11,4200,DET@NOP,DET,NOP,,,"Jennings, Brandon",4200,PG,3600,PG,19,PG,8:00PM EST,PG,3.55759913703,0.0307095328009,2.7396249841,1.70539666945,0.0777521941644,1.24676597184,0.362353038391,0.96530294885,1.324518166,2.3394329532,0.887927575496,6.34156235884,1.45392723781,16.1428571429,7.02072071971,0.00119417487002,1.65030155379e-09,13.767363418,14.7602045885,13.8335893263,14.2113272057,13.8808607669,15.0,24.0,12.8042738082,20.3886044856,13.725091224,21.8766089694,12.8656788827,20.4879736263,13.2168872892,21.0481016323,1.87029537532,4.6597623553,3.97034461522,6.29642033944,1.0,0.8,0.45,0.0,0.1,0.4,,3.27794367095,-0.00817653536273,-0.00703080922549,-
201950,PG,Jrue,Holiday,25.0,35,6600,DET@NOP,NOP,DET,,,"Holiday, Jrue",6600,PG,6500,PG,23,PG,8:00PM EST,PG,6.27336863481,0.38553690587,3.35889162203,3.18759855728,0.429788131514,2.65729953915,0.988084978294,2.34689596533,3.08708767067,5.60267456999,1.26431221001,12.3495204821,2.47526485298,30.0,14.944926203,0.0929514921615,0.000124684218068,28.459832163,30.4197906342,28.6141865465,29.091988268,29.9635925933,21.0,29.0,20.5742110752,27.5836520421,21.9419479049,29.4778081087,20.6856929371,27.7332428121,21.0395111522,28.1972685885,0.165262735922,0.941278647673,4.78319888742,9.22516379577,0.0,0.1,0.25,0.6,0.5,0.3,32.065374106,4.31209578227,-0.0501862527196,-0.0501253476757,-
201952,PG,Jeff,Teague,26.8,39,5700,ATL@SAC,ATL,SAC,,,"Teague, Jeff",5700,PG,5800,PG,26,PG,10:00PM EST,PG,5.29769630281,0.26940047118,2.83381080933,3.49036412453,0.379528209687,1.84624853493,1.17065007763,2.00621458208,2.22577674462,4.53295368791,1.10191266541,10.5447796885,2.85351182441,24.9285714286,13.0213318656,0.0354825902155,3.9370193668e-06,24.5126949289,26.1780473899,24.6239837662,25.0636512616,23.5359390787,23.0,34.0,22.841602213,32.3730199259,24.3991773158,34.5453251459,22.9445572159,32.5235086505,23.3603075418,33.0756754252,0.0524251438849,-0.310449206989,4.64620054315,10.1337453526,0.0,0.3,0.35,0.0,0.1,0.25,,4.30047279455,0.0415006109173,0.0391821831057,-
201954,PG,Darren,Collison,22.6,35,5200,ATL@SAC,SAC,ATL,,,"Collison, Darren",5200,PG,5100,PG,19,PG,10:00PM EST,PG,4.99480345319,0.103041760404,3.30045814133,2.75693329505,0.421576167134,1.77366967951,1.08576479317,2.13138590454,2.19524584664,4.3848866253,1.17463975267,9.88352163687,2.43629165397,28.8571428571,12.3807046572,0.0243349373261,2.41086167541e-06,22.7534320556,24.5162071765,22.8631943479,23.3407519319,22.5758602678,22.0,35.0,17.9452855542,27.0607299632,19.3114284562,29.1788214469,18.0223512102,27.1997829922,18.4370615787,27.7336412067,0.124354264314,-0.543045526991,5.62110535365,8.83510135047,0.4,0.4,0.35,0.4,0.4,0.45,,4.37566001069,0.00786556019174,0.00615347779563,-
201956,SF,Omri,Casspi,23.0,35,5500,ATL@SAC,SAC,ATL,,,"Casspi, Omri",5500,SF,6000,SF,26,PF,10:00PM EST,SF,1.74358560194,0.285460200811,4.09019795118,2.06578190612,0.923850492762,5.17715783451,0.653742532218,1.93205971221,6.10100832727,4.8870269462,1.67308886397,9.84238673482,1.35522831173,30.3571428571,12.8023710681,0.070799490402,1.05003206099e-06,22.6853052176,24.792929922,22.9903556339,23.5218496496,23.1675076761,21.0,39.0,16.3592001227,28.5285015266,17.9058934697,31.1542384009,16.5731177923,28.9177279915,16.9618528295,29.5810833536,0.429946767625,-0.372624384368,6.13550686125,7.62943495796,0.4,0.3,0.25,0.0,0.3,0.3,,4.12460094865,-0.0208137390217,-0.0158843162818,-
201962,PG,Toney,Douglas,10.9,20,3500,DET@NOP,NOP,DET,,,"Douglas, Toney",3500,PG,3000,PG,10,SG,8:00PM EST,PG,1.76127338902,0.0749728734456,1.14564526206,0.624917797046,0.195520119939,0.903475387793,0.319984834434,0.361699627994,1.09899550773,1.28950815309,0.487749613115,2.8211762528,0.605696382785,9.21428571429,3.67246230207,1.0473872024e-06,2.69968473166e-13,8.06138278265,8.54105717859,8.11633255804,8.30525758921,6.75646579129,5.0,25.0,5.36889983309,18.1467850174,5.62273317699,19.4724064049,5.40395252285,18.2762645542,5.53598066886,18.6783118163,0.615689566113,-0.872990114381,7.80603680022,7.69507019222,1.0,0.8,0.65,0.0,0.1,0.3,,2.30325222361,0.193136031717,0.141618898287,-
201967,PF,Dante,Cunningham,10.5,40,3600,DET@NOP,NOP,DET,,,"Cunningham, Dante",3600,PF,3400,SF,10,SF,8:00PM EST,PF,0.768035500795,0.325859118044,1.89341502518,0.808058912315,0.672941521587,3.42509388407,0.612908796576,0.530810329144,4.09803540566,2.58502715885,0.639685444499,5.86421330655,0.65819794761,24.3571428571,6.4679377098,0.00258504227459,2.8426715222e-11,13.8843589479,14.674508605,14.0892607182,14.2042016701,12.9442706222,6.0,31.0,5.54735207857,17.2405518221,5.83455537176,18.2170587393,5.64076263605,17.4901558756,5.6278134605,17.6470189204,0.333473166834,-0.274474251906,8.44495753052,6.5827820282,0.2,0.5,0.7,0.2,0.2,0.15,,3.85676637441,0.0726258244353,0.0385960016397,-
201980,SG,Danny,Green,15.6,42,3500,SAS@PHX,SAS,PHX,,,"Green, Danny",3500,SG,3900,SG,10,SG,10:30PM EST,SG,1.4827073487,0.522593034565,3.7819931679,0.956061203634,0.421066986907,2.74843376126,0.677998180983,1.00432572331,3.16950074817,2.48080869637,1.38417136293,6.068898386,0.785116401073,21.6428571429,7.13090515674,0.000559462602911,2.07053469733e-09,14.5552237854,15.9079473659,14.7136988228,15.2473094668,13.8293031903,19.0,32.0,12.8748281961,21.1405578515,14.0668069617,23.1232273281,13.0141422356,21.3741232861,13.477145889,22.1844370016,0.777295826138,1.13999998766,5.39308500338,6.18443402083,0.4,0.6,0.45,0.6,0.4,0.4,,4.15863536725,0.0524914802375,0.0335408855826,-
201988,PG,Patrick,Mills,14.4,42,3500,SAS@PHX,SAS,PHX,,,"Mills, Patty",3500,PG,3500,PG,10,PG,10:30PM EST,PG,2.87738287391,0.0834148094747,4.49122327468,1.06173152547,0.237573736057,1.68039129101,1.10925192524,1.21580220251,1.91796502706,3.88383018654,1.64627246128,8.84607661917,0.793344087151,23.0,10.2072769215,0.000508255479175,1.62141965469e-08,17.9944405318,19.521376115,18.0903387831,18.8175767624,16.6059030728,16.0,25.0,13.1739659568,19.3717189817,14.2743521627,21.0205258157,13.2365288079,19.4771416332,13.7451264088,20.266848292,0.770981938197,0.677115184585,3.61761081571,6.77107326922,1.0,0.7,0.4,0.0,0.2,0.25,17.9693442648,5.14126872336,0.0836171000659,0.0603711938663,-
