Player_ID,"gId""",First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,YH_Salary,YH_Position,Time,DP_Salary,DP_Position,DD_Salary,DD_Position,FA_Salary,FA_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_FA,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_UNADJ_FA,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_FLOOR_FA,PROJ_CEIL_FA,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,ADJ_FA,Status
1495,"g14656-9710""",Tim,Duncan,SAS@MIA,SAS,MIA,GTD,Knee,"Duncan, Tim",5800.0,C,5000.0,C,18.0,PF,8:00PM EST,24.33,PF,10600.0,"C,PF",4800.0,PF,2.34223134367,1.17323966632,0.0383640652879,1.8669424616,1.55477490953,5.14603242634,0.701852662797,1.45228773642,6.70080733587,3.83284684166,0.00189954198954,7.14250979013,1.48483235787,23.4285714286,9.15242558318,23.2940103264,1.24250646231e-05,23.0046383235,24.1787145838,23.4516209446,23.0055880945,23.3396786903,23.3272494409,24.5476091903,23.7857211607,23.3286688153,23.6065694738,23.672873036,20.0,32.0,19.638105886,31.4209694175,20.5839138911,33.3891275355,19.9632241991,32.3960240283,19.6389166661,31.4222666657,19.809879934,32.3010903096,19.9241159552,31.8785855283,0.314813308956,-0.344708816855,5.12501373323,9.64147540826,0.4,0.4,0.45,0.2,0.3,0.25,-0.0137699867181,-0.0157455014955,-0.0142603750775,-0.0137900307646,-0.0133409392216,-0.014221709875,GTD - Knee
1717,"g14656-9500""",Dirk,Nowitzki,UTA@DAL,DAL,UTA,,,"Nowitzki, Dirk",6800.0,PF,5800.0,PF,27.0,PF,8:30PM EST,27.83,PF,11850.0,"C,PF",4850.0,PF,1.40017140662,0.6513467719,4.02267552507,3.64293586314,0.629392990152,5.02031344928,0.643165031148,0.91341263418,5.64970643943,6.28218715779,1.75511123515,13.6571622082,3.34807022782,30.2142857143,17.6675557785,28.9171228347,1.32139490168e-07,28.2230715877,29.9277254507,28.593463516,29.1006272053,28.5055569097,29.0693239693,30.8644255862,29.5533796024,29.8654287964,29.6971679425,29.3901924955,25.0,37.0,23.3524232995,34.5615864833,24.7181992508,36.779897567,23.6142000141,35.1459786966,24.0785331486,35.6362290599,23.8671053864,35.5859287949,23.5861581995,34.9075141352,-0.021126528365,-0.060530563216,4.4144749011,7.15876904857,0.2,0.5,0.35,0.2,0.2,0.15,-0.0280083530546,-0.0310018957376,-0.0317702723625,-0.0253125822115,-0.0258170957672,-0.029278719153,-
1891,"g14656-9496""",Jason,Terry,HOU@GSW,HOU,GSW,,,"Terry, Jason",3500.0,PG,3000.0,PG,10.0,SG,10:30PM EST,10.6,SG,5000.0,"PG,SG",3300.0,SG,1.19146153662,0.109151094013,3.11159783953,0.475040399708,0.167102454993,0.936859268606,0.793741902258,0.683265553693,1.1039617236,1.89748156549,1.04038425129,4.67882898968,0.373186707265,16.1428571429,5.20853408952,10.1594160281,2.78924449329e-14,9.44300090161,10.3600241088,9.49819920628,9.96319302726,9.49819898779,9.68519702898,10.682910011,9.73871193902,10.2953384909,10.6064561587,9.73871146857,6.0,26.0,3.50978794573,15.2090810982,3.8506283486,16.686091072,3.53030404856,15.2980191052,3.70313369155,16.0469126634,3.77606602606,16.3629993054,3.53030404856,15.2979842104,0.340081019161,-0.273440192642,7.08074093422,6.19915214485,0.6,0.7,0.65,0.0,0.0,0.1,-0.0150032999251,-0.0200017815545,-0.014899018842,-0.020575382701,-0.0276927514516,-0.0148990032341,-
1938,"g14656-9704""",Manu,Ginobili,SAS@MIA,SAS,MIA,O,Groin,"Ginobili, Manu",4500.0,SG,4100.0,SG,12.0,SG,8:00PM EST,18.15,SG,7800.0,"SG,SF",4000.0,SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,15.6931463498,25.5013628184,16.9445265716,27.5647748659,15.8068750375,25.716091123,16.1757292147,26.285559974,16.4563496799,26.7813039103,15.8063219695,25.6852732005,0.14954183207,1.21054082319,4.84568056676,7.80488105789,0.6,0.5,0.4,0.0,0.2,0.25,,,,,,,O - Groin
2225,"g14656-9702""",Tony,Parker,SAS@MIA,SAS,MIA,,,"Parker, Tony",5000.0,PG,4800.0,PG,20.0,PG,8:00PM EST,19.83,PG,8750.0,PG,4650.0,PG,4.58988021679,0.0837310458479,0.7253021898,2.0384113306,0.210165355082,1.87854452714,0.784899465298,1.49742542323,2.08870988222,4.34054515339,0.333756396565,8.309806726,1.54041039168,24.7142857143,10.555257095,20.2815977548,8.30726270732e-07,20.1863648779,21.2252504549,20.309659545,20.3532430762,20.2908003721,21.2582570792,22.3853196375,21.3970741479,21.4247116656,21.3254063672,21.3742502977,21.0,32.0,17.1525759367,26.1372585703,18.0245915368,27.5598209534,17.246603885,26.3743159602,17.2943741746,26.3533320756,17.2191818028,26.3637205758,17.2413159231,26.2724814066,0.177972000681,-0.707323792115,4.33026053913,8.17560845094,0.6,0.5,0.35,0.0,0.2,0.35,-0.043371360745,-0.0469392154811,-0.0439994348005,-0.0433542203774,-0.0422350305617,-0.0438390143337,-
2365,"g14656-9513""",Chris,Andersen,SAS@MIA,MIA,SAS,O,Knee,"Andersen, Chris",3500.0,C,3000.0,C,10.0,PF,8:00PM EST,7.78,C,5000.0,"C,PF",3000.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.60237957012,8.01189785059,1.67775987773,8.38881948704,1.63000415169,8.15004085682,1.61266173343,8.06330866716,1.62787709688,8.13941228221,1.63000415169,8.15002075844,-0.115043642964,-0.797030008453,3.38765264987,3.4832934607,1.0,0.8,0.65,0.0,0.1,0.1,,,,,,,O - Knee
2400,"g14656-9503""",Drew,Gooden,WAS@NYK,WAS,NYK,,,"Gooden, Drew",3600.0,PF,3100.0,PF,10.0,PF,8:00PM EST,8.65,PF,5000.0,"C,PF",3500.0,PF,0.618051900304,0.240775875294,1.06970403192,0.59304601187,1.14167530399,2.02812554121,0.313591068128,0.421738016906,3.1698008452,1.48879215762,0.288824412626,3.84119047943,0.439879813875,11.7857142857,3.70628854174,9.15611599993,1.28410224645e-13,9.12412327638,9.63804482603,9.28276361126,9.26853548269,9.28261331864,9.04613809056,9.60356393224,9.20644589127,9.19509323822,9.12364082748,9.2062998301,5.0,27.0,3.87084017786,20.9025369604,4.0888037496,22.2164069157,3.93807838576,21.4024899509,3.93210596235,21.2333721967,3.88432784533,21.1578588013,3.9380783776,21.2656232391,1.4644183169,2.05124676799,6.93029201177,8.30904865034,0.8,0.9,0.8,0.2,0.1,0.15,0.00661692485702,0.00292565159382,0.00647544290825,0.0062314631675,0.00275546917804,0.00647508387595,-
2403,"g14656-9512""",Nene,Hilario,WAS@NYK,WAS,NYK,GTD,Calf,Nene,4300.0,PF,4400.0,PF,10.0,C,8:00PM EST,20.9,PF,7950.0,"C,PF",4100.0,PF,0.959207405085,0.349612468522,0.0234665744247,2.42367158729,0.748669635845,2.67091879788,0.732185984014,0.85314883947,3.41958843372,2.97140286268,0.00131403744692,5.46995601572,1.38457469421,15.0,7.32869445702,13.8978579945,8.01534042427e-11,14.1814597507,14.7811277683,14.3538963298,14.1821167694,14.3524391724,13.863815411,14.5524728058,14.0340699109,13.8649283503,13.6999498606,14.0329083465,12.0,26.0,11.3451678006,24.5811969012,11.8239012987,25.7134723126,11.4821161479,24.9729378192,11.3456934156,24.5823357337,11.1169518411,24.213420273,11.4819513379,24.8775612322,-0.136620121556,-0.603204647259,5.80357979712,8.61235963378,0.2,0.1,0.25,0.4,0.3,0.4,0.0211762893134,0.0152436641641,0.021321761261,0.0211458946115,0.0131938755904,0.0213020550572,GTD - Calf
2405,"g14656-9680""",Amar'e,Stoudemire,SAS@MIA,MIA,SAS,,,"Stoudemire, Amar'e",4300.0,PF,4000.0,PF,11.0,C,8:00PM EST,19.98,C,7650.0,"C,PF",3700.0,C,0.673071555128,0.652869412036,0.0131369532464,1.82848825317,1.51077004993,3.94700112555,0.51904243442,1.10011822899,5.45777117548,3.16152315292,4.24321670134e-05,5.98310531601,1.38096257569,18.0,7.7040513137,16.5520084735,1.03873622266e-10,16.5066895209,17.3593627659,16.8092824353,16.506710737,16.7795780797,16.6278510268,17.4893986955,16.9150674512,16.6278765312,16.6668019993,16.889772972,6.0,24.0,5.5022298403,22.0089193612,5.77655318408,23.2950526499,5.59319307389,22.5616122092,5.50223691232,22.0089476493,5.50413472961,22.2683254507,5.59319269322,22.3727707729,1.08997645599,0.49935572364,6.43529668922,7.95295838675,0.2,0.3,0.65,0.6,0.5,0.25,-0.00673119477474,-0.00722421831117,-0.00587694532464,-0.00673143300995,-0.00637741809802,-0.00612193846054,-
2446,"g14656-9559""",Rasual,Butler,SAS@MIA,SAS,MIA,,,"Butler, Rasual",3500.0,SF,3000.0,SG,10.0,SG,8:00PM EST,7.13,SF,5000.0,"SG,SF",3000.0,SF,0.518729309247,0.389781287491,1.29860156763,0.393222235872,0.066032648855,1.20134666621,0.221542020826,0.235132467991,1.26737931506,1.19209968373,0.431874711327,2.70582067225,0.279325497089,9.64285714286,3.09539957588,6.58776842179,9.83203679742e-18,6.38186286646,6.77873547894,6.44523188928,6.59780022213,6.44523183222,6.5046963403,6.90943966228,6.56997532297,6.72946034474,6.73207843368,6.5699752474,2.0,15.0,1.32364563156,9.92734223672,1.40595993935,10.5447081083,1.33678882446,10.0259247467,1.36843263866,10.26324479,1.36635195318,10.2476510665,1.33678882446,10.0259161834,0.664297920905,-0.71779679861,5.4272042024,5.66954603369,1.0,0.9,0.9,0.0,0.0,0.05,-0.0127382861753,-0.0135545079026,-0.0129363560866,-0.013653642345,-0.014965482714,-0.012936354167,-
