Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,DP_Salary,DP_Position,DD_Salary,DD_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,Status
202689,Kemba,Walker,CLE@CHA,CHA,CLE,GTD,Knee,"Walker, Kemba",8400.0,PG,8500.0,PG,36.75,PG,14300.0,PG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,44.0,25.656953476,41.8113315905,27.146681993,44.4622133449,25.8139061403,42.2902823256,26.2421036892,42.7649097157,25.8276375681,42.3811446625,0.941804389666,1.34941288363,5.9798716749,13.3973474404,0.6,0.5,0.35,0.2,0.3,0.35,,,,,,GTD - Knee
202691,Klay,Thompson,GSW@WAS,GSW,WAS,,,"Thompson, Klay",7100.0,SG,7500.0,SG,29.23,SG,14300.0,"SG,SF",2.1533156326,0.674852302899,7.62190008178,2.86130079395,0.349510500854,3.27511520143,0.591163482699,1.81347238402,3.62462570229,7.75182537991,3.43330315397,16.006660297,2.46663262321,31.3571428571,21.403586537,32.0689761918,3.49890618215e-07,29.7016700158,32.5125980824,29.8892103134,31.4183215928,28.9315186512,31.5971704362,29.1166373182,30.4821393609,30.9657971116,26.0,37.0,24.6273528149,35.0466174674,26.9544162005,38.3750105749,24.779215408,35.279532524,26.0507267877,37.0721881209,26.5853718723,37.8554253344,0.601305282835,-0.0525708967873,4.49798666716,10.7206108774,0.2,0.4,0.25,0.4,0.2,0.4,0.0245606357737,0.0291935923622,0.024637863173,0.0298554698092,0.0351811096185,-
202694,Marcus,Morris,DET@BOS,DET,BOS,,,"Morris, Marcus",5100.0,SF,5400.0,SF,22.38,PF,9150.0,"PF,SF",2.09698034616,0.268305241043,3.05181224407,3.39470871134,1.18610782847,3.88750701933,0.840998559238,1.37468620789,5.0736148478,4.85112646951,0.952637776495,11.637444714,2.80086249843,33.7857142857,13.455753214,23.639526899,1.96235523555e-06,23.5334829432,24.9938962068,23.8302342146,24.0098018315,22.5612106466,24.1576449729,22.8477952366,23.0773907651,22.8781242797,30.0,42.0,20.8965387657,29.2551542719,22.1743613089,31.1672726814,21.141088504,29.7206907546,21.31948577,29.847280078,20.9654361301,29.5157575254,0.58141818156,-0.0992172436272,4.84585075127,8.4462379892,0.2,0.2,0.3,0.0,0.2,0.2,0.0287776155438,0.0247516221438,0.0290785321179,0.0275977905479,0.0225362297447,-
202695,Kawhi,Leonard,NOP@SAS,SAS,NOP,,,"Leonard, Kawhi",7100.0,SF,8000.0,SF,28.28,SF,14150.0,"SG,SF",1.89019654418,0.76566321662,2.89129107195,3.4972119515,0.942679482069,4.46781360615,1.30492247302,1.02898421006,5.41049308822,6.19990259193,1.39451633274,11.7964172523,3.07137313775,27.0,16.8656946543,30.0717848345,1.39791269089e-06,29.3057683457,30.8570991923,29.6453489209,30.0030265121,29.4803653693,31.1606677711,29.837346193,30.2184770815,30.3514118324,25.0,39.0,27.1349706905,42.3305542771,28.5511027534,44.8619049963,27.4291117614,43.1115990487,27.7805801038,43.3377049619,27.8171996958,43.824114605,0.144117313916,-0.0950834876355,4.91969324679,9.09509635891,0.4,0.4,0.2,0.2,0.2,0.4,-0.00646655642935,-0.0112432806989,-0.00711101007747,-0.00797965072085,-0.0103565554774,-
202696,Nikola,Vucevic,ORL@OKC,ORL,OKC,,,"Vucevic, Nikola",8100.0,C,7400.0,C,39.63,C,15150.0,"C,PF",3.18319793479,1.20207322095,0.135576742593,2.02420558667,3.62057421037,5.71849985749,0.776039355162,1.92178009882,9.33907406786,8.94672309515,0.0262256082592,17.9698110331,1.52085018082,36.2142857143,19.4405219794,37.4242181001,0.000755415105655,37.4566528164,39.5700725649,38.5960697114,37.4697656205,38.8336001784,41.2174427306,40.2152750321,38.8467161217,39.1642456292,22.0,38.0,22.7547318885,39.3036278074,23.7000791342,41.5832922255,23.1083772035,40.5612616179,22.7626978523,39.3173871995,22.2845493879,39.351464319,-0.569608395545,-0.153495239972,6.680372627,9.63788551547,0.0,0.1,0.25,0.4,0.5,0.45,-0.0380222151247,-0.0454895114794,-0.0447117840046,-0.0380223018079,-0.0480480974532,-
202697,Iman,Shumpert,CLE@CHA,CLE,CHA,,,"Shumpert, Iman",3500.0,SG,3500.0,SG,11.73,SG,6150.0,"SG,SF",1.42853486811,0.314985731036,2.76988141428,0.633816635757,0.381406979212,2.28967711265,0.80395379506,0.8684924339,2.67108409186,2.49705987646,1.01520102719,6.06865411061,0.472408285944,22.2857142857,6.48172906605,13.8492282826,3.46626140572e-10,13.1992188967,14.2748137698,13.3329670392,13.7068194103,13.2689063298,14.3903254656,13.4088287978,13.7353652506,13.9376477738,16.0,30.0,9.47636228484,17.7681792841,10.2484514017,19.2187412678,9.57225374897,17.950870669,9.8407934228,18.4514876678,9.94285856621,18.6467195344,1.35363427381,2.63714484046,5.16333225737,7.22852451519,0.6,0.6,0.55,0.0,0.1,0.25,-0.00312700020228,-0.00518321712103,-0.0034040532699,-0.00128090308734,-0.00396754127055,-
202699,Tobias,Harris,ORL@OKC,ORL,OKC,,,"Harris, Tobias",5500.0,SF,6000.0,SF,24.78,SF,11250.0,"PF,SF",2.06956414617,0.519615657474,3.29605217791,3.89246507528,1.32139351113,5.10315330242,1.19216149484,1.78456830319,6.42454681355,5.98958561186,1.10338076663,12.674526376,2.99172762495,34.5,16.0742796153,29.1612252849,6.62596042878e-06,28.5270680123,30.4525432523,29.0085687174,29.0787583956,28.0585149439,30.078544765,28.6710360856,28.5929155957,28.9410786407,23.0,40.0,19.0180453415,33.0748614635,20.2072932662,35.4366980426,19.2446435762,33.7625246688,19.3858389304,33.7145024876,19.314956011,33.9825816952,0.0269090114057,0.599469724214,6.64467541558,9.07408045866,0.4,0.2,0.25,0.0,0.3,0.4,0.013581248358,0.0108405358628,0.00978355454439,0.0140823999954,0.0063810621492,-
202702,Kenneth,Faried,DEN@UTA,DEN,UTA,,,"Faried, Kenneth",6200.0,PF,5700.0,PF,27.73,PF,11600.0,"C,PF",0.979697911959,0.941989207077,0.0326273959503,3.63844856364,3.08185680803,4.80526668021,0.562250173211,1.27532483676,7.88712348825,5.14547931407,0.00162524569553,9.2254532401,2.23230140424,26.5714285714,12.5248852781,25.2820468111,3.37003530958e-08,25.1921342557,26.5458147631,25.9073397219,25.1929468786,26.3639406046,27.9894092695,27.277232457,26.3646921346,26.7011502369,18.0,33.0,17.0656393345,31.2870054466,17.7973728779,33.2795180318,17.3648575274,32.4865732225,17.066189821,31.2880146718,16.8795134418,31.8137750404,0.0712757649198,-0.704425266411,5.96018535985,9.01711754537,0.4,0.3,0.3,0.2,0.3,0.3,-0.044100238937,-0.0543288255082,-0.0515551029348,-0.0440979397442,-0.0534071181761,-
202703,Nikola,Mirotic,CHI@SAC,CHI,SAC,O,Illness,"Mirotic, Nikola",4800.0,SF,5300.0,PF,20.05,PF,10100.0,"PF,SF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,14.436609035,29.8356586723,15.7070075744,32.7075079915,14.6123695987,30.445256175,15.097736092,31.2019879235,15.4311725893,32.2195641309,0.339139481172,-0.657094261732,7.24776702508,10.4855510673,0.6,0.5,0.4,0.4,0.5,0.45,,,,,,O - Illness
202704,Reggie,Jackson,DET@BOS,DET,BOS,,,"Jackson, Reggie",7000.0,PG,6800.0,PG,28.48,PG,13700.0,"PG,SG",5.96803966675,0.0846927820593,3.61113968088,4.82156015041,0.787971801191,2.64233232695,0.793061448868,3.03631502692,3.43030412814,6.7157556591,1.19073881034,15.3229504897,4.0981062708,30.5714285714,18.7203563993,31.2198012589,0.000227745936047,30.5079742882,32.9164162456,30.802889327,31.1033436934,31.2571099762,33.6133889331,31.5849990997,31.9488121962,31.9680928006,25.0,37.0,24.9481098151,36.9232025264,26.8551042257,39.9968404026,25.1267527736,37.4388802534,25.4349773193,37.6437664326,25.4471825496,37.992975577,0.395275514825,0.918366362369,4.65209703281,11.4660379168,0.4,0.4,0.35,0.2,0.3,0.2,-0.0245044383941,-0.0227981720209,-0.025583029949,-0.0276555117759,-0.0244768261311,-
202708,Norris,Cole,NOP@SAS,NOP,SAS,,,"Cole, Norris",5000.0,PG,5800.0,PG,23.95,PG,8500.0,"PG,SG",3.84317461304,0.168824689457,2.57869051408,1.27727260074,0.22908129002,3.47915310515,0.912222665905,1.86296417686,3.70823439517,5.1470739176,0.785495458567,12.7486045359,0.929298168975,34.0,12.0089414627,22.4543711317,2.28317088849e-05,22.5227151904,24.0448731782,22.7206433605,22.9154629197,23.5245354179,25.2537373869,23.7568079289,24.0046783979,23.707345057,16.0,38.0,10.5989247955,25.1724463893,11.3093546186,26.8883305144,10.6861876456,25.4083089534,10.7837472563,25.6113997337,10.5589446165,25.1154300692,0.909812693235,0.0290904470846,7.18787292886,9.60099432111,0.0,0.3,0.4,0.4,0.3,0.3,-0.0294653008088,-0.0355548296672,-0.0304754284838,-0.0320357493589,-0.0368521742759,-
202710,Jimmy,Butler,CHI@SAC,CHI,SAC,,,"Butler, Jimmy",8800.0,SG,8800.0,SG,42.33,SG,15950.0,"SG,SF",4.78870898927,0.603485343914,3.87440668452,8.15156714436,1.57598655234,3.79753022782,2.04980733745,1.95097837355,5.37351678016,8.7359135219,1.31592880858,18.0536051537,6.6483282318,38.2857142857,25.4360840842,42.4239941291,0.00117439436061,42.4229746934,44.4364843931,42.803030802,43.0809390977,37.5787844699,39.4545166401,37.92353432,38.1412009891,37.5011717894,33.0,43.0,36.5660714708,47.6466991893,38.2512167659,49.9946122757,36.84327729,48.1600244738,37.1331975059,48.3856815986,36.501399405,47.7575830595,0.973627080468,1.99193617828,4.89992353959,11.0345961717,0.4,0.4,0.25,0.2,0.3,0.3,0.126527356585,0.130126023397,0.127449534977,0.129023010301,0.128581180512,-
