Player_ID,First Name,Last Name,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,FD_Salary,FD_Position,DK_Salary,DK_Position,YH_Salary,YH_Position,Time,DP_Salary,DP_Position,DD_Salary,DD_Position,FA_Salary,FA_Position,FF_Salary,FF_Position,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_DP,PROJ_YH,PROJ_FA,PROJ_FF,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_UNADJ_DP,PROJ_UNADJ_YH,PROJ_UNADJ_DD,PROJ_UNADJ_FA,PROJ_FLOOR_MIN,PROJ_CEIL_MIN,PROJ_FLOOR_FD,PROJ_CEIL_FD,PROJ_FLOOR_DK,PROJ_CEIL_DK,PROJ_FLOOR_DP,PROJ_CEIL_DP,PROJ_FLOOR_YH,PROJ_CEIL_YH,PROJ_FLOOR_DD,PROJ_CEIL_DD,PROJ_FLOOR_FA,PROJ_CEIL_FA,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,PROJ_UNADJ_FF,ADJ_FD,ADJ_DK,ADJ_DP,ADJ_YH,ADJ_DD,ADJ_FA,ADJ_FF,Status
2405,Amar'e,Stoudemire,MIA@MIL,MIA,MIL,,,"Stoudemire, Amar'e",3800.0,PF,3700.0,C,10.0,C,8:00PM EST,15.4,C,7250.0,"C,PF",3900.0,C,,,0.659000168147,0.99288858094,0.011738723121,1.76958599208,1.59002454834,3.23489347865,0.294495324998,1.17129715469,4.82491802699,2.59508789078,3.65030575231e-05,4.8542647038,1.30077588234,15.6428571429,6.49098816697,14.8311869874,7.14868882974e-10,14.6728607088,15.5098174607,14.9241506318,14.6728789603,14.9141066101,14.9141066101,14.6379201692,15.3851282484,14.8879135429,14.6379366908,14.7021265571,14.8781396769,6.0,24.0,5.62794657322,22.5117862929,5.9451189619,23.9742244977,5.72047963028,23.0756671712,5.62795357381,22.5118142952,5.68353830289,22.9924835036,5.72047924771,22.8819169909,0.640252746053,-0.0608542265173,6.01999469555,7.43383927635,0.2,0.3,0.25,0.6,0.3,0.4,,0.00223364180155,0.00797099987448,0.00231652623636,0.00223375238695,0.00825043846401,0.00229925600399,,-
2406,Caron,Butler,CLE@SAC,SAC,CLE,,,"Butler, Caron",3500.0,SF,3000.0,SF,10.0,SF,10:00PM EST,6.68,SF,5000.0,SF,3000.0,SF,35000.0,F,0.372119203472,0.0137423341635,0.867369611889,0.238741631705,0.159709322412,0.685883075992,0.24957826085,0.209976248501,0.845592398404,0.801299194873,0.282136340711,1.9380981335,0.192316602737,7.28571428571,2.07705133319,4.10020405155,2.84159228002e-21,3.96660595801,4.25494187296,4.00888557835,4.10767412837,4.00888557793,4.00888557793,4.04826686292,4.33746001652,4.09373769093,4.18854353618,4.17532600252,4.09373769009,5.0,19.0,2.72218055942,10.3442861258,2.92005814783,11.0962493685,2.75119598486,10.4545731493,2.81899204888,10.7121697857,2.8138655252,10.6927268715,2.75119598486,10.4545447425,1.06486391894,0.0140780779008,4.76969600708,5.44880211096,0.8,0.7,0.65,0.0,0.0,0.05,,-0.0112083594971,-0.0113260197048,-0.0116463683933,-0.0110997226401,-0.0103108560154,-0.0116463683351,,-
2440,Matt,Barnes,MEM@BOS,MEM,BOS,,,"Barnes, Matt",4800.0,SF,5100.0,SF,16.0,SF,7:00PM EST,18.27,SF,8850.0,"SG,SF",4450.0,SF,,,2.09224417837,0.937210028859,5.73324657864,2.19556909974,1.30571895739,5.19247886888,1.37032497494,1.89203149069,6.49819782627,4.44147708691,1.87070360037,11.2383113404,1.61040804393,36.0,12.3640658181,27.5035057701,6.35946458836e-06,26.0233079941,28.3676454949,26.4862779494,26.9586597943,26.3482178854,26.3482178854,26.2776250245,28.5288406518,26.7222413144,27.2430920088,27.852466466,26.5976087538,18.0,37.0,13.0116539971,26.7461776606,14.1155279871,29.1737984441,13.1748442144,27.240170689,13.4793298971,27.7075114552,13.660699564,28.2917037551,13.1741089427,27.0801128267,-0.0766796217365,-0.741938505958,6.77056813432,9.76518951146,0.4,0.5,0.4,0.6,0.5,0.4,26.5976087538,-0.00706436195543,-0.00447764324691,-0.00655453791703,-0.00790089484673,-0.00969335266426,-0.00692752412029,-0.00692752412029,-
2544,LeBron,James,CLE@SAC,CLE,SAC,,,"James, LeBron",10100.0,SF,9900.0,SF,49.0,SF,10:00PM EST,48.18,SF,19700.0,"PF,SF",7500.0,SF,162300.0,F,7.07615884487,0.806084200721,4.73600190345,7.08305223579,1.21660719597,5.65957947126,1.75488513189,3.59635668321,6.87618666723,10.4355772099,1.41174948818,20.5535406128,4.81424731784,36.2142857143,27.0971512258,48.6690166929,0.0278254400404,47.4883954758,50.9206781556,48.4166250699,48.1942702199,47.8322048092,47.8322048092,45.0346038627,48.2302739323,46.0118395328,45.6118570397,46.1127520179,45.4015139704,30.0,40.0,39.3394992107,52.4526656143,41.9201837969,56.5241462086,39.845820294,53.7583282046,39.9242475195,53.2323300259,40.0038927367,54.0697609846,39.6243116763,52.8324155683,-0.183388635461,0.0939106273417,4.18427916019,8.6390800083,0.0,0.1,0.05,0.4,0.4,0.35,,0.0677575593364,0.0742912408789,0.0664043343585,0.0713092396913,0.0705871902372,0.0671196681331,,-
2546,Carmelo,Anthony,NYK@PHX,NYK,PHX,,,"Anthony, Carmelo",9100.0,SF,8500.0,SF,37.0,SF,9:00PM EST,44.15,SF,17050.0,"PF,SF",6400.0,SF,,,4.49355095551,0.483989649058,4.08483590254,7.33642715339,1.7230477334,7.75647158986,1.02724122524,2.87908908046,9.47951932326,8.76633056917,1.39272465858,19.9738259338,5.9333926408,39.0,24.8587784377,44.2680569656,0.00802039342592,43.117900727,46.48722181,44.3513149405,43.8142630563,43.5918766932,43.5918766932,42.5037937564,45.7186203489,43.6311875433,43.2059260403,43.4699087738,42.9533340491,29.0,41.0,32.0620287457,45.3290751233,34.2601550168,48.9472520042,32.6719165754,46.701811449,32.5798366316,46.0611483412,32.5187047855,46.6319875834,32.4144724129,45.8273575492,-0.679457500574,-0.191175256973,4.96497106629,9.31057332067,0.0,0.1,0.15,0.4,0.3,0.3,42.9533340491,0.0157463325796,0.0197077297724,0.0184648050548,0.0155983850258,0.0204653382514,0.0163728883108,0.0163728883108,-
2547,Chris,Bosh,MIA@MIL,MIA,MIL,O,Calf,"Bosh, Chris",7000.0,PF,6700.0,PF,34.0,PF,8:00PM EST,29.9,PF,12150.0,"C,PF",5200.0,PF,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,39.0,27.6268182604,37.1533073158,29.5370719767,40.0210773092,28.0708970789,38.0493248605,28.3264358591,38.0941723622,28.3986185585,38.5893558055,27.9359441596,37.5690283525,-0.108844310336,-0.281217301566,3.86585664572,8.08228949514,0.4,0.2,0.1,0.0,0.2,0.3,0.0,,,,,,,,O - Calf
2548,Dwyane,Wade,MIA@MIL,MIA,MIL,,,"Wade, Dwyane",7700.0,SG,7200.0,SG,31.0,SG,8:00PM EST,35.3,SG,14050.0,"PG,SG",5550.0,SG,,,5.80048519136,0.518288637257,0.765072327535,6.76262143548,1.57977557086,2.84915335005,1.47767580078,3.32668805032,4.42892892091,7.35498557172,0.163169229883,16.7760792711,5.2155054585,32.3571428571,20.0886458318,34.2474427561,0.00108162406655,34.7693291497,36.8664814152,35.1215527751,34.8509137647,34.9907755958,34.9907755958,33.6079069544,35.4395280802,33.8908481874,33.6853876721,32.8589768406,33.8230189164,25.0,36.0,26.8637200936,38.6837569348,28.4100470206,41.1021684886,27.0618681596,39.1607909287,26.9267545643,38.7745265726,26.3634285467,38.2121643728,27.0348155817,38.9301344377,-0.145744022242,-0.309032779828,3.88479749056,9.89143686686,0.0,0.2,0.2,0.6,0.4,0.35,,0.0358938426823,0.04410010307,0.0380350203719,0.0360206739411,0.042910646393,0.0360896104008,,-
2555,Nick,Collison,LAC@OKC,OKC,LAC,,,"Collison, Nick",3500.0,PF,3000.0,C,10.0,PF,9:30PM EST,5.2,PF,5000.0,"C,PF",3000.0,PF,35000.0,F,0.538403147079,0.120233020266,0.124961712251,0.459381601884,0.899088655635,1.19306707646,0.173893691699,0.501064578099,2.0921557321,0.732443191396,0.0280464200245,1.62982791375,0.337232106366,8.78571428571,1.83016490918,5.36384877168,8.24269603869e-17,5.23554535415,5.60470899706,5.340153498,5.24956856416,5.34015314075,5.34015314075,5.27519264873,5.64624148079,5.37542594049,5.28792313109,5.41701862241,5.37542575183,5.0,18.0,2.97957865683,10.7264831646,3.18967158391,11.4838010054,3.0391115438,10.9417848609,2.98755934546,10.7552136436,3.05259659122,10.9906587991,3.03911154352,10.9408015567,0.607241137225,-0.461985959894,4.98970027592,5.86790967429,1.0,0.9,0.9,0.0,0.1,0.1,,-0.00451270019599,-0.00472727457132,-0.00401474955228,-0.00436556046322,-0.00605185292802,-0.00401476874121,,-
2570,Kendrick,Perkins,NOP@CHA,NOP,CHA,,,"Perkins, Kendrick",3500.0,C,3000.0,C,10.0,C,7:00PM EST,6.25,C,5000.0,C,3000.0,C,,,0.936640206217,0.533473976956,0.00559881748632,0.637991189437,0.922627999789,3.64241494181,0.352681499911,1.51413100136,4.5650429416,1.42901882708,0.0,2.79240304531,0.310321104693,18.2857142857,3.16835875886,10.8731116556,3.10331707298e-11,10.3095505505,11.2956234731,10.5385579724,10.3095505505,10.5378026976,10.5378026976,10.1745913955,11.1823588513,10.3994509869,10.1745913955,10.7550851763,10.3986932302,2.0,22.0,1.12760709146,12.403678006,1.23537620918,13.5933175108,1.15257217004,12.6824730803,1.12760709146,12.403678006,1.18913644308,13.0860731519,1.15257217004,12.6782938705,0.433040374403,0.861548034413,7.16404420783,4.62175871231,0.8,0.9,0.8,0.0,0.0,0.0,,0.00738057879014,0.00619415900698,0.00760741327243,0.00738057879014,0.00645457308573,0.00760754899833,,-
2571,Leandro,Barbosa,UTA@GSW,GSW,UTA,,,"Barbosa, Leandro",3500.0,SG,3000.0,PG,10.0,SG,10:30PM EST,9.35,SG,5000.0,"PG,SG",3500.0,SG,35000.0,G,1.28824280985,0.121649695088,1.51521444931,0.887251239064,0.334985830052,1.08567924673,0.845467566766,0.839355324986,1.42066507678,2.56720894655,0.453765248675,5.59337367847,0.708840611341,15.5,6.29702375311,11.1723994338,7.20484621713e-13,11.0290652587,11.7466601869,11.1000999,11.2559478831,11.1000985126,11.1000985126,11.6774913641,12.4292957411,11.7520356415,11.9507534178,11.8427523635,11.7520326498,11.0,21.0,7.82707857072,14.9426045441,8.33633852946,15.9148625442,7.87748929365,15.0388776394,7.98809204605,15.2499939061,7.92879832084,15.1368427171,7.87748926699,15.0388431461,0.335294788097,-0.136756149696,3.84820392773,5.78907970903,0.6,0.8,0.65,0.2,0.1,0.15,,-0.0418339422797,-0.0440410035002,-0.042060370419,-0.044826163531,-0.0432485761115,-0.0420602669159,,-
2581,Steve,Blake,DET@DAL,DET,DAL,,,"Blake, Steve",3500.0,PG,3000.0,PG,10.0,PG,8:30PM EST,9.73,PG,5000.0,"PG,SG",3300.0,PG,,,3.21467902345,0.0826415042922,2.84594992243,0.363118226708,0.165953408844,1.50685073266,0.370066742823,1.42841925318,1.6728041415,1.57897273367,1.0664025627,4.19829251474,0.274974979238,17.4285714286,4.49932300929,11.9935771095,2.52620557121e-09,10.8057037553,12.1371199103,10.8897090024,11.3389050367,10.8893439624,10.8893439624,10.7080212916,12.0411101545,10.7890984949,11.2040197244,11.8533893018,10.7887375098,7.0,21.0,4.33999577058,13.0199873117,4.87459828763,14.6258014068,4.37358898854,13.1227735096,4.55415038358,13.6624511507,4.81689698846,14.4533662257,4.3735889685,13.1207669055,0.343680798503,-0.479716771133,4.18886126584,5.88077679924,0.6,0.8,0.7,0.2,0.1,0.1,,0.00560473152644,0.00550875648308,0.00577273403614,0.00773932119631,0.00804356273796,0.00577250137827,,-
2585,Zaza,Pachulia,DET@DAL,DAL,DET,,,"Pachulia, Zaza",4700.0,C,4800.0,C,16.0,C,8:30PM EST,21.65,C,9650.0,C,4400.0,C,,,1.24698932326,0.234515437236,0.0180234153732,2.02692280307,2.54675952258,4.54611360991,0.726039447816,1.080048901,7.09287313249,2.58676573593,0.0,5.19078102591,1.77496950295,19.4285714286,6.94850097481,18.4608681858,4.43894598954e-08,18.1714935878,19.1476857403,18.6076612898,18.1714935878,18.5261372444,18.5261372444,17.4376225771,18.467494984,17.8465082305,17.4376225771,17.6948836233,17.7837419206,19.0,38.0,17.7706518175,35.5413036349,18.7159620735,38.4251945254,18.1878499271,37.3689702326,17.7706518175,35.5413036349,18.0411788482,37.4063689502,18.1174724523,36.2349449045,-0.537663206254,-0.4273023888,7.17009667872,9.30670308888,0.6,0.4,0.25,0.2,0.3,0.35,,0.0377727726077,0.0350098183376,0.0391769956992,0.0377727726077,0.0394256760084,0.0382115240188,,-
2590,Mo,Williams,CLE@SAC,CLE,SAC,O,Knee,"Williams, Mo",3500.0,PG,3000.0,PG,10.0,SG,10:00PM EST,5.0,PG,5650.0,"PG,SG",3600.0,PG,35000.0,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,3.87582967989,27.9059736952,4.19272702123,30.2860219654,3.89906199572,28.1716337817,3.98806224024,28.7140481297,4.00981555582,29.0015502253,3.89906199545,28.0732463672,0.857785561865,0.0330374020706,10.9948803976,11.4512507115,1.0,1.0,0.75,0.0,0.0,0.0,0.0,,,,,,,,O - Knee
2592,James,Jones,CLE@SAC,CLE,SAC,,,"Jones, James",3500.0,SF,3000.0,SG,10.0,SG,10:00PM EST,5.0,SF,5000.0,"SG,SF",3000.0,SF,35000.0,G,0.332607446454,0.123991446745,2.02014592625,0.482220037915,0.153243811034,0.637068504324,0.188977235498,0.185677719285,0.790312315358,1.00761322749,0.765998571043,2.51254892319,0.367558168699,7.71428571429,3.14878319472,5.52978244468,2.42445353464e-21,5.03632878803,5.55168255003,5.07584440487,5.41932807355,5.0758444038,5.0758444038,4.50097734069,4.95887994337,4.54064710632,4.82598203186,4.90678648727,4.54064710558,2.0,17.0,1.30571487097,11.0985764032,1.43932510529,12.234270692,1.31595966024,11.1856644092,1.40501098203,11.9425933473,1.4336473001,12.1860117803,1.31595966024,11.1856571121,0.492485533118,-1.00130667271,5.52454757324,5.18861937142,1.0,1.0,0.9,0.0,0.0,0.0,,0.0693974098406,0.076844782345,0.0693774275899,0.0769152276271,0.0807587352196,0.069377427547,,-
2617,Udonis,Haslem,MIA@MIL,MIA,MIL,,,"Haslem, Udonis",3500.0,PF,3000.0,PF,10.0,PF,8:00PM EST,5.18,PF,5000.0,PF,3000.0,PF,,,0.261210971711,0.062163553946,0.132967864,0.279746775381,0.286475985918,0.998329564486,0.108328098509,0.171728846076,1.2848055504,0.440273064042,0.017210768177,1.06503720199,0.2238654864,4.85714285714,1.12162238266,3.22161407252,1.56427887113e-22,3.22445995955,3.38317004493,3.2887002378,3.23306534364,3.28870023707,3.28870023707,3.27599094544,3.42162813167,3.34094202642,3.28378071516,3.25753846761,3.34094202563,2.0,16.0,1.32771880687,10.621750455,1.3930700182,11.1454164729,1.35417068585,10.8342218141,1.33126220032,10.6500976026,1.32654697064,10.6135175348,1.35417068585,10.8333654868,0.941485171137,0.338510088794,5.76742815415,4.41394495354,1.0,0.9,0.95,0.0,0.0,0.0,,-0.0106093206238,-0.00791784138927,-0.0107556623636,-0.0104414000197,-0.00739619898781,-0.0107556623517,,-
