Player_ID,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,LAST_COMMA_FIRST,PROJ_AST,PROJ_BLK,PROJ_FG3A,PROJ_FTA,PROJ_OREB,PROJ_DREB,PROJ_STL,PROJ_TOV,PROJ_REB,PROJ_FGM,PROJ_FG3M,PROJ_FGA,PROJ_FTM,PROJ_MIN,PROJ_PTS,PROJ_DD,PROJ_TD,PROJ_FD,PROJ_DK,PROJ_FD_std,PROJ_DK_std,PROJ_UNADJ_FD,PROJ_UNADJ_DK,PROJ_FLOOR_MIN,PROJ_FLOOR_FD,PROJ_FLOOR_DK,PROJ_CEIL_MIN,PROJ_CEIL_FD,PROJ_CEIL_DK,PROJ_HIST_FD_Skew,PROJ_HIST_FD_Kurt,PROJ_HIST_MIN_std,PROJ_HIST_FD_std,PROJ_HIST_DK_std,PROJ_Bust5,PROJ_Bust10,PROJ_Bust20,PROJ_Boom5,PROJ_Boom10,PROJ_Boom20,FD_VALUE,ADJ%,ADJ,Status
1713.0,SF,Vince,Carter,8.1,24,3500,NOP@MEM,MEM,NOP,,,"Carter, Vince",0.805563611221,0.135434293864,1.5638501842,0.736505681786,0.221831794224,1.47669561816,0.64437061306,0.541686317393,1.69852741239,1.3984702139,0.411804572952,2.84962991972,0.578224016674,10.2857142857,3.78696901743,8.01305316301e-07,1.37472107929e-14,8.05147082558,8.61314384333,7.20317273507,7.35955895312,6.60411920488,7.11596703778,5.0,5.25418637439,5.5958714422,22.0,14.7922049216,15.8420505049,0.70756605415,-0.361138195515,5.89752465883,6.43612849468,6.84156064014,0.6,0.8,0.75,0.0,0.0,0.05,2.30042023588,0.219158918213,0.140714740901,-
1717.0,PF,Dirk,Nowitzki,29.8,39,7100,BOS@DAL,DAL,BOS,,,"Nowitzki, Dirk",2.25006839527,0.656479989498,4.30935421466,3.86065461952,1.10956226492,6.58546349737,0.635248690525,1.06837694311,7.6950257623,6.89533797125,1.66759190922,15.5641278156,3.70616940509,33.5714285714,19.1644372568,0.238568137093,2.88138130804e-05,33.2886511814,35.3993255428,6.81763249295,7.26524414843,32.449742665,34.5878952588,25.0,25.5887147536,27.0521738515,37.0,36.3686257525,38.7725810781,-0.272650957218,0.418678364823,4.51418516969,6.86708199417,7.45237918155,0.2,0.3,0.2,0.2,0.1,0.05,4.68854241992,0.0258525475861,0.0249887643184,-
1718.0,SF,Paul,Pierce,10.9,37,4000,HOU@LAC,LAC,HOU,,,"Pierce, Paul",1.3582287054,0.241829486138,4.00533188221,1.68346036464,0.55415557861,2.77178159378,0.496318737713,1.04490057646,3.32593717239,2.89424564192,1.35527453642,7.42274385011,1.45629706562,20.5,8.60006288588,0.00109247080636,1.88265356264e-09,15.0599264221,16.427949549,8.46097704741,8.76698012407,13.5844079435,14.8016176832,8.0,6.94525202874,7.58702206487,25.0,17.9812092037,19.6155414721,0.560017429882,-0.502925195555,6.75526710306,8.38821925215,8.89314486138,0.6,0.5,0.75,0.4,0.4,0.2,3.76498160552,0.108618534189,0.0719765111534,-
1891.0,PG,Jason,Terry,10.1,35,3500,HOU@LAC,HOU,LAC,,,"Terry, Jason",2.10055854362,0.164302914416,3.87439684739,0.757845745244,0.12119064579,1.31822828586,0.944254446643,0.846357598513,1.43941893165,2.57474297534,1.47301133237,5.95841080917,0.519086842491,20.7857142857,7.14158412553,2.47121577566e-05,6.95588025282e-11,13.3904817826,14.622174263,9.49430065576,9.86120939689,12.3836442322,13.6615197124,6.0,5.59961616029,5.94754848137,29.0,17.7187404616,19.4420801776,0.455577081764,-0.230390475462,7.53791536615,6.43042270263,6.99183948098,0.8,0.7,0.65,0.0,0.1,0.15,3.82585193787,0.0813038174749,0.0484389199472,-
2037.0,SG,Jamal,Crawford,17.5,40,4200,HOU@LAC,LAC,HOU,,,"Crawford, Jamal",2.29367617916,0.243777877989,4.32047620828,3.25972930107,0.311914758039,1.64317792346,0.851756599991,1.48385893684,1.9550926815,4.36105066846,1.35285738954,11.1663435993,2.92836206895,26.0,13.0033207954,0.000143653145621,4.35236747856e-09,19.4971563011,21.0134845911,7.88260211399,7.8084698964,18.2442749975,19.7252744429,19.0,14.7928642217,15.9483869876,32.0,23.5294066548,25.3556396922,1.35507039469,4.06432936254,5.89170429394,10.111697973,10.7829028369,0.0,0.1,0.35,0.6,0.4,0.3,4.64218007169,0.0686725728318,0.0481877424435,-
2200.0,PF,Pau,Gasol,37.7,37,8600,CHI@DET,CHI,DET,,,"Gasol, Pau",3.18334695786,2.59707347395,0.474972389556,3.26289961682,2.74828215412,8.96868496903,0.569694440507,1.80269183027,11.7169671232,7.83099755435,0.132733515148,16.1136251002,3.34167160215,34.0,19.136400226,0.715499101266,0.00147752924285,42.5026252092,45.1338674777,8.12450326446,8.29256904661,40.0614282721,42.8341169562,25.0,31.328010557,32.9964123583,38.0,47.4691206102,50.4509825706,0.60845650699,0.568013331786,5.04543917379,9.69892180008,10.0278048131,0.4,0.3,0.15,0.2,0.3,0.3,4.942165722,0.0609363430706,0.0717999099144,-
2207.0,SG,Joe,Johnson,21.2,41,5200,BKN@TOR,BKN,TOR,,,"Johnson, Joe",4.03494773367,0.225266381705,3.53387786189,1.8759400711,0.71734093014,3.13930140861,0.460427866452,1.59287181576,3.85664233875,4.37124618095,1.34348308346,10.5563046989,1.41104182618,33.0714285714,11.4970172715,0.0105725408443,3.87398871727e-05,21.9559263591,23.6329109566,5.99013725848,5.99865621607,20.8076737932,22.5813340512,28.0,18.6702047832,20.089359922,39.0,25.796981159,27.798849409,0.433584272699,0.138743035428,4.85270857231,8.7619924786,8.84780701781,0.2,0.3,0.4,0.2,0.2,0.2,4.22229353059,0.0551840910861,0.0347203799622,-
2210.0,SF,Richard,Jefferson,9.8,37,3500,GSW@CLE,CLE,GSW,,,"Jefferson, Richard",0.652365603579,0.199607287343,0.936712841583,0.785747881804,0.148961935228,0.926820721186,0.378375945923,0.0670754587564,1.07578265641,0.995659045109,0.393484751811,2.30068983638,0.469614693622,11.3571428571,2.85441753565,6.64351192877e-09,1.40855541781e-17,6.21279613649,6.49686538456,9.72144630741,9.84111666607,5.88218431043,6.40305487661,11.0,6.02580349475,6.29116478628,32.0,17.0209708294,18.3871159327,0.298072381015,-0.558069947669,8.53697135288,5.78307694735,6.27670720229,1.0,0.9,0.75,0.0,0.0,0.05,1.77508461043,0.05620562169,0.0291104752508,-
2216.0,PF,Zach,Randolph,26.3,37,6400,NOP@MEM,MEM,NOP,,,"Randolph, Zach",1.58298167474,0.0567182927693,0.158607467401,2.90861576875,2.79931778993,5.14677718877,0.691441216346,1.02109870987,7.9460949787,6.16489062786,0.0181183781625,12.7122771384,2.21243815805,29.7857142857,14.5603377919,0.24454736078,1.59449537276e-06,26.9453445868,28.2290837045,8.09096154717,8.13349818884,27.4297596769,29.1152649682,21.0,19.6109398713,20.2858912473,37.0,33.2188578704,35.1554509797,0.75550701003,0.937021324877,5.4943323241,9.80477606239,10.1119391718,0.6,0.6,0.45,0.4,0.3,0.25,4.21021009169,-0.0176602017561,-0.0162633363554,-
2399.0,SF,Mike,Dunleavy,0.0,0,4200,CHI@DET,CHI,DET,O,Back,"Dunleavy, Mike",0.12713967,0.04839171,0.2713595,0.0,0.10034809,0.0,0.27785601,0.01286144,0.10034809,0.0,0.06704796,0.0,0.0,0.0,0.06704796,0.0,0.0,1.017809173,1.0627812775,48.2768184494,50.1262211277,0.0,0.0,20.9285714286,12.978961891,14.0294399568,35.9285714286,22.6759894723,24.5191457956,,,40.0,,,0.6,0.4,0.5,0.4,0.4,0.4,0.242335517381,inf,inf,O - Back
