PERSON_ID,alpha_AST,alpha_BLK,alpha_STL,alpha_TOV,alpha_OREB,alpha_DREB,alpha_FG2%,alpha_FG3%,alpha_FT%,alpha_FG2A,alpha_FG3A,alpha_FTA,beta_AST,beta_BLK,beta_STL,beta_TOV,beta_OREB,beta_DREB,beta_FG2%,beta_FG3%,beta_FT%,beta_FG2A,beta_FG3A,beta_FTA
203112,9.614678,3.241304,3.790836,7.819822,10.966761,30.294267,17.534015,2.209445,9.93075,34.871826,7.329201,12.762969,174.790805,175.004206,176.325248,175.655601,174.889038,174.973142,17.868685,5.184095,2.907543,174.80492,174.716235,174.919411
203919,14.051133,4.852284,16.438274,14.616351,6.481764,17.231165,36.092789,7.515207,16.837372,46.030393,17.142388,21.160079,180.997262,195.274742,283.658309,238.855977,187.569476,193.196412,45.455473,13.931729,9.36223,181.941634,176.008188,189.601576
203500,12.052272,18.876082,6.697402,17.183478,30.32471,51.436045,36.640696,0.025603,13.627088,61.555711,0.186748,26.789252,321.94815,322.197363,323.740094,322.958072,322.062868,322.161086,25.534977,0.23628,13.250129,321.964634,321.861066,322.098338
201167,8.658286,0.433016,2.591269,7.502443,1.738917,14.051536,16.671332,7.543823,11.025469,35.701764,21.08096,13.110821,159.558831,159.558831,159.558831,159.558831,159.558831,159.558831,19.030432,13.537137,2.085351,159.558831,159.558831,159.558831
201582,10.529002,11.430792,5.118256,14.785836,27.954897,44.61499,40.872838,0.152963,17.511641,79.671119,0.429347,20.702304,229.466118,229.679707,231.001913,230.331676,229.564437,229.648615,39.329623,0.340779,3.266054,229.480245,229.391482,229.594837
202332,12.9418,13.23308,6.816127,12.475693,19.518476,46.639823,27.999302,0.056426,10.355807,56.063898,0.039292,12.945893,198.309329,198.858555,202.258496,200.535039,198.562149,198.778606,29.430898,0.148454,2.783947,198.345657,198.117409,198.64032
200746,19.076211,7.319491,5.102719,17.74978,27.192481,70.005365,68.570485,2.218817,35.377473,151.479235,8.321602,42.961886,323.519194,323.519194,323.519194,323.519194,323.519194,323.519194,82.90875,6.102785,7.584413,323.519194,323.519194,323.519194
1626146,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606
202730,16.820569,8.668077,3.635916,13.6074,30.963107,46.412519,29.862838,0.040564,7.380687,69.625177,0.259421,11.715947,266.349472,266.359579,266.422146,266.390431,266.354125,266.358108,39.787483,0.221904,4.338827,266.350141,266.345941,266.355563
2754,16.920978,5.972131,21.812349,12.876058,20.327161,35.697733,35.879988,2.031522,9.122803,75.222102,9.165151,14.928828,295.395126,295.395126,295.395126,295.395126,295.395126,295.395126,39.342114,7.133629,5.806026,295.395126,295.395126,295.395126
