PERSON_ID,alpha_AST,alpha_BLK,alpha_STL,alpha_TOV,alpha_OREB,alpha_DREB,alpha_FG2%,alpha_FG3%,alpha_FT%,alpha_FG2A,alpha_FG3A,alpha_FTA,beta_AST,beta_BLK,beta_STL,beta_TOV,beta_OREB,beta_DREB,beta_FG2%,beta_FG3%,beta_FT%,beta_FG2A,beta_FG3A,beta_FTA
203112,13.614678,5.241304,5.790836,10.819822,11.966761,38.294267,20.534015,3.209445,11.93075,39.871826,9.329201,16.762969,247.790805,248.004206,249.325248,248.655601,247.889038,247.973142,19.868685,6.184095,4.907543,247.80492,247.716235,247.919411
203919,14.051133,4.852284,16.438274,14.616351,6.481764,17.231165,36.092789,7.515207,16.837372,46.030393,17.142388,21.160079,180.997262,195.274742,283.658309,238.855977,187.569476,193.196412,45.455473,13.931729,9.36223,181.941634,176.008188,189.601576
203500,20.052272,30.876082,8.697402,23.183478,50.32471,72.436045,52.640696,0.025603,28.627088,92.555711,0.186748,49.789252,502.94815,503.197363,504.740094,503.958072,503.062868,503.161086,40.534977,0.23628,21.250129,502.964634,502.861066,503.098338
201167,20.658286,0.433016,2.591269,12.502443,3.738917,35.051536,40.671332,16.543823,12.025469,89.701764,44.08096,16.110821,343.558831,343.558831,343.558831,343.558831,343.558831,343.558831,49.030432,27.537137,4.085351,343.558831,343.558831,343.558831
201582,12.529002,16.430792,8.118256,21.785836,35.954897,72.61499,61.872838,0.152963,21.511641,115.671119,0.429347,24.702304,337.466118,337.679707,339.001913,338.331676,337.564437,337.648615,54.329623,0.340779,3.266054,337.480245,337.391482,337.594837
202332,12.9418,13.23308,6.816127,12.475693,20.518476,49.639823,28.999302,0.056426,10.355807,57.063898,0.039292,12.945893,205.309329,205.858555,209.258496,207.535039,205.562149,205.778606,29.430898,0.148454,2.783947,205.345657,205.117409,205.64032
200746,30.076211,15.319491,5.102719,26.74978,45.192481,120.005365,109.570485,2.218817,62.377473,240.479235,12.321602,72.961886,533.519194,533.519194,533.519194,533.519194,533.519194,533.519194,130.90875,10.102785,10.584413,533.519194,533.519194,533.519194
1626146,2.271207,3.022443,6.217947,6.859034,3.716516,10.182193,35.366745,2.425142,8.877789,15.836916,1.688749,3.717997,53.448806,77.054241,223.181737,149.108549,64.314868,73.618068,39.193048,6.380459,3.172221,55.010169,45.200204,67.674606
202730,31.820569,13.668077,7.635916,16.6074,43.963107,76.412519,46.862838,0.040564,10.380687,109.625177,0.259421,18.715947,432.349472,432.359579,432.422146,432.390431,432.354125,432.358108,62.787483,0.221904,8.338827,432.350141,432.345941,432.355563
2754,22.920978,6.972131,35.812349,20.876058,33.327161,50.697733,56.879988,4.031522,15.122803,122.222102,13.165151,26.928828,471.395126,471.395126,471.395126,471.395126,471.395126,471.395126,65.342114,9.133629,11.806026,471.395126,471.395126,471.395126
202329,35.451035,21.135963,17.392864,35.812581,31.625257,126.22733,56.306684,27.836068,44.007437,125.423146,80.997479,59.128459,663.750966,663.75111,663.752,663.751549,663.751032,663.751089,69.11682,53.161454,15.121073,663.750976,663.750916,663.751053
200811,15.773046,13.957379,7.861907,15.303889,27.444855,44.092496,27.403175,0.000102,11.447614,60.795982,0.16066,27.058189,267.450367,267.451357,267.457488,267.45438,267.450822,267.451213,33.395271,0.160857,15.610925,267.450432,267.45002,267.450963
2365,6.043122,9.687078,3.984896,8.166961,13.182753,36.674987,19.183082,0.580089,13.079746,31.036192,1.905685,19.966236,184.73809,184.73809,184.73809,184.73809,184.73809,184.73809,11.853109,1.325596,6.886489,184.73809,184.73809,184.73809
101187,7.819495,0.516549,5.207331,5.684799,2.988821,15.967352,11.419643,6.971918,7.831233,21.797176,20.109398,9.673213,164.170475,164.171352,164.176783,164.17403,164.170878,164.171224,10.379715,13.137745,1.84229,164.170533,164.170168,164.171003
202341,16.016928,2.975979,9.252433,15.741297,6.380638,22.443736,15.787856,14.165154,11.895024,36.166686,43.83606,14.952049,262.37616,262.450507,262.910748,262.677448,262.410384,262.439685,20.563782,29.693322,3.083267,262.381078,262.35018,262.420965
1626147,4.271207,3.022443,8.217947,11.859034,2.716516,18.182193,40.366745,6.425142,10.877789,20.836916,13.688749,5.717997,98.448806,122.054241,268.181737,194.108549,109.314868,118.618068,39.193048,14.380459,3.172221,100.010169,90.200204,112.674606
203937,23.826782,10.39934,13.990655,10.143659,5.845981,57.009404,36.1554,4.298789,12.575334,65.947846,10.376588,17.507626,292.207121,302.209424,364.127855,332.740911,296.811385,300.753419,54.67502,9.093415,8.462805,292.868716,288.711951,298.235003
201583,20.309001,7.940689,10.167023,29.985984,38.985286,88.361252,85.876653,45.272182,45.700133,164.892443,119.476794,53.748654,622.112775,622.112779,622.112801,622.11279,622.112777,622.112778,79.015799,74.204613,8.048523,622.112775,622.112774,622.112777
203507,42.924906,18.304976,18.616438,42.80943,22.272622,91.327826,94.949113,7.615573,61.850187,177.8613,24.154548,76.435366,583.974642,584.084725,584.766189,584.42075,584.025316,584.068701,83.18604,16.572164,14.624036,583.981923,583.936175,584.040984
2546,60.134952,10.063385,15.715679,39.44092,25.363224,106.769608,121.368877,31.332326,92.392573,273.618891,89.105061,108.89024,644.578176,644.578176,644.578176,644.578176,644.578176,644.578176,152.250015,57.772735,16.497667,644.578176,644.578176,644.578176
201202,3.583088,25.876514,6.695183,7.516818,20.885549,36.47892,20.485658,1.1e-05,8.574423,39.349551,7e-06,13.45433,263.759317,263.759421,263.760069,263.759741,263.759365,263.759406,18.864153,2.8e-05,4.879944,263.759324,263.75928,263.75938
2772,38.252299,4.931397,35.143313,31.601867,13.226564,88.644294,36.412579,40.440868,34.677417,82.373905,124.661976,44.879851,651.133638,651.133638,651.133638,651.133638,651.133638,651.133638,45.961326,84.221109,10.202434,651.133638,651.133638,651.133638
201589,22.985115,14.997198,14.156748,13.445882,27.326264,53.43084,47.903884,8.441463,12.170752,114.698337,30.04642,16.372847,413.273894,413.274119,413.275513,413.274807,413.273998,413.274087,66.795013,21.605025,4.202174,413.273909,413.273816,413.27403
201600,5.813051,7.602622,4.401194,16.033429,24.908839,70.006233,18.593537,4.1e-05,19.981925,39.945754,0.000747,32.778155,274.269919,274.270313,274.272755,274.271518,274.270101,274.270256,21.353199,0.000825,12.796369,274.269945,274.269781,274.270157
201571,63.955239,1.24908,14.082586,33.869973,4.632434,30.505871,31.375555,19.177267,29.84962,71.00483,48.899162,39.077955,405.461635,405.461635,405.46164,405.461638,405.461635,405.461635,39.629277,29.721896,9.228335,405.461635,405.461634,405.461635
202337,16.443756,5.710132,4.7116,10.97682,6.467422,66.784108,17.8854,26.664067,9.376787,36.414022,67.813267,13.743253,433.14935,433.227466,433.711036,433.46591,433.185308,433.216095,18.72295,41.172751,4.394039,433.154517,433.122054,433.196427
203946,3.271207,2.022443,8.217947,9.859034,8.716516,10.182193,35.366745,2.425142,12.877789,22.836916,3.688749,8.717997,102.448806,126.054241,272.181737,198.108549,113.314868,122.618068,46.193048,8.380459,4.172221,104.010169,94.200204,116.674606
2571,41.374721,3.594746,18.12486,19.485492,11.035588,24.269611,45.058244,15.471714,15.570983,101.098786,41.891961,21.7446,360.293114,360.293114,360.293114,360.293114,360.293114,360.293114,56.040542,26.420246,6.173617,360.293114,360.293114,360.293114
200826,90.55327,1.10967,7.944088,35.232576,11.736635,35.900593,56.008906,15.841287,26.332702,121.729396,56.193188,33.573209,447.296065,447.296066,447.29607,447.296068,447.296065,447.296066,65.720492,40.351902,7.240507,447.296065,447.296065,447.296065
