PERSON_ID,alpha_AST,alpha_BLK,alpha_STL,alpha_TOV,alpha_OREB,alpha_DREB,alpha_FG2%,alpha_FG3%,alpha_FT%,alpha_FG2A,alpha_FG3A,alpha_FTA,beta_AST,beta_BLK,beta_STL,beta_TOV,beta_OREB,beta_DREB,beta_FG2%,beta_FG3%,beta_FT%,beta_FG2A,beta_FG3A,beta_FTA
203112,18.614678,14.241304,14.790836,17.819822,48.966761,78.294267,54.534015,7.209445,28.93075,98.871826,19.329201,37.762969,519.790805,520.004206,521.325248,520.655601,519.889038,519.973142,44.868685,12.184095,8.907543,519.80492,519.716235,519.919411
203919,14.051133,4.852284,16.438274,14.616351,6.481764,17.231165,36.092789,7.515207,16.837372,46.030393,17.142388,21.160079,180.997262,195.274742,283.658309,238.855977,187.569476,193.196412,45.455473,13.931729,9.36223,181.941634,176.008188,189.601576
203500,42.052272,71.876082,26.697402,64.183478,161.32471,243.436045,178.640696,0.025603,95.627088,303.555711,0.186748,157.789252,1535.94815,1536.197363,1537.740094,1536.958072,1536.062868,1536.161086,125.534977,0.23628,62.250129,1535.964634,1535.861066,1536.098338
201167,106.658286,8.433016,22.591269,64.502443,15.738917,179.051536,229.671332,82.543823,114.025469,470.701764,209.08096,130.110821,1896.558831,1896.558831,1896.558831,1896.558831,1896.558831,1896.558831,241.030432,126.537137,16.085351,1896.558831,1896.558831,1896.558831
201582,25.529002,32.430792,15.118256,34.785836,63.954897,166.61499,115.872838,0.152963,39.511641,228.671119,1.429347,47.702304,702.466118,702.679707,704.001913,703.331676,702.564437,702.648615,113.329623,1.340779,8.266054,702.480245,702.391482,702.594837
202332,44.9418,38.23308,26.816127,40.475693,59.518476,137.639823,96.999302,0.056426,49.355807,183.063898,0.039292,73.945893,575.309329,575.858555,579.258496,577.535039,575.562149,575.778606,87.430898,0.148454,24.783947,575.345657,575.117409,575.64032
200746,84.076211,57.319491,22.102719,74.74978,139.192481,340.005365,397.570485,2.218817,191.377473,786.479235,19.321602,225.961886,1742.519194,1742.519194,1742.519194,1742.519194,1742.519194,1742.519194,388.90875,17.102785,34.584413,1742.519194,1742.519194,1742.519194
1626146,2.271207,3.022443,7.217947,7.859034,3.716516,10.182193,36.366745,2.425142,8.877789,16.836916,1.688749,3.717997,57.448806,81.054241,227.181737,153.108549,68.314868,77.618068,39.193048,6.380459,3.172221,59.010169,49.200204,71.674606
202730,63.820569,38.668077,22.635916,57.6074,134.963107,225.412519,167.862838,0.040564,28.380687,333.625177,0.259421,49.715947,1350.349472,1350.359579,1350.422146,1350.390431,1350.354125,1350.358108,165.787483,0.221904,21.338827,1350.350141,1350.345941,1350.355563
2754,52.920978,14.972131,85.812349,53.876058,83.327161,167.697733,136.879988,12.031522,59.122803,309.222102,30.165151,97.928828,1316.395126,1316.395126,1316.395126,1316.395126,1316.395126,1316.395126,172.342114,18.133629,38.806026,1316.395126,1316.395126,1316.395126
202329,93.451035,46.135963,61.392864,96.812581,82.625257,319.22733,141.306684,84.836068,87.007437,312.423146,243.997479,122.128459,1818.750966,1818.75111,1818.752,1818.751549,1818.751032,1818.751089,171.11682,159.161454,35.121073,1818.750976,1818.750916,1818.751053
200811,21.773046,14.957379,10.861907,22.303889,39.444855,60.092496,41.403175,0.000102,18.447614,94.795982,0.16066,43.058189,364.450367,364.451357,364.457488,364.45438,364.450822,364.451213,53.395271,0.160857,24.610925,364.450432,364.45002,364.450963
2365,9.043122,13.687078,4.984896,9.166961,16.182753,41.674987,22.183082,2.580089,15.079746,37.036192,6.905685,21.966236,219.73809,219.73809,219.73809,219.73809,219.73809,219.73809,14.853109,4.325596,6.886489,219.73809,219.73809,219.73809
101187,7.819495,0.516549,5.207331,5.684799,2.988821,15.967352,11.419643,6.971918,7.831233,21.797176,20.109398,9.673213,164.170475,164.171352,164.176783,164.17403,164.170878,164.171224,10.379715,13.137745,1.84229,164.170533,164.170168,164.171003
202341,27.016928,9.975979,14.252433,29.741297,11.380638,52.443736,28.787856,18.165154,16.895024,68.166686,62.83606,19.952049,523.37616,523.450507,523.910748,523.677448,523.410384,523.439685,39.563782,44.693322,3.083267,523.381078,523.35018,523.420965
1626147,12.271207,10.022443,16.217947,19.859034,4.716516,56.182193,53.366745,13.425142,21.877789,52.836916,51.688749,22.717997,324.448806,348.054241,494.181737,420.108549,335.314868,344.618068,58.193048,45.380459,9.172221,326.010169,316.200204,338.674606
203937,85.826782,25.39934,35.990655,43.143659,15.845981,137.009404,105.1554,8.298789,50.575334,194.947846,25.376588,68.507626,895.207121,905.209424,967.127855,935.740911,899.811385,903.753419,114.67502,20.093415,21.462805,895.868716,891.711951,901.235003
201583,62.309001,21.940689,37.167023,83.985984,111.985286,231.361252,225.876653,123.272182,186.700133,487.892443,317.476794,211.748654,1846.112775,1846.112779,1846.112801,1846.11279,1846.112777,1846.112778,262.015799,194.204613,25.048523,1846.112775,1846.112774,1846.112777
203507,169.924906,68.304976,59.616438,152.80943,88.272622,360.327826,339.949113,18.615573,207.850187,649.8613,74.154548,275.435366,2106.974642,2107.084725,2107.766189,2107.42075,2107.025316,2107.068701,310.18604,55.572164,67.624036,2106.981923,2106.936175,2107.040984
2546,242.134952,29.063385,52.715679,144.44092,86.363224,370.769608,358.368877,75.332326,288.392573,780.618891,228.105061,349.89024,1983.578176,1983.578176,1983.578176,1983.578176,1983.578176,1983.578176,422.250015,152.772735,61.497667,1983.578176,1983.578176,1983.578176
201202,4.583088,29.876514,8.695183,8.516818,27.885549,44.47892,22.485658,1.1e-05,15.574423,44.349551,7e-06,23.45433,317.759317,317.759421,317.760069,317.759741,317.759365,317.759406,21.864153,2.8e-05,7.879944,317.759324,317.75928,317.75938
2772,118.252299,14.931397,117.143313,87.601867,48.226564,232.644294,123.412579,137.440868,85.677417,266.373905,361.661976,115.879851,2063.133638,2063.133638,2063.133638,2063.133638,2063.133638,2063.133638,142.961326,224.221109,30.202434,2063.133638,2063.133638,2063.133638
201589,69.985115,34.997198,46.156748,50.445882,64.326264,153.43084,146.903884,22.441463,34.170752,309.698337,70.04642,44.372847,1144.273894,1144.274119,1144.275513,1144.274807,1144.273998,1144.274087,162.795013,47.605025,10.202174,1144.273909,1144.273816,1144.27403
201600,21.813051,25.602622,14.401194,49.033429,115.908839,251.006233,87.593537,4.1e-05,50.981925,162.945754,0.000747,90.778155,1026.269919,1026.270313,1026.272755,1026.271518,1026.270101,1026.270256,75.353199,0.000825,39.796369,1026.269945,1026.269781,1026.270157
201571,100.955239,2.24908,20.082586,46.869973,6.632434,49.505871,36.375555,33.177267,46.84962,96.00483,88.899162,57.077955,738.461635,738.461635,738.46164,738.461638,738.461635,738.461635,59.629277,55.721896,10.228335,738.461635,738.461634,738.461635
202337,16.443756,5.710132,5.7116,10.97682,10.467422,71.784108,20.8854,31.664067,12.376787,46.414022,83.813267,17.743253,513.14935,513.227466,513.711036,513.46591,513.185308,513.216095,25.72295,52.172751,5.394039,513.154517,513.122054,513.196427
203946,8.271207,5.022443,10.217947,12.859034,11.716516,29.182193,42.366745,2.425142,18.877789,50.836916,5.688749,14.717997,182.448806,206.054241,352.181737,278.108549,193.314868,202.618068,67.193048,10.380459,4.172221,184.010169,174.200204,196.674606
2571,80.374721,9.594746,41.12486,43.485492,19.035588,60.269611,111.058244,30.471714,44.570983,225.098786,92.891961,54.7446,826.293114,826.293114,826.293114,826.293114,826.293114,826.293114,114.040542,62.420246,10.173617,826.293114,826.293114,826.293114
200826,232.55327,2.10967,20.944088,86.232576,18.736635,97.900593,148.008906,68.841287,66.332702,327.729396,193.193188,84.573209,1306.296065,1306.296066,1306.29607,1306.296068,1306.296065,1306.296066,179.720492,124.351902,18.240507,1306.296065,1306.296065,1306.296065
200745,27.983358,15.436466,4.784269,35.576163,39.796363,97.084233,167.41652,6.701945,65.852441,356.410048,26.790158,82.139902,858.686001,858.686001,858.686001,858.686001,858.686001,858.686001,188.993529,20.088213,16.287461,858.686001,858.686001,858.686001
203084,75.052238,7.322852,32.253725,41.000619,49.882381,152.921959,144.809025,53.940121,68.612782,283.858395,133.801861,84.569301,1280.379309,1280.386872,1280.43369,1280.409958,1280.382791,1280.385771,139.068184,79.86402,15.959188,1280.379809,1280.376666,1280.383867
2440,96.288405,43.485919,63.774135,71.263605,52.756449,223.995115,96.153321,82.571477,70.297636,198.905142,248.554788,85.83349,1525.818146,1525.818146,1525.818146,1525.818146,1525.818146,1525.818146,102.751821,165.98331,15.535854,1525.818146,1525.818146,1525.818146
203115,145.927892,29.416685,57.266134,100.05056,53.295121,312.357169,256.05611,87.219295,156.430305,519.72206,235.602927,184.938716,1753.057125,1753.29267,1754.75079,1754.011657,1753.165551,1753.258382,264.251911,148.454646,28.591551,1753.072705,1752.974817,1753.199076
101138,65.553068,43.873701,29.38475,36.99885,85.668254,146.809763,142.919049,0.709055,87.225123,268.466609,3.516057,103.902156,1088.4745,1088.4745,1088.4745,1088.4745,1088.4745,1088.4745,125.54756,2.807002,16.677033,1088.4745,1088.4745,1088.4745
201587,273.896736,31.718264,47.172091,160.017919,47.296128,275.949711,145.612562,102.79577,120.847502,317.745192,291.839668,142.863557,1791.961102,1791.961102,1791.961104,1791.961103,1791.961102,1791.961102,172.132632,189.043898,22.016055,1791.961102,1791.961102,1791.961102
201573,144.981605,10.126242,38.643951,74.302256,15.101683,105.51832,76.401219,75.863487,55.342476,181.918498,177.238202,68.936927,1173.342725,1173.342734,1173.342788,1173.342761,1173.342729,1173.342733,105.517301,101.374718,13.594454,1173.342726,1173.342722,1173.34273
203382,47.345565,36.421004,18.507347,57.855345,106.404251,195.498277,157.42011,0.232112,85.411662,304.381685,2.642507,112.351714,980.851593,981.814225,987.773315,984.752605,981.294712,981.674097,149.356297,2.70062,27.279833,980.915266,980.515215,981.431723
203145,138.803126,29.037907,77.946077,111.017945,20.639175,278.036521,166.171647,87.378264,104.417491,339.52567,230.738735,127.882531,1691.093304,1691.34329,1692.89081,1692.10636,1691.208378,1691.3069,173.97591,143.43584,23.553277,1691.109839,1691.00595,1691.243958
203078,109.874059,11.367088,37.725442,81.323559,27.298174,110.074209,182.807033,76.155411,91.923486,368.672894,191.954842,123.663216,1197.311187,1197.319756,1197.372796,1197.345909,1197.315131,1197.318508,185.887176,115.802014,31.742754,1197.311754,1197.308193,1197.316351
201158,115.71565,2.385194,33.788575,74.423457,9.96822,105.942832,136.042836,83.378985,116.081089,290.483721,271.409457,134.884417,1524.546559,1524.54656,1524.546568,1524.546564,1524.54656,1524.54656,154.440888,188.030473,18.803328,1524.546559,1524.546558,1524.54656
