PERSON_ID,alpha_AST,alpha_BLK,alpha_STL,alpha_TOV,alpha_OREB,alpha_DREB,alpha_FG2%,alpha_FG3%,alpha_FT%,alpha_FG2A,alpha_FG3A,alpha_FTA,beta_AST,beta_BLK,beta_STL,beta_TOV,beta_OREB,beta_DREB,beta_FG2%,beta_FG3%,beta_FT%,beta_FG2A,beta_FG3A,beta_FTA
203112,14.614678,5.241304,6.790836,11.819822,16.966761,42.294267,24.534015,4.209445,12.93075,49.871826,11.329201,18.762969,278.790805,279.004206,280.325248,279.655601,278.889038,278.973142,25.868685,7.184095,5.907543,278.80492,278.716235,278.919411
203919,14.051133,4.852284,16.438274,14.616351,6.481764,17.231165,36.092789,7.515207,16.837372,46.030393,17.142388,21.160079,180.997262,195.274742,283.658309,238.855977,187.569476,193.196412,45.455473,13.931729,9.36223,181.941634,176.008188,189.601576
203500,22.052272,36.876082,9.697402,24.183478,58.32471,94.436045,64.640696,0.025603,32.627088,111.555711,0.186748,58.789252,609.94815,610.197363,611.740094,610.958072,610.062868,610.161086,47.534977,0.23628,26.250129,609.964634,609.861066,610.098338
201167,28.658286,1.433016,4.591269,17.502443,7.738917,53.051536,63.671332,22.543823,17.025469,129.701764,61.08096,22.110821,490.558831,490.558831,490.558831,490.558831,490.558831,490.558831,66.030432,38.537137,5.085351,490.558831,490.558831,490.558831
201582,12.529002,17.430792,8.118256,23.785836,37.954897,76.61499,70.872838,0.152963,21.511641,129.671119,0.429347,24.702304,363.466118,363.679707,365.001913,364.331676,363.564437,363.648615,59.329623,0.340779,3.266054,363.480245,363.391482,363.594837
202332,12.9418,13.23308,6.816127,13.475693,20.518476,50.639823,28.999302,0.056426,11.355807,57.063898,0.039292,14.945893,209.309329,209.858555,213.258496,211.535039,209.562149,209.778606,29.430898,0.148454,3.783947,209.345657,209.117409,209.64032
200746,33.076211,28.319491,8.102719,34.74978,59.192481,148.005365,147.570485,2.218817,70.377473,324.479235,13.321602,85.961886,700.519194,700.519194,700.519194,700.519194,700.519194,700.519194,176.90875,11.102785,15.584413,700.519194,700.519194,700.519194
1626146,2.271207,3.022443,7.217947,7.859034,3.716516,10.182193,36.366745,2.425142,8.877789,16.836916,1.688749,3.717997,56.448806,80.054241,226.181737,152.108549,67.314868,76.618068,39.193048,6.380459,3.172221,58.010169,48.200204,70.674606
202730,32.820569,15.668077,7.635916,24.6074,52.963107,94.412519,60.862838,0.040564,12.380687,139.625177,0.259421,20.715947,528.349472,528.359579,528.422146,528.390431,528.354125,528.358108,78.787483,0.221904,8.338827,528.350141,528.345941,528.355563
2754,28.920978,7.972131,44.812349,24.876058,38.327161,65.697733,70.879988,5.031522,22.122803,156.222102,17.165151,36.928828,601.395126,601.395126,601.395126,601.395126,601.395126,601.395126,85.342114,12.133629,14.806026,601.395126,601.395126,601.395126
202329,47.451035,23.135963,19.392864,44.812581,39.625257,147.22733,61.306684,32.836068,49.007437,144.423146,102.997479,67.128459,797.750966,797.75111,797.752,797.751549,797.751032,797.751089,83.11682,70.161454,18.121073,797.750976,797.750916,797.751053
200811,15.773046,13.957379,7.861907,15.303889,28.444855,48.092496,30.403175,0.000102,13.447614,67.795982,0.16066,30.058189,286.450367,286.451357,286.457488,286.45438,286.450822,286.451213,37.395271,0.160857,16.610925,286.450432,286.45002,286.450963
2365,7.043122,9.687078,3.984896,8.166961,13.182753,37.674987,19.183082,1.580089,13.079746,31.036192,2.905685,19.966236,188.73809,188.73809,188.73809,188.73809,188.73809,188.73809,11.853109,1.325596,6.886489,188.73809,188.73809,188.73809
101187,7.819495,0.516549,5.207331,5.684799,2.988821,15.967352,11.419643,6.971918,7.831233,21.797176,20.109398,9.673213,164.170475,164.171352,164.176783,164.17403,164.170878,164.171224,10.379715,13.137745,1.84229,164.170533,164.170168,164.171003
202341,16.016928,2.975979,9.252433,16.741297,6.380638,25.443736,15.787856,15.165154,13.895024,37.166686,45.83606,16.952049,273.37616,273.450507,273.910748,273.677448,273.410384,273.439685,21.563782,30.693322,3.083267,273.381078,273.35018,273.420965
1626147,5.271207,3.022443,8.217947,13.859034,2.716516,22.182193,41.366745,6.425142,12.877789,22.836916,17.688749,11.717997,122.448806,146.054241,292.181737,218.108549,133.314868,142.618068,40.193048,18.380459,7.172221,124.010169,114.200204,136.674606
203937,31.826782,12.39934,19.990655,16.143659,6.845981,73.009404,39.1554,5.298789,19.575334,77.947846,12.376588,26.507626,391.207121,401.209424,463.127855,431.740911,395.811385,399.753419,63.67502,10.093415,10.462805,391.868716,387.711951,397.235003
201583,28.309001,11.940689,13.167023,39.985984,53.985286,107.361252,101.876653,53.272182,62.700133,207.892443,144.476794,72.748654,780.112775,780.112779,780.112801,780.11279,780.112777,780.112778,106.015799,91.204613,10.048523,780.112775,780.112774,780.112777
203507,57.924906,25.304976,21.616438,51.80943,29.272622,114.327826,121.949113,9.615573,80.850187,225.8613,32.154548,98.435366,749.974642,750.084725,750.766189,750.42075,750.025316,750.068701,104.18604,22.572164,17.624036,749.981923,749.936175,750.040984
2546,70.134952,12.063385,21.715679,50.44092,31.363224,129.769608,141.368877,35.332326,112.392573,320.618891,104.105061,130.89024,780.578176,780.578176,780.578176,780.578176,780.578176,780.578176,179.250015,68.772735,18.497667,780.578176,780.578176,780.578176
201202,4.583088,25.876514,7.695183,8.516818,23.885549,37.47892,21.485658,1.1e-05,10.574423,41.349551,7e-06,15.45433,271.759317,271.759421,271.760069,271.759741,271.759365,271.759406,19.864153,2.8e-05,4.879944,271.759324,271.75928,271.75938
2772,45.252299,5.931397,42.143313,42.601867,19.226564,111.644294,49.412579,46.440868,41.677417,109.373905,145.661976,51.879851,835.133638,835.133638,835.133638,835.133638,835.133638,835.133638,59.961326,99.221109,10.202434,835.133638,835.133638,835.133638
201589,26.985115,19.997198,22.156748,21.445882,37.326264,69.43084,74.903884,11.441463,14.170752,169.698337,33.04642,20.372847,566.273894,566.274119,566.275513,566.274807,566.273998,566.274087,94.795013,21.605025,6.202174,566.273909,566.273816,566.27403
201600,6.813051,8.602622,4.401194,20.033429,29.908839,84.006233,22.593537,4.1e-05,20.981925,50.945754,0.000747,36.778155,335.269919,335.270313,335.272755,335.271518,335.270101,335.270256,28.353199,0.000825,15.796369,335.269945,335.269781,335.270157
201571,71.955239,1.24908,14.082586,34.869973,6.632434,34.505871,32.375555,24.177267,30.84962,79.00483,59.899162,40.077955,491.461635,491.461635,491.46164,491.461638,491.461635,491.461635,46.629277,35.721896,9.228335,491.461635,491.461634,491.461635
202337,16.443756,5.710132,4.7116,10.97682,7.467422,70.784108,17.8854,28.664067,11.376787,38.414022,71.813267,15.743253,452.14935,452.227466,452.711036,452.46591,452.185308,452.216095,20.72295,43.172751,4.394039,452.154517,452.122054,452.196427
203946,3.271207,2.022443,8.217947,9.859034,8.716516,10.182193,35.366745,2.425142,12.877789,22.836916,3.688749,8.717997,102.448806,126.054241,272.181737,198.108549,113.314868,122.618068,46.193048,8.380459,4.172221,104.010169,94.200204,116.674606
2571,48.374721,4.594746,24.12486,24.485492,12.035588,32.269611,55.058244,22.471714,17.570983,121.098786,55.891961,23.7446,443.293114,443.293114,443.293114,443.293114,443.293114,443.293114,66.040542,33.420246,6.173617,443.293114,443.293114,443.293114
200826,97.55327,1.10967,8.944088,38.232576,11.736635,37.900593,63.008906,16.841287,32.332702,133.729396,61.193188,39.573209,487.296065,487.296066,487.29607,487.296068,487.296065,487.296066,70.720492,44.351902,7.240507,487.296065,487.296065,487.296065
200745,11.983358,10.436466,1.784269,21.576163,18.796363,40.084233,74.41652,5.701945,31.852441,167.410048,19.790158,37.139902,405.686001,405.686001,405.686001,405.686001,405.686001,405.686001,92.993529,14.088213,5.287461,405.686001,405.686001,405.686001
203084,41.052238,4.322852,20.253725,23.000619,28.882381,86.921959,78.809025,26.940121,46.612782,144.858395,68.801861,57.569301,672.379309,672.386872,672.43369,672.409958,672.382791,672.385771,66.068184,41.86402,10.959188,672.379809,672.376666,672.383867
2440,37.288405,13.485919,26.774135,20.263605,17.756449,84.995115,45.153321,32.571477,28.297636,89.905142,108.554788,35.83349,640.818146,640.818146,640.818146,640.818146,640.818146,640.818146,44.751821,75.98331,7.535854,640.818146,640.818146,640.818146
203115,54.927892,14.416685,29.266134,37.05056,20.295121,118.357169,95.05611,32.219295,64.430305,196.72206,80.602927,74.938716,723.057125,723.29267,724.75079,724.011657,723.165551,723.258382,102.251911,48.454646,10.591551,723.072705,722.974817,723.199076
101138,23.553068,10.873701,8.38475,21.99885,43.668254,63.809763,66.919049,0.709055,32.225123,125.466609,3.516057,39.902156,436.4745,436.4745,436.4745,436.4745,436.4745,436.4745,58.54756,2.807002,7.677033,436.4745,436.4745,436.4745
201587,102.896736,13.718264,27.172091,67.017919,26.296128,115.949711,67.612562,46.79577,71.847502,146.745192,123.839668,81.863557,788.961102,788.961102,788.961104,788.961103,788.961102,788.961102,79.132632,77.043898,10.016055,788.961102,788.961102,788.961102
201573,87.981605,4.126242,30.643951,47.302256,8.101683,64.51832,50.401219,43.863487,38.342476,120.918498,101.238202,47.936927,734.342725,734.342734,734.342788,734.342761,734.342729,734.342733,70.517301,57.374718,9.594454,734.342726,734.342722,734.34273
203382,16.345565,9.421004,6.507347,25.855345,46.404251,77.498277,64.42011,0.232112,25.411662,125.381685,1.642507,32.351714,418.851593,419.814225,425.773315,422.752605,419.294712,419.674097,63.356297,1.70062,7.279833,418.915266,418.515215,419.431723
203145,44.803126,13.037907,29.946077,36.017945,5.639175,90.036521,60.171647,28.378264,33.417491,119.52567,71.738735,42.882531,611.093304,611.34329,612.89081,612.10636,611.208378,611.3069,59.97591,43.43584,9.553277,611.109839,611.00595,611.243958
203078,55.874059,6.367088,21.725442,47.323559,16.298174,60.074209,85.807033,34.155411,44.923486,182.672894,89.954842,56.663216,625.311187,625.319756,625.372796,625.345909,625.315131,625.318508,96.887176,55.802014,11.742754,625.311754,625.308193,625.316351
201158,59.71565,1.385194,15.788575,40.423457,5.96822,42.942832,53.042836,45.378985,61.081089,122.483721,128.409457,71.884417,712.546559,712.54656,712.546568,712.546564,712.54656,712.54656,69.440888,83.030473,10.803328,712.546559,712.546558,712.54656
203461,8.762337,3.018764,8.546345,12.057547,13.617629,40.6852,24.463394,1.753482,15.857602,56.613602,10.912492,21.456126,218.108862,218.998908,224.508662,221.715724,218.518569,218.869347,34.364361,9.427352,5.912683,218.167734,217.797848,218.645248
201976,41.968016,9.20112,19.759414,21.771708,10.421754,42.781343,23.63425,22.721786,7.588946,57.97034,66.072845,9.034537,415.170942,415.208047,415.437748,415.321311,415.188022,415.202646,34.428397,43.362247,1.458688,415.173396,415.157975,415.193303
202687,7.114947,37.610196,5.331472,27.071365,67.248668,134.895845,45.906375,0.000291,42.211923,94.371328,0.000202,64.856994,591.859231,591.862061,591.879578,591.870698,591.860534,591.861649,48.471993,0.000765,22.64607,591.859418,591.858242,591.860936
202357,31.271207,7.022443,13.217947,17.859034,14.716516,75.182193,47.366745,21.425142,19.877789,34.836916,51.688749,22.717997,391.448806,415.054241,561.181737,487.108549,402.314868,411.618068,46.193048,37.380459,11.172221,393.010169,383.200204,405.674606
204028,6.557055,5.140892,4.165433,11.886071,25.03973,57.144208,35.644361,0.304411,15.273363,58.00045,0.3375,27.27841,245.319934,248.282959,266.625323,257.327433,246.683875,247.85164,29.727161,0.926417,13.050906,245.515921,244.284544,247.105599
201971,13.790909,3.238417,15.941853,28.053193,37.474832,69.947443,48.909019,4.2e-05,13.335151,108.6912,0.228396,21.166734,346.048758,346.049169,346.051716,346.050425,346.048947,346.049109,59.783204,0.228478,7.831728,346.048785,346.048614,346.049006
2581,77.540892,2.577475,12.605681,35.303448,3.726692,31.46853,15.009777,17.436203,3.209212,34.152642,63.807706,4.496687,394.415186,394.415186,394.415186,394.415186,394.415186,394.415186,19.142865,46.371503,1.287475,394.415186,394.415186,394.415186
202339,143.898013,13.524102,42.264441,83.582052,14.059508,78.894381,126.717353,38.018388,110.021044,261.132011,96.421245,137.062198,790.999526,790.999869,791.001997,791.000919,790.999684,790.999819,134.415512,58.402961,27.041275,790.999548,790.999406,790.999733
202711,18.679246,0.810003,13.250373,29.858219,11.179675,63.67313,63.274252,21.550523,21.748744,116.414621,72.826138,28.867295,584.137565,586.045332,597.855205,591.868687,585.015749,585.767624,57.886292,51.850791,7.791936,584.263753,583.470922,585.28728
101106,51.083895,34.786247,10.113293,26.897623,38.949391,108.36312,63.019456,0.001536,8.303734,98.049425,0.002338,16.576256,443.749871,443.749871,443.749871,443.749871,443.749871,443.749871,35.029969,0.000802,8.272522,443.749871,443.749871,443.749871
2588,9.8433,2.424063,4.227292,4.415752,6.360386,22.428951,10.12683,10.191273,6.188709,22.628776,27.416134,8.439734,196.15474,196.15474,196.15474,196.15474,196.15474,196.15474,12.501946,17.22486,2.251025,196.15474,196.15474,196.15474
1626164,8.271207,4.022443,12.217947,14.859034,2.716516,22.182193,48.366745,14.425142,20.877789,43.836916,19.688749,19.717997,213.448806,237.054241,383.181737,309.108549,224.314868,233.618068,54.193048,12.380459,7.172221,215.010169,205.200204,227.674606
202344,22.63572,15.389169,20.569918,23.049637,48.909686,80.174361,49.185937,3.785142,13.770061,117.6207,17.093427,20.050938,492.060691,492.061313,492.065161,492.06321,492.060977,492.061222,68.436309,13.308473,6.281097,492.060732,492.060474,492.061066
2547,44.695117,19.890628,18.431451,26.914351,22.039908,163.995348,104.535935,32.499795,89.609496,220.099548,90.457381,111.018157,722.364399,722.364399,722.364399,722.364399,722.364399,722.364399,115.563612,57.957586,21.408661,722.364399,722.364399,722.364399
202340,43.832198,5.99313,35.42181,35.262646,11.102122,47.994874,85.669897,50.084233,27.358265,174.202327,120.833523,35.773932,672.112958,672.11422,672.122033,672.118072,672.113539,672.114036,88.535569,70.74967,8.416112,672.113041,672.112517,672.113718
201147,36.027035,4.496514,27.852162,25.87804,15.025839,52.243137,52.566921,15.798699,47.791331,130.59901,67.852571,62.244424,566.447098,566.447099,566.4471,566.447099,566.447099,566.447099,78.032089,52.053872,14.453094,566.447098,566.447098,566.447099
201166,48.734524,4.306077,7.738138,22.490245,8.895878,31.499509,40.936341,22.439154,19.246231,88.946164,61.013904,23.663617,327.288174,327.288177,327.288196,327.288186,327.288175,327.288177,48.009831,38.574751,4.417387,327.288174,327.288173,327.288176
1626148,2.271207,1.022443,7.217947,6.859034,1.716516,6.182193,31.366745,3.425142,10.877789,6.836916,3.688749,5.717997,35.448806,59.054241,205.181737,131.108549,46.314868,55.618068,34.193048,7.380459,3.172221,37.010169,27.200204,49.674606
203900,15.916472,3.497911,10.138992,10.4947,3.398309,22.641086,22.333775,6.72605,14.718246,43.316544,27.600144,17.646675,243.0733,247.601197,275.630768,261.422356,245.157583,246.942085,32.246748,22.239219,4.526641,243.372795,241.491088,245.802034
977,80.065546,2.113607,22.165203,53.084362,11.815287,78.063415,90.678125,33.757062,87.169494,231.422679,143.812329,106.638483,655.309108,655.309108,655.309108,655.309108,655.309108,655.309108,140.744554,110.055267,19.468989,655.309108,655.309108,655.309108
201978,29.416915,6.266641,13.69059,18.473315,13.423246,50.720219,31.45313,22.288718,19.821153,69.875405,55.1971,26.697736,477.116411,477.116573,477.117573,477.117066,477.116485,477.116549,38.422677,32.908431,6.87664,477.116422,477.116355,477.116508
203493,7.955375,2.115984,8.0025,8.897073,5.58686,33.034075,12.819278,11.773093,6.338553,27.892372,42.00125,7.137405,288.025377,292.003523,316.629909,304.146598,289.856599,291.424437,24.969467,31.427536,2.203018,288.288509,286.635268,290.422805
203504,62.255286,1.014808,18.4749,36.736342,8.202586,43.122669,60.279003,33.630024,22.634688,142.825129,84.059918,32.022304,536.957605,537.060318,537.696155,537.373844,537.004886,537.045366,82.801643,50.460862,9.423872,536.964399,536.921713,537.019505
202692,54.273292,5.016325,15.689282,43.514961,13.918229,73.314718,89.878085,24.968609,88.061462,208.141446,62.143504,106.041908,658.003433,658.009128,658.044385,658.026513,658.006055,658.008299,118.277528,37.176612,17.982457,658.00381,658.001443,658.006865
2406,10.155493,0.54438,9.46951,7.168262,5.177534,24.331456,16.471486,9.720466,6.754323,34.508441,30.910604,8.438301,246.431628,246.431628,246.431628,246.431628,246.431628,246.431628,18.036955,21.190138,1.683978,246.431628,246.431628,246.431628
202710,68.277478,16.279458,38.258053,35.915798,21.134884,84.694133,102.524167,27.598646,115.969556,216.552002,71.365749,140.843075,753.502936,753.505323,753.520103,753.512611,753.504035,753.504976,114.033774,43.767823,24.874361,753.503094,753.502102,753.504375
2446,18.26152,12.652967,9.274028,9.470128,3.028452,41.250993,23.979836,15.476586,8.736592,50.963374,49.200539,11.454815,325.14683,325.14683,325.14683,325.14683,325.14683,325.14683,26.983538,33.723954,2.718223,325.14683,325.14683,325.14683
203998,2.271207,2.022443,6.217947,10.859034,2.716516,7.182193,33.366745,4.425142,8.877789,16.836916,4.688749,3.717997,51.448806,75.054241,221.181737,147.108549,62.314868,71.618068,42.193048,7.380459,3.172221,53.010169,43.200204,65.674606
101181,91.388985,0.083065,24.190528,31.67192,7.464806,52.665116,45.576209,32.411951,17.83969,94.567373,79.98213,19.2776,679.888309,679.888309,679.888309,679.888309,679.888309,679.888309,48.991164,47.570179,1.43791,679.888309,679.888309,679.888309
203484,39.624678,4.113551,33.829843,27.633262,18.881076,57.781236,78.56792,35.194758,45.674922,178.114406,112.729132,58.502297,872.829088,872.958663,873.760786,873.354183,872.888734,872.939801,99.868827,77.573439,12.873112,872.837659,872.78381,872.907177
203477,58.981953,7.957817,22.990895,43.566539,9.708167,56.240766,33.018461,66.496453,50.679808,89.805524,182.73507,60.709221,712.504798,714.751736,728.661222,721.610393,713.539109,714.424656,62.376737,116.91605,10.822516,712.65342,711.719636,713.858914
203991,13.271207,35.022443,25.217947,26.859034,58.716516,110.182193,113.366745,2.425142,35.877789,141.836916,1.688749,72.717997,473.448806,497.054241,643.181737,569.108549,484.314868,493.618068,87.193048,6.380459,45.172221,475.010169,465.200204,487.674606
201960,30.725208,5.273431,38.960818,31.515409,29.321916,83.096887,60.572978,39.670154,35.239811,141.765744,106.074032,54.098907,752.088158,752.089306,752.096412,752.09281,752.088687,752.089139,81.195621,66.404225,18.859501,752.088234,752.087757,752.08885
1713,18.219379,5.323046,11.602757,14.119193,9.453767,38.044521,17.154946,18.128346,12.004727,43.860172,59.05368,15.050586,302.293194,302.293194,302.293194,302.293194,302.293194,302.293194,26.705226,40.925334,3.045859,302.293194,302.293194,302.293194
203487,100.758073,13.283789,26.33447,63.751231,14.910226,61.645597,69.631663,7.760473,44.249507,162.137528,28.58308,61.908788,555.579729,555.68202,556.315247,555.994259,555.626816,555.66713,92.760334,20.853447,17.695387,555.586495,555.543985,555.641375
201956,38.019531,3.179238,20.935341,41.316435,24.499262,122.766231,72.996926,32.577154,36.961325,137.308639,73.745642,58.927865,676.353525,676.353591,676.353999,676.353792,676.353555,676.353581,64.311878,41.168508,21.966564,676.353529,676.353502,676.353564
1626161,9.271207,23.022443,18.217947,20.859034,37.716516,73.182193,70.366745,2.425142,26.877789,70.836916,1.688749,38.717997,402.448806,426.054241,572.181737,498.108549,413.314868,422.618068,59.193048,6.380459,20.172221,404.010169,394.200204,416.674606
201596,71.102773,2.707514,31.289735,38.710529,8.70598,45.339661,44.0578,15.04683,80.61198,98.832823,55.803138,93.60507,493.210863,493.210864,493.210865,493.210865,493.210864,493.210864,54.775023,40.756308,12.99309,493.210863,493.210863,493.210864
2199,11.887771,16.377169,14.987705,25.348436,59.348443,132.77994,46.467242,0.0,35.798854,85.944568,1.005971,51.89574,522.79563,522.79563,522.79563,522.79563,522.79563,522.79563,39.477327,1.005971,16.096886,522.79563,522.79563,522.79563
201163,8.712589,1.918145,3.767609,7.093352,6.129126,24.233416,17.916137,9.042784,7.255293,36.59299,26.371851,9.410841,159.97478,159.974781,159.974784,159.974782,159.974781,159.974781,18.676855,17.329067,2.155548,159.97478,159.97478,159.974781
1626176,2.271207,1.022443,6.217947,6.859034,1.716516,6.182193,31.366745,2.425142,8.877789,6.836916,1.688749,3.717997,26.448806,50.054241,196.181737,122.108549,37.314868,46.618068,34.193048,6.380459,3.172221,28.010169,18.200204,40.674606
203546,37.007009,7.379339,20.606915,31.07963,10.301533,37.314516,48.258853,27.854217,25.377821,72.381544,66.453091,24.249728,391.000543,406.8986,505.314209,455.426555,398.318742,404.584367,63.672042,43.392012,4.483446,392.052107,385.44518,400.581497
203903,62.194492,5.325215,25.822722,41.467337,20.873458,60.367252,114.495937,30.11382,47.23451,227.033607,75.485287,57.457055,733.691534,736.093715,750.96422,743.426243,734.797307,735.744037,118.513539,46.095705,11.070443,733.850424,732.852124,735.139207
202708,27.520821,1.2643,5.178924,11.958371,1.181377,17.910769,18.338295,6.896604,9.113039,43.517962,27.551264,14.107017,210.299889,210.301505,210.311505,210.306436,210.300633,210.30127,25.183685,20.655147,4.994548,210.299996,210.299325,210.300863
201954,85.459929,2.452851,21.1271,39.754499,8.166419,33.97757,74.103218,21.278304,57.371829,158.145382,62.839518,68.355194,592.519952,592.519955,592.519979,592.519967,592.519953,592.519955,84.042173,41.561216,10.983366,592.519952,592.51995,592.519954
2555,30.977086,9.865137,12.284751,26.289673,33.167197,57.725375,33.453439,2.23399,13.199007,67.039923,10.413358,16.350822,386.87401,386.87401,386.87401,386.87401,386.87401,386.87401,33.586484,8.179369,3.151815,386.87401,386.87401,386.87401
201144,151.220325,6.003148,27.496125,48.181579,13.134598,57.889108,99.834169,35.672414,84.412052,218.995981,97.945759,95.993639,794.768682,794.768682,794.768682,794.768682,794.768682,794.768682,119.161812,62.273345,11.581587,794.768682,794.768682,794.768682
